[0.30s -> 1.30s]  СМЕХ
[5.66s -> 8.54s]  Здравствуйте! С вами шоу диктан со звездой.
[8.54s -> 12.98s]  Шоу, в котором я, Катьяна Монахова, буду проверять медийных личностей
[12.98s -> 17.22s]  на знании русского языка и на стойкость к шуткам в их сторону.
[17.22s -> 20.18s]  Сегодня у меня в классе популярный певец,
[20.18s -> 23.58s]  победитель шоу Фабрика звезд 2
[23.58s -> 27.58s]  и человек, который доказал, что за счет одной песни
[27.58s -> 30.82s]  можно кушать 20 лет, Пьер Нарцис.
[30.82s -> 32.90s]  Пьер, я вас приветствую.
[33.14s -> 36.14s]  Вы сказали, что 20 лет – это одна песня?
[36.14s -> 38.14s]  Я не согласен.
[38.14s -> 42.14s]  И во вторе вы заметили, что заслуженные артисты –
[42.14s -> 45.14s]  Чеченская республика и Энгушетти.
[45.14s -> 46.14s]  Вау!
[46.14s -> 47.14s]  Да.
[47.14s -> 50.14s]  И я хочу сказать, что у меня очень много песен.
[50.14s -> 56.14s]  Если вы следите за мою работу с 2002 года,
[56.14s -> 60.14s]  там очень много песен, которые я исполнял, много дуэтов.
[60.14s -> 62.14s]  Но это песни, которые все знают.
[62.38s -> 64.38s]  «Шоколадный заяц».
[64.38s -> 69.38s]  И, кстати, неделю назад вышел новый трек «Шоколадная любовь».
[69.38s -> 71.38s]  Как много всего про шоколад.
[71.38s -> 73.38s]  «Шоколадный заяц», «Шоколадная любовь».
[73.38s -> 75.38s]  Но мы сегодня собрались узнать,
[75.38s -> 79.38s]  насколько шоколадно вы пишете диктант.
[79.38s -> 81.38s]  Кстати, вы когда-нибудь писали диктант?
[81.38s -> 83.38s]  На французском, конечно.
[83.38s -> 91.38s]  Но на русском это было, может быть, больше 25 лет назад.
[91.62s -> 95.62s]  Потому что до МГУ я учил «Дружбу народов», «Дубакалав».
[95.62s -> 99.62s]  Потом перевел в МГУ, где я учил уже на французском.
[99.62s -> 105.62s]  Потому что там был диплом «Сорбон», «ФРЖ» и МГУ.
[105.62s -> 112.62s]  Поэтому больше на французском, но я буду стараться писать.
[112.62s -> 113.62s]  Прекрасно.
[113.62s -> 115.62s]  А в России на кого вы учились?
[115.62s -> 116.62s]  Журналистика.
[116.62s -> 117.62s]  Журналистика.
[117.62s -> 118.62s]  Пишущая, братья?
[118.62s -> 120.62s]  Вам сам Бог велел?
[120.86s -> 126.86s]  Дипломы преподавателей «Сорбон» читали, что я фотограф.
[126.86s -> 128.86s]  И я думал, какой я фотограф.
[128.86s -> 130.86s]  Нет, я люблю говорить.
[130.86s -> 132.86s]  Я люблю быть в кадре.
[132.86s -> 134.86s]  Ну что же, как много у вас талантов.
[134.86s -> 137.86s]  Но, возможно, мы сегодня еще откроем литературный талант.
[137.86s -> 141.86s]  И я же Пушкин.
[141.86s -> 142.86s]  Пушкин.
[142.86s -> 143.86s]  Да.
[143.86s -> 145.86s]  Кстати, говорят, что первый ласковый мерзавец на Руси
[145.86s -> 147.86s]  был именно Александр Сергеевич Пушкин.
[148.10s -> 151.10s]  Кстати, из «Камеруна», как я.
[151.10s -> 152.10s]  Вот, видите?
[152.10s -> 153.10s]  Да.
[153.10s -> 158.10s]  Сегодня выясним, объединяет ли вас литературный талант.
[158.10s -> 163.10s]  Мы будем писать классический школьный диктант.
[163.10s -> 168.10s]  После я заберу ваш текст на проверку, и мы посмотрим,
[168.10s -> 170.10s]  какое количество ошибок вы сделали.
[170.10s -> 173.10s]  Вот уже, может быть, не надо смотреть.
[173.10s -> 175.10s]  Слушайте, внимательно правила.
[175.34s -> 177.34s]  У вас есть предложение.
[177.34s -> 179.34s]  Я буду повторять максимум два раза.
[179.34s -> 181.34s]  Но не волнуйтесь, если вы что-то не успели.
[181.34s -> 183.34s]  Ну, вы понимаете, что я не русский.
[183.34s -> 185.34s]  Надо медленно.
[185.34s -> 186.34s]  Конечно.
[186.34s -> 188.34s]  Мы будем стараться, так что вам было удобно.
[188.34s -> 190.34s]  Исключений-то должно быть немножко.
[190.34s -> 192.34s]  Исключений, но есть.
[192.34s -> 194.34s]  Но вы меня тоже не разводите.
[194.34s -> 196.34s]  Я не Дима Дебров.
[196.34s -> 198.34s]  Я не смогу вам помогать конкретно.
[198.34s -> 201.34s]  Если вы допускаете одну ошибку, но незначительную, это пять.
[201.58s -> 206.58s]  Если, ну, так скажем, две-три ошибки, это четыре.
[206.58s -> 209.58s]  Если больше четырех, это три.
[209.58s -> 214.58s]  Ну, а если более пяти, то вам придется сесть за парту,
[214.58s -> 217.58s]  ну, скажем, с учеником второго класса.
[217.58s -> 221.58s]  Но, конечно, мы понимаем, что русский язык не первый ваш.
[221.58s -> 223.58s]  И будем делать некое послабление.
[225.58s -> 227.58s]  Я хочу вам сказать, чтобы мне это устроить.
[227.82s -> 232.82s]  Потому что в Камеруне, когда мы учили, у нас французский систем, да?
[232.82s -> 234.82s]  Когда мы...
[234.82s -> 238.82s]  У нас были табели в тонике, у нас был диктат.
[238.82s -> 240.82s]  И у нас в Камеруне...
[240.82s -> 242.82s]  Угу.
[242.82s -> 247.82s]  Каждая ошибка, это один удар от учителя.
[247.82s -> 249.82s]  Это не шутка.
[249.82s -> 253.82s]  Если у тебя там пятнадцать интересных стаищ,
[253.82s -> 256.82s]  он тебе пятнадцать удар по попам.
[257.06s -> 259.06s]  Это не шутка.
[259.06s -> 263.06s]  Поэтому день, который у нас был диктат, это был в тоне или среде, да?
[263.06s -> 265.06s]  Мы одевали джинсы.
[265.06s -> 268.06s]  И под джинсы еще туда бумага.
[268.06s -> 271.06s]  Или картоны, или полотенце.
[271.06s -> 274.06s]  Чтобы не почувствовать этот удар.
[274.06s -> 277.06s]  А сегодня вы к нам тоже пришли с картона?
[277.06s -> 279.06s]  Ну, нет.
[279.06s -> 282.06s]  Я готовился по-другому.
[283.06s -> 285.06s]  Ну, да, мы более добрые.
[285.30s -> 288.30s]  Телесное наказание не применяем.
[288.30s -> 290.30s]  Но прежде чем мы начнем,
[290.30s -> 293.30s]  подпишите, пожалуйста, вашу цитрат.
[293.30s -> 295.30s]  Для диктата, правильно?
[295.30s -> 297.30s]  Да.
[297.30s -> 299.30s]  Ученика.
[299.30s -> 301.30s]  Ученика, но потому что не ученый.
[301.30s -> 303.30s]  Сегодня вы наш ученик.
[303.30s -> 305.30s]  Да.
[305.30s -> 309.38s]  Класс.
[311.38s -> 313.38s]  Детский сад.
[313.38s -> 315.38s]  Дет.
[315.62s -> 317.62s]  Детский.
[320.62s -> 322.62s]  Сад.
[322.62s -> 324.62s]  Вы готовы?
[324.62s -> 326.62s]  Я всегда готов. Я так пионер.
[326.62s -> 328.62s]  Жил-был старик.
[328.62s -> 331.62s]  И было у него три сына.
[331.62s -> 333.62s]  И был.
[333.62s -> 335.62s]  У него.
[335.62s -> 337.62s]  У него.
[337.62s -> 339.62s]  Три.
[339.62s -> 341.62s]  Сына.
[341.62s -> 343.62s]  Сына.
[343.86s -> 345.86s]  И перечисления.
[345.86s -> 347.86s]  Никита.
[347.86s -> 349.86s]  Прохор.
[349.86s -> 351.86s]  Шалапин.
[351.86s -> 353.86s]  Никита. Прохор.
[353.86s -> 355.86s]  И. Мудио.
[355.86s -> 357.86s]  Мукуту.
[357.86s -> 359.86s]  Мукуту.
[359.86s -> 361.86s]  Пьер.
[361.86s -> 363.86s]  Пьер. О, знаю.
[363.86s -> 365.86s]  Нарцисс.
[365.86s -> 367.86s]  Вот это приятно.
[367.86s -> 369.86s]  Здесь точно ошибки не будет.
[369.86s -> 371.86s]  Денаполи.
[372.10s -> 374.10s]  Десуза.
[374.10s -> 376.10s]  А, десуза.
[380.63s -> 382.63s]  Десуза.
[382.63s -> 384.63s]  Я рада, что у вас такой прекрасный настрой.
[384.63s -> 386.63s]  Это первое предложение.
[386.63s -> 388.63s]  Далее.
[388.63s -> 390.63s]  Всех любил старик
[390.63s -> 392.63s]  одинаково.
[392.63s -> 394.63s]  Но больше всего души
[394.63s -> 396.63s]  не чаял
[396.63s -> 398.63s]  в Мудио,
[398.63s -> 400.63s]  Мукуте,
[400.63s -> 402.63s]  Пьере, Нарциссе,
[402.87s -> 404.87s]  Денаполи,
[404.87s -> 406.87s]  Десузе.
[410.87s -> 412.87s]  Так как думал,
[412.87s -> 414.87s]  что его появление
[414.87s -> 416.87s]  на свет
[416.87s -> 418.87s]  это дар Божий,
[418.87s -> 420.87s]  а не его
[420.87s -> 422.87s]  гулящая бабка.
[422.87s -> 424.87s]  Конец предложения.
[424.87s -> 426.87s]  Обзац.
[426.87s -> 428.87s]  С красной строки.
[428.87s -> 430.87s]  То есть с новой
[430.87s -> 432.87s]  строчки.
[432.87s -> 434.87s]  Те братья
[434.87s -> 436.87s]  работают.
