[0.00s -> 2.46s]  Так, ну что, друзья, всем привет! Мы на канале Максим Народный.
[2.46s -> 6.20s]  Сегодня у нас очередной, как вы знаете, вкусный и душевный выпуск.
[6.20s -> 10.40s]  Сегодня у нас в гостях человек, восходящая легенда нашего российского интернета.
[10.40s -> 13.68s]  Конкретно, конкретно вот уже стоит и улыбается, Лёха Подмогу.
[13.68s -> 17.96s]  В жизни его зовут Кирилл. Это участник сериала тот самый Мент.
[17.96s -> 21.28s]  Если кто-то не знает, все его просили позовите Лёху Подмогу.
[21.28s -> 24.56s]  У многих тех вопросов. Кирилл, я его сам просто тоже Лёху называю.
[24.56s -> 27.16s]  Уже по привычке, уже такой родной стал.
[27.16s -> 29.16s]  Сегодня у нас он в гостях, он наконец-то нам пришел.
[29.16s -> 31.32s]  Тоже человек любит готовить. Кирюх, здорова.
[31.32s -> 34.52s]  Привет Максим. Руки жать через час, после встречи обожаю.
[34.52s -> 38.92s]  Вот, сейчас мы расскажем, что мы сегодня будем готовить.
[38.92s -> 42.16s]  Сегодня будем готовить ВОК. ВОК такой по-русски, по-домашнему.
[42.16s -> 46.36s]  Это рецепт мне Лёху посоветовал. Так что мы сегодня будем делать, что нам для этого понадобится.
[46.36s -> 54.20s]  Свинина, паприка, болгарский перец, лук, морковь, чесночок, спагетти, томаты в собственном соку,
[54.36s -> 58.96s]  подсолнечное масло, соль, перец. Хорошее настроение, шикарный гость.
[58.96s -> 63.12s]  И естественно выпиваем за наших подписчиков, кто-то за другое не выпивает.
[63.12s -> 71.62s]  Сразу хочу напомнить, вдруг кто-то забыл, что у меня есть свой инстаграм,
[71.62s -> 77.18s]  у меня есть телеграм-канал, где вы перед каждым выпуском можете задать вопросы мне и моему гостю.
[77.18s -> 80.18s]  В общем, Лёха, там накидали тебе вопрос, жду с нетерпением.
[80.18s -> 85.66s]  Вот, да, много вопросов. А я сказал Лёха, да? Кириллу, Кириллу накидали много вопросов.
