[0.00s -> 1.00s]  шоу мат
[1.00s -> 2.00s]  попков
[2.00s -> 3.94s]  портовая полость расширилась
[3.94s -> 5.98s]  и мол, мне сделал официальное предложение
[5.98s -> 6.98s]  где она?
[6.98s -> 7.98s]  залетел?
[7.98s -> 8.98s]  ну я тебе и говорю
[8.98s -> 9.98s]  оооо
[9.98s -> 10.98s]  нуу
[10.98s -> 11.98s]  чего?
[11.98s -> 14.02s]  да я видел, да что это за читы?
[14.02s -> 21.12s]  Серега, убирай её
[21.12s -> 24.70s]  всем привет, я Маша Марпл, это ПВП шоу «один банк, два
[24.70s -> 27.88s]  игрока и видеоигры» и сегодня у нас гостях Гром
[27.88s -> 30.92s]  и Смайл — профессиональные киберспортивные комментаторы
[30.92s -> 32.72s]  многостоночники, я бы сказала
[32.72s -> 34.12s]  многостоночники — это другая отрасль, а мы мультикарты
[34.12s -> 36.12s]  Это мы, мультикастеры. Всем привет!
[36.12s -> 53.35s]  Это мы, всем привет!
[53.35s -> 58.35s]  Мужчины, почему я акцентировала свое внимание на том, что вы мультикастеры?
[58.35s -> 62.35s]  Это не самый распространенный подход у талантов, в принципе.
[62.35s -> 66.35s]  Как-то принято на одной дисциплине зацикливаться и совершенствоваться в ней.
[66.35s -> 73.35s]  А ты вообще успел и побыть профессиональным игроком, и покомментировать Dota, и Counter-Strike, и, возможно, я еще что-то упускаю.
[73.35s -> 74.35s]  У тебя огромный опыт.
[74.35s -> 76.35s]  Что-то, может быть, я даже что-то упускаю?
[76.35s -> 79.35s]  Что-то, может быть, ты. У тебя еще и Valorant, и CS, и Dota.
[79.35s -> 81.35s]  А ты бывший профессиональный игрок и вид чемпион мира?
[81.35s -> 82.35s]  По футболу.
[82.35s -> 83.35s]  По поинтбуланту.
[83.35s -> 84.35s]  Ааааа!
[84.35s -> 85.35s]  С Vitya.
[85.35s -> 86.35s]  А вот это я и устал.
[86.35s -> 87.35s]  С Vitya Goodfantum, кстати говоря.
[87.35s -> 89.35s]  Только он первые места занимал, а я вторые.
[89.35s -> 95.35s]  В общем, тоже и бывшие киберспортивные. Составляющие есть и Commentator, и Dota теперь.
[95.35s -> 98.35s]  У меня прибавилось пока кринжовенько, но в целом вроде справляемся.
[98.35s -> 101.35s]  Да на самом деле не кринжовенько. Ты давал какие-то... Ты подходил к нему за совет?
[101.35s -> 104.35s]  Ну, он что скажет? Я говорю, да. Говори, что знаешь, а там дальше как пойдет.
[104.35s -> 105.35s]  И пошел.
[105.35s -> 106.35s]  И пошел туда я.
[106.35s -> 107.35s]  Да, туда я.
[107.35s -> 108.35s]  А в КС-ке?
[108.35s -> 112.35s]  В КС-ке? Ну вот опять же у меня больше в шоумат. Теперь в шоумат.
[112.35s -> 113.35s]  Шоумат!
[113.35s -> 114.35s]  Шоумат!
[114.35s -> 115.35s]  Шоумат!
[115.35s -> 116.35s]  Это, кстати, именно то, чем Герман Вайфилович занимается.
[116.35s -> 119.35s]  Да, кстати, этим я прям блистаю вообще больше, чем остальными своими положительными
[119.35s -> 123.35s]  сторонами. Но больше формат шоумат меня привлекает. И теперь еще и футбол.
[123.35s -> 127.35s]  В общем, действительно сфера моя ротовая расширилась.
[127.35s -> 129.35s]  Ротовая полость расширилась?
[129.35s -> 130.35s]  Нет, это сфера.
[130.35s -> 132.35s]  Так, а вот твоя ротовая сфера как?
[132.35s -> 137.35s]  Прикольно, когда ты карьеру заканчиваешь, чем заниматься? Уходить в что-то там,
[137.35s -> 140.35s]  тренерскую какую-то эту? Нет, это опять же, у тебя башка нагружена и так далее.
[140.35s -> 145.35s]  Ты хочешь, вот после окончания профессиональной карьеры, чуть расслабленным все находиться.
[145.35s -> 150.35s]  И это шоу, как раз шоу, оно тебе помогает. Потому что, ну, сколько?
[150.35s -> 153.35s]  В Шоке Ла Ниле, да, какое-нибудь там шоу устраивают после своей великолепной карьеры.
[153.35s -> 157.35s]  Там, не знаю, Аршаин тот же работает постоянно там на каналах.
[157.35s -> 159.35s]  Вот, ну пожалуйста, там очень много примеров привести.
[159.35s -> 163.35s]  И ты просто расслабущий сидишь и занимаешься, в принципе, тем же самым делом, только со стороны.
[163.35s -> 168.35s]  И ты можешь совершенно легально сказать, ребят, драфт говно на мой строгий взгляд.
[168.35s -> 169.35s]  И тебе за это ничего не будет.
[169.35s -> 173.35s]  Особенно у нее на канале, поэтому все драфты говно, которые я обсуждал.
[173.35s -> 179.35s]  Хорошо, парни, к чему сейчас больше душа лежит, вот так глядя на дисциплины и то, что с ними происходит,
[179.35s -> 182.35s]  наглядя на системы разнообразные?
[182.35s -> 186.35s]  У меня дота пока что в приоритете, потому что, понятно дело, в КС я преисполнился.
