[8.11s -> 13.43s]  ДИНАМИЧНАЯ МУЗЫКА
[13.43s -> 16.71s]  Да, начальник, хреново дела обстоят.
[17.55s -> 20.35s]  Мягко сказано, в город фиг вернешься.
[20.35s -> 22.23s]  С работы уволь, жить негде.
[22.23s -> 24.55s]  Слушай, а может быть, свалим?
[25.47s -> 27.83s]  Уедем куда-нибудь, в Москву.
[27.83s -> 31.79s]  Хату на двоих снимем, вон, зайца возьмем, если хочешь.
[31.79s -> 34.07s]  Ты в ЧОП устроишься?
[34.07s -> 37.43s]  Я школу оффроуд в капоте не открою.
[38.15s -> 44.46s]  Потом вторую ВАЗи купим и в Туапсе лавровые листья выращивать.
[44.46s -> 46.54s]  Какой-то сложный план, Сундук.
[46.54s -> 51.56s]  А что мы теряем?
[51.56s -> 53.88s]  А знаешь, а поехали.
[55.36s -> 57.64s]  Только бабуль зайдем по дороге.
[57.64s -> 59.60s]  Предупредить, она поймет.
[59.60s -> 61.64s]  Ну все, утром стартуем.
[61.64s -> 63.52s]  Весь день за рулем.
[63.52s -> 66.12s]  Их хлопнуло, если честно, немного.
[66.12s -> 70.07s]  Ты поедешь или с нами, ушастый?
[70.07s -> 80.37s]  Давай, начальник, дуй к бабуле,
[80.41s -> 83.29s]  через полчаса на остановке тебя подберу.
[83.29s -> 89.45s]  Давай.
[89.45s -> 90.93s]  Начальник!
[90.93s -> 93.13s]  Иди-ка сюда!
[93.13s -> 95.73s]  Иди, иди, иди!
[95.73s -> 98.53s]  Так это же наш кидал, Кутер.
[98.53s -> 101.33s]  Скидываемся на путевку, счастливую жизнь.
[101.33s -> 102.57s]  Чего?
[102.57s -> 104.25s]  Денегу ренобен сдавай.
[104.25s -> 108.46s]  Ничего, ментов деньги шали отжимать.
[108.46s -> 111.42s]  Мы первые, кто на УАЗике на Патрике заедет.
[111.42s -> 112.78s]  На.
[112.78s -> 115.34s]  А на пожрать в дорогу.
[115.50s -> 117.42s]  Слышишь, у башка не работает.
[117.42s -> 126.22s]  На.
[128.22s -> 131.06s]  Двести пятьдесят, тридцать пятьдесят.
[131.06s -> 135.07s]  Ну и зачем так делать?
[135.95s -> 141.91s]  Уважаемые люди должны пить горячий шоколад.
[141.91s -> 143.19s]  Здорово, мужики.
[143.19s -> 144.95s]  Здорово, здорово.
[144.95s -> 148.47s]  Видали, как ты ментов прессуешь.
[148.47s -> 149.95s]  Я?
[149.95s -> 151.63s]  Ладно, про ментов забыли.
[151.63s -> 153.75s]  Про микрозами, кстати, тоже забыли.
[153.79s -> 156.35s]  Я понимаю, что это не твоё, всё мелко.
[157.39s -> 159.67s]  Ну хорошо, что вы понимающие.
[159.67s -> 161.59s]  Не то, что эти.
[161.59s -> 166.77s]  Понимающие.
[166.77s -> 168.41s]  Ты извини, что беспокоим.
[168.41s -> 170.45s]  Но без твоих подвязок
[170.45s -> 172.09s]  наше дело не выгорит.
[172.09s -> 173.33s]  Ну что там у вас?
[173.33s -> 175.05s]  Короче, есть КамАЗ с мандаринами.
[175.05s -> 176.29s]  Лицензии нет.
[176.29s -> 177.37s]  Нужно место на рынке.
[177.37s -> 178.73s]  Я понимаю, что без твоих ментов.
[178.73s -> 180.17s]  Но никак не обойтись.
