[0.00s -> 2.00s]  served
[20.38s -> 22.32s]  вкуснотища
[22.32s -> 24.32s]  это моя мама испекла
[24.32s -> 26.18s]  сама?
[26.18s -> 27.82s]  конечно
[27.82s -> 31.02s]  Лиза, а давай нашей маме сюрприз сделаем
[31.02s -> 32.76s]  испечам булочки?
[32.76s -> 34.24s]  Давай
[34.24s -> 40.24s]  Это хорошая идея, но сперва надо изучить все секреты пекарского мастерства.
[43.24s -> 50.24s]  Восемь тысяч лет назад люди научились делать муку, перетирая зерна пшеницы между камнями.
[51.24s -> 53.24s]  Ого! Мука!
[55.24s -> 59.24s]  Чтобы перемалывать больше муки, в древнем Риме изобрели мельницы.
[59.24s -> 62.24s]  На водяной мельнице муку мололи с помощью воды,
[62.24s -> 64.24s]  а на ветряной с помощью ветра.
[65.24s -> 67.24s]  Совершенно верно, Макс!
[67.24s -> 69.24s]  Что как-то сложно, Артур!
[69.24s -> 71.24s]  Давай уже к императору Петру!
[73.24s -> 75.24s]  Петровская эпоха, 18 век.
[75.24s -> 77.24s]  А вот и сам Петр.
[77.24s -> 79.24s]  Здравствуйте, отроки!
[79.24s -> 81.24s]  Здравствуйте, Ваше Величество!
[81.24s -> 83.24s]  Хм, повнимательней!
[83.24s -> 86.24s]  Тесто не дошло, а в печи передержали.
[86.24s -> 88.24s]  Так, начнем сначала.
[88.24s -> 90.24s]  Вот чистый фартук и рукавицы.
[90.24s -> 92.24s]  И не так жарко будет.
[92.24s -> 95.24s]  Итак, сначала просеиваем муку.
[95.24s -> 98.24s]  Потом добавляем дрожжи, соль и сахар.
[98.24s -> 101.24s]  Затем теплую воду и масло.
[101.24s -> 104.24s]  А вот теперь и замешать можно.
[104.24s -> 108.24s]  Теперь подержим полчаса в тепле.
[108.24s -> 114.45s]  Чем затейливее форма, тем вкуснее получится.
[114.45s -> 116.45s]  А у меня птичка.
[116.45s -> 118.45s]  А у меня бабочка.
[118.45s -> 120.45s]  Хм, не дурно.
[120.45s -> 122.45s]  А теперь в печь.
[122.45s -> 126.45s]  И держать, пока корочка золотая не появится.
[126.45s -> 131.59s]  Да уж, домашние булочки!
[131.59s -> 133.59s]  Красота!
[133.59s -> 135.59s]  Возвращайтесь, отроки!
[135.59s -> 137.59s]  Да поучите своих современников
[137.59s -> 140.59s]  печь настоящий царский хлебушек.
[142.59s -> 144.59s]  Эй, а где булочка?
[144.59s -> 147.59s]  Артур, а ну давай обратно!
[147.59s -> 149.59s]  Извини, вот!
[150.59s -> 152.59s]  В наши дни замешать тесто
[152.59s -> 155.59s]  и выпечь хлеб могут машины.
[155.59s -> 157.59s]  Но сплетать тесто в сложной формы
[157.59s -> 159.59s]  нужно вручную.
[159.59s -> 161.59s]  Главное, чтобы машины есть
[161.59s -> 164.59s]  наши булочки не научились.
[165.59s -> 168.59s]  Вот, царские булочки.
[168.59s -> 171.59s]  Ну что, юные пекари, готовы удивить маму?
[171.59s -> 175.59s]  Готовы! Макс, быстрее, пока не остыли!
[180.59s -> 183.59s]  Редактор субтитров А.Синецкая
[183.59s -> 186.59s]  Корректор А.Кулакова
