[0.00s -> 1.40s]  Я работала.
[1.40s -> 2.44s]  А Ку-Куха свистит!
[2.44s -> 4.44s]  Клёво, что так получилось, да?
[4.44s -> 6.08s]  Партнеров замратили скач.
[6.08s -> 7.26s]  Кто?!
[7.26s -> 8.86s]  Кась, отдай пятюнюк!
[8.86s -> 9.88s]  Я сходила, Кась.
[9.88s -> 11.42s]  Офигеть!
[11.42s -> 12.40s]  Я в тильте.
[12.40s -> 13.60s]  Что происходит?!
[19.83s -> 22.87s]  Всем привет! Я Маша Марпл. Это PvP Show.
[22.95s -> 25.49s]  Один банк, два игрока и видеоигры.
[25.49s -> 26.59s]  И сегодня у нас в гостях
[26.69s -> 29.31s]  самые красивые представительницы Twitch'а
[29.31s -> 30.45s]  Ориньян и be режиссера Iikadzu.
[30.45s -> 32.45s]  Привет, спасибо, да, привет.
[50.13s -> 54.65s]  Девчонки, прежде чем начнем всю нашу вот эту вот свистопляску игровую,
[54.65s -> 55.97s]  хочу с вами немножко поговорить.
[55.97s -> 60.37s]  Смотрите, вы обе довольно быстро набрали популярность на твиче,
[60.37s -> 61.73s]  прям ярко взлетели.
[61.73s -> 63.85s]  Во-первых, хочу сказать, как вам это удалось,
[63.85s -> 66.69s]  во-вторых, что это за собой принесло в вашу жизнь?
[66.69s -> 70.53s]  Ну, я бы не сказала, что быстро, я уже 6 лет стримлю, 7.
[70.53s -> 74.13s]  Просто самый бум был, наверное, с Катей где-то, плюс-минус,
[74.13s -> 76.57s]  потому что мы с ней из одной тусовки.
[76.61s -> 78.61s]  Клево, что так получилось, да?
[78.61s -> 82.01s]  Я не знаю, что сказать, но я долго к этому шла, правда.
[82.01s -> 85.69s]  То есть до этого я еще что-то пыталась где-то, ну так, подпукивать.
[85.69s -> 88.61s]  Вот такая вот у меня история тяжелая.
[88.61s -> 93.21s]  Как думаешь, за счет чего твоя аудитория тебя нашла и почему полюбила?
[93.21s -> 96.61s]  Не знаю, наверное, за все вместе.
[96.61s -> 101.41s]  Где-то, может быть, за одно, кто-то за другое, кто-то за третье, кто-то за четвертое.
[101.41s -> 105.41s]  Я очень разносторонний человек, у меня много всяких таких интересов.
[105.41s -> 109.33s]  Я смотрю на телеграмм Арины и постоянно мотивируюсь идти в спортзал.
[109.33s -> 110.65s]  Это факт, кстати.
[110.65s -> 113.13s]  Правда, я не хожу, но мотивируюсь.
[113.13s -> 114.13s]  Спасибо.
[114.13s -> 115.13s]  Это прям...
[115.13s -> 116.65s]  Души, бро.
[116.65s -> 119.05s]  Она так... Видела, как она боксирует?
[119.05s -> 121.45s]  Я видела, как она вообще выглядит еще при этом.
[121.45s -> 122.45s]  Я? Вот так.
[122.45s -> 123.45s]  Это попозарь.
[123.45s -> 124.45s]  Спасибо, спасибо.
[124.45s -> 126.17s]  Но я, да, я люблю спорт.
[126.17s -> 127.77s]  Она скромная.
[127.77s -> 131.33s]  Ну, ты-то точно прям взлетела, так взлетела, Кать.
[131.33s -> 134.17s]  Но тем более ты на твитч прям резко вырвалась, расскажи.
[134.17s -> 136.81s]  На самом деле, потому что такая история...
[136.81s -> 139.45s]  До сих пор не понимаю, как я к этому пришла,
[139.45s -> 142.29s]  потому что до этого я работала в другой сфере.
[142.29s -> 145.61s]  Ты, по-моему, помнишь, что я вообще, я тебе обращаю,
[145.61s -> 148.21s]  которая вне этого всего, учусь там, работаю.
[148.21s -> 150.09s]  С цифрами причем, с бумажками.
[150.09s -> 151.09s]  Да, айти.
[151.09s -> 152.09s]  Ну вот.
[152.09s -> 153.57s]  А потом вот так бац.
[153.57s -> 154.57s]  Ну как?
[154.57s -> 156.13s]  Это вообще на самом деле...
[156.13s -> 159.77s]  Я изначально не хотела абсолютно, мне это было неинтересно.
[159.77s -> 160.77s]  А потом...
[160.81s -> 164.65s]  Я считаю, что тут какая-то степень Дмитрия Ликс повлиял на меня.
[164.65s -> 165.89s]  Это я тебя наслажу.
[165.89s -> 166.89s]  Это я тебя наслажу.
[166.89s -> 167.89s]  Это я тебя наслажу.
[167.89s -> 170.81s]  Ну, именно в том плане, что подтолкнул меня морально.
[170.81s -> 173.93s]  Потому что для меня это был достаточно тяжелый шаг.
[173.93s -> 179.21s]  Потому что я уходила от стабильности и от того, что я прекрасно понимаю,
[179.21s -> 183.09s]  в хаос, в котором я вообще как бы новый человек,
