[0.00s -> 2.00s]  Москва это город фьючи
[2.00s -> 4.00s]  Только для ваших зрителей
[4.00s -> 6.00s]  Самые закрытые системы
[6.00s -> 8.00s]  Классно, я так танцевал
[8.00s -> 10.00s]  Тот самый Дед Мороз из Великого Устюга
[10.00s -> 12.00s]  Дедушка Мороз, можно тебя обниму?
[12.00s -> 26.19s]  Чувствую себя Иваном Дорном просто
[26.19s -> 28.19s]  Иногда кажется, что все что бесплатно
[28.19s -> 30.19s]  Как-то пресно и скучно
[30.19s -> 32.19s]  Но на самом деле Москва это город фьючи
[32.19s -> 34.19s]  Так что даже бесплатно
[34.19s -> 36.19s]  Тут можно найти частичку
[36.19s -> 38.19s]  Чего-то современного и стильного
[38.19s -> 40.19s]  С каждым днем выставки VR
[40.19s -> 42.19s]  И становятся все популярнее и популярнее
[42.19s -> 44.19s]  Меня зовут Таше
[44.19s -> 46.19s]  И сегодня мы пройдемся по интерактивным выставкам
[46.19s -> 48.19s]  Добро пожаловать в 21 век
[48.19s -> 50.19s]  Бесплатно
[50.19s -> 52.19s]  В Москве не так много интерактива
[52.19s -> 54.19s]  Кстати, интерактивная выставка
[54.19s -> 56.19s]  Это выставка, где человек может не только смотреть на экспонаты
[56.19s -> 58.19s]  Но и взаимодействовать с ними
[58.19s -> 60.19s]  В Дарвиновском музее есть интерактивная экспозиция
[60.19s -> 62.19s]  И это возможность
[62.19s -> 64.19s]  Совершить увлекательное путешествие
[64.19s -> 66.19s]  По пути эволюции живых организмов
[66.19s -> 68.19s]  С помощью новейших мультимедийных технологий
[68.19s -> 70.19s]  Цена символическая
[70.19s -> 72.19s]  Для детей 30 рублей, а для взрослых 100
[72.19s -> 74.19s]  И это почти бесплатно
[74.19s -> 76.19s]  А на фасаде Третьяковской галереи
[76.19s -> 78.19s]  На Крымском Валуте можно посмотреть проекции
[78.19s -> 80.19s]  Ярчайших художников 20 века
[80.19s -> 82.19s]  Даже люди, спешащие мимо, смогут
[82.19s -> 84.19s]  Не заходя внутрь соприкоснуться с прекрасным
[84.19s -> 86.19s]  Но интерактивом это не назовешь
[86.19s -> 88.19s]  А нам нужно провести целый выходной
[88.19s -> 90.19s]  И есть умное решение
[90.19s -> 92.19s]  Сегодня мы вновь на ВДНХ
[92.19s -> 94.19s]  Только теперь в павильоне умный город
[94.19s -> 96.19s]  Почитаю, что пишет на сайте
[96.19s -> 98.19s]  Это центр притяжения для любителей
[98.19s -> 100.19s]  Новых технологий
[100.19s -> 102.19s]  Здесь собраны новинки, которыми вы уже пользуетесь
[102.19s -> 104.19s]  И которые скоро появятся в Москве
[104.19s -> 106.19s]  От электронных сервисов
[106.19s -> 108.19s]  До оборудования для сложных операций
[108.19s -> 110.19s]  Ну что, все понятно?
[110.19s -> 112.19s]  Понятно, что ничего не понятно
[112.19s -> 114.19s]  Пойдемте узнавать, что там на самом деле
[114.19s -> 116.19s]  Будем разбираться
[118.19s -> 120.19s]  Павильон умный город, по сути, место
[120.19s -> 122.19s]  Для того, чтобы вы поняли, как
[122.19s -> 124.19s]  Коммуницировать с городом
[124.19s -> 126.19s]  Но и полезно
[126.19s -> 128.19s]  Тут вы узнаете и наглядно увидите
[128.19s -> 130.19s]  Как современные технологии делают Москву
