[0.00s -> 2.00s]  ПРОБОДИТЬ МАРТЮ자가
[4.72s -> 6.72s]  Давай трахаться!
[7.54s -> 27.69s]  ПРОБОДИТЬ МАРТЮ
[27.99s -> 29.99s]  В шоу Пробы попадают начинающие актеры
[29.99s -> 31.99s]  Они еще не знают, но впереди их ждет
[33.17s -> 39.29s]  Прошедшие снимутся в новом детище экстравагантового режиссера Геры Тёплова
[40.25s -> 42.25s]  Приятного просмотра
[44.35s -> 46.35s]  Я эту змею тебе сейчас на шею замотаю
[46.35s -> 57.35s]  А значит меня зовут Змей по паспорту троицкер Роман Алексеевич, я могу быть предан своему имиджу даже полностью раздевшись до нога, но мне не нужны трусы на пляже.
[57.35s -> 59.35s]  Я начинаю продолжение и вы заканчиваете.
[59.35s -> 64.35s]  ДУ! ДУ ХАСТ! ДУ ХАСТ МИШЬ!
[66.35s -> 69.35s]  Тужимся! Тужимся! ААА!
[70.35s -> 82.35s]  Добренькие Други! Как я обычно говорю, меня зовут Антоновка Катя, мне 38 лет, я из Санкт-Петербурга, но уже 15 лет практикую мат в Москве. Ну а как вы хотите, я мат четырех детей.
[87.65s -> 98.65s]  Хэви Метал Ганзен Ролдес! Добрый вечер, дамы и господа! На предплечьях белый ворон. Вешу словно воробей, но в груди как будто в клетки заливает словей.
[99.65s -> 103.65s]  Что ты хотел еще рассказать? Ах да и кстати, вам от Пастерака всем привет!
[103.65s -> 105.65s]  Добейте меня!
[106.65s -> 108.65s]  Добрый день, меня зовут Олег.
[108.65s -> 110.65s]  Какую бы роль вы хотели сыграть?
[110.65s -> 112.65s]  Мне без разницы, я на любую роль готов, согласен.
[113.65s -> 130.78s]  Меня зовут Лариса, мне 46 лет, если у вас получится произнести мою фамилию, я обязательно вам ее назову, и тогда вы сдадите экзамен по ораторскому искусству. Ну то есть моя фамилия Герген Редер.
[130.78s -> 132.78s]  Герген Редер? Ух ты!
[134.78s -> 137.78s]  Вау, вау, так, здравствуйте.
[137.78s -> 138.78s]  Приветствую.
[138.78s -> 141.78s]  Меня зовут Гера Терплый, я режиссер этого проекта.
[141.78s -> 142.78s]  Как зовут еще раз?
[142.78s -> 143.78s]  Змей.
[143.78s -> 144.78s]  Змей?
[144.78s -> 145.78s]  Змей.
[145.78s -> 146.78s]  В смысле из касты?
[147.78s -> 150.78s]  Я не знаю насчет каст, я просто змей.
[151.78s -> 154.78s]  Круто, напиши каст, обожаю.
[159.11s -> 161.11s]  Йоу, Чарли, мы тебя ждали.
[161.11s -> 162.11s]  Привет.
[162.11s -> 163.11s]  Здравствуйте.
[163.11s -> 164.11s]  Как зовут?
[165.11s -> 166.11s]  Как зовут?
[166.11s -> 167.11s]  Алексей.
[167.11s -> 168.11s]  Расскажи про себя Алексей.
[172.64s -> 173.64s]  День добрый.
[173.64s -> 174.64s]  Добрый день.
[174.64s -> 176.64s]  Здравствуйте, представьтесь.
[176.64s -> 177.64s]  Меня зовут Олег.
[177.64s -> 178.64s]  Вы рогать умеете?
[178.64s -> 179.64s]  Ай?
[179.64s -> 180.64s]  Рогать умеете?
[181.64s -> 182.64s]  Так.
[183.64s -> 186.64s]  Выдвигался в муниципальные депутаты, пишу стихи.
[190.02s -> 192.02s]  Че, какая музыка, Йоу?
[192.02s -> 193.02s]  Рэп.
[193.02s -> 194.02s]  Рэп? Давай.
[194.02s -> 195.02s]  Давай.
[196.02s -> 199.02s]  Я странная ледяная, почему-то эти звуки вон на биме слишком
[199.02s -> 202.02s]  залипают в играх тетри, слишком за все.
[202.02s -> 204.02s]  Ну, давай другое.
[205.02s -> 210.02s]  Навыки, чем берешь, чем рвешь, чем протыкаешь, пронзаешь
[210.02s -> 211.02s]  зрителя.
[211.02s -> 212.02s]  Что умеешь?
[212.02s -> 213.02s]  Что умеешь?
[213.02s -> 215.02s]  Ну, во-первых, главное, это, конечно, моя харизма на
[215.02s -> 216.02s]  работу на Эгадаре.
[216.02s -> 217.02s]  Так, это все чушь.
[217.02s -> 218.02s]  Умеешь что?
[218.02s -> 219.02s]  Поешь, танцуешь.
[219.02s -> 220.02s]  Что умеешь?
[221.02s -> 223.02s]  А что вам нужно?
[223.02s -> 224.02s]  Что?
[224.02s -> 225.02s]  А что вам хотелось бы?
[225.02s -> 226.02s]  Так, спой.
[227.02s -> 231.02s]  I don't belong among the angels, but maybe that's just fine with me.
[232.02s -> 233.02s]  Вот!
[233.02s -> 234.02s]  Да!
[234.02s -> 235.02s]  Да!
[235.02s -> 236.02s]  Вот!
[236.02s -> 237.02s]  Да-да-да!
[238.02s -> 239.02s]  Еще раз!
[239.02s -> 240.02s]  Еще раз!
[240.02s -> 243.02s]  Hey, sorry, but I just got in my way.
[243.02s -> 247.02s]  I promise that I can feel your pain, many angels.
[248.02s -> 249.02s]  Тужимся.
[249.02s -> 250.02s]  Тужимся.
[250.02s -> 251.02s]  Да!
[251.02s -> 255.02s]  Не дай бог родишь, как первых с четверых убью, сука!
[255.02s -> 257.02s]  Давай нормального мне!
[257.02s -> 258.02s]  Холестрато хочу!
[258.02s -> 259.02s]  Холестрато хочу!
[259.02s -> 260.02s]  Надоели твои все!
[260.02s -> 261.02s]  От кого загуляла?
[261.02s -> 264.02s]  Не дай бог будет, как не мой.
[264.02s -> 265.02s]  Идет, идет, идет.
[265.02s -> 266.02s]  Головка показалась.
[266.02s -> 267.02s]  Показалась.
[267.02s -> 269.46s]  И выдыхаем.
[269.46s -> 270.46s]  Господи.
[270.46s -> 272.46s]  Господи, он идеальный.
[272.46s -> 273.46s]  Это же чудо.
[273.46s -> 277.46s]  Как он похож на нас с тобой.
[277.46s -> 280.46s]  Я люблю тебя.
[280.46s -> 281.46s]  Конечно.
[281.46s -> 282.46s]  Да?
[282.46s -> 283.46s]  И то же самое я могу.
[283.46s -> 288.20s]  Удушил.
[288.20s -> 289.20s]  Удушил.
[289.20s -> 290.20s]  Хер зубами отрешил.
[290.20s -> 291.20s]  Оторви ему хер зубами.
[291.20s -> 292.20s]  Молодец!
[292.20s -> 293.20s]  Молодец!
[293.20s -> 294.20s]  Молодец!
[294.20s -> 295.20s]  Оторвал!
[295.20s -> 296.20s]  Встал!
[296.20s -> 297.20s]  Встал!
[297.20s -> 298.20s]  Выплинул!
[298.20s -> 299.20s]  Выплинул!
[299.20s -> 300.20s]  Пошел дальше.
[300.20s -> 301.20s]  Ну давайте.
[301.20s -> 308.20s]  Мы с вами друг с другом будем признаваться любви
[308.20s -> 309.20s]  через рык.
[309.20s -> 310.20s]  То есть вот я к вам примерно говорю.
[310.20s -> 319.76s]  А теперь скажите мне.
[319.76s -> 320.76s]  Сейчас вот чувствовал.
[320.76s -> 322.76s]  Только теперь сделайте мне больно.
[322.76s -> 323.76s]  Ненавижу тебя.
[323.76s -> 324.76s]  Рыгните мне.
[324.76s -> 327.76s]  Ненавижу тебя.
[327.76s -> 329.76s]  Это сомневаюсь.
[329.76s -> 330.76s]  Не больно мне.
[330.76s -> 336.16s]  Вот сделайте больно.
[336.16s -> 346.86s]  Добейте меня.
[346.86s -> 370.82s]  Я Кристина.
[370.82s -> 371.82s]  Стоп!
[371.82s -> 372.82s]  Так.
[372.82s -> 375.82s]  У тебя есть домашнее животное?
[375.82s -> 377.82s]  Тотальное животное твое есть?
