[2.16s -> 4.16s]  Ну, здесь можно потеряться.
[4.16s -> 6.16s]  Лучший мирецкий мой это здесь.
[6.16s -> 8.16s]  Как вы думаете, чей это трон?
[8.16s -> 10.16s]  С Новым годом, с Новым годом.
[25.52s -> 29.52s]  Сегодня мы собираемся вдохнуть новогодний дух в ваши сердечки.
[29.52s -> 31.52s]  Москву на Новый год чудесно украшают.
[31.52s -> 33.52s]  Есть на что посмотреть даже бесплатно.
[33.52s -> 35.52s]  Есть на что посмотреть даже бесплатно?
[35.52s -> 37.52s]  Да не все.
[37.52s -> 39.52s]  Ну а за деньги можно еще и в тепле находиться при этом.
[39.52s -> 41.52s]  Ух, сегодня хочется прям веселья.
[41.52s -> 45.52s]  Заодно посмотрим, куда можно сходить на праздники с детьми.
[45.52s -> 47.52s]  Так что утепляйтесь.
[47.52s -> 51.52s]  Меня зовут Таше, и для начала мы бесплатно прогуляемся по ярмаркам.
[51.52s -> 53.52s]  Новогодние ярмарки работают по всей Москве.
[53.52s -> 57.52s]  Жители и гости столицы смогут их посмотреть и отдохнуть всей семьей.
[57.52s -> 60.52s]  На ВДНХ ярмарка направлена в сторону еды.
[60.52s -> 63.52s]  Туристы смогут пройти там кулинарный маршрут.
[63.52s -> 65.52s]  Чего там только нет.
[65.52s -> 68.52s]  Мясные деликатесы, армянская кухня, вафли из Гонконга.
[68.52s -> 72.52s]  Проходит она по всему ВДНХ и продлится до 10 января.
[72.52s -> 74.52s]  Парк Сокольники.
[74.52s -> 76.52s]  Увы, если вы не на машине,
[76.52s -> 79.52s]  впечатление изрядно подпортит стройка у метро по дороге в парк.
[79.52s -> 81.52s]  Но если вам нужны прям русские сувениры,
[81.52s -> 84.52s]  валенки, меховые шапки, ушанки, шубейки,
[84.52s -> 87.52s]  редкие уникальные драгоценности, то вам сюда.
[87.52s -> 90.52s]  Ну и, конечно же, Тверская улица и весь центр.
[90.52s -> 93.52s]  Тут до 9 января проходит ежегодный ярмарочный фестиваль
[93.52s -> 95.52s]  путешествия в Рождество.
[95.52s -> 99.52s]  В проекте участвовало более 100 команд художников и мастеров.
[99.52s -> 103.52s]  Именно тут можно купить самый красивый, оригинальный подарок.
[103.52s -> 107.52s]  Есть еще круглогодичная ярмарка в Кремле, в Измайлово.
[107.52s -> 109.52s]  Но о ней в другой раз.
[109.52s -> 113.52s]  Сегодня мы пойдем на ту ярмарку, которая не в Кремле, а возле.
[113.52s -> 116.52s]  Мы находимся на главной площади страны,
[116.52s -> 119.52s]  чтобы посетить главную ярмарку страны.
[119.52s -> 123.52s]  Мне кажется, фотографии с этой ярмаркой есть у каждого в Инстаграме.
[124.52s -> 128.52s]  В Москве Красная площадь является самым популярным местом для фотосессий.
[132.52s -> 134.52s]  Что здесь можно делать без денег? Давайте посмотрим.
[134.52s -> 136.52s]  Просто гулять, радоваться, делать салфаки.
[136.52s -> 138.52s]  Сходу продаются елочки.
[138.52s -> 140.52s]  Можно посмотреть на новогодние игрушки, вдохновиться.
[140.52s -> 142.52s]  У вас есть новогоднее настроение?
[142.52s -> 144.52s]  Конечно, мне здесь нравится все.
[144.52s -> 145.52s]  Это первый раз?
[145.52s -> 147.52s]  Нет, что вы, много раз.
[147.52s -> 149.52s]  Здесь можно прям проводить выходные?
[149.52s -> 151.52s]  Да, здесь можно гулять бесконечно.
[151.52s -> 153.52s]  Пока я сюда ехал, особо не было.
[153.52s -> 155.52s]  Но как я приехал, сразу присутствовал.
[155.52s -> 157.52s]  А вы здесь первый раз?
[157.52s -> 159.52s]  Нет, я в 18-м году еще был.
[159.52s -> 163.52s]  Тот самый момент, когда вы можете насладиться героями Marvel.
[163.52s -> 166.52s]  Видите, сзади катаются человеки-невидимки.
[166.52s -> 170.52s]  Один ребенок среди них тоже, видимо, какой-то супергерой.
[170.52s -> 172.52s]  Мне больше всего понравилась карусель.
[172.52s -> 176.52s]  Даже если ты проснулся не в духе, попадая на эту ярмарку,
[176.52s -> 179.52s]  ты зарядишься рождественским новогодним настроением.
[179.52s -> 181.52s]  Здравствуйте, вы Снегурочка?
[185.02s -> 187.02s]  За моей спиной вы можете увидеть трон.
[187.02s -> 189.02s]  Как вы думаете, чей это трон?
[189.02s -> 191.02s]  Давайте попробуем угадать.
[191.02s -> 193.02s]  Говорят, что несколько раз в день
[193.02s -> 195.02s]  здесь появляется Дед Мороз и Снегурочка.
[195.02s -> 198.02s]  А сейчас с утра здесь можно посмотреть хоккей.
[198.02s -> 200.02s]  Это очень популярное место.
[200.02s -> 202.02s]  И даже в будню с утра здесь много народу.
[202.02s -> 203.02s]  Готовьтесь.
[203.02s -> 209.32s]  Сувениры, елки, подарки, елочные игрушки
[209.32s -> 211.32s]  и фигурки с новогодними символами.
[211.32s -> 214.32s]  Все это вы увидите на прилавках этой ярмарки.
[214.32s -> 216.32s]  Можно бесплатно провести выходной?
[216.32s -> 218.32s]  Вы знаете, думаю, что нет.
[218.32s -> 220.32s]  Такие запахи кругом летают.
