[0.00s -> 2.00s]  Три, четыре!
[2.00s -> 6.21s]  Удуманелись, удуманелись!
[6.21s -> 8.21s]  Короче, братишечки, всем привет!
[8.21s -> 10.21s]  Сегодня отправляемся на очередную рыбалку!
[10.21s -> 12.21s]  Вчера была прохладная погода,
[12.21s -> 14.21s]  мы посмотрели по прогнозу там,
[14.21s -> 16.21s]  обещали, что будет дождик,
[16.21s -> 18.21s]  но посмотрите, какая сегодня красота!
[18.21s -> 20.21s]  Солнце тепло, мне даже придется несколько
[20.21s -> 22.21s]  из себя вещичек снять, потому что я слишком
[22.21s -> 24.21s]  тепло оделся, ну посмотрим, лодки может быть
[24.21s -> 26.21s]  холодными. Так, про лодки.
[26.21s -> 28.21s]  Мы сегодня на двух лодочках
[28.21s -> 30.21s]  отправляемся, пацаны на одной, мы с оператором
[30.21s -> 32.21s]  с Пашкой на другой, ловить
[32.21s -> 34.21s]  хищника.
[34.21s -> 36.21s]  Это значит крупные окуни, это значит
[36.21s -> 38.21s]  щука. Крупная.
[38.21s -> 40.21s]  И судак. И судак. Посмотрим,
[40.21s -> 42.21s]  что из этого получится, если не будет ничего клевать,
[42.21s -> 44.21s]  у нас с собой будут микроджиги мелко,
[44.21s -> 46.21s]  а мужка подолгет на крайняк, тем более мы уже
[46.21s -> 48.21s]  специалисты в этом деле. Рыбаловый спортсмен
[48.21s -> 50.21s]  может так сказать уже.
[50.21s -> 52.21s]  Смотри нас обязательно, заваривай
[52.21s -> 54.21s]  чаечек себе, какую-нибудь булочку
[54.21s -> 56.21s]  можешь вкусную поесть, бутия в рот
[56.21s -> 58.21s]  себе сделать, ты с кайфом смотри нас.
[58.21s -> 60.21s]  И сразу говорю, сегодня будет
[60.21s -> 62.21s]  необычная рубрика Единственного сала вместе
[62.21s -> 64.21s]  с Денисом Сандуковым, она немножечко
[64.21s -> 66.21s]  будет поинтереснее модернизирования.
[66.21s -> 68.21s]  Я сейчас спойлер, спойлер,
[68.21s -> 70.21s]  один небольшой, сегодня щуку поймаю на
[70.21s -> 72.21s]  2 килограмма. Потом вырезать вот эту
[72.21s -> 74.21s]  Вадимовскую, правда, придется.
[74.21s -> 76.21s]  Все, мы погнали в тачку
[76.21s -> 78.21s]  по коням и на речку.
[94.08s -> 137.46s]  Обычный клинч вижу
[137.46s -> 139.46s]  вот. Подписчики каким
[139.46s -> 141.46s]  образом пользуетесь, когда привязываете
[141.46s -> 143.46s]  поводок?
[143.46s -> 145.46s]  Есть у вас какие-нибудь
[145.46s -> 147.46s]  узлы кроме клинчей?
[169.46s -> 171.46s]  Так, ну что,
[171.46s -> 173.46s]  спустили мы лодки на воду,
[173.46s -> 175.46s]  уже
[175.46s -> 177.46s]  отплыли несколько метров, наверное,
[177.46s -> 179.46s]  200-300 от
[179.46s -> 181.46s]  лагеря нашего, куда мы вернемся, там
