[0.00s -> 1.34s]  Что ты не Hyung?
[1.34s -> 2.20s]  Я и это мы!
[2.20s -> 2.68s]  Перебивает?
[2.68s -> 3.78s]  Не перебил, дополнил.
[3.84s -> 5.26s]  А я взял Ноктюрzn и пошел нато.
[5.26s -> 6.28s]  А сюда!
[6.28s -> 7.70s]  Немешники мои!
[7.70s -> 9.10s]  Ой! Ты зачем?
[9.76s -> 10.84s]  Ты меня уже сбил!
[10.84s -> 11.58s]  Сурой про ಠㅇ cereal!
[11.58s -> 12.42s]  Рассказываю!
[12.42s -> 13.44s]  Да ты боё!
[13.44s -> 14.62s]  Сисами трясём!
[14.62s -> 15.16s]  Нормально?
[21.06s -> 22.66s]  Всем привет, я Маш而 Марпл,
[22.66s -> 24.44s]  это ПВП, show 1 банк,
[24.44s -> 25.06s]  два игрока
[25.06s -> 26.08s]  и видеоигры.
[26.54s -> 28.12s]  У вас нет двоится в глазах.
[28.14s -> 30.62s]  У нас в гостях братья Олег и Костя!
[30.76s -> 31.46s]  Привет, привет!
[32.18s -> 32.90s] оны уже говорите?
[33.98s -> 34.62s]  да!
[34.70s -> 36.70s]  Это оставляем прямо так.
[36.70s -> 38.70s]  Всем здорова. Привет.
[38.70s -> 58.63s]  Парни, первый вопрос, который наверняка у наших зрителей возникнет сразу.
[58.63s -> 61.63s]  Я уверена, что на всей съемочной площадке у наших, у всех ребят он...
[61.63s -> 62.63s]  Нам двоим вопрос, да?
[62.63s -> 63.63s]  Вам двоим, да.
[63.63s -> 64.63s]  А кто отвечать будет?
[64.63s -> 65.63s]  Мы двое, оба.
[65.63s -> 66.63s]  Как пока?
[66.63s -> 69.63s]  А фильм «Няньки» какое-то отношение имеет к вашему детству?
[69.63s -> 71.63s]  Лет в 6-8, вы его смотрели?
[71.63s -> 72.63s]  Да, мы его смотрели.
[72.63s -> 73.63s]  Конечно, мы смотрели фильм «Няньки».
[73.63s -> 76.63s]  Но, так скажу, я не думаю, что мы как-то их копируем.
[76.63s -> 77.63s]  У нас просто нравится...
[77.63s -> 78.63s]  Он... Что?
[78.63s -> 80.63s]  Что ты несешь?
[80.63s -> 81.63s]  Короче, рассказываю.
[81.63s -> 82.63s]  Я даже не знаю...
[82.63s -> 83.63s]  Нет, мы смотрели в детстве фильм «Няньки».
[83.63s -> 84.63s]  Да, я это помню.
[84.63s -> 85.63s]  Но это никак не то, что наш образ.
[85.63s -> 88.63s]  Но то, что у нас длинные волосы и то, что мы начали ходить в зал,
[88.63s -> 89.63s]  это не то, что мы их копируем.
[89.63s -> 90.63s]  Просто совпадение.
