[0.00s -> 3.24s]  Это ощущение невероёмного полёта!
[4.24s -> 5.24s]  Ух ты!
[5.80s -> 7.32s]  Очень круто на самом деле!
[7.32s -> 8.52s]  Что за викторина такая?
[9.96s -> 11.84s]  Это дело такое, непредсказуемое.
[11.84s -> 14.00s]  Извини, Чуба!
[14.00s -> 15.12s]  Не надо бы раззвонить.
[15.12s -> 17.28s]  Прости, Саня. Только сильно не ржите, ладно?
[17.28s -> 19.28s]  Ты реально очень крутая, я правда говорю.
[21.56s -> 23.60s]  Всем добрый день, утро, ночь, вечер!
[23.60s -> 25.96s]  Ну или что там у вас, когда вы решили заняться спортом?
[25.96s -> 28.72s]  Ну или посмотреть наше шоу на своих устройствах?
[28.76s -> 32.64s]  Меня зовут Роман Юнусов, и это шоу «Спортивный интерес».
[37.48s -> 40.32s]  Шоу, где я проверяю на себе различные виды спорта.
[40.32s -> 45.88s]  И сегодня я хочу попробовать свои силы в спортивной гимнастике!
[54.80s -> 56.08s]  Спортивная гимнастика!
[56.08s -> 58.96s]  Такого разнообразия снаряда, кажется, нет ни в одном виде спорта.
[58.96s -> 61.36s]  Вот вам конь! Не каждому дано его приручить.
[61.36s -> 62.32s]  А вот и кольца.
[62.32s -> 64.64s]  Чтобы покорить с ними, они-то нужно постараться.
[64.64s -> 68.00s]  Перекладина для крутушей, которые знают о включении.
[68.00s -> 69.84s]  А как вам параллельные грузки, а?
[69.84s -> 73.04s]  Нет ощущения, что нижний брейк-данс был взят из спортивной гимнастики.
[73.04s -> 74.32s]  Ну и вольное упражнение.
[74.32s -> 76.32s]  Тут уж свобода творчества.
[76.32s -> 79.32s]  В России первые состязания по спортивной гимнастике
[79.32s -> 82.32s]  прошли в 1885 году в Москве.
[82.32s -> 85.52s]  И с того момента история страны и прекрасные виды спорта
[85.52s -> 87.52s]  неразрывно связаны.
[88.48s -> 92.48s]  Вот, честно говоря, друзья, вот сегодня я как раз
[92.48s -> 95.44s]  вообще не уверен, что у меня что-то получится.
[95.44s -> 96.96s]  Но я хотя бы попробую.
[96.96s -> 98.32s]  Потому что, что такие, друзья?
[98.32s -> 100.56s]  Правильно желание!
[100.56s -> 102.56s]  А не ваш уровень подготовки.
[102.56s -> 105.12s]  Где заняться спортом никогда не поздно.
[105.12s -> 106.64s]  Фух, блин.
[106.64s -> 109.20s]  Как всегда, познавать азы спортивной гимнастики я буду не один.
[109.20s -> 110.96s]  Сегодня составит мне конкуренцию человек,
[110.96s -> 113.12s]  который для спортивной гимнастики, как мне кажется,
[113.12s -> 114.32s]  подходит, конечно же, больше.
[114.32s -> 115.84s]  Хотя кто его знает, посмотрим.
[115.92s -> 118.40s]  Спортивная гимнастика, дело такое, непредсказуемое.
[118.40s -> 120.40s]  Встречайте бурные аплодисменты, друзья.
[120.40s -> 123.92s]  Актер театра и кино, клипов и сериалов.
[123.92s -> 129.12s]  Гералаша из самой крутой и веселой и энергичной.
[129.12s -> 131.12s]  Александр Головин!
[131.12s -> 141.86s]  И Сальто.
[141.86s -> 146.16s]  Как тебя больше всего на улице узнает?
[146.16s -> 150.40s]  Ну, узнает частенько всего Пакадесто, Солачей и Гералаша.
[150.40s -> 153.60s]  Ну, и просто как позитивного лучезарного парня.
[154.56s -> 156.56s]  Слушай, занимался каким-нибудь, видимо, спортом?
[156.56s -> 157.60s]  Большим теннисом.
[157.60s -> 158.32s]  Серьезно?
[158.32s -> 160.96s]  Большой теннис и даже имел юношкий разряд.
[160.96s -> 164.00s]  Было дело, я участвовал в боях.
[164.00s -> 164.64s]  Пришлось.
[164.64s -> 165.28s]  По ПММА?
[165.28s -> 166.00s]  По ПММА.
[166.00s -> 166.96s]  Ты дрался с Киртой, что ли?
[166.96s -> 167.60s]  Да, пришлось.
[167.60s -> 168.32s]  С кем ты дрался?
[168.32s -> 169.60s]  С Кириллом Немеляновым.
[169.60s -> 170.48s]  Что?
[170.48s -> 172.48s]  Это Гнида с Каденства смотрел.
[174.48s -> 176.96s]  Сегодня, кстати, мы будем тренироваться в спортивной гимнастике.
[176.96s -> 177.92s]  И тренировать нас будет.
[177.92s -> 178.72s]  Кто, кто, кто?
[178.72s -> 179.68s]  Звездный тренер.
[179.76s -> 181.76s]  Олимпийский чемпион в спортивной гимнастике.
[181.76s -> 185.76s]  Наш прославленный гимнаст.
[185.76s -> 187.76s]  Трехкратный чемпион мира.
[187.76s -> 189.76s]  Восьмикратный чемпион Европы.
[189.76s -> 191.76s]  Заслуженный мастер спорта.
[191.76s -> 193.76s]  В спортивной гимнастике встречайте Никита Нагорный.
[195.76s -> 212.78s]  Мне кажется, ты самый медийный спортсмен сейчас у нас в стране.
[212.78s -> 213.74s]  Почему, как ты думаешь?
[213.74s -> 215.74s]  Не знаю, мне всегда просто было немножечко обидно за то,
[215.74s -> 219.74s]  что наш вид спорта не настолько популярен, как в других странах.
[219.74s -> 221.74s]  Но ты популярируешь не только спортивную гимнастику?
[221.78s -> 222.78s]  Нет.
[222.78s -> 224.78s]  В том числе весь спорт, конечно,
[224.78s -> 228.78s]  но спортивная гимнастика навсегда в моем сердце.
[228.78s -> 230.78s]  Кстати, друзья, посмотрите, посмотрите.
[230.78s -> 232.78s]  Офигенный канал у Никиты.
[232.78s -> 234.78s]  Он снимает очень прикольное видео.
[234.78s -> 236.78s]  Так что переходите, подписывайтесь обязательно и смотрите.
[236.78s -> 238.78s]  Тебе сегодня предстоит обучить
[238.78s -> 240.78s]  двух из замечательных парней в спортивной гимнастике.
[240.78s -> 242.78s]  Показать какие-то элементы.
[242.78s -> 244.78s]  Мы попытаемся их повторить.
[244.78s -> 246.78s]  У кого получится лучше всего,
[246.78s -> 248.78s]  тот получит звание заслуженного спортивного гимнаста
[248.78s -> 250.78s]  нашей программы «Спортивный интерес».
[250.82s -> 252.82s]  Кто будет выполнять наказание?
[252.82s -> 253.82s]  Какое?
[253.82s -> 255.82s]  Естественно, об этом чуть-чуть попозже, друзья.
[255.82s -> 257.82s]  Это шоу «Спортивный интерес»,
[257.82s -> 259.82s]  спортивная гимнастика.
[259.82s -> 261.82s]  И мы начинаем.
[261.82s -> 263.82s]  А прежде чем мы начнем тренироваться,
[263.82s -> 267.82s]  наша постоянная рубрика «Викторина на кольцах».
[267.82s -> 269.82s]  Готов?
[269.82s -> 271.82s]  Пойдем за мной.
[271.82s -> 273.82s]  Давай, я туда.
[273.82s -> 275.82s]  Каждый из нас будет отвечать
[275.82s -> 277.82s]  на вопросы нашего редактора.
[277.82s -> 279.82s]  Ответил неправильно.
[279.86s -> 281.86s]  Продолжаешь сидеть на кольцах.
[281.86s -> 283.86s]  Правильно? Есть минутка передохнуть.
[283.86s -> 285.86s]  Ну как минутка? Секунда. Поехали.
[285.86s -> 289.86s]  Есть запрещенный элемент в спортивной гимнастике,
[289.86s -> 291.86s]  носящий название «Петля-корбут».
[291.86s -> 293.86s]  А как звали гимнастку с фамилией «Корбут»?
[293.86s -> 295.86s]  Я знаю! Корбут!
[295.86s -> 297.86s]  Ольга Корбут!
[299.86s -> 301.86s]  Петля-корбут.
[301.86s -> 303.86s]  Кстати, запрещенный элемент
[303.86s -> 305.86s]  очень страшный и травмоопасный.
[305.86s -> 307.86s]  Его никто никогда не делает.
[307.90s -> 309.90s]  Погнали дальше.
[309.90s -> 311.90s]  Сколько олимпийских медалей
[311.90s -> 313.90s]  в спортивной гимнастике
[313.90s -> 315.90s]  за всю историю соревнований
[315.90s -> 317.90s]  завоевала сборная Бразилии?
[317.90s -> 319.90s]  4, 5, 6, 10, 12, 13.
[319.90s -> 321.90s]  5.
[321.90s -> 323.90s]  4.
[327.90s -> 329.90s]  Ребята, что это?
[329.90s -> 331.90s]  Что за викторина такая?
[331.90s -> 333.90s]  Следующий вопрос.
[333.90s -> 335.90s]  В каком году образовалась
[335.94s -> 337.94s]  спортивная федерация гимнастики?
[337.94s -> 339.94s]  1860-й
[339.94s -> 341.94s]  1881-й
[341.94s -> 343.94s]  1889-й
[343.94s -> 345.94s]  1890-й
[345.94s -> 347.94s]  1897-й
[347.94s -> 349.94s]  1891-й
[349.94s -> 351.94s]  1897-й
[351.94s -> 353.94s]  1897-й
[353.94s -> 355.94s]  1897-й
[355.94s -> 357.94s]  Слушайте, это нереально тяжело,
[357.94s -> 359.94s]  просто висеть на кольце.
[359.94s -> 361.94s]  Как они так крест делают, а?
[361.94s -> 363.94s]  Поехали.
[363.98s -> 365.98s]  В спортивной гимнастике назван
[365.98s -> 367.98s]  в честь Никиты Наговного.
[367.98s -> 369.98s]  Переворот вперед на снаряд.
[369.98s -> 371.98s]  Двойной сойдет вперед в группировке.
[371.98s -> 373.98s]  Прыжок вверх с перемахом ноги
[373.98s -> 375.98s]  в росте в упор лежа.
[375.98s -> 377.98s]  Перелет прогнувшись без поворота
[377.98s -> 379.98s]  и с поворотом на 360 градусов
[379.98s -> 381.98s]  извисает переворот назад силой в крест.
[381.98s -> 383.98s]  Второй сайт назад.
[383.98s -> 385.98s]  Последний ряд.
[385.98s -> 387.98s]  Второй сайт назад согнувшись.
[387.98s -> 391.94s]  Правильно?
[391.94s -> 393.94s]  Теперь
[393.98s -> 395.98s]  Твоя очередь, Головин.
[395.98s -> 400.38s]  Ничего себе.
[400.38s -> 402.38s]  Ну попытка, не пытка.
[402.38s -> 404.38s]  Хоп, хоп, хоп.
[404.38s -> 406.38s]  Передырян ты им.
[406.38s -> 408.38s]  Погнали.
[408.38s -> 410.38s]  Так, вешу, да?
[410.38s -> 412.38s]  Уголочек.
[412.38s -> 414.38s]  Нифига себе, ты так можешь!
[414.38s -> 416.38s]  Давайте вопрос.
[416.38s -> 418.38s]  Есть запрещенный элемент
[418.38s -> 420.38s]  в спортивной гимнастике,
[420.38s -> 422.38s]  носящий название петли Карбут.
[422.38s -> 424.38s]  А как звали гимнастку с фамилией Карбут?
[424.42s -> 426.42s]  Татьяна?
[426.42s -> 428.42s]  Светлана?
[428.42s -> 430.42s]  Екатерина? Анастасия?
[430.42s -> 432.42s]  Ольга?
[432.42s -> 434.42s]  Да!
[434.42s -> 436.42s]  Можешь передохнуть.
[436.42s -> 438.42s]  Да куда мне с ним соревноваться?
[438.42s -> 440.42s]  Можешь передохнуть.
[440.42s -> 442.42s]  Ты правильно ответил. Передохни.
[442.42s -> 444.42s]  О, красавчик.
[444.42s -> 446.42s]  Нифига себе.
[446.42s -> 448.42s]  Ты так можешь на кольцах?
[448.42s -> 450.42s]  Нет, это только сейчас.
[450.42s -> 452.42s]  Ты занимался?
[452.46s -> 454.46s]  А где Головин так научился?
[454.46s -> 456.46s]  В кадетах?
