[4.46s -> 9.10s]  ПЕС РЫЧИТ
[9.10s -> 11.98s]  Здравствуйте. Это шоу диктант со звездой.
[11.98s -> 16.38s]  Шоу, в котором я, Катьяна Монахова, буду проверять медийных личностей
[16.38s -> 20.62s]  на знание русского языка и на стойкость к шуткам в их сторону.
[20.62s -> 23.42s]  Сегодня у меня в классе легенда Дома-2.
[23.42s -> 26.54s]  Человек, танцы которого знают каждая собака,
[26.54s -> 29.86s]  потому что только собакам интересны его танцы.
[29.86s -> 32.78s]  Николай Должанский. Здравствуйте, Николай.
[32.82s -> 35.46s]  Привет, сестричка. Давай на ты будем.
[35.46s -> 38.02s]  Мы, думаю, почти ровесники,
[38.02s -> 42.78s]  поэтому как бы без формальности обойдемся, я думаю.
[42.78s -> 46.14s]  Николай, мы с вами действительно возможно одного возраста,
[46.14s -> 49.10s]  но я учитель, а вы в данном случае ученик.
[49.10s -> 52.18s]  Поэтому попрошу вас. Меня зовут Татьяна Викторовна.
[52.18s -> 55.14s]  Тай, ну не будем же мы чинами меряться.
[55.14s -> 57.54s]  Я без пяти минут был кандидат наук,
[57.58s -> 62.62s]  но я бы, может, уже профессор в 97-м году не дописал на философском в аспирантуре.
[62.62s -> 65.94s]  А так бы сейчас я бы, может, уже профессором был.
[65.94s -> 67.94s]  Думаю, лучше на ты.
[67.94s -> 70.02s]  Я все-таки вас попрошу на вы.
[70.02s -> 74.06s]  Но мы сегодня собрались не для этого, бог с ней субординации.
[74.06s -> 77.18s]  А мы с вами сегодня погрузимся немного в прошлое,
[77.18s -> 79.18s]  когда мы писали диктанты.
[79.18s -> 81.82s]  Скажите, как вы учились в школе? Вы помните?
[81.82s -> 85.02s]  Тань, я так сильно сейчас в прошлое погружаюсь.
[85.02s -> 88.50s]  Я себя ощущаю, как в фильме «Весна на Залечной улице».
[88.50s -> 90.50s]  Там учелку тоже Таня звали.
[90.50s -> 94.74s]  А ученика Николая Рыбников, народный артист СССР, играл.
[94.74s -> 98.06s]  Он на Мариной Рощи жил со мной на соседней улице.
[98.06s -> 101.66s]  Поэтому я, как человек, который на таких сюжетах вырос,
[101.66s -> 104.62s]  «Весна на Залечной улице», «Большая перемена»,
[104.62s -> 107.46s]  я себя комфортно очень в прошлом ощущаю.
[107.46s -> 111.62s]  Ты даже не представляешь, до какой степени я себя ощущаю в прошлом.
[111.66s -> 115.66s]  Если ты мой диктант прочитаешь, ты поймешь, насколько я динозавр.
[115.66s -> 117.98s]  Просто интересует вот такой вопрос.
[117.98s -> 123.10s]  Николай, если вы пишете рэп, насколько он грамотно написан?
[123.10s -> 125.46s]  Может быть, прочитаете пару строк?
[125.46s -> 128.82s]  Варкин рот давно в законе самой сладкой на районе.
[128.82s -> 132.30s]  Налился, как лишнеспелая сексуальная девонька зрелая.
[132.30s -> 134.06s]  Варкин рот, варкин рот.
[134.06s -> 137.38s]  Пробошли бабло вперед, знают парни ротик варвары.
[137.38s -> 139.38s]  Резы влечат мужские кошмары.
[140.34s -> 143.10s]  В хитов моей концертной клубной программы.
[143.10s -> 145.86s]  Там все без ошибок написано. Уж поверьте.
[145.86s -> 149.22s]  Итак, мы будем писать классический русский диктант.
[149.22s -> 153.22s]  Каждое предложение я буду вам повторять максимум два раза.
[153.22s -> 157.38s]  По окончании диктанта ваша работа пойдет ко мне на проверку.
[157.38s -> 159.06s]  И я выставлю оценку.
[159.06s -> 163.62s]  Если вы допустили одну ошибку, но незначительную, это пять.
[163.62s -> 167.30s]  Если два и больше, это четыре.
[167.62s -> 170.66s]  Если больше четырех, это три.
[170.66s -> 176.34s]  Ну, и в самом конце, после пяти ошибок, идет двойка.
[176.34s -> 182.10s]  И это будет закономерно и логично для участника дома два.
[183.86s -> 186.02s]  Ну что же, перейдем к диктанту.
[186.02s -> 189.06s]  Я попрошу вас подписать вашу рабочую тетрадь.
[189.06s -> 190.50s]  Как подписывать?
[190.50s -> 193.06s]  В данном случае вы ученик.
[193.06s -> 196.38s]  Ништяк. Я сейчас сам догадаюсь, как подписывать.
[200.38s -> 201.58s]  Подписал.
[201.58s -> 203.74s]  Прекрасно. Тогда открывайте.
[203.74s -> 208.26s]  И мы начинаем работу со слова диктанта.
[210.26s -> 215.46s]  Жил-был старик со старухою, и был у них свой проект,
[215.46s -> 220.50s]  где люди под видом стройки сношались и ругались.
[222.50s -> 224.70s]  И попросил как-то старик,
[225.34s -> 231.34s]  Из пеки старуха нам нового участника, а то и рейтинги падают.
[231.34s -> 233.34s]  С новой строки прямая речь.
[235.34s -> 240.34s]  Из чего печь-то? Муки нету, отвечает ему старуха.
[240.34s -> 244.34s]  Эх, старуха, а что у нас есть?
[244.34s -> 252.34s]  Много диковатости, диплом МГУ и немного волос.
[252.34s -> 253.34s]  Обзац.
[255.34s -> 259.34s]  А там мне написано, где немного волос осталось.
[259.34s -> 265.34s]  Это сказка, и пока уточнения нет, но, возможно, все будет дальше.
[265.34s -> 268.34s]  Я в предвкушении таких подробностей,
[268.34s -> 272.34s]  потому что начинаю догадываться, что это про меня сказка.
[272.34s -> 276.34s]  Давайте вместе поинтересуемся и напишем дальше.
[276.34s -> 279.34s]  Нет и диплома МГУ, и немного волос.
[279.98s -> 284.98s]  Я просто смутила, откуда информация про мои волосы.
[284.98s -> 287.98s]  Такая подробная. В сказке.
[287.98s -> 291.98s]  Творчество. Знаете, сказка ложь, не налег.
[291.98s -> 293.98s]  Народное творчество.
[293.98s -> 297.98s]  Я много сказок в школе знал, стихотворных особенно.
[297.98s -> 300.98s]  У лука моря дуб спилили, кота на мясо зарубили,
[300.98s -> 304.98s]  золотую цепь украли воры, что-то там на неведомых дорожках,
