[4.08s -> 6.08s]  Чего желаете, братан?
[6.08s -> 8.08s]  Вот что бы было!
[12.08s -> 14.08s]  О, наши! Мы такие, да, ваши!
[14.08s -> 16.08s]  И открывается порносайд. Самый страшный!
[16.08s -> 18.08s]  А так я не знаю, чем бы это все закончилось.
[24.08s -> 26.08s]  Двести!
[26.08s -> 28.08s]  Трам!
[28.08s -> 30.08s]  Димочка, давай блатняк уже.
[35.08s -> 37.08s]  Ну, весь концерт вот это, я уж думаю, миленький.
[37.08s -> 39.08s]  Где бы ты там, чем бы, боже, зацепился, боже.
[40.08s -> 42.08s]  И еще один классный случай.
[48.08s -> 50.08s]  Не кричи на меня!
[50.08s -> 76.82s]  Дамы и господа, ladies and gentlemen,
[76.82s -> 80.82s]  сегодня шоу Музлофт-концерт!
[80.82s -> 83.82s]  Город 312!
[99.09s -> 101.09s]  Мир майд не качается,
[101.09s -> 105.09s]  а свет переключается на звук.
[107.09s -> 110.09s]  На расстоянии выстрела
[110.09s -> 113.09s]  рассчитывать бессмысленно,
[113.09s -> 117.09s]  что истина не выскользнет из рук.
[119.09s -> 123.09s]  И не порвется бесконечный круг.
[124.09s -> 127.09s]  Ни зоны доступа мы не обознаны,
[127.09s -> 130.09s]  ни зоны доступа мы дышим воздухом.
[130.09s -> 133.09s]  Ни зоны доступа
[133.09s -> 135.09s]  мы не осознаны,
[135.09s -> 138.09s]  ни зоны доступа мы не обознаны.
[138.09s -> 140.09s]  Хитяра, да?
[140.09s -> 144.09s]  Ни зоны доступа мы...
[144.09s -> 146.09s]  Когда опять слала?
[146.09s -> 148.09s]  Ни зоны доступа
[148.09s -> 151.09s]  совсем не обязательно
[151.09s -> 154.09s]  ждать помощи спасателей.
[154.09s -> 157.09s]  Два шага по касательной
[157.09s -> 159.09s]  найдет.
[160.09s -> 163.09s]  Две жизни до сближения
[163.09s -> 166.09s]  и до изнеможения
[166.09s -> 170.09s]  скрыв местоположение от всех.
[171.09s -> 175.09s]  Незримый запал на своих помехах.
[175.09s -> 176.09s]  Вместе!
[176.09s -> 177.09s]  Можно вместе!
[177.09s -> 180.09s]  Ни зоны доступа мы не обознаны,
[180.09s -> 183.09s]  ни зоны доступа мы дышим воздухом.
[183.09s -> 185.09s]  Ни зоны доступа
[185.09s -> 187.09s]  он не осознан,
[187.09s -> 190.09s]  ни зоны доступа мы...
[192.09s -> 196.09s]  Ни зоны доступа мы...
[198.09s -> 200.09s]  Ни зоны доступа...
[203.09s -> 205.09s]  Я его обожаю!
[205.09s -> 207.09s]  Будь смешным условием!
[207.09s -> 208.09s]  Бенд!
[208.09s -> 223.50s]  Иван Коротёв!
[332.31s -> 336.31s]  Ни зоны доступа мы не обознаны,
[336.31s -> 339.31s]  ни зоны доступа мы дышим воздухом.
[339.31s -> 341.31s]  Ни зоны доступа
[341.31s -> 343.31s]  он не осознан,
[343.31s -> 346.31s]  ни зоны доступа мы...
[349.31s -> 352.31s]  Ни зоны доступа мы,
