[8.11s -> 10.83s]  ИНТРИГУЮЩАЯ МУЗЫКА
[10.83s -> 12.87s]  Ты вчера чего на советском чуде?
[12.87s -> 15.43s]  Вы вообще что здесь страх себе потеряли?
[15.43s -> 16.43s]  Что сказал?
[19.59s -> 22.63s]  У тебя сутки, чтобы освободить свою квартиру.
[22.63s -> 25.27s]  Есть одно свободное место в деревне.
[28.17s -> 29.49s]  Ты кто такой?
[29.49s -> 31.25s]  Добро пожаловать в чудо.
[31.25s -> 36.29s]  Нам прислали участкового, и он может сунуть в нос не в свои дела.
[36.29s -> 37.81s]  Ну вот он, твой шанс.
[37.85s -> 40.69s]  У нас снова появился икс-гипетсианист.
[40.69s -> 42.65s]  Меня, кстати, Маршин зовут.
[42.65s -> 43.65s]  Катя!
[43.65s -> 44.65s]  Что я сделал?
[44.65s -> 66.64s]  Второй задержался. Это мой парень.
[66.64s -> 67.64s]  Добрый день.
[68.80s -> 70.48s]  И приятного аппетита.
[70.48s -> 75.14s]  Что это такое? Под скум брюм не принес?
[75.14s -> 77.18s]  Нет. Заявление на вас.
[77.18s -> 80.74s]  За незаконное задержание и применение насилия.
[80.74s -> 82.46s]  Я уже просто разорвусь.
[82.46s -> 83.62s]  А я еще напишу.
[83.62s -> 88.30s]  А не захотите принять, в область отправлю, и там баны займутся.
[88.46s -> 90.14s]  А что сразу в области?
[90.14s -> 92.22s]  Товарищ участковый, простите.
[92.22s -> 94.26s]  Товарищ участковый, беда.
[94.26s -> 96.30s]  Мой муж неожиданно пришел.
[96.30s -> 100.34s]  Женщины, мне вот эти ваши личные отношения вообще не нужны.
[100.34s -> 101.82s]  Да я вообще не об этом.
[101.82s -> 105.02s]  Мой муж помер два года назад. Дух его приходил.
[105.02s -> 108.06s]  На кухне все полки вот так вот разворошил.
[108.06s -> 110.22s]  Мне надо было на гробе экономии.
[110.22s -> 111.22s]  Успокойтесь.
[111.90s -> 112.90s]  Я вам помогу.
[114.58s -> 118.22s]  Я даже на битве экстрасенсов отборочный тур проходил.
[119.14s -> 123.06s]  Сигнальчик из космоса получил, что все равно не выиграет.
[123.06s -> 124.06s]  Не смей!
[124.06s -> 128.66s]  Не смей только пояс подзатянул, а то лопатой по хребту получишь.
[128.66s -> 130.90s]  Так, женщины, давайте по вам.
[130.90s -> 133.42s]  Значит, это либо недосыпь, либо вор.
[133.42s -> 135.06s]  Других вариантов не вижу.
[135.06s -> 138.30s]  Ничего человеческого у вас нет, женщины.
[140.86s -> 146.54s]  Я к вам попозже зайду, и мы освободим заточенный дух вашего мужа.
[146.54s -> 147.54s]  Не лезьте!
[147.94s -> 150.02s]  Куда ты лезешь со своими глюками?
[150.02s -> 153.06s]  Мы без тебя тут все порешаем, а вот это заявление
[153.06s -> 154.54s]  себе в астрал засунишь.
[154.54s -> 156.94s]  У вас там, по-моему, что-то случилось.
[156.94s -> 159.86s]  Эй, вы что стоите? Глава трубит общий сбор?
[161.38s -> 163.98s]  Ребятки, давай-давай, кит-тык, давай.
[163.98s -> 164.98s]  Иду, иду.
[164.98s -> 165.98s]  Айда!
[165.98s -> 166.98s]  Что такое?
[166.98s -> 167.98s]  Иди, называется.
[183.93s -> 187.73s]  Чего народу столько? Лени нашли, по деревням стали возить.
[187.73s -> 188.73s]  Сундук, заткнись.
[188.73s -> 191.09s]  Ты знаешь, это Блажин на меня заяву закатал
[191.09s -> 193.09s]  потому, что мы с ним грубо общались.
[193.09s -> 194.09s]  Грубо?
[194.09s -> 196.09s]  Он что, ни разу в МФЦ что ли не заходил?
[196.09s -> 197.09s]  Походу не заходил.
[197.09s -> 198.09s]  Короче, у меня план такой.
[198.09s -> 201.09s]  Нужно ему в глазах эти бабки помочь, он поймет, что мент нормальный.
[201.09s -> 202.09s]  Други ждем его в расходе.
[202.09s -> 204.09s]  Здравствуйте, дорогие чуденцы.
[204.09s -> 210.09s]  Этот внеплановый общий сбор по очень приятному поводу.
