[0.43s -> 14.64s]  Добро пожаловать на шоу-аукцион!
[14.64s -> 17.80s]  Шоу, в котором подписчики делают ставки за вещи своего
[17.80s -> 18.92s]  любимого блогера.
[18.92s -> 21.56s]  Сделать ставку может каждый сидящий в зале.
[21.56s -> 24.40s]  В качестве ставки принимается все, кроме денег.
[24.40s -> 29.52s]  Ну а ставки помогу вам сделать я, ведущий этого шоу Игорь
[29.52s -> 30.52s]  Чехов!
[30.52s -> 31.52s]  Добрый вечер!
[31.52s -> 34.52s]  Добрый вечер, дамы и господа!
[34.52s -> 36.52s]  Мы начинаем аукцион!
[36.52s -> 47.84s]  Друзья, сегодня мы разыграем пять лотов нашей многоуважаемой
[47.84s -> 49.68s]  приглашенной звезды.
[49.68s -> 54.92s]  А сегодня у нас в гостях актриса, телеведущая, девушка,
[54.92s -> 58.40s]  которая, готовясь к этому шоу, вынесла полквартиры.
[58.44s -> 62.56s]  Лучшая женщина во всей вселенной, по мнению Игоря Чехова,
[62.56s -> 67.56s]  и что немаловажно, моя супруга Юлия Топольницкая!
[67.56s -> 72.56s]  Громкие и продолжительные аплодисменты, громкие, громчайшие!
[72.56s -> 75.56s]  Да, да, друзья!
[75.56s -> 76.56s]  Юлия, здравствуйте!
[76.56s -> 77.56s]  Здравствуйте!
[77.56s -> 78.56s]  Как ваши дела?
[78.56s -> 79.56s]  С утра не изменились.
[79.56s -> 80.56s]  С утра не поменялись?
[80.56s -> 81.56s]  Да.
[81.56s -> 83.56s]  И вы сегодня очень сильно готовились к этому шоу,
[83.56s -> 85.56s]  очень щепетильно собирались к нему, я знаю.
[85.56s -> 86.56s]  Что у вас происходит?
[86.56s -> 87.56s]  Расскажите, пожалуйста, в жизни.
[87.72s -> 90.72s]  Ну, я знаю, но может быть, будет гостям интересно.
[90.72s -> 93.72s]  Недавно вышел сериал, Бореньке чего-то нет,
[93.72s -> 95.72s]  вы можете посмотреть его на платформе Start.
[95.72s -> 96.72s]  Так.
[96.72s -> 100.72s]  А еще два проекта в запуске, которые будут в 2022 году.
[100.72s -> 101.72s]  Очень скоро.
[101.72s -> 102.72s]  Это какие-то комедии, да?
[102.72s -> 103.72s]  Правильно я понимаю?
[103.72s -> 104.72s]  Ну да.
[104.72s -> 105.72s]  Комедийные.
[105.72s -> 106.72s]  Комедийные.
[106.72s -> 107.72s]  Вы комедийная актриса, вы себя больше ассоциируете
[107.72s -> 108.72s]  с комедиями?
[108.72s -> 109.72s]  А вы из какой газеты?
[109.72s -> 112.72s]  Я из газеты Вечерние химки.
[112.72s -> 116.72s]  Вам очень интересно, скажите, пожалуйста, Юлия.
[116.88s -> 120.88s]  Вот вы, как селебка востребка, у вас график какой, сильно
[120.88s -> 121.88s]  занят.
[121.88s -> 122.88s]  Бешеный.
[122.88s -> 123.88s]  Во-первых, вам спасибо большое, что вы пришли сюда.
[123.88s -> 124.88s]  Бешеный.
[124.88s -> 125.88s]  Спасибо, что позвали.
[125.88s -> 126.88s]  Конечно.
[126.88s -> 129.88s]  Мы все так ждали вас, так ждали, очень сильно.
[129.88s -> 131.88s]  Очень сильно.
[131.88s -> 134.88s]  Итак, мы знаем, что вы принесли к нам пять лотов,
[134.88s -> 135.88s]  правильно?
[135.88s -> 136.88s]  Да, пять вещей.
[136.88s -> 137.88s]  Да, мы сейчас на них обязательно посмотрим.
[137.88s -> 140.88s]  Мы сегодня будем за эти пять лотов бороться.
[140.88s -> 143.88s]  Здесь люди, которые пришли специально за то, чтобы
[143.88s -> 145.88s]  побороться за ваши вещи.
[146.04s -> 148.04s]  Более того, у вас будет возможность сегодня пообщаться
[148.04s -> 149.04s]  с вашими подписчиками.
[149.04s -> 152.04s]  Вы можете увидеть своего кумира во очередь, ты можешь
[152.04s -> 155.04s]  увидеть всех своих подписчиков, всех людей, на которых
[155.04s -> 156.04s]  у тебя подписаны.
[156.04s -> 157.04s]  Все же подписаны на Тополинскую?
[157.04s -> 158.04s]  Да, вот.
[158.04s -> 162.04s]  Кто не подписан, обязательно сделайте это сейчас, чтобы
[162.04s -> 163.04s]  пообщаться и коммуницировать.
[163.04s -> 164.04s]  Я всех знаю у вас в лицо.
[164.04s -> 167.04s]  Все 20 человек, да?
[167.04s -> 168.04s]  Да.
[168.04s -> 173.04s]  Итак, дамы и господа, мы начинаем аукцион!
[176.04s -> 193.42s]  Итак, дамы и господа, дорогие друзья, разрешите представить
[193.42s -> 195.42s]  вам первый лот.
[195.42s -> 196.42s]  Чи-чи-чи-чи.
[196.42s -> 198.42s]  Это маска какая-то, что это?
[198.42s -> 203.42s]  Нет, это маска для лица очень хорошего бренда.
[203.42s -> 206.42s]  Я его очень люблю, но его замазали.
[206.42s -> 208.42s]  Чтобы не показывать, сколько она стоит.
[208.42s -> 210.42s]  Она там просвечивается, если что, все равно можно
[211.06s -> 214.06s]  В общем, это очень классная маска, я ей пользуюсь уже
[214.06s -> 217.06s]  давно, и у меня была вторая такая же.
[217.06s -> 220.06s]  Я вот решила принести к вам на аукцион.
[220.06s -> 221.06s]  То есть ты без маски сейчас, получается?
