[8.05s -> 27.68s]  Яичная музыка
[27.68s -> 29.68s]  Говорят по-грузински
[29.68s -> 32.68s]  Может, помолчите, УЗА!
[34.68s -> 36.68s]  Дай бог мент появится
[41.25s -> 43.25s]  Пожалуйста, я же говорил
[45.25s -> 49.25s]  Доброе утро! Извините за опоздание, там по работе были вопросчики
[50.25s -> 52.25s]  Опоздум пришел, можем начинать!
[52.25s -> 55.25s]  Звучит музыка
[55.25s -> 67.01s]  Добрый день, дорогие чуденцы. Я сейчас... Спасибо. Добрый день, дорогие чуденцы.
[67.01s -> 74.17s]  Начинаем еженедельную планерку. Что у нас по новостям? Жители интересуются, когда на
[74.17s -> 78.97s]  остановке лавочку заменят. Да вас не поймешь. Вы то уехать хотите, то посидеть.
[78.97s -> 90.29s]  Разберемся. Еще вопросы? Тогда я скажу. Тут выяснилось, что у нас снова появился
[90.29s -> 99.57s]  эксгипет-сианист. Женщин пугает. Вы, Максим, надеюсь, с этим разберетесь? Разберемся. Вот,
[99.57s -> 113.60s]  будьте добры. А теперь хорошим новостям. Миланточка, объяви. В честь юбилея нашей
[113.60s -> 131.97s]  главы будет салют. Все? Молодец. Вы не подумайте, это не для меня, это для поселка нашего. Я хочу,
[131.97s -> 139.25s]  чтобы о нашем чуде узнали во всей России. Поэтому у нас будет самый масштабный в стране салют,
[139.25s -> 154.40s]  который попадет в Книгу рекордов России. Вот так вот, да. Затем вкланиваюсь. Всем
[154.40s -> 171.27s]  благотворной недели. Пока-пока. Миланточка. А ты подожди. Есть о чем поговорить.
[171.27s -> 180.18s]  Привет, любимый. Привет, мой котенок. У меня для тебя радостная новость. Так,
[180.18s -> 191.42s]  здорово и неожиданно. А я знал, что ты удивишься. Я такие вещи чувствую после того,
[191.42s -> 204.50s]  как оно говорят. А ты меня встретишь? Да, конечно. Во сколько? Думаю, к вечеру. А во сколько?
[204.50s -> 224.22s]  Простите. А во сколько мы приедем? Часа через два. Алло. Алло. Блин. А у вас не будет этой...
