[0.11s -> 2.11s]  Вы Анатолий Фиолетов?
[2.11s -> 4.11s]  Кис, можно я тебя потрогаю?
[4.11s -> 6.11s]  Вот это животное!
[9.62s -> 13.62s]  В каждом выпуске Женя и Скандарова вместе с гостем посещают города России.
[13.62s -> 17.62s]  Вернуть свои деньги и телефоны они смогут только если пройдут квест.
[17.62s -> 19.62s]  До конца!
[24.27s -> 26.27s]  Столица российского военно-морского флота.
[26.27s -> 30.27s]  Именно сюда в 1696 году прибыл молодой император Пётр I
[30.27s -> 33.27s]  и начал строить первые в России военные корабли.
[33.27s -> 35.27s]  Лучше Воронежа города нет нигде.
[35.27s -> 37.27s]  Что лучше чем Воронеж?
[39.27s -> 40.27s]  Нет города нигде.
[40.27s -> 44.27s]  Сказал когда-то герой советского мультфильма «Котёнок» с улицы Лизюкова.
[44.27s -> 47.27s]  Именно он стал не только достопримечательностью Воронежа,
[47.27s -> 51.27s]  но и персонажем, с которым связан сегодняшний квест для наших героев.
[51.27s -> 56.27s]  Собрать подарки для котёнка и обменять их название «Почётного гражданина».
[69.34s -> 72.34s]  Всем привет! Это ваша любимое шоу «Почётный гражданин»
[72.34s -> 74.34s]  и я его ведущая Женя и Скандарова.
[74.34s -> 77.34s]  Сегодня со мной мой друг Миша Еремеев.
[77.34s -> 78.34s]  Спасибо тебе, что приехал.
[78.34s -> 79.34s]  Спасибо, что помогал.
[80.34s -> 85.34s]  Михаил Еремеев – блогер, музыкант, участник проекта «Последний герой».
[85.34s -> 89.34s]  Проверим, пригодятся ли ему навыки выживания в Воронеже.
[89.34s -> 91.34s]  Сегодня мы в городе Воронеж.
[91.34s -> 94.34s]  И мы должны пройти целый квест города,
[94.34s -> 97.34s]  чтобы в конце получить звание «Почётного гражданина».
[97.34s -> 98.34s]  Ты как, готов?
[98.34s -> 99.34s]  Ну да.
[99.34s -> 100.34s]  Читай.
[100.34s -> 101.34s]  Давай.
[101.34s -> 102.34s]  Загадка.
[102.34s -> 106.34s]  Гуляя по российским селениям, легко найдёшь памятник Ленину.
[106.34s -> 110.34s]  Но только в Воронеже любимом есть памятник Белому.
[112.34s -> 113.34s]  Я знаю, кому.
[113.34s -> 116.34s]  Саше из бригады. Ищем.
[117.34s -> 118.34s]  Пошли. Нет, пошли туда.
[118.34s -> 120.34s]  Ищем Саше или памятник.
[120.34s -> 121.34s]  Пойдём туда.
[121.34s -> 123.34s]  Пойдём, пойдём.
[127.67s -> 130.67s]  Для этого, мне кажется, нам надо найти каких-нибудь типов местных жителей.
[130.67s -> 132.67s]  Да, которые чётко знают.
[132.67s -> 136.67s]  Хотя, знаешь, некоторые местные хуже разбираются, чем приезжие.
[136.67s -> 139.67s]  Так что будем искать и местных, и приезжих.
[139.67s -> 140.67s]  Точно.
[140.67s -> 142.67s]  Ты знаешь, кстати, интересный факт.
[142.67s -> 146.67s]  Мы с тобой находимся на одной из главных площадей города Воронежа,
[146.67s -> 149.67s]  с которой Пётр Первый спускал на реку корабли.
[149.67s -> 151.67s]  А чего ты такой умный?
[151.67s -> 154.67s]  Ну, я решил немножко поумничать, понимаешь.
[154.67s -> 157.67s]  И вот здесь есть вот эта маленькая красивая жёлтая церковь.
[157.67s -> 159.67s]  И, кстати, эти корабли освещали.
[159.67s -> 161.67s]  Ну, может быть, нам надо было светиться
[161.67s -> 165.67s]  перед нашим долгим однодневным плаванием в этом чудесном городе.
[165.67s -> 167.67s]  Но уже поздно. Пошли.
[167.67s -> 168.67s]  Пошли туда.
[168.67s -> 169.67s]  Здрасте.
[169.67s -> 170.67s]  Смотрите, у нас есть загадка.
[170.67s -> 173.67s]  Гуляя по российским селениям, легко найдёшь ты памятник Ленину.
[173.67s -> 175.67s]  То есть в каждом городе есть памятник Ленину.
