[0.00s -> 1.84s]  Главная песня твоей жизни.
[7.34s -> 9.50s]  Я снялся в анометражном кино.
[9.50s -> 11.94s]  Каким будет рэп в 22-м году?
[12.94s -> 15.38s]  Он не смог перехитрить свою жадность.
[15.38s -> 17.98s]  Вся жанровость. Это музыкальный расизм.
[17.98s -> 20.58s]  У меня было ощущение, что я снова живой,
[20.58s -> 24.10s]  и мы едем на съемки, и начинается просто лютый дождь.
[24.10s -> 27.38s]  У меня в голове так долго не держится информация.
[27.38s -> 30.66s]  Хороший салат – это хорошая перемешка.
[31.50s -> 35.74s]  ДИНАМИЧНАЯ МУЗЫКА
[37.18s -> 38.74s]  Камера есть?
[38.74s -> 40.70s]  Нет, вот сейчас попал.
[40.70s -> 46.94s]  Как я говорю, всем абсолютно к нам, не один гость.
[46.94s -> 51.31s]  С самого начала?
[51.31s -> 52.31s]  Да, да.
[52.31s -> 54.15s]  Стоп-камера, Мэнни Спорта.
[54.15s -> 56.75s]  Всем привет, меня зовут Ярослав Грин,
[56.75s -> 58.87s]  и вы смотрите шоу Kitchen Stories.
[58.87s -> 62.51s]  Сегодня у нас в гостях большой и классный Томас Мраз.
[62.51s -> 65.87s]  Алмаз, прежде чем мы начнем, я пожму тебе руку
[66.11s -> 68.47s]  и расскажу правила нашей программы.
[68.47s -> 72.35s]  К нам в гости ни один артист не приходит с пустыми руками.
[72.35s -> 76.11s]  Он все приносит свое прекрасное, изумительное настроение,
[76.11s -> 80.27s]  не менее классные истории и, конечно же, свой фирменный рецепт.
[80.27s -> 82.55s]  С чем ты к нам сегодня пожаловал?
[82.55s -> 85.11s]  Сегодня мы взяли хорошее настроение
[85.11s -> 89.11s]  и выбрали рецепт, который называется лазанья.
[89.11s -> 90.11s]  Так.
[90.11s -> 94.23s]  Но это не простая лазанья будет, это будет чили-лазанья.
[94.23s -> 95.23s]  Остренько?
[95.23s -> 96.95s]  Да, немножко остренько.
[96.95s -> 99.07s]  Что нам для этого понадобится?
[99.07s -> 103.27s]  Самое главное, это листы, фаршик, мука, молоко, масло,
[103.27s -> 107.19s]  халапения, перец чили, красный и белый лук,
[107.19s -> 111.63s]  тельдерей, свежие томаты и соленые, маринованные томаты.
[111.63s -> 115.59s]  Маслиные оливки, салат айсберг, огурчики, брынза.
[115.59s -> 117.63s]  Мы можем потихонечку начинать,
[117.63s -> 122.43s]  но прежде расскажи мне, пожалуйста, почему мы будем готовить именно это.
[122.47s -> 124.43s]  Это такое интересное блюдо,
[124.43s -> 128.39s]  которое, по крайней мере, я в детстве много не пробовал.
[128.39s -> 133.27s]  И еще это такое блюдо, которое любят Гарфилд.
[133.27s -> 134.27s]  Так.
[134.27s -> 135.27s]  Да.
[135.27s -> 138.75s]  И когда ты смотришь фильм или мультипро Гарфилда,
[138.75s -> 141.39s]  и он так об этом с аппетитом говорит,
[141.39s -> 144.59s]  хочется попробовать, и потом ты ищешь рецепты
[144.59s -> 147.71s]  или заказываешь где-то в ресторане, пробуешь.
[147.71s -> 150.75s]  Таким образом, лазанья пришла в твою жизнь?
[150.99s -> 151.99s]  Нет.
[151.99s -> 156.59s]  Если у тебя приелась паста какая-то или просто фарш.
[156.59s -> 161.59s]  Ну, это действительно приятное блюдо в плане его ощущения.
[161.59s -> 163.87s]  Ну, в текстурном плане, я понял.
[163.87s -> 165.55s]  Очень интересная история,
[165.55s -> 169.07s]  что тебя на это блюдо вдохновил персонаж мультфильма.
[169.07s -> 173.11s]  Единственный такой случай, по крайней мере, в моей жизни яркий,
[173.11s -> 175.19s]  это черепашки Ниндзя и пицца.
[175.19s -> 178.39s]  Это, мне кажется, самый успешный маркетинговый ход
[178.39s -> 180.71s]  появления пиццы в мультике Черепашки Ниндзя.
[180.71s -> 183.79s]  Я часто думаю о том, какая у них любимая пицца.
[183.79s -> 186.07s]  Мне кажется, пепперони классическая.
[186.07s -> 187.27s]  Я задумаюсь об этом.
[187.27s -> 191.43s]  По крайней мере, мультик я буду пересматривать и обращу внимание.
[191.43s -> 192.87s]  Ладно, давай начинать.
[192.87s -> 195.67s]  С чего мы начинаем, как поделим обе отости?
[195.67s -> 197.39s]  Я бы хотел начать с фарша.
[197.39s -> 198.95s]  Сразу маслицем залить?
[198.95s -> 200.83s]  Да, можно даже сливочного.
[200.83s -> 201.83s]  Замечательно.
[201.83s -> 202.83s]  Хорошо.
[202.83s -> 206.39s]  Так, и получается, сейчас я это масло здесь растоплю,
[206.39s -> 207.71s]  и потом сразу фарш.
[207.71s -> 208.95s]  Нет, сначала лук.
[208.99s -> 210.83s]  Ты выпустил целых два релиза.
[210.83s -> 211.83s]  Да.
[211.83s -> 214.07s]  Они полярно разные или прямо вообще?
[214.07s -> 215.07s]  Да.
[215.07s -> 219.35s]  Расскажи, пожалуйста, почему ты пошел на такой эксперимент.
[219.35s -> 223.51s]  Для меня принципиально делать всегда разные альбомы.
[223.51s -> 226.55s]  Потому что, как бы это эгоистично ни звучало,
[226.55s -> 230.39s]  в первую очередь я делаю это, потому что мне это нравится.
[230.39s -> 234.07s]  То есть это такой небольшой мой лабораторный проект.
[234.07s -> 237.55s]  То есть моя лаборатория, где я что-то делаю, кайфую
[237.59s -> 239.63s]  и потом делюсь этим с людьми.
[239.63s -> 241.55s]  Вот я так к этому отношусь.
[241.55s -> 244.87s]  Поэтому всегда я веселюсь, это для меня аттракцион.
[244.87s -> 248.79s]  И я хочу, чтобы люди это понимали и тоже со мной веселились.
[248.79s -> 249.79s]  Вот.
[249.79s -> 253.23s]  Поэтому частенько очень экспериментирую много.
[253.23s -> 255.75s]  То есть ты не держишься в рамках жанра,
[255.75s -> 257.95s]  ты любишь пробовать что-то новое?
[257.95s -> 262.35s]  Да, я вообще заранее не пытаюсь себе поставить какую-то цель,
[262.35s -> 266.43s]  чтобы написать вот именно такой трек или именно такой трек.
[266.43s -> 267.87s]  Я их просто пишу.
[267.87s -> 272.59s]  Просто пишу и как бы выбираю, доделываю, переделываю.
[272.59s -> 274.83s]  Импровизирую всегда и во всем.
[274.83s -> 277.23s]  Хорошо, скажи мне, пожалуйста,
[277.23s -> 282.43s]  когда вы готовили релиз с Kikomi, чем вдохновлялся?
[282.43s -> 285.39s]  Ну, вообще, мы начали...
[285.39s -> 290.07s]  Многие из музыкантов, из артистов, из нашего гэнга,
[290.07s -> 293.03s]  мы увлекались очень разной музыкой.
[293.51s -> 296.71s]  И мы многие занимались диджеингом.
[296.71s -> 297.71s]  Так.
[297.71s -> 299.79s]  И я сам как бы всегда мечтал.
[299.79s -> 301.79s]  Да, я знаю, перебираешься этой периодически.
[301.79s -> 304.91s]  Начал учиться и прям меня это вдохновило.
[304.91s -> 307.15s]  И когда вот ты изучаешь диджеинг,
[307.15s -> 311.95s]  ты не можешь не обращать внимание на танцевальную музыку.
[311.95s -> 316.11s]  И вот иногда бывает к ней сложно прийти к этой танцевальной музыке,
[316.11s -> 317.11s]  понять ее.
[317.11s -> 319.79s]  Знаешь, как многие когда-то не могли понять тикток.
[319.79s -> 321.67s]  В итоге все адаптировались.
[321.67s -> 324.31s]  И я тоже начал слушать танцевальную музыку
[324.31s -> 327.91s]  и не просто адаптировался, а нашел то, что мне очень сильно вдохновлялся.
[327.91s -> 329.91s]  Наверное, потому что для многих, особенно музыкантов,
[329.91s -> 335.15s]  танцевальная она скорее ассоциируется с синтетической что ли музыкой,
[335.15s -> 337.91s]  потому что в ней редко используются живые инструменты,
[337.91s -> 339.91s]  больше все-таки какие-то синты.
[339.91s -> 343.03s]  Ну да, она моментами может быть очень компьютерной.
[343.03s -> 344.03s]  Да, да.
[344.03s -> 346.03s]  Так, вот я думаю, что мы сейчас добавим.
[346.03s -> 348.03s]  Я думаю, мы возьмем щепотку сахара.
[348.03s -> 352.03s]  Так, это для того, чтобы лучок немножко карамелизировался?
[352.03s -> 355.03s]  Да, да, я всегда добавляю в лук что-то из специй.
[355.03s -> 356.03s]  Чуть-чуть.
[356.03s -> 359.03s]  Иногда мед, иногда даже карамель.
[359.03s -> 360.03s]  Прикольно.
[360.03s -> 364.03s]  Ну, думаю, можно еще перца чуть-чуть добавить.
[364.03s -> 367.03s]  Только вот с этим надо очень аккуратным быть.
[367.03s -> 369.03s]  Сейчас я сначала проверю, короче, чтобы...
[369.03s -> 370.03s]  На остроту?
[370.03s -> 373.03s]  Да, да, чтобы все остались в здравии.
[373.03s -> 375.03s]  Это ты так смело прям проверил?
[375.03s -> 377.03s]  Да, ну потому что я увидел, что он большой,
[377.03s -> 379.03s]  и поэтому понял, что он не сильно острый должен быть,
[379.03s -> 381.03s]  и он даже сладенький.
[381.03s -> 384.03s]  Ты можешь ли себя ассоциировать сейчас,
[384.03s -> 388.03s]  вот в сегодняшних реалиях, к какому-то конкретному жанру?
[388.03s -> 393.03s]  Ну, думаю, то, что очень большой процент хип-хопа есть.
[393.03s -> 396.03s]  Потом рок, определенно, мне нравится.
[396.03s -> 398.03s]  Это с детства как бы.
[398.03s -> 400.03s]  И частично танцевальная музыка мне нравится.
[400.03s -> 402.03s]  В общем, нет. Я понял.
[402.03s -> 405.03s]  Ну, больше всего процента, наверное, от хип-хопа есть.
[405.03s -> 408.03s]  Я недавно, ну, недавно, это неправда,
[408.03s -> 411.03s]  уже давно услышал цитату очень интересную.
[411.03s -> 412.03s]  Я сказал Джей-Зи.
[412.03s -> 415.03s]  Эта цитата мне настолько сильно въелась под корку,
[415.03s -> 418.03s]  и хотелось бы, чтобы, в принципе, все люди так относились к музыке.
