[0.05s -> 3.05s]  Шляпа
[5.05s -> 9.05s]  Здорова! Их никто не просил, но они снова это делают. Это шоу Шляпа.
[9.05s -> 13.05s]  И сегодня мы будем отсматривать народное творчество, которое свободно гуляет в интернете,
[13.05s -> 16.05s]  и давать ему стандартную оценку. Шляпа это или нет?
[16.05s -> 21.05s]  Каждый из нас принес с собой несколько видосов, которые наши подписчики прислали нам в Дирек.
[21.05s -> 25.05s]  Сейчас мы это все вместе посмотрим. И тот, у кого окажутся самые шляпные видосы,
[25.05s -> 30.05s]  пойдет по стопам тех людей, которые на день города снимают салют с начала и до конца.
[30.05s -> 36.05s]  Ему на целые сутки в свой сторис, в инстаграм придется выложить такую шляпу, за которую нам всем будет стыдно.
[36.05s -> 38.05s]  Это шоу Шляпа. Мы погнали.
[39.05s -> 40.05s]  Перед!
[40.05s -> 41.05s]  Шляпа!
[41.05s -> 43.05s]  Мой видос, да? Залежайте.
[45.05s -> 52.87s]  Миниатюра, хакер в столовой. Добрый день, что вы будете заказывать?
[53.87s -> 59.87s]  Здравствуйте, можно я, пожалуйста, капучина и макароны баковские?
[61.87s -> 64.87s]  Конечно, можно. Все?
[65.87s -> 68.95s]  Да.
[70.95s -> 75.46s]  Куда же капучина и макароны баковские?
[76.46s -> 78.46s]  125 рублей.
[79.46s -> 81.46s]  Мне не хватает 5 рублей.
[82.46s -> 84.46s]  И что же мы с вами будем делать, скажите?
[86.46s -> 87.46s]  Что же делать?
[88.46s -> 89.46s]  Сейчас.
[90.46s -> 92.46s]  Все, мне хватает денег.
[96.41s -> 98.41s]  Ну как же так? У вас только что не хватало 5 рублей.
[99.41s -> 102.41s]  А вот это секрет. Я же не взламывал прингтагон.
[107.41s -> 111.41s]  Капучина, все нормально. Проблема с ломом макаронах. Макароны.
[111.41s -> 117.41s]  Слушай, друг, я не знаю, кто ты и я не знаю, какая у тебя конечная цель,
[117.41s -> 121.41s]  но я тебе хочу сказать, что ты молодец. Тебе очень неловко даже без людей,
[122.41s -> 125.41s]  но тем не менее видно, что ты стараешься. Хотя шляпа полнейшая.
[126.41s -> 127.41s]  Видос от Дениса.
[143.55s -> 145.55s]  Как вам сладк шоу, ребята?
[146.55s -> 150.55s]  Позитивно ты как. Ты посмотри какая история, лайфстори, *****.
[151.55s -> 154.55s]  Позитивная видеоролика, хотя в нем травма.
[155.55s -> 158.55s]  Музыка какая, как будто мы, похоже, что мы с женой в Болгарии.
[159.55s -> 161.55s]  Но пока в конце просто штифты в коленку, чашечку.
[162.55s -> 165.55s]  На, нормально, это не шляпа. Это не шляпа, Денис, я тебя поздравляю.
[166.55s -> 167.55s]  Видос от Максима Назарова.
[168.55s -> 170.55s]  Урубайте. Поехали. Мои не подведут.
[171.55s -> 173.55s]  А это вы, да? Не вы?
