[0.00s -> 16.24s]  Дай мне глоток
[37.24s -> 39.24s]  Для нее я словно вызов
[39.24s -> 42.24s]  А на пароль это мозга вынос
[42.24s -> 45.24s]  Но ничего не поделать
[45.24s -> 48.24s]  Это любовь, ее не переделать
[48.24s -> 50.24s]  Ссоры запевает страсть
[50.24s -> 53.24s]  Это не кино, это песня про нас
[53.24s -> 57.24s]  Чувство в лосок тащит ветер
[57.24s -> 60.24s]  Лисок, пачки сока
[60.24s -> 65.24s]  Несок мы отметим, дай мне глоток
[65.24s -> 69.24s]  Чувство в лосок тащит ветер
[69.24s -> 72.24s]  Лисок, пачки сока
[72.24s -> 77.24s]  Несок мы отметим, дай мне глоток
[77.24s -> 80.24s]  У меня так много сюрпризов
[80.24s -> 83.24s]  Что ни день для нее новый вызов
[83.24s -> 85.24s]  То дарит по данным деталям
[85.24s -> 89.24s]  То на пару дней пропадаю с друзьями
[89.24s -> 91.24s]  Как никто другое меня знаешь
[91.24s -> 94.24s]  Несмотря ни на что все мне прощаешь
[94.24s -> 97.24s]  Глянула как гром нашу дату
[97.24s -> 99.24s]  Ты как первый день *****
[99.24s -> 103.24s]  Это чувство в лосок тащит ветер
[103.24s -> 106.24s]  Лисок, пачки сока
[106.24s -> 111.24s]  Несок мы отметим, дай мне глоток
[111.24s -> 115.24s]  Чувство в лосок тащит ветер
[115.24s -> 118.24s]  Лисок, пачки сока
[118.24s -> 123.24s]  Несок мы отметим, дай мне глоток
[123.24s -> 127.24s]  Чувство в лосок тащит ветер
[127.24s -> 130.24s]  Лисок, пачки сока
[130.24s -> 135.24s]  Несок мы отметим, дай мне глоток
[159.25s -> 161.25s]  У нее так много сюрпризов
[161.25s -> 164.25s]  Сколько, сколько и капризов
[164.25s -> 167.25s]  Для нее я просто вызов
[167.25s -> 170.25s]  А она порой это мозговый нос
[181.75s -> 186.75s]  Чувство в лосок тащит ветер
[186.75s -> 191.28s]  Лисок, пачки сока
[191.28s -> 199.54s]  Несок мы отметим, дай мне глоток
[199.54s -> 204.54s]  Чувство в лосок тащит ветер
[204.54s -> 208.17s]  Лисок, пачки сока
[236.00s -> 242.00s]  Несок мы отметим, дай мне глоток
[266.00s -> 269.00s]  Несок, пачки сока
[296.00s -> 301.00s]  Несок мы отметим, дай мне глоток
[326.00s -> 331.00s]  Несок мы отметим, дай мне глоток
