[0.00s -> 4.00s]  КОСТРОМА! Я тебя люблю!
[4.00s -> 5.50s]  Всем привет!
[5.50s -> 10.70s]  Нас на следующем задании случайно подвешивать не будут.
[10.70s -> 12.70s]  Ай-ай-я-я-я-я-я-я!
[12.70s -> 17.50s]  В каждом выпуске Таня Строкова вместе с гостем посещают города Золотого Кольца.
[17.50s -> 22.70s]  Вернуть свои деньги и телефоны они смогут только если пройдут квест до конца.
[22.70s -> 26.70s]  Кострома. Город ремесленников, новогодняя и одновременно
[26.70s -> 29.98s]  сырная столица России. Сегодня нашим участникам
[29.98s -> 34.22s]  предстоит отправиться в гости к самым музыкальным жителям Костромы
[34.22s -> 44.93s]  и заслужить звание почетного гражданина.
[44.93s -> 47.61s]  Всем привет! С вами почетный гражданин.
[47.61s -> 51.01s]  Мы сегодня находимся в прекрасном городе Кострома.
[51.01s -> 54.01s]  И рядом со мной глоток свежего воздуха.
[54.01s -> 58.29s]  И еще самое главное, пройти все испытания до заката солнца
[58.29s -> 60.29s]  и без гаджетов.
[60.37s -> 62.37s]  Ладно, хорошо, я готов.
[62.37s -> 64.37s]  Открываем? Давай.
[64.37s -> 66.37s]  Итак. Вау.
[66.37s -> 68.85s]  Там золото глядит со всех сторон.
[68.85s -> 73.69s]  Хоть город золотом не знаменит, музей основан с древних там времен.
[73.69s -> 77.13s]  Пройди через основателя, чей памятник стоит.
[77.13s -> 80.05s]  Мне кажется, нам нужно идти в ту сторону.
[80.05s -> 87.92s]  И людей, я думаю, поспрашиваем. Они точно в курсе. Пойдем.
[87.92s -> 91.80s]  Куда идти нам? Вам идти, значит, памятнику долгорукому.
[91.80s -> 95.56s]  Вы переходите дорогу. Это главная дорога советская.
[95.56s -> 98.48s]  И идете направо. Здесь метров, наверное, 300.
[98.48s -> 100.48s]  Либо увидите его памятники.
[100.48s -> 103.20s]  Спасибо вам большое. Прекрасная женщина.
[103.20s -> 105.20s]  Спасибо вам. Спасибо.
[105.20s -> 107.60s]  Мы уже хотя бы знаем, куда нам идти.
[107.60s -> 109.60s]  Расскажи немножко про себя.
[109.60s -> 111.60s]  Я вообще любитель музыки.
[111.60s -> 114.60s]  Я люблю разную музыку. У тебя рэп-рэп-рэп.
[114.60s -> 116.60s]  Я пишу песни. Я не разделяю.
[116.60s -> 118.60s]  Это жесткие жанры.
[118.60s -> 121.40s]  Если песня хорошая, трогает людей изнутри,
[121.40s -> 123.40s]  я абсолютно с тобой согласна.
[123.40s -> 127.00s]  Екатерина Вторая разложила вот так веер на стол.
[127.00s -> 129.60s]  Сказала, хочу, чтобы был такой город.
[129.60s -> 131.60s]  И по вееру сделали костромуты.
[131.60s -> 134.60s]  В центре очень так чистенько, аккуратненько.
[134.60s -> 137.60s]  Хочется снять сторис, но, блин, нет телефона.
[137.60s -> 139.60s]  Да, да, все, нет телефонов у нас.
[139.60s -> 141.60s]  Девчонки, привет. А вы местные?
[141.60s -> 143.60s]  Нет? Мы тоже.
[143.60s -> 145.60s]  Мы тоже.
