[2.10s -> 6.10s]  Чё-то только поела, опять есть хочу. У меня, наверное, этот бычий цепень.
[6.10s -> 12.10s]  Это невозможно. Значит, мы сегодня проводим спецоперацию на нашем районе под кодовым названием.
[12.10s -> 14.10s]  Где родился, там и пригодился.
[14.10s -> 19.10s]  Где мы помогаем наши молодежи с трудоустройством, чтобы они не уезжали за границу, а оставались здесь.
[19.10s -> 23.10s]  Да, а то уедут все в свою Америку, там этих бургеров облопаются и взорвутся.
[23.10s -> 26.10s]  И всё, у нас никаких ни специалистов, ни работников, никого нет.
[26.10s -> 28.10s]  Ну, пожалуйста, Лёха, иди сюда.
[28.10s -> 31.10s]  О, здорово пацаны.
[31.10s -> 34.10s]  Какие пацаны, Лёха? Всё, мы тебя устраиваем, как молодого специалиста.
[34.10s -> 36.10s]  Будешь у нас работать на районе этим будешь.
[36.10s -> 38.10s]  Будешь с норжем? С норжем будешь?
[38.10s -> 41.10s]  Не буду.
[41.10s -> 43.10s]  Чё не будешь? Всё не будешь? Работа непыльная.
[43.10s -> 46.10s]  Пришёл, спать лёг, утром встал, деньги забрал, домой пошёл. Чё ты не будешь?
[46.10s -> 50.10s]  У меня просто бессонница.
[50.10s -> 53.10s]  Ну всё, бессонница. Ну лежи, считай этих овецов и уснёшь.
[53.10s -> 63.10s]  Да я пробовал, до трёх, дочитал и уже *****.
[63.10s -> 66.10s]  Да куча материйцы здесь. Ну знаешь, будешь работать с этим.
[66.10s -> 69.10s]  Электриком, значит, пойдёшь. Будешь электриком. Там половина, как ты, разговаривают.
[69.10s -> 74.10s]  А вторая половина?
[74.10s -> 78.10s]  Вторая половина сейчас уже, наверное, с Архангелом Михаилом там разговаривать.
[78.10s -> 80.10s]  Ех, *****.
[80.10s -> 82.10s]  Я тебе сколько говорил про мат.
[82.10s -> 84.10s]  Так давайте его возьмём к нам в Одец стажёром?
[84.10s -> 86.10s]  Каким он в Одец возьмём стажёром, каким?!
[86.10s -> 88.10s]  Кого он там?! Он пока будет...
[88.10s -> 90.10s]  Все убегут на другой район.
[90.10s -> 93.10s]  Меня того преступления не раскроют. Не надо его стажёром к нам.
[93.10s -> 100.10s]  Так, начальник, но у меня уже есть работа.
[100.10s -> 105.10s]  Я на вокзалу строился станции объявлять.
[105.10s -> 107.10s]  Как тебя туда взяли? Чё ты гонишь?
[107.10s -> 113.34s]  что ты гонишь? Да там в сторону непонятно, *****, *****. Все, я тебя понял. Если есть
[113.34s -> 117.02s]  работа, сразу бы сказал, стоять тут, троить со своим стартером, все, иди отсюда. Если
[117.02s -> 122.70s]  работы есть. Пока, му, му, му. Максим Константинович меня зовут, пора запомнить.
[122.70s -> 127.94s]  Максим Константинович. Я, я, я мусор хотел сказать.
[127.94s -> 192.22s]  Зачем сюда пришли? Зачем? У нас на районе, значит, открылся новый магазин, ну типа, ну военторга
[192.22s -> 196.54s]  продают всякие там обмундирования, предметы, с которыми можно работать.
[196.54s -> 201.66s]  Может перепутали? А шреблешь что-то, нет? Что я перепутал? Вот, смотри, вот наручники продаются.
[201.66s -> 206.22s]  Посмотри, какие мягкие. Для наших исправлений, что бы им удобнее было. Вот здесь женские,
[206.22s -> 211.82s]  красные, мне вот черные синим будут ходить. Какие исправления? Ну мне тогда, меня пристегнешь ими
[211.82s -> 217.18s]  к батарее, чтобы я больше шестей не жрал. Ага, и вы опять как-то тут раз батарея оторвется, мы без
[217.18s -> 221.78s]  топления будем с ним жить. Давай еще прекращай. Вот смотри, какие тупинки продают. Вот смотри, какие здоровые.
[221.78s -> 226.98s]  Вот, вот та черная, вот с ней будем ходить. Потому что в районе вообще бояться перестали. Так что надо брать,
[226.98s -> 233.30s]  пошли на кассу. Девушка, мне вот таких вот три черных заворачивайте. Батареечки нужны будут? Похоже,
[233.30s -> 239.86s]  еще есть. Конечно, нужны, давайте. А ты не знаешь, что сегодня у этих ураков по гороскопу? Да ну вроде все
[239.86s -> 245.06s]  нормально, а вам зачем? Ваши телят. Да думай, что к пиву их брать, не брать. Думай, свежее, не свежее.
[245.06s -> 250.86s]  О, поблученный, здорово. Идите сюда. Я тебя что-то сто лет не видел. А ты что какой? Разрисованный,
[250.86s -> 256.86s]  как парт в школе задний, а. Как это обонит, ты не мороси. Наколки для четкого пацана это уважение.
[256.86s -> 264.82s]  Какие наколки, что у тебя, может там еще купола на спине? Ну да. Ну купола не сильно похожа, а. Ты
[264.82s -> 269.90s]  что, начальник, там такие купола. Убери, я тебе сказал, а. Ты что, ходишь на улице холодно, ты вот так вот
[269.90s -> 276.06s]  хочешь, тебе без разницы что ли вообще? Ты что, обижаешь? Утепленный вариант. Какой ты дебил, а что у тебя на
[276.06s -> 281.78s]  руке? Что это за полоски? Вот это что за полоски? Да это я карту от пятерочки уже третий раз потерял,
[281.78s -> 287.38s]  мне бабушка сказала, если еще раз прое****, денег больше не даст. Бабушка, вообще в курсе вот это твоего
[287.38s -> 293.50s]  творчества, что она говорит? Из дома выгнул. Из знаколок? Да фиг его знает, мне кажется, она просто
[293.50s -> 298.78s]  повод искала. На второй руке у тебя какой? Что за Леха у тебя вот здесь написано? Ты от родя с Лехой не был.
[298.78s -> 304.14s]  Да просто место надо было забить, а на Чернобыль пальцев не хватало. Вообще что ли без головы? Что у тебя
[304.14s -> 310.70s]  там на затылке? Покажи мне. Покажи, что у тебя на затылке? Что это такое? Это если я на зонку паду и мыло
[310.70s -> 316.06s]  уроню, чтобы глаза в глаза смотреть. Какой зон, ты что вгородишь? Ты мне просто вот скажи, вот просто скажи, кто
[316.06s -> 322.10s]  вот тебе вот это наколол? И все, я уйду. Здорово, вам тоже альтатухи нужны? А я вот так и думал, Олег, что это ты
[322.10s -> 327.46s]  сделал? Вот так и думал, потому что ты сам на человека не похож, что еще других таким делаешь? Баржа, да ты угомонись,
[327.46s -> 333.98s]  давай мы тебе вот звездочки на плечах наколем, чтобы ты без форм на мента похож был. Я вам сейчас дам на
[333.98s -> 341.86s]  мента похож. В отделение пойдем, честно, на башке тебе прям протокол наколю, а? Вот давно не видел столько же вас, не видел обоих. Иди не смотри на машину.
[341.86s -> 348.62s]  Так, то видос вырубает, то штраф получает. Вот это правило, пожалуйста, вас очень сильно прошу никогда в своей жизни не забывайте, если вам
[348.62s -> 355.62s]  понравилось это видос, обязательно подписывайтесь на наш канал, чтобы не пропустить новые выпуски. И не забывайте подписываться на
[355.62s -> 363.02s]  наш инстаграм, там много всего интересного. А еще больше всего интересного в нашем с Оли телеграм канале, мы там с вами общаемся
[363.18s -> 372.46s]  вживую, скидываем фотографии, обсуждаем, что нам поесть, что нам попить, что купить. Заходите туда, общайтесь с нами, там очень круто. И хочу вам напомнить, что у меня есть еще
[372.46s -> 381.42s]  кулинарный канал, я там готовлю с любимым персонажем из вашего сериала, ну то есть и с Оли ПДН я готовил, и с Сундуком, и с Земой, и с Чернобылем, и с Москвичом.
[381.42s -> 392.06s]  В общем, очень там круто, обязательно переходите на канал Максим Народный и проводите холодный осенний вечерок по чашке кофе и под мои видосы. Все, давайте. Частя имею, исполните.
