[4.78s -> 7.22s]  Три, два, один!
[9.22s -> 11.22s]  О, проехался по мячу!
[12.38s -> 14.38s]  Он его уничтожил!
[15.38s -> 16.38s]  Супер!
[16.42s -> 19.54s]  Ой-ой-ой! Давай, если его заканчишь, выиграешь!
[21.74s -> 23.74s]  Не-не-не-не, стой там!
[24.58s -> 25.58s]  Ты закипел!
[28.44s -> 31.04s]  Привет, братва! Это 1000 долларов шоу,
[31.08s -> 33.08s]  и я его ведущий, Дима Гордей.
[34.08s -> 38.08s]  Дима Гордей – один из самых популярных автоблогеров России.
[38.12s -> 41.12s]  Его аудитория в почти 7 миллионов подписчиков
[41.16s -> 45.16s]  не раз убеждалась в том, что он может превратить обычный автомобиль
[45.20s -> 49.20s]  в машину мечты, и что любое средство передвижения
[49.24s -> 52.24s]  это не только практично, но и весело.
[52.28s -> 56.28s]  На этой неделе я придумал автобеляр!
[56.32s -> 59.32s]  Как всегда, я отобрал четырех подписчиков,
[59.36s -> 62.36s]  которые будут бороться за 1000 долларов.
[62.64s -> 64.64s]  Так что желаю вам приятного просмотра!
[64.68s -> 66.68s]  Готовьте чаек и погнали!
[77.88s -> 80.88s]  По правилам челленджа, каждому из четырех участников
[80.92s -> 83.92s]  дается по одной попытке, чтобы затолкнуть все 15 шаров
[83.96s -> 85.96s]  на площадке в одну из двух луз.
[86.00s -> 88.00s]  На это я даю пять минут.
[88.04s -> 91.04s]  Кто забит больше, победит и заберет 1000 долларов.
[92.76s -> 94.76s]  Так, друзья, всем привет!
[94.80s -> 96.80s]  Меня зовут Дима.
[97.32s -> 99.32s]  Наразу догадались, что будет происходить, да?
[99.36s -> 101.36s]  Примерно плюс-минус.
[101.40s -> 103.40s]  Играли в билярдный?
[103.44s -> 105.44s]  Есть возможность поднять бабла.
[105.48s -> 108.48s]  Как вы видите, там наш стол билярдный.
[108.52s -> 110.52s]  Есть тачки.
[110.56s -> 112.56s]  Каждый сейчас выберет по машине.
[112.60s -> 114.60s]  Желаю всем удачи!
[114.64s -> 116.64s]  Куда, кстати, потратите деньги?
[116.68s -> 118.68s]  Ну, я думаю, в саморазвитие.
[118.72s -> 120.72s]  На коляску!
[120.76s -> 122.76s]  У меня коляска нужна, но это не хватит.
[122.80s -> 124.80s]  Придется добавить.
[124.80s -> 131.04s]  Так, вот ключи, они пронумерованы, но вы не знаете, какая, где машина.
[133.80s -> 136.60s]  Да нет, дверь открыта, это ключи от зажигания.
[139.52s -> 143.72s]  И напоследок давайте посчитайтесь на каменную бумагу, кто первый.
[143.72s -> 145.92s]  Как вы ее считаете, лучше первым или последним быть?
[145.92s -> 147.72s]  Третьим. Важно здесь быть.
[147.72s -> 149.36s]  Вторым, я думаю, не первым просто.
[149.36s -> 152.08s]  Могу просто сказать, да, лучше быть не первым, лучше быть последним,
[152.08s -> 155.32s]  потому что будешь знать результаты и будешь знать, сколько тебе точно нужно забить.
[155.52s -> 158.12s]  Камя, нож и сыр, бумага, раз, два, три.
[159.12s -> 160.12s]  Последний.
[160.12s -> 162.12s]  Нет, первый.
[162.12s -> 165.12s]  Кто-то выиграет, но ты имеешь право выбора, как бы.
[165.12s -> 166.32s]  Раз, два, три.
[166.32s -> 168.32s]  Раз, два, три.
[168.32s -> 169.72s]  Я выиграл, по-моему.
[169.72s -> 171.12s]  Ну, если бы мне нам вычитать.
[171.12s -> 174.12s]  Камя, нож и сыр, бумага, раз, два, три.
[174.12s -> 175.12s]  Ну, все.
[175.12s -> 177.12s]  Ты последний, да?
[177.12s -> 178.12s]  Ты предпоследний, правильно?
[178.12s -> 179.12s]  Да.
[179.12s -> 180.12s]  Ты тогда...
[180.12s -> 181.12s]  Второй.
[181.12s -> 182.12s]  Второй ты первый.
[182.12s -> 183.12s]  Спокойно.
[183.12s -> 187.12s]  Давайте, садитесь по машинам, я пойду на место и дам сигнал.
[187.12s -> 188.12s]  Окей.
[188.12s -> 189.12s]  Поехали.
[189.12s -> 190.12s]  Всем удачи.
[190.12s -> 214.12s]  Итак, первым у нас стартует Леха, у него, кстати, самая крутая
[214.12s -> 215.12s]  тачка.
[215.12s -> 216.12s]  Ну, что, готов?
[217.12s -> 223.12s]  Пять минут начинается.
[223.12s -> 226.12s]  Сразу забивает один мяч.
[226.12s -> 227.12s]  Разбейся.
[227.12s -> 229.12s]  А, и второй, да.
[229.12s -> 231.12s]  Два меча уже есть?
[231.12s -> 234.12s]  Давай, давай, сейчас еще один укатится.
[234.12s -> 235.12s]  Что-то он глупит.
[235.12s -> 236.12s]  Да нет, почему?
[236.12s -> 237.12s]  Так, три есть.
