[5.17s -> 7.17s]  Блин, мы протеста забыли
[9.43s -> 12.95s]  Да, ну трек-мем вообще просто биф высосанный из пальцев
[12.95s -> 14.55s]  Это прикольный панч все-таки
[14.55s -> 17.19s]  Поэтому я за разнообразие, а не безобразие
[17.19s -> 18.39s]  Лилуэйн говорил так
[18.39s -> 19.39s]  Перебелый
[19.39s -> 20.39s]  Наконец-то!
[25.73s -> 26.85s]  Всем большой пламенный!
[26.85s -> 30.09s]  Меня зовут Ярослав Грин и вы смотрите Kitchen Stories
[30.09s -> 33.61s]  Сегодня у нас в гостях артист, которого принято называть райпером
[33.61s -> 37.89s]  Но если вы послушаете его музыку, поймете, что там все намного глубже и дальше
[37.89s -> 39.89s]  Лизер, друзья, прошу любить и жаловать
[39.97s -> 41.97s]  Всем привет, всем салам алейкум
[41.97s -> 45.37s]  Сегодня будем готовить лизгинский хинкал и салат
[45.37s -> 47.37s]  Простой, но вкусный
[47.37s -> 49.37s]  Арсен, спасибо тебе, что ты к нам пришел
[49.37s -> 52.37s]  Прежде чем мы приступим к тому, что ты только что озвучил
[52.37s -> 55.37s]  Я вкратце расскажу тебе правила нашей программы
[55.37s -> 58.37s]  Все артисты на Kitchen Stories приходят не с пустыми руками
[58.37s -> 64.37s]  Они приносят отличное настроение и классный свой фирменный рецепт
[64.37s -> 67.37s]  Он попадет в нашу специальную книгу рецептов от Kitchen Stories
[67.85s -> 69.85s]  Которую мы будем создавать после сезона
[69.85s -> 71.85s]  Ты к нам принес хинкал
[71.85s -> 73.85s]  Почему именно его?
[73.85s -> 80.85s]  Потому что это, наверное, самое частое блюдо, которое готовят у нас на Кавказе
[80.85s -> 84.85s]  В основном, когда много людей собирается на квартире
[84.85s -> 87.85s]  Гости, негости или большая компания родственников
[87.85s -> 90.85s]  Готовят обычно огромными порциями, чтобы всем хватило
[90.85s -> 96.85s]  Достаточно сытная еда, но лучше не чистить, потому что можно потолстеть
[97.33s -> 101.33s]  Так, хорошо, расскажи, пожалуйста, что нам для этого потребуется
[101.33s -> 106.33s]  Для хинкала, прежде всего, нам потребуется мука, яйца, курица
[106.33s -> 109.33s]  Из которой потом получится очень вкусный бульон
[109.33s -> 114.33s]  Для подлива нам понадобится сметана, чеснок, томатная паста и лук репчатый
[114.33s -> 119.33s]  Для салата нам потребуются помидоры, огурцы, перец, кинза
[119.33s -> 121.33s]  Пока вроде все
[121.33s -> 123.33s]  С чего начнем?
[123.33s -> 126.33s]  Начнем мы с подогревания воды, чтобы она закипела
[126.81s -> 131.81s]  Вначале возьмем лук, нужно резать квадратиками
[131.81s -> 135.81s]  У меня на самом деле мама научила готовить хинкал
[135.81s -> 137.81s]  Она готовит очень вкусный
[137.81s -> 141.81s]  Я часто зову своих друзей на квартиру, мы сидим кушаем
[141.81s -> 144.81s]  Всегда очень приятно, дает какие-то отголоски детства
[144.81s -> 148.81s]  Мне было достаточно легко научиться, потому что я в детстве всегда
[148.81s -> 151.81s]  сидел на кухне, наблюдал, как мама готовит
[151.81s -> 153.81s]  Подъедал там все время
[154.29s -> 158.29s]  Скажи мне пожалуйста, хинкал и хинкали, они очень созвучны в названии
[158.29s -> 160.29s]  Но это абсолютно разное блюдо
[160.29s -> 162.29s]  Очень часто путают на самом деле
[162.29s -> 165.29s]  Причем почему-то очень мало людей в Москве, в России знает
[165.29s -> 167.29s]  Что такое хинкал
[167.29s -> 170.29s]  Я когда говорю, вот хинкал люблю, они такие, что, хинкали?
[170.29s -> 172.29s]  Я такой, нет, хинкал
[172.29s -> 176.29s]  И вот советую всем попробовать, потому что это нереально вкусно
[176.29s -> 180.29s]  Особенно очень вкусный бульон, который получается после
[180.77s -> 183.77s]  Это просто народный рецепт или какой-то семейный?
[183.77s -> 185.77s]  Это мамин рецепт, давайте так
[185.77s -> 188.77s]  Он классический на самом деле, в нем особой мудренности нет
[188.77s -> 193.77s]  Единственное, что есть такая фишка, что обычно курицу кладут сразу в воду
[193.77s -> 198.77s]  Но для того, чтобы она получилась такая, мягкая, сочная
[198.77s -> 202.77s]  Ее нужно класть в закипающую воду, это очень важно
[202.77s -> 204.77s]  Может быть я тебе пока чем-то помогу?
[204.77s -> 208.77s]  Смотри, вот в томатную пасту нужно две ложки
[209.25s -> 212.25s]  Так, сейчас вот здесь, тема
[212.25s -> 216.25s]  Две столовые ложки пасты
[216.25s -> 221.25s]  Потом немного залить воды, размешать это все
[221.25s -> 224.25s]  Столовые ложки прям вот такие мощные?
[224.25s -> 226.25s]  Да, да, да, да
[226.25s -> 230.20s]  Да, да
[230.20s -> 232.20s]  Все это нужно тщательно размешать
[232.20s -> 236.20s]  Сейчас закинем лук в сковородку
[236.20s -> 240.20s]  Чтобы он поджарился до такой золотистой корочки, не сильно
[240.68s -> 241.68s]  И после добавим пасту
[241.68s -> 243.68s]  А ты часто вообще готовишь это блюдо?
[243.68s -> 244.68s]  Я?
[244.68s -> 245.68s]  Да, дома
[245.68s -> 248.68s]  Если честно, не очень часто, но вот мама готовит, когда вот прям
[248.68s -> 252.68s]  Знаете, бывает такое ощущение, у нас вот захотелось хинкала
[252.68s -> 256.68s]  И я звоню обычно маме, мам, хочу хинкала, приезжаю домой, она готовит
[256.68s -> 259.68s]  Ну или если я хочу друзей собрать, говорю, я приду с друзьями
[259.68s -> 261.68s]  Она готовит такие огромные порции
[261.68s -> 263.68s]  Добавим немного масла
[264.68s -> 267.68s]  Ты вообще, когда готовишь сам
[268.16s -> 271.16s]  Ты в каком сопровождении это делаешь?
[271.16s -> 274.16s]  Музыка, конечно, всякий фанк, не знаю, джаз
[274.16s -> 277.16s]  Или там, не знаю, включаю какого-то нового артиста
[277.16s -> 280.16s]  Ну и слушаю, то есть обычно, когда ты где-то гуляешь, хочешь
[280.16s -> 283.16s]  Тебе хочется слушать какие-то свои песни любимые
[283.16s -> 285.16s]  В своем смысле знакомые уже любимые
[285.16s -> 287.16s]  Да, да, да, да, да, да
[287.16s -> 289.16s]  Но вот когда чем-то занимаешься, круто на фон включать альбом
[289.16s -> 292.16s]  Это новая музыка, то есть можно ее как-то впитать в себя
[292.16s -> 294.16s]  Так, теперь нужно размешать
[294.16s -> 296.16s]  Так, лопаточку бери любую
[296.64s -> 298.64s]  Что бы ты включил послушать?
