[0.00s -> 1.94s]  оооооооооооооооооооо
[1.94s -> 3.94s]  дай хотя бы мне�з бинзе
[3.94s -> 4.94s] wait for 8 min
[5.30s -> 6.82s]  заSpit
[11.68s -> 12.68s]  Netflix
[12.96s -> 13.74s]  Жди меня
[15.90s -> 29.87s]  в шоупробы
[30.11s -> 32.11s]  попадают начинающие актеры
[32.25s -> 35.45s]  они еще не знают, но впереди ждет etwas необычного
[35.69s -> 40.15s]  прошедшие снимутся в новом детище экстравагантового режиссера
[40.15s -> 41.59s]  Геры Теплова
[41.87s -> 43.87s]  приятного просмотра
[44.03s -> 45.21s]  Оу
[45.21s -> 47.19s]  Оооууууу, намасте!
[48.21s -> 49.19s]  Тойка Руська!
[50.21s -> 51.19s]  Привет!
[51.21s -> 54.19s]  Здравствуйте, меня зовут Карина Страхова, мне 40 лет.
[54.21s -> 55.19s]  Вы в вашем политическом бок-шоу?
[55.21s -> 56.19s]  Нет.
[56.21s -> 58.19s]  Отлично. Спасибо, он и одно и дело.
[58.21s -> 59.19s]  Отлично.
[59.21s -> 62.19s]  Мальчик, веди ко мне что бабушка покажет.
[62.21s -> 65.19s]  Ооой, лайк, well done!
[65.21s -> 73.19s]  Здравствуйте, меня зовут Екатерина Бачкова, мне 40 лет, более двух лет я в кино, полный метр сериала, клипы, шоу и так далее.
[73.19s -> 79.35s]  ну я член гильдии киноактеров уже лет 30 снялся полусотни филюм так вы сказали в
[79.35s -> 83.79s]  анкете что вы можете побриться на голове и показать задницу да да
[83.79s -> 89.71s]  это клево это нафлекс меня зовут ян донн и но я несколько раз отказывался от
[89.71s -> 97.71s]  наша раша недавно меня значит приглашал как его звать-то светлаков да вот он
[98.71s -> 102.55s]  идёт и на вас
[108.67s -> 115.47s]  начинает пронзать ваше тело и вы веритесь к нам он начинает лести с задницы и задница
[115.47s -> 121.35s]  лезет вы хотите держать держать его нельзя нельзя что бы вышел нельзя
[121.35s -> 126.35s]  Я сам вышел! Держим! Но он вырывается! ВЫРЫВАЕТСЯ! ВЫРЫВАЕТСЯ!
[126.35s -> 127.85s]  Можете кричать, если хотите.
[127.85s -> 130.65s]  Он заполонил вас, и вы стали злые.
[130.65s -> 133.55s]  Посмотрите в камеру, как будто вы поменялись.
[142.56s -> 144.56s]  Мне ближе сказочный персонаж.
[144.56s -> 145.56s]  Сказочный.
[145.56s -> 146.36s]  Леший.
[147.36s -> 148.56s]  Отдай свитер, сказал!
[148.56s -> 149.86s]  Да хрена тебе его отдам?
[149.86s -> 152.06s]  Отдай мяч мяку свою! Вмахнемся!
[152.06s -> 155.06s]  Что же делать русскому, чтобы догнать Голливуд?
[155.06s -> 156.56s]  Догнать Голливуд?
[157.06s -> 158.06s]  Не обогнай.
[159.06s -> 160.56s]  Разбомбить Голливуд?
[162.56s -> 163.56s]  Сырь!
[164.56s -> 165.56s]  Сука!
[165.56s -> 166.56s]  Обзывай меня, скажи!
[166.56s -> 168.56s]  ***** ты, *****, очкастая, *****!
[168.56s -> 169.56s]  Ну, ну!
[169.56s -> 170.56s]  *****!
[170.56s -> 172.56s]  Нет, 29 лет.
[172.56s -> 173.56s]  Чауе!
[173.56s -> 175.56s]  Я приехал с Воронежа. Город Куроже.
[175.56s -> 177.56s]  Чем занимаешься?
[177.56s -> 178.56s]  Варю кофе.
[178.56s -> 179.56s]  А еще чем?
[179.56s -> 181.56s]  Ну, все. Все.
[182.56s -> 185.56s]  В младенческом возрасте обучен ремонту людей.
[186.26s -> 187.26s]  Извыди, сатана!
[187.26s -> 188.26s]  Нет!
[188.26s -> 190.26s]  Покинь все объекты!
[198.82s -> 199.82s]  Теперь в вас этот дьявол.
[199.82s -> 202.82s]  Теперь вы, вы на меня. Покажите дьявола.
[204.82s -> 205.82s]  Сюда. Сюда.
[205.82s -> 206.82s]  Сюда.
[206.82s -> 207.82s]  Еще.
[208.82s -> 209.82s]  И сюда.
[209.82s -> 215.82s]  А лисички взяли спички, подожгались, ланул яички.
[216.52s -> 219.52s]  Ну, что ты хочешь, чтобы я тебя продала в свое детство?
[219.52s -> 225.52s]  40-летней девушке, которая жаждет, а сам-то потянешь бабушку.
[225.52s -> 228.52s]  How much? Сколько? В деньгах потянешь или как?
[228.52s -> 231.52s]  Господи, деньги. Да я тебе сама приплачу, если согласишься.
[231.52s -> 233.52s]  Не потянешь по времени.
[233.52s -> 235.52s]  Что мне нужно сделать, чтобы потянуть?
[235.52s -> 237.52s]  Покажи себя в танцы.
[237.52s -> 239.52s]  В танцы в каком?
[239.52s -> 241.52s]  В ротичном хотя бы.
[241.52s -> 243.52s]  Дай хотя бы мне возбудиться.
[243.52s -> 245.52s]  Вот так вот возбуждаешься.
[246.22s -> 248.22s]  Слушай, я так сама могу.
[248.22s -> 250.22s]  Show me, show me, show me.
[250.22s -> 251.22s]  Не-не-не.
[251.22s -> 254.22s]  Мы прям почти близки, too close для Netflix.
[254.22s -> 255.22s]  Знаешь Netflix?
[255.22s -> 256.22s]  Да, есть.
[256.22s -> 260.22s]  И нам сказали, нужно тоже супергерои создать свою вселенную.
[260.22s -> 265.22s]  Мы хотим уйти от этих образов кошки, животные, медведи.
[265.22s -> 268.22s]  В русском неинтересно это.
[268.22s -> 270.22s]  Мы хотим большой ребенок.
[270.22s -> 272.22s]  Большой ребенок это победитель.
[272.22s -> 274.22s]  Это еще папир, что ли?
[274.92s -> 276.92s]  Это не памперс.
[277.92s -> 279.92s]  Это твоя защита.
[279.92s -> 281.92s]  От чего? От клопов?
[281.92s -> 282.92s]  Нет, от американцев.
[282.92s -> 284.92s]  На тебя нападают со всех сторон.
[284.92s -> 286.92s]  И кидаешься, fireballs, fireballs.
[286.92s -> 288.92s]  Кидаешься.
[288.92s -> 289.92s]  И в другую сторону.
[289.92s -> 291.92s]  И в другую.
[291.92s -> 293.92s]  И клич. Да, можно перекрестный.
[293.92s -> 295.92s]  Давай перекрестный.
[295.92s -> 297.92s]  Я больше тебя.
[297.92s -> 299.92s]  Давай.
[299.92s -> 301.92s]  Еще раз, как зовут?
[301.92s -> 302.92s]  Влад.
[302.92s -> 303.92s]  Какой-нибудь образ.
[303.92s -> 305.92s]  Давайте, чтобы вы не были с собой в кадре.
[305.92s -> 307.92s]  Вы умеете переображаться?
[307.92s -> 308.92s]  Попробую.
[308.92s -> 310.92s]  В женщину можете?
[310.92s -> 312.92s]  Ну, скорее в манерное, что ли.
[312.92s -> 314.92s]  О, клево. Есть парик?
[314.92s -> 316.92s]  Парик срочно, ребятки.
[316.92s -> 318.92s]  Давайте, что стоит?
[318.92s -> 319.92s]  Как его надевать?
[319.92s -> 321.92s]  Давайте, войдите в образ.
[321.92s -> 325.92s]  Поем, да, но внутри плачем, потому что не понимает.
[325.92s -> 329.92s]  Я на тебе никогда не живу.
[329.92s -> 334.92s]  Я лучше съем перед Заксом свой паспорт.
[334.92s -> 336.92s]  Так, веришь в экстрасенсорику?
[336.92s -> 337.92s]  Да.
[337.92s -> 338.92s]  Так.
[338.92s -> 339.92s]  Во что?
[339.92s -> 343.92s]  Human design, там, гороскопы.
[343.92s -> 344.92s]  Во все.
[344.92s -> 345.92s]  Во все.
[345.92s -> 346.92s]  Кто по гороскопу?
[346.92s -> 347.92s]  Близнец.
[347.92s -> 348.92s]  Запиши, близнец.
[348.92s -> 350.92s]  Так, близнец.
[350.92s -> 352.92s]  Я просто рак.
[352.92s -> 354.92s]  А я родилась 21 июня.
[354.92s -> 356.92s]  Я близнецы, поставленные раком.
[356.92s -> 357.92s]  Могу и так, и так.
[357.92s -> 358.92s]  Поставленные раком?
[358.92s -> 360.92s]  Мне нравится.
[388.92s -> 393.92s]  Еще раз будешь спать с моим мужем, твой нос познакомится
[393.92s -> 394.92s]  с моей пяткой.
[394.92s -> 397.92s]  Какую роль бы вы хотели сыграть?
[397.92s -> 404.92s]  Умной девочке, девочке-ученого, смешной, странной, эксцентричной,
[404.92s -> 405.92s]  горе от ума.
[405.92s -> 409.92s]  Сможешь управлять мною через шар?
[409.92s -> 430.51s]  Поведи мне даргазма, чтобы прям, давай, в нижнюю чакру,
[430.51s -> 431.51s]  в нижнюю чакру.
[431.51s -> 432.51s]  Давай.
[432.51s -> 436.51s]  И прям попробуй, смотри туда, прям прожигай мне.
[462.03s -> 465.03s]  Вас чужой внутри, чужой сидит вас.
[465.03s -> 466.03s]  Под свитером вашим.
[466.03s -> 467.03s]  Ну!
[467.03s -> 469.03s]  Я тебя, я тебя, я тебя, я тебя.
[469.03s -> 470.03s]  Да?
[470.03s -> 471.03s]  Да.
[471.03s -> 472.03s]  Ты гениален, джинус.
[472.03s -> 474.03s]  Вылезай, это называться, свитер.
[474.03s -> 476.03s]  Так, хорошо, хорошо, вылезай.
[476.03s -> 479.03s]  Никита, да, Владислав, кто бы это ни был, в тебе чужой.
[479.03s -> 482.03s]  Господи, вас что, никогда никто не был?
[482.03s -> 484.03s]  Я вас, Владимир, никогда.
[484.03s -> 487.03s]  А по свитеру ты скажешь, работаем, давайте, давайте.
[502.03s -> 503.03s]  Какой хитрый.
[505.03s -> 508.03s]  Ты входишь в астрал через пение.
[519.66s -> 521.66s]  Не верю в духов.
[521.66s -> 522.66s]  Напрасно.
[522.66s -> 525.66s]  Покажите мне духа, духа, сыграйте духа.
[525.66s -> 526.66s]  Какой он?
[526.66s -> 529.66s]  Немножко сказочный такой, Тим Бёртон, Тим Бёртон.
[530.66s -> 536.06s]  И в меня, прям в меня, в меня.
[539.06s -> 542.06s]  И я вам в обратку, но вам ничего, отражайте.
[542.06s -> 543.06s]  Не будет, не будет.
[543.06s -> 545.06s]  Как не будет, смотрите будет.
[546.06s -> 547.06s]  Меня цыганки боятся.
[549.06s -> 550.06s]  А я нет.
[550.06s -> 553.06s]  У меня кот вот здесь катается.
[553.06s -> 555.06s]  Птицы садятся на плечо.
[555.06s -> 557.06s]  Я был в люгерце.
[557.06s -> 559.06s]  Из банка вышел, идут машины.
[559.06s -> 563.06s]  Слышу на дереве душераздирающий писк.
[563.06s -> 566.06s]  Я к голову, там ворона с ласточкой.
[566.06s -> 568.06s]  Я на неё рявкнул.
[568.06s -> 570.06s]  Ласточка упала, я её подобрал.
[570.06s -> 572.06s]  В машину с собами.
[572.06s -> 574.06s]  А по дороге оклемалась и ко мне на плечо.
[576.06s -> 577.06s]  Поехали.
[578.06s -> 581.06s]  Ты хочешь результата в секунду.
[581.06s -> 582.06s]  Так не бывает.
[582.06s -> 585.06s]  Для этого многие, такие как ты мне сравниваешь с Буруновым,
[585.06s -> 587.06s]  идут к этому гаданию.
[587.06s -> 590.06s]  Ты хочешь получить всё за меньше, чем за минуту.
[590.06s -> 592.06s]  За час, за 20 минут.
[592.06s -> 594.06s]  Люди этим занимаются всю жизнь.
[594.06s -> 596.06s]  Они учатся для этого специально.
[597.06s -> 599.06s]  Что ты хочешь увидеть?
[599.06s -> 601.06s]  Меня ты хочешь увидеть?
[601.06s -> 603.06s]  На смотри, я перед тобой стою.
[604.06s -> 605.06s]  Всё, всё, всё.
[605.06s -> 607.06s]  Выдохните, выдохните, выдохните.
[607.06s -> 608.06s]  Всё, выдохните.
[608.06s -> 610.06s]  Ты талантливый, ты талантливый, Герр.
[610.06s -> 611.06s]  Ой, как вас?
[611.06s -> 613.06s]  Вы *** да п*** рука.
[613.06s -> 615.06s]  Ты талантливый, всё, всё, иди.
[615.06s -> 616.06s]  Молодец.
[617.06s -> 626.71s]  Нетфликс. Нетфликс.
[629.71s -> 630.71s]  Скажите, нетфликс.
[630.71s -> 631.71s]  Жди меня.
[632.71s -> 634.71s]  Нетфликс. Жди меня.
[635.71s -> 636.71s]  Всё, спасибо.
[637.71s -> 641.21s]  Браво, браво.
[642.21s -> 643.21s]  Ребята, раз, раз, раз.
[643.21s -> 644.21s]  Нет, не работает.
[644.21s -> 646.21s]  Раз, раз, раз, раз, раз, раз.
[646.21s -> 648.21s]  Итак, все молодцы.
[648.21s -> 650.21s]  Все замечательно себя раскрыли.
[650.21s -> 652.21s]  Это ещё не всё.
[652.21s -> 654.21s]  У нас будут впереди съёмки.
[654.21s -> 656.21s]  Поэтому переходим к касту.
[656.21s -> 657.21s]  Дед-ведунья.
[657.21s -> 660.21s]  Сейчас не то, что нам точно нужно.
[660.21s -> 662.21s]  Спасибо вам большое.
[662.21s -> 664.21s]  Можно уходить. Всё.
[664.21s -> 665.21s]  Идите.
[665.21s -> 666.21s]  Так.
[666.21s -> 670.21s]  Ну а вы, браво, браво, браво, браво, браво, браво, браво, браво.
[670.21s -> 672.21s]  Екатерина, вы strong woman.
[672.21s -> 673.21s]  Strong enough.
[673.21s -> 674.21s]  Да, всё здорово.
[674.21s -> 676.21s]  Вы очень трушные для нас.
[676.21s -> 678.21s]  Нам нужно немножко flexible.
[678.21s -> 679.21s]  Вот этого.
[679.21s -> 680.21s]  Но у вас true.
[680.21s -> 683.21s]  И прям вам респект, уважение и удачи.
[683.21s -> 685.21s]  Удачи, удачи, удачи.
[685.21s -> 687.21s]  Вы лучшая, вы лучшая.
[687.21s -> 690.21s]  Тёмочка, супергероями мы сейчас заморозили.
[690.21s -> 691.21s]  Нетфликс пока не утвердил.
[691.21s -> 693.21s]  Спасибо большое.
[693.21s -> 695.21s]  Но ничего, ничего. Всё нормально.
[695.21s -> 698.21s]  Ты лучший, ты лучший, ты лучший.
[698.21s -> 700.21s]  Валентин, как...
[700.21s -> 702.21s]  Влад, Влад, Влад, Влад.
[702.21s -> 705.21s]  Влад, вы классно.
[705.21s -> 707.21s]  Свитер классный, нутро здорово.
[707.21s -> 709.21s]  Вы герой-любовник.
[710.21s -> 712.21s]  Не ы, а да.
[712.21s -> 714.21s]  Вы герой-любовник.
[714.21s -> 719.21s]  Яндоне, вы утверждены на роль злого духа.
[720.21s -> 722.21s]  Да, да.
[722.21s -> 726.21s]  Ксения, не получилось у нас с эксцентрикой.
[726.21s -> 728.21s]  Но я увидел у вас разбитое сердце.
[728.21s -> 730.21s]  Вы девушка с разбитым сердцем.
[730.21s -> 732.21s]  Вы утверждены.
[732.21s -> 734.21s]  И Карина, гадалка Смутьяна.
[734.21s -> 736.21s]  Вы главная роль.
[736.21s -> 738.21s]  Это франшиза, мы будем раскручивать.
[738.21s -> 740.21s]  Готовьтесь к роли, заряжайтесь.
[740.21s -> 742.21s]  Мы поехали. Всё здорово.
[742.21s -> 744.21s]  Спасибо вам.
[744.21s -> 748.23s]  Это Нетфликс.
[748.23s -> 750.23s]  Это Нетфликс.
[750.23s -> 754.82s]  Это Нетфликс.
[754.82s -> 756.82s]  Скажите, это Нетфликс.
[756.82s -> 758.82s]  Нетфликс.
[758.82s -> 760.82s]  Это Нетфликс.
[778.98s -> 792.02s]  Смутьяна, здравствуйте.
[792.02s -> 794.02s]  Меня вас очень советовали.
[794.02s -> 796.02s]  Я знаю.
[796.02s -> 798.02s]  Садитесь.
[798.02s -> 800.02s]  У меня очень сложная ситуация.
[800.02s -> 802.02s]  За простые столько и не платят.
[804.02s -> 806.02s]  Ну ты принесла то, что я просила?
[806.02s -> 808.02s]  Да, конечно.
[827.06s -> 829.06s]  М-м-м-м-м!
[829.06s -> 831.06s]  Ф-ф-ф-ф!
