[0.24s -> 14.01s]  Доброе утро! И, как обычно, небольшой прогноз на сегодня.
[14.01s -> 20.61s]  Венера в этом январе говорит вам быть осторожными, ведь это время больших перемен.
[20.61s -> 26.33s]  А насколько это вообще правда? Нет, я серьезно. Каждый из нас знает знак своего зодиака.
[26.33s -> 32.05s]  А зачем? По телевизору, по радио, даже в новостях вы слышите странные прогнозы.
[32.05s -> 35.65s]  А как же наука? Всем привет, друзья! Я Варя.
[35.65s -> 40.89s]  Здесь мы по другим углом разбираем вещи и явления, которые привыкли видеть каждый день.
[40.89s -> 45.61s]  И сегодня мы рассмотрим астрологию. Наука вообще-то или нет?
[45.61s -> 48.41s]  Да и что, в конце концов, говорят нам факты?
[48.41s -> 59.39s]  Ну, как в развлекательном плане, да, интересно там послушать про астрологию кельцы, скорпионы и так далее.
[59.39s -> 64.15s]  Но как в научном виде, говорят. Ну, наука больше, скажем так, факты.
[64.15s -> 68.03s]  Что-то подтвержденное, что-то доказанное. Ну, в этом плане.
[68.27s -> 70.67s]  Переобщить к науке только как к психологии.
[70.67s -> 73.27s]  Чуть-чуть верю в прогнозы.
[73.27s -> 75.07s]  А считаете наукой ее?
[75.07s -> 77.59s]  Наука? Наверное.
[77.59s -> 82.75s]  Ну, вот верю, когда на год вас оставляют, по дате, по времени.
[82.75s -> 83.87s]  Положительно.
[83.87s -> 86.19s]  Прислушиваетесь часто к прогнозам?
[86.19s -> 88.79s]  Прислушиваюсь и очень часто даже совпадаю.
[88.79s -> 91.19s]  Вот я козерог, например, ну, я совсем не козерог.
[91.19s -> 96.47s]  По знаку зодиака, по году моего и дня рождения я козерог. Ну, я стрелец, по характеру, да.
[96.71s -> 100.55s]  Даже вот я такая интересная ситуация, сколько раз мне говорят,
[100.55s -> 105.59s]  ой, ну, ты совсем не козерог, они такие мутные, такие они вообще очень тяжелые, как люди.
[105.59s -> 110.55s]  Продолюбивые, такие серьезные. Я нет, я люблю деньги, люблю их тратить.
[110.55s -> 112.87s]  А козероги, они такие более экономные, да?
[112.87s -> 114.39s]  Не очень хорошо.
[114.39s -> 116.67s]  Вы не прислушаетесь к прогнозам?
[116.67s -> 119.15s]  Не прислушиваюсь. Живу в реале.
[119.15s -> 123.23s]  А, do you like astrology? What do you think about it?
[123.23s -> 125.23s]  We don't know what you're talking about.
[125.23s -> 131.31s]  Знаки зодиака – это созвездия, через которые проходило Солнце в момент вашего рождения.
[131.31s -> 134.51s]  Солнце движется по небу в одной плоскости.
[134.51s -> 139.63s]  Ее называют эклиптикой. В нее попадают созвездия, которые и называют зодиакальными.
[139.63s -> 143.35s]  По древнему учению их 12, а на самом деле 13.
[143.35s -> 148.59s]  Через змей носец Солнце проходит период с 30 ноября по 17 декабря.
[148.59s -> 150.79s]  Но его астрологи почему-то не учитывают.
[150.91s -> 157.47s]  Астрология утверждает, что положение на небе звезд, планет и Солнца в момент вашего рождения
[157.47s -> 159.91s]  определяют потенциал вашей личности.
[159.91s -> 164.19s]  Будете ли вы более общительным, а может быть усичиваем или творческим?
[164.19s -> 168.07s]  Определяют, но ничего не гарантируют. Еще бы.
[168.07s -> 174.87s]  Все-таки большую часть формирования личности астрологи отдают обстоятельствам или собственному выбору человека.
[174.87s -> 178.07s]  Поэтому хорошо, если вы поступаете так, как они говорят.
[178.15s -> 182.83s]  Астрологи считают, что с помощью нотальной карты могут описать ваш характер,
[182.83s -> 187.07s]  подсказать, когда вам лучше заключить брак или взять кредит никогда.
[187.07s -> 192.39s]  Или пойти на новую работу. А еще они считают астрологию наукой.
[192.39s -> 199.19s]  Частый аргумент астрологов – астрология появилась очень давно.
[199.19s -> 206.43s]  Эти знания прошли до нас сквозь тысячи лет, а самих предков сотни поколений доверяли этим таинственным учением.
[206.43s -> 209.71s]  А значит, ей можно верить. Давайте разберемся.
[209.87s -> 215.11s]  Вообще, само представление о Вселенной тысячи лет назад сильно отличалось от сегодняшнего.
[215.11s -> 218.99s]  Расстояние до звезд поучились определять только в XIX веке.
[218.99s -> 225.55s]  Плюс, созвездие – это всего лишь двумерная проекция далеких друг от друга и, чаще всего, несвязанных звезд.
[225.55s -> 234.95s]  Например, в созвездии Орла расстояние до звезды Альтаир составляет всего 50 световых лет, а до ее соседки по созвездию уже 123 световых года.
[234.99s -> 245.47s]  А в созвездии Лебедя расстояние до этой звезды составляет 164 световых года, а до более яркой и, казалось бы, близкой звезды 1500 световых лет.
[245.47s -> 251.91s]  Часто звезды летят вообще в разные стороны. Конечно, они, как и мы, вращаются вокруг центра галактики.
[251.91s -> 261.51s]  Но какие-то звезды вышли быстрее, какие-то ниже и медленнее, а какие-то вообще улетают в сторону, потому что их когда-то вытолкнуло, например, при взрыве соседней звезды.
[261.51s -> 270.11s]  Недавно телескоп Гайя показал, как изменится созвездие на небе со временем, а так будут смещаться звезды на небе в течение миллионов лет.
[270.11s -> 275.71s]  Они вообще не стоят на месте, только наша жизнь слишком коротка для того, чтобы это заметить.
[275.71s -> 285.43s]  Помимо этого, сама ось Земли влияет на их положение на небе. Дело в том, что она прецессирует, то есть вращается по кругу, как запущенный волчок.
[285.43s -> 292.87s]  Полный круг ось Земли описывается за 26 тысяч лет, а значит смещаются видимые южные и северные прелюса.
[292.87s -> 298.35s]  Из-за этого созвездия меняют формы, ведь ближайшие к нам звезды от этого смещаются быстрее.
[298.35s -> 306.11s]  Таким образом, еще 12 тысяч лет назад северной полярной звездой была Вега, а сейчас посмотрите, как она далеко находится.
[306.11s -> 311.55s]  Также сместились со своих широт и созвездия. Так что там астрологи говорили про тысячи лет?
[311.55s -> 318.19s]  С тех пор созвездия сместились настолько, что если тогда вы были еще козерогом, то сегодня вполне уже себе водолей.
[318.19s -> 325.23s]  А вот интересно, астрологи это учитывают, тем более, что о прецессии земной оси человечество узнало только недавно.
[325.23s -> 338.91s]  А еще крайне любопытно узнать, а что они думают о влиянии Плутона, пояса астероида, околоземных астероидов и тех объектов, которые вообще были открыты недавно.
[338.91s -> 352.67s]  Астрология – самая точная среди оккультных, гуманитарных и общественных наук. Математический аппарат ее безупречен, геометрия и математическая вероятная статистика – это все ее необходимые инструменты.
[352.67s -> 361.63s]  Только плохой астролог занимает загадания. Хороший же понимает толк в законах вероятности и использует точнейшие астрономические вычисления.
[361.63s -> 370.11s]  Так что же они там складывают? Они считают точное положение домов, то есть секторов на эклиптике, которые отвечают за различные сферы жизни.
[370.11s -> 378.35s]  Их положение определяет, каким болезням склонен человек, будет ли он властный или наоборот податливый, спокойный или веселый.
[378.35s -> 386.19s]  А вот по какому механизму на нас влияют эти дома и планеты? Что там за энергия в конце концов фитает? Никто не объясняет.
[386.19s -> 391.55s]  А что же об этом говорить наука? Планеты могут влиять на нас с помощью силы притяжения.
[391.55s -> 398.51s]  Тот же самый Марс, который, между прочим, одна из самых близких планет, притягивает нас лишь на одну тысячную долю грамма.
[398.51s -> 406.11s]  Да другие планеты и того меньше. Да как это вообще может повлиять на мои болезни, работу и характер? Какая-то космическая гомеопатия.
[406.11s -> 412.91s]  Ну не очень понятно. Да и никто не собирается этого понимать. За тысячи лет существования астрологии никто и не пытался.
[412.91s -> 417.71s]  Таким же образом я могу назвать, например, наукой даже самые абсурдные рассуждения.
[417.71s -> 422.06s]  Ведь там есть математика.
[422.06s -> 427.42s]  Вообще давайте разберемся, а чем вообще научное знание отличается от ненаучного?
[427.42s -> 431.42s]  Как ни странно, его отличает то, что его можно опровергнуть.
[431.42s -> 441.86s]  Например, когда мы утверждаем, что все медведи белые, легко сказать, что это не так, найдя хотя бы одного темного медведя.
[441.86s -> 449.06s]  Ладно, допустим, мы не знаем, как работает астрология. Какой такой энергии обладают планеты и как воздействуют на нас.
[449.06s -> 453.86s]  Может быть, астрология и правда появилась из наблюдений. Чисто имперический, так сказать.
[453.86s -> 459.46s]  Просто люди много наблюдали за положением планет, нашли закономерности и просто ей пользуются.
[459.46s -> 465.14s]  Тогда давайте проверим эффективность этих предсказаний. И такие эксперименты действительно есть.
[465.14s -> 470.82s]  В 50-х годах прошлого века психолог Бертрам Фарер провел психологический эксперимент,
[470.90s -> 476.26s]  в котором раздал своим студентам одинаковый расплывчатый гороскоп, взятый из какой-то газеты.
[476.26s -> 480.82s]  Конечно же, он сказал, что гороскоп индивидуален, составлен специально для них.
[480.82s -> 487.62s]  В конце он попросил каждого студента по 5-балльной шкале оценить, а насколько гороскоп описывает его личность.
[487.62s -> 490.66s]  Средняя оценка в группе оказалась больше четырех.
[490.66s -> 497.38s]  Позже этот эксперимент был повторен сотни раз разными исследователями и всегда показывал один и тот же результат.
[497.46s -> 500.58s]  В последствии этот эффект назвали эффектом Барнума.
[500.58s -> 505.70s]  Люди склонны принимать на себя и искать свои черты даже в, казалось бы, самых общих формулировках.
[505.70s -> 510.98s]  Еще один эксперимент провели в Мичиганском университете в 70-х годах прошлого века.
[510.98s -> 517.86s]  На этот раз ученые решили проверить, а как хорошо астрологи могут предсказать совместимость людей по гороскопу.
