[1.07s -> 3.07s]  Снимаем!
[3.07s -> 5.07s]  Так всегда не вовремя.
[5.07s -> 9.07s]  Ну что? Всем привет! Вы находитесь на канале Максим Народный.
[9.07s -> 14.07s]  Сегодня у нас очередной вкусный, душевный, красивый, симпатичный выпуск.
[14.07s -> 18.07s]  Сегодня мы будем готовить очень вкусное блюдо, потому что других мы не готовим.
[18.07s -> 21.07s]  Но прежде чем я вам расскажу из чего мы будем это делать,
[21.07s -> 23.07s]  хочу вам напомнить то, что у меня есть социальные сети.
[23.07s -> 25.07s]  Вот мой инстаграм, вот мой телеграм канал,
[25.07s -> 29.07s]  где вы можете задать мне вопрос, на который я буду отвечать
[29.07s -> 33.07s]  в протяжении всего выпуска. Пишите туда рецепт и пишите вообще все, что хотите.
[33.07s -> 35.07s]  Делайте красиво.
[35.07s -> 39.07s]  Сегодня мы будем готовить очень вкусный салат, который я очень сильно люблю.
[39.07s -> 42.07s]  Он называется Золотая рыбка. И для этого нам понадобится
[42.07s -> 47.07s]  картофель, слабосоленная форель, куриные яйца, лук, уксус, майонез,
[47.07s -> 53.07s]  черный молотый перец, соль, сахар и хорошее настроение.
[53.07s -> 55.07s]  Как собственно с каждой выпуски.
[55.07s -> 61.07s]  Прежде чем мы перейдем к форели или к луку, нам нужно сразу включить нашу плитку
[61.07s -> 65.07s]  и начать варить картошку, потому что это основа полагающего этого блюда.
[65.07s -> 68.07s]  Мы еще сразу водичку уберем.
[68.07s -> 71.07s]  И пусть там лежит, кайфует.
[71.07s -> 74.07s]  Можете сварить картошку в мундире, потом ее почистить.
[74.07s -> 78.07s]  Нам просто удобнее вот так. Мы ее потом, когда сварим, достанем, будем натирать на терке.
[78.07s -> 81.07s]  Так что смотрите, чтобы она там у вас не разварилась. Это очень важно.
[81.07s -> 89.07s]  Так, а мы начнем с лука. Лук нам нужно разрезать не кольцами, а как сказать, полукольцами.
[89.07s -> 95.64s]  Лучок мы делаем вот так вот, можно сказать четвертиночками.
[95.64s -> 101.64s]  Нарезаем. Лука нам нужно будет много, чтобы наш лак получился сочный, вкусный.
[101.64s -> 105.64s]  Но мы не просто его нарежем. Мы его сейчас нарежем и замаринуем с сахарком,
[105.64s -> 110.64s]  замаринуем с перчиком, с уксусом, чтобы было шикарно.
[110.64s -> 113.64s]  Меня уже начинают задавать такие вопросы в инстаграме.
[113.64s -> 119.64s]  Максим, советуй нам блюдо на Новый год, что будешь готовить сам на Новый год.
[119.64s -> 122.64s]  Мы, собственно, для этого и создали этот канал, чтобы вам помочь.
[122.64s -> 124.64s]  Скоро на этом канале начнут выходить уже новогодние выпуски.
[124.64s -> 131.64s]  Мы будем вам рекомендовать, советовать, чтобы мы сделали на Новый год, будем звать гостей и с ними готовить.
[131.64s -> 135.64s]  Так что обязательно подписывайтесь, ставьте колокольчик, сохраняйте эти видео,
[135.64s -> 138.64s]  потому что рецепты это всегда полезно. Это всегда полезно.
[139.64s -> 147.73s]  Лучок мы перекладываем в отдельную тарелочку.
[147.73s -> 153.73s]  Вот такой вопрос задают, какие бы ты три проекта запустил еще со своим участием.
[153.73s -> 157.73s]  Я, если честно, и сейчас уже многовато достаточно.
[157.73s -> 160.73s]  В Новый год здесь снимаемся, но свои какие-то для души,
[160.73s -> 163.73s]  я не знаю, может быть для узкой какой-то аудитории.
[163.73s -> 167.73s]  Вот мы, вы, наверное, уже знаете, мы дружим с москвичом.
[167.73s -> 172.73s]  Помимо того, что мы выходно ездим на рыбалки и снимаем их для вас,
[172.73s -> 175.73s]  я часто в них готовлю, он рыбачит, по крайней мере, пытается.
[175.73s -> 178.73s]  У нас есть еще с ним одно влечение, это киберспорт.
[178.73s -> 180.73s]  У нас, наверное, в детстве просто не было этого, как у всех.
[180.73s -> 182.73s]  Мы в детстве играли в футбол, занимались спортом.
[182.73s -> 184.73s]  И вот компьютеры у нас были дома, но не сильно мощные.
[184.73s -> 188.73s]  Когда все наши одноклассники играли дома в компьютерные игры, мы играли в футбол.
[188.73s -> 191.73s]  Вот. И сейчас вот сорвались. Все сорвались.
[191.73s -> 193.73s]  Вот играем сейчас в Counter-Strike.
[193.73s -> 198.73s]  И хотели бы поснимать свой вот такой, как не знаю сказать, влог, как мы готовимся,
[198.73s -> 203.73s]  как мы думаем попасть на какой-то кибер-турнир, потому что мы не профессионалы.
[203.73s -> 206.73s]  Хотели бы собрать свою команду, придумать название и воровать.
[206.73s -> 208.73s]  Вот это один точный из проектов, который я бы хотел запустить.
[208.73s -> 213.73s]  Пусть там будет смотреть немножко его людей, но такая душевная, чтобы была аудитория,
[213.73s -> 215.73s]  чтобы нас поддерживали, нам помогали.
[215.73s -> 217.73s]  В общем, вот такой вот проекте хотели бы сделать.
[217.73s -> 222.73s]  Еще бы какой, в каком бы я поучаствовал, наверное, это какой-то тревел-шоу.
[222.73s -> 226.73s]  Ну сейчас много, конечно, есть, так сказать, Мюстадонты, которых уже не обогнают.
[226.73s -> 228.73s]  Но лично от меня бы вы послушали.
[228.73s -> 230.73s]  Вот, знаете, они там что-то умное рассказывают.
[230.73s -> 232.73s]  Вот так, вот так, тут население.
[232.73s -> 237.73s]  Я бы просто сразу в кафе, и по кафе понятно сразу страну.
[237.73s -> 241.73s]  Наверное, какой-то тревел-шоу, да, по путешествию, поездил, показал вам какие-то, может,
[241.73s -> 244.73s]  какие-то экзотические места, Африки, Азию, все остальное.
[244.73s -> 249.73s]  В общем, тревел-шоу это, наверное, вот второе и третье и третье.
[249.73s -> 251.73s]  Наверное, тут уже надо постарше быть, несчастное.
[251.73s -> 256.73s]  По позже, наверное, даже когда дедом буду, вот прям дедом во дворе.
[256.73s -> 258.73s]  Дед такой самый смешной во дворе.
[258.73s -> 262.73s]  Вот в каждом дворе есть такой дед, ходит там что-то всем, здорово там, прикалывается на всем.
[262.73s -> 264.73s]  Не злые такие вот деды, а вот добрые.
[264.73s -> 266.73s]  Вот я таким буду и буду гонять самогон, в общем, всех видов.
[266.73s -> 269.73s]  Вот у меня будет, вот поставлю так вот камеру и буду вам рассказывать.
[269.73s -> 273.73s]  Значит, это у нас на меде, это там на клюкве.
[273.73s -> 277.73s]  И вот буду настойчики кайфовать, ходить в молодежь там во дворе, шугатить,
[277.73s -> 279.73s]  выпивать на старости, это чудо еще делается, правильно?
[280.73s -> 283.73s]  Наверное, вот такой вот третий канал, но это лет через 40.
[283.73s -> 286.73s]  Кто дождется, потом там поставьте лайк.
[286.73s -> 288.73s]  Скажите, я с канала Максим Народный.
[288.73s -> 292.73s]  Так, у нас варится картошка, лук мы нарезали, убрали в отдельную тарелочку.
[292.73s -> 294.73s]  Сейчас нам нужно его замариновать.
[294.73s -> 297.73s]  Для этого мы берем отдельную тарелочку, сейчас мы его с вами замаринуем.
[297.73s -> 299.73s]  Для этого нам понадобится уксус.
[299.73s -> 301.73s]  Ну тут примерно полторы столовые ложечки.
[301.73s -> 303.73s]  Выливаем вот сюда в лук.
[303.73s -> 307.73s]  Скипетили водички, тоже отправляем ее сюда.
[308.73s -> 311.73s]  Полностью покрываем наш лучок.
[311.73s -> 314.73s]  Добавляем сюда соль.
[314.73s -> 322.42s]  Добавляем сюда сахар.
[322.42s -> 324.42s]  И все это перемешиваем.
[324.42s -> 329.42s]  И убираем в сторонку, пока мы тут готовим, пока варится картошка, пока мы рыбку разделаем.
[329.42s -> 331.42s]  Лучок промаринуется, будет очень вкусный.
