[2.74s -> 16.56s]  Ребята, значит, сегодня будем гороскопы с вами уничтожать.
[16.56s -> 27.60s]  Значит, первое, что пишут про нас, про дев, девы больше других знаков Зодиака стремятся к совершенству во всем, учатся всю жизнь, но также учат и других.
[27.60s -> 31.04s]  А вы другими словами как-то могли намекнуть, что я душнила?
[31.04s -> 35.60s]  Ну, я по описанию любая старостопеда. Это невозможно.
[36.08s -> 49.68s]  Просто, ребята, девы учатся всю жизнь по своей воле, потому что родители девы сначала отдали деву в музыкальную школу, потом в обычную школу, потом в университет, потом в магистратуру, интернатуру, клавиатуру. Дайте деве жизнь пожить.
[49.68s -> 56.72s]  Стремление к лучшему заставляет деву подмечать изъяны во всем, что ее окружает, что требует исправления.
[56.72s -> 66.62s]  Поэтому, ребята, вот так выглядит человек, из-за которого друзья в WhatsApp создают отдельный чак, где его нет, и там общаются.
[66.70s -> 80.02s]  Дева часто имеет красивую внешность, наделена музыкальным слухом и вокальными данными, обладает хорошим вкусом к вещам, избирательным в общении.
[80.02s -> 88.58s]  А есть ощущение, что-то про какого-то конкретного человека, ну, про Киркорова, про остальные четыре миллиона дев? Есть информация какая-то?
[88.58s -> 95.78s]  Дева очень чувствит на когрессии. Мы чувствит на когрессии, это правда, поэтому я тот человек, который знает ответ на все тюремные загадки.
[95.78s -> 105.70s]  Вот все 17 миллионов просмотров, это вот мои. Действительно, чувствит на когрессии, я поэтому, на всякий случай, с кассирами в пятерочке не разговариваю. Не нужны эти проблемы.
[105.70s -> 115.86s]  Дальше, что пишут. Меркурий, управитель этого знака, наделяет деву талантом в торговле и разных ремеслах. И разных ремеслах.
[115.86s -> 125.70s]  Я живу, сука, в Кузьминках или Византийской империи, я не понимаю. Ну, что-то я не помню, я себя на районе крестовых походов.
[126.10s -> 138.56s]  Нет, конечно, пару бомжей подходил со словами, но ради бога, но не настолько же. Талант в торговле и разных ремеслах.
[138.56s -> 143.60s]  Но я еще не разу, когда домой возвращался, но мне гончатство не пригодилось, ребята. Только бег.
[144.96s -> 151.12s]  У дев нет выносливости. Вот это тоже интересный факт. Что мне понять из этой информации? Не играет дева в Mortal Kombat?
[153.12s -> 160.96s]  Просто... просто... ну, вот нет выносливости, а как раз вот это в Кузьминках пригодилось, понимаете? Вот это надо в Кузьминках, выносливость.
[160.96s -> 172.69s]  У дев уязвимое место кишехи. Это правда, я иногда еду в метро и такой... где-то рядом дева. Точно дева.
[174.69s -> 178.69s]  Действительно, странно, что в KFC на ведре для острых крыльев не пишут «девам не желательно».
[178.69s -> 190.58s]  Дальше пишут, в качестве талисмана деве лучше выращивать дома, либо на превысаденном участке побольше астрон и завести себя зеленого кузнечика.
[191.18s -> 194.18s]  Ребят, ну есть подводный камень, с вами перестанут общаться друзья.
[195.18s -> 200.18s]  Просто ну, талисман зеленый кузнечик, у вас будет такое, что вы летом в поле уходите, там дети ваш талисман ловят?
[201.18s -> 205.18s]  Просто ну, талисман зеленый кузнечик, это ну, явно не для Москвы талисман.
[205.18s -> 214.18s]  Ну странно вас снимут, представляете? Я стою на улице в спичном коробке кузнечек, я его закрываю, подходит полицейский, говорит, что у вас там? Я говорю, ха, талисман.
[217.50s -> 220.50s]  И все, и присел на год, талисман такой.
[221.50s -> 228.50s]  Почти все обладают скрытой чувственностью и сексуальностью, которые очень стесняются и стараются подавить ее в себе всеми силами.
[229.50s -> 235.50s]  Поэтому девчонки, это они вы мне не дали, этого я свою сексуальность задавил, это моя подсоперальная позиция.
[236.10s -> 247.10s]  Несмотря на внешнюю отчужденность девы, знаю, что такое страсть, поэтому если вас метро через пухоли кто трогает за попу, знаете, это точно дева, точно я.
[249.66s -> 255.66s]  Да, но девы внутри настоящие хищники, и мы это не боимся показать, поэтому у нас на аватарке волк.
[257.66s -> 263.66s]  Девы готовы навсегда разрывать связи с друзьями, лишь бы полностью посвятить себя семье.
[264.26s -> 277.01s]  Поэтому вам совет, никогда не занимайте девам деньги перед свадьбой, потому что одолжил ты кем-то у Андрюхи, а кому возвращать, ты нам даже не крестный.
[278.01s -> 283.01s]  Девы безупречные партнеры, которые дают своей второй половинке поддержку, заботу, уют.
[284.01s -> 289.01s]  Представители этого знака умеют вести семейный бюджет, неплохо зарабатывают и любят баловать близко к дорогим подаркам.
[290.01s -> 292.01s]  Так, спасибо, если это описание в Tinder взял.
[292.61s -> 299.61s]  Люди, знак изодиака девы, идеальная матери, поэтому если я растолстею, это не жир, это я кормящий.
