[0.00s -> 2.00s]  В любви этого, что-что.
[2.00s -> 3.24s]  Наш убийца.
[3.24s -> 5.24s]  Вот это.
[5.24s -> 7.24s]  Хороший.
[7.24s -> 8.52s]  Да соберись ты уже.
[8.52s -> 9.44s]  Красава!
[9.44s -> 10.96s]  Что, проблемы, молодой человек?
[10.96s -> 11.80s]  Хватит лизать.
[11.80s -> 12.80s]  Сука, что происходит?
[12.80s -> 14.40s]  Сколько можно ко мне подсадить?
[14.40s -> 15.08s]  Ёл!
[15.08s -> 19.12s]  Если бы я была женщиной, то это было бы отвратно.
[23.98s -> 25.98s]  Ха-ха, девчонки.
[25.98s -> 27.66s]  Встретимся в постели.
[27.66s -> 29.46s]  Хайлайт. Меня зовут Васкис.
[29.46s -> 31.46s]  И это пикапрокачка.
[31.46s -> 33.46s]  Именно благодаря моим заданиям
[33.62s -> 37.86s]  обычные паденьки-ронины станут настоящими альфа-самцами.
[37.86s -> 41.06s]  Но только один из них станет гуру-пикапа.
[41.06s -> 44.06s]  Это пикапрокачка.
[54.06s -> 59.06s]  Оу, ну что, давайте встретим наших гладиаторов любви.
[60.46s -> 62.46s]  Константин, 26 лет.
[62.46s -> 63.46s]  Фрилансер.
[63.46s -> 67.46s]  Организует ролевые игры, а также стреляет из лука.
[67.46s -> 70.46s]  Мечтает полетать в костюме крыло.
[70.46s -> 75.46s]  Цель на проекте это преодолеть свои страхи, научиться знакомиться с девушками.
[75.46s -> 77.46s]  Никита, 21 год.
[77.46s -> 79.46s]  Нейробиолог.
[79.46s -> 80.46s]  В прошлом рэпер.
[80.46s -> 81.46s]  Шарит за мемы.
[81.46s -> 84.46s]  Мечтает получить Нобелевскую премию.
[84.46s -> 91.46s]  У меня цель на проекте научиться как-то выстраивать свои отношения с девушками так, чтобы они не бросали меня через три месяца.
[92.46s -> 94.46s]  Олег, 33 года.
[94.46s -> 95.46s]  Бывший актер.
[95.46s -> 98.46s]  Увлекается написанием статей в туристические журналы.
[98.46s -> 101.46s]  Мечтает иметь свое жилье.
[105.46s -> 111.90s]  Мне кажется, у нас есть небольшая культурная пропасть между вот сидящими здесь и вот этим человеком.
[111.90s -> 112.90s]  Да, почему?
[112.90s -> 118.90s]  Ну, потому что мне уже 33 года, я уже старый для этих шоу-свиданий, будем так говорить.
[118.90s -> 119.90s]  Я, кстати, Никита.
[119.90s -> 121.90s]  Олег, очень приятно.
[121.90s -> 122.90s]  Я Костя.
[123.90s -> 128.90s]  О соперниках я думаю, что я их всех смогу делать.
[128.90s -> 130.90s]  Ну, Никита, он слабак.
[130.90s -> 133.90s]  Он более-менее равнодушный человек.
