[0.00s -> 5.40s]  Всем привет! Меня зовут Марина Дворникова. Я мама троих детей и успешный блогер.
[5.40s -> 11.20s]  Быть любящей и заботливой мамой – это прекрасно, но нужно быть еще и юридически грамотной.
[11.20s -> 14.60s]  Я помогу вам разобраться в трудных и спорных ситуациях.
[28.02s -> 33.22s]  В прошлом выпуске мы выяснили, кто может получить материнский капитал и в каком размере.
[33.22s -> 38.82s]  На что же можно использовать полученную сумму, а на что потратить ее нельзя? Давайте разберемся.
[38.82s -> 42.62s]  Материнский капитал можно использовать только на установленные цели.
[42.62s -> 47.22s]  Они прописаны в 7 статье 256 федерального закона.
[47.22s -> 52.22s]  Пожалуй, самое главное и нужное для многих цель – улучшение жилищных условий.
[52.22s -> 59.62s]  Использовать материнский капитал можно на приобретение жилого помещения, в том числе в строящемся доме.
[59.62s -> 64.02s]  Строительство – своими силами или с привлечением подрядчиков.
[64.02s -> 68.22s]  Компенсацию затратно строительство или реконструкцию объекта.
[68.62s -> 70.82s]  Оплата участия в долевом строительстве.
[70.82s -> 74.02s]  При этом купить землю в счет материнского капитала нельзя,
[74.02s -> 78.02s]  поскольку сама по себе земля жилищные условия не улучшает.
[78.02s -> 83.02s]  А вот строительство дома на этой земле за счет выплаты как раз разрешается.
[83.02s -> 89.62s]  По закону приобретенное или построенное жилье должно быть оформлено в общую собственность всех членов семьи,
[89.62s -> 92.02s]  с определением долей каждого из них.
[92.02s -> 99.02s]  Мат-капитал также можно потратить на погашение кредита на строительство, ипотеку или на первоначальный взнос по ней.
[99.02s -> 102.62s]  Следующая важная цель для многих – образование ребенка.
[102.62s -> 109.42s]  В этом случае важно, чтобы возраст ребенка, чье образование вы хотите оплатить, не превышал 25 лет.
[109.42s -> 116.62s]  Обязательных условий два – учебное заведение должно иметь государственную аккредитацию и находиться на территории России.
[116.62s -> 126.42s]  Деньги могут быть направлены на оплату обучения в учреждениях дошкольного, начального общего, основного общего, среднего общего и высшего образования.
[126.42s -> 132.62s]  То есть вы можете не тратить материнский капитал, а сохранить его, к примеру, до поступления ребенка в ВУЗ.
[132.62s -> 138.42s]  Вы также можете оплатить проживание и коммунальные услуги в общежитии, предоставляемым на период обучения.
[138.42s -> 143.82s]  Еще одна цель, на которую можно направить материнский капитал – получение ежемесячной выплаты.
[143.82s -> 149.02s]  Важно знать, что выплату можно оформить только в связи с появлением второго ребенка в семье.
[149.02s -> 151.62s]  После рождения первенца ее назначить нельзя.
[151.62s -> 157.02s]  При этом второй ребенок должен родиться после 1 января 2018 года.
[157.02s -> 165.02s]  Выплата назначается в случае, если размер среднедушевого дохода семьи не превышает двукратную величину прожиточного минимума.
[165.02s -> 168.82s]  Деньги будут выплачиваться, пока ребенку не исполнится три года.
[169.02s -> 176.02s]  Размер выплаты в 2022 году составляет сумму, равную прожиточному минимуму, на ребенка в вашем регионе.
[176.02s -> 182.62s]  Заявление о назначении выплаты можно подать в любое время в течение трех лет со дня рождения ребенка.
[182.62s -> 190.42s]  Если это произошло не позднее шести месяцев после появления малыша, выплата будет оформлена с первого дня его жизни.
[190.42s -> 193.42s]  В любом другом случае – со дня подачи заявления.
[193.42s -> 198.42s]  При этом размер материнского капитала ежемесячно уменьшается на сумму выплаты.
[198.42s -> 202.22s]  Если он использован полностью, выплата прекращается.
[202.22s -> 208.22s]  Материнский капитал можно направить на оплату товаров и услуг, предназначенных для детей инвалидов.
[208.22s -> 217.22s]  С помощью выплаты можно компенсировать расходы на приобретение специального оборудования, компьютеров, оборудование для тренировки и многое другое.
[217.22s -> 221.62s]  Также женщина может направить мат-капитал на формирование накопительной пенсии.
[221.62s -> 226.02s]  В целом, материнский капитал можно расходовать одновременно на несколько целей.
[226.02s -> 230.42s]  Это прописано в 7 статье 256 федерального закона.
[230.42s -> 237.42s]  Например, часть средств разрешено потратить на улучшение жилищных условий, а часть – на получение образования ребенком.
[237.42s -> 242.02s]  Чтобы воспользоваться материнским капиталом, необходимо обратиться в пенсионный фонд.
[242.02s -> 248.02s]  В зависимости от цели, на которую вы хотите потратить деньги, нужно предоставить определенные документы.
[248.02s -> 257.02s]  Но обязательно всегда являются копия сертификата, заявления о распоряжении мат-капиталом и документы, удостоверяющие личность.
[257.02s -> 265.02s]  Если вы хотите потратить средства на оплату ипотеки или первоначального взноса по ней, можно обратиться в кредитную организацию.
[265.02s -> 278.02s]  Самое главное, о чем стоит помнить, обналичивание средств материнского капитала и их нецелевое использование, например, на покупку автомобиля, мебели и так далее, может повлечь уголовную ответственность.
