[6.45s -> 8.45s]  Заводите его!
[20.98s -> 23.98s]  Что вы делали в ночь с восьмого на девятое число?
[23.98s -> 25.98s]  Это он! Что тут непонятно?
[25.98s -> 26.98s]  Тихо я тебе сказал!
[26.98s -> 28.98s]  Это не я! Меня подставили!
[28.98s -> 30.98s]  А что тогда вот это?
[30.98s -> 33.98s]  Тут все понятно. Это он. Увидите.
[33.98s -> 34.98s]  Пошел!
[40.98s -> 42.98s]  Там что, видос опять какая-то шляпа?
[42.98s -> 44.98s]  Да ну не совсем шляп.
[44.98s -> 47.98s]  Можно поугарать. Там кот чихает в лицо своей хозяйки.
[53.70s -> 55.70s]  Здорово, братва! Это шоу шляпа.
[55.70s -> 59.70s]  Шоу, в котором мы с пацанами фильтруем самые странные видосы из интернета.
[59.70s -> 61.70s]  И даем им оценку.
[61.70s -> 65.70s]  Сегодня этим будет заниматься Егор, Андрюха и я, Макс.
[65.70s -> 67.70s]  Вы что, вы готовы? Погнали!
[68.70s -> 71.70s]  Мы в течение недели выбираем видеоролики.
[71.70s -> 76.70s]  И тот, у кого окажутся самые шляпные видосы, будет как 30-летний стример.
[76.70s -> 80.70s]  Который не стесняется ссориться со своей мамой и выкладывать это себе на канал.
[80.70s -> 85.70s]  Вот и у нас проигравший выложит себе в сторис такую шляпу, за которую ему точно будет стыдно.
[85.70s -> 86.70s]  Ну что, погнали!
[87.70s -> 89.70s]  Так, ну что, давайте смотреть первый видос.
[89.70s -> 90.70s]  Андрюх, твой что ли, да?
[90.70s -> 91.70s]  Давай мой.
[91.70s -> 93.70s]  Давай. Поехали.
[93.70s -> 95.70s]  Гуляли, гуляли мы с другом.
[95.70s -> 96.70s]  Я и тапа гулял.
[96.70s -> 98.70s]  Решили снести мангал.
[98.70s -> 100.70s]  Но есть одно.
[100.70s -> 104.70s]  Мы так долго гуляли и поняли, что мы в Чечне, *****.
[107.70s -> 112.70s]  Ну давайте, что вы смеетесь, давайте обсуждать.
[112.70s -> 114.70s]  Ну во-первых, сразу понятно, что это твои подписчики.
[114.70s -> 117.70s]  Людям примерно 11-7 лет.
[117.70s -> 119.70s]  Как они оказались там?
[119.70s -> 121.70s]  И откуда в Чечне такой обильный снег?
[121.70s -> 123.70s]  Откуда в Чечне у Андрея подписчики вообще?
[123.70s -> 124.70s]  Ну давайте подытожим.
[124.70s -> 126.70s]  Вот подытожим вот эту видеоролику.
[126.70s -> 129.70s]  Это, лично мое мнение, не шляпа.
[129.70s -> 131.70s]  Не, не, в целом это полная шляпа вообще.
[131.70s -> 132.70s]  В целом такая шляпа.
[132.70s -> 135.70s]  Да, это смешно, в 100% я соглашусь с тобой.
[135.70s -> 136.70s]  Это...
[136.70s -> 138.70s]  Ну не, мне кажется это шляпа, но...
[138.70s -> 140.70s]  Зачем ты это принес тогда, скажи?
[140.70s -> 142.70s]  В конце разъел.
[142.70s -> 143.70s]  Поэтому это...
[143.70s -> 144.70s]  Поэтому мне нравится всех.
[145.70s -> 146.70s]  Следующий мой.
[146.70s -> 147.70s]  Погнали.
[147.70s -> 149.70s]  Так, мужики, такой вопрос.
[149.70s -> 151.70s]  Чей песюн убежал?
[155.70s -> 156.70s]  Вот это пожалуйста.
[156.70s -> 157.70s]  Песюн?
[157.70s -> 158.70s]  Убежал.
[158.70s -> 159.70s]  Причем по снегу.
[159.70s -> 160.70s]  Причем по снегу.
[160.70s -> 161.70s]  Это мой.
[161.70s -> 162.70s]  Видос очень смешной на самом деле.
[162.70s -> 163.70s]  Да нет, это вот тут должна быть подпись.
[163.70s -> 164.70s]  А будет шесть дом, мы с другом.
[164.70s -> 165.70s]  Семнадцать пять девять.
[165.70s -> 167.70s]  Это ролик с большим песеном просто.
[167.70s -> 169.70s]  Да, Андрей, больше ты не придешь, не передать.
[169.70s -> 170.70s]  Что думаете, пацаны?
[170.70s -> 172.70s]  Лично по моему покомнению, это не шляпа.
[172.70s -> 173.70s]  Я тоже считаю, что это не шляпа.
[173.70s -> 174.70s]  Ну честно, объективно, смешно.
[174.70s -> 175.70s]  Но правда, что попрыгали.
[175.70s -> 176.70s]  Люди додумали.
[176.70s -> 177.70s]  Смешок смеются.
[177.70s -> 178.70s]  Да.
[178.70s -> 179.70s]  Вот и какая разница.
[179.70s -> 180.70s]  Шляпа.
[182.70s -> 184.70s]  Следующий видеоролик у нас опять от Андрюхи.
[184.70s -> 185.70s]  У Андрюхи пока смешной.
[185.70s -> 187.70s]  Поэтому, может быть, мол, не бьет два раза.
[187.70s -> 189.70s]  Не знаю, скоро кушать-то будет?
[190.70s -> 191.70s]  Скоро жди.
[191.70s -> 192.70s]  Трассистки не трогай.
[192.70s -> 193.70s]  Не-не-не.
[200.74s -> 202.74s]  Какую тебе ***** вообще пишут, Андрей?
[202.74s -> 203.74s]  Вот честно, а?
[203.74s -> 204.74s]  Ну это шляпа.
[204.74s -> 206.74s]  Это какая-то шляпа, на самом деле.
[206.74s -> 208.74s]  В конце-то он нанес ее вот так, в жопы.
[210.74s -> 212.74s]  Вот ты один переживаешь за это, потому что, Андрей.
[212.74s -> 213.74s]  Ну это шляпа, Андрей, объективно.
[213.74s -> 214.74s]  Шляпа, давай.
[214.74s -> 215.74s]  Все шляпы.
[215.74s -> 216.74s]  На, держи.
[216.74s -> 217.74s]  Это шляпа себе.
[217.74s -> 218.74s]  Прикрой вот это, пожалуйста.
[218.74s -> 219.74s]  Не блестело, что ли?
[219.74s -> 220.74s]  Шляпа.
[220.74s -> 221.74s]  Двигаемся дальше, потому что это мой.
[221.74s -> 222.74s]  Уже видеороли.
[222.74s -> 223.74s]  Давай мы.
[223.74s -> 224.74s]  Пацануну на помощь.
[230.74s -> 232.74s]  Иначе вырастет гамстер.
[246.74s -> 248.74s]  Это разъем вообще.
[249.74s -> 251.74s]  Это просто разъем.
[251.74s -> 253.74s]  Монтаж, юмор.
[253.74s -> 255.74s]  Ни одного повторяющегося приема.
[255.74s -> 257.74s]  Вот за такие вот видосы огромный респект.
[257.74s -> 258.74s]  Это смешно.
[258.74s -> 259.74s]  Это круто.
[259.74s -> 261.74s]  Вот таких присылайте побольше.
[261.74s -> 263.74s]  Я тогда не буду сидеть в этой шляпе.
[263.74s -> 264.74s]  Шляпа.
[264.74s -> 265.74s]  Мой видеоролик.
[278.74s -> 288.74s]  Вот так ты будешь выглядеть через 22 года.
[288.74s -> 290.74s]  У меня вообще полный говно.
[290.74s -> 292.74s]  Ну ладно, делай что хочешь.
[292.74s -> 294.74s]  Да шляпа, Макс, полнейшая.
[294.74s -> 295.74s]  Это не шляпа.
[295.74s -> 296.74s]  Это ваше мнение все.
[296.74s -> 297.74s]  Мне страшно даже смотреть.
[297.74s -> 299.74s]  Мне смешно страшно смотреть видос.
[299.74s -> 301.74s]  Одно неправильно, а другое твое.
[301.74s -> 302.74s]  Шляпа твоя.
[302.74s -> 303.74s]  Макс, шляпа твоя.
[303.74s -> 304.74s]  Шляпа.
[304.74s -> 305.74s]  Видеоролик.
[306.74s -> 307.74s]  Да, Тейгор.
[307.74s -> 312.74s]  Чтобы сосиска не падала с бутерброда, ее можно прибить гвоздем.
[312.74s -> 316.39s]  Проверь.
[316.39s -> 319.83s]  То есть он...
[319.83s -> 323.83s]  Ты должен сказать, ну полнейшая же *****.
[323.83s -> 326.83s]  Он дает лайфхак людям.
[326.83s -> 327.83s]  Что такое лайфхак?
[327.83s -> 329.83s]  Лайфхак это когда что-то полезет.
[329.83s -> 330.83s]  Так.
[330.83s -> 332.83s]  Ну то есть вряд ли ты сейчас придешь домой, положишь
[332.83s -> 334.83s]  на стол вот так вот хлеб и начнешь долгать с него.
[334.83s -> 336.83s]  Это полная дерьмо.
[336.83s -> 337.83s]  Шляпа.
[337.83s -> 338.83s]  Ты что?
[338.83s -> 340.83s]  Конечно же нет, как я могу.
[340.83s -> 342.83s]  Мне понравился прикольный дед.
[342.83s -> 343.83s]  Шляпа.
[347.85s -> 349.85s]  Это мой видеоролик, ребята.
[361.45s -> 362.45s]  Костюм.
[362.45s -> 364.45s]  Реквизит.
[364.45s -> 366.45s]  Полный вообще косплей.
[366.45s -> 367.45s]  Выезд.
[367.45s -> 369.45s]  Неожиданный, смешной, резкий.
[369.45s -> 372.45s]  Интересно, как его видят принцесса и дракончик.
[373.45s -> 375.45s]  Он съел мухомор и сделал все красиво.
[375.45s -> 377.45s]  Это не шляпа, сто процентов.
[377.45s -> 378.45s]  Ты доволен?
[378.45s -> 379.45s]  Да.
[379.45s -> 380.45s]  Я тоже очень доволен.
