[0.00s -> 2.00s]  Чувствуете богом?
[2.00s -> 4.00s]  Мой город, моя Москва.
[4.00s -> 6.00s]  А сколько стоит вообще снять квартиру здесь?
[6.00s -> 8.00s]  Вот во что надо было вкладываться вместо биткоина.
[8.00s -> 10.00s]  Я хочу коня.
[10.00s -> 12.00s]  Скоро дойдем и до нас.
[24.93s -> 26.93s]  В Москве живет 13 миллионов жителей.
[26.93s -> 28.93s]  Такое сложно себе представить.
[28.93s -> 30.93s]  Москва ну очень большой город
[30.93s -> 32.93s]  и ты все время здесь себя чувствуешь маленьким.
[32.93s -> 34.93s]  Но иногда хочется почувствовать себя
[34.93s -> 36.93s]  большим человеком.
[36.93s -> 38.93s]  Сегодня я расскажу,
[38.93s -> 40.93s]  как это сделать бесплатно
[40.93s -> 42.93s]  и за небольшие деньги.
[42.93s -> 44.93s]  Меня зовут Таше и сегодня я позволю вам
[44.93s -> 46.93s]  почувствовать себя богом.
[46.93s -> 48.93s]  Мы вновь на ВДНХ.
[48.93s -> 50.93s]  Тут можно провести далеко не один выходной.
[50.93s -> 52.93s]  Павильон «Макет Москвы»
[52.93s -> 54.93s]  открыл свои двери после реконструкции
[54.93s -> 56.93s]  1 ноября 2019 года.
[56.93s -> 58.93s]  Обновленный макет стал почти на треть
[58.93s -> 60.93s]  больше, чем раньше.
[60.93s -> 62.93s]  Здесь можно увидеть садовое и бульварное кольцо,
[62.93s -> 64.93s]  все высотки, храмовые комплексы
[64.93s -> 66.93s]  и необычные здания.
[66.93s -> 68.93s]  Ну что, пойдемте посмотрим, что там новенького.
[70.93s -> 72.93s]  Общая площадь 1370 квадратных метров.
[72.93s -> 74.93s]  Изначально площадь макета
[74.93s -> 76.93s]  была 70,
[76.93s -> 78.93s]  но сейчас разрослась до 430.
[78.93s -> 80.93s]  С момента создания она
[80.93s -> 82.93s]  увеличилась более чем в 6 раз
[82.93s -> 84.93s]  и не собирается останавливаться.
[84.93s -> 86.93s]  Главная отличительная особенность макета столицы
[86.93s -> 88.93s]  поразительная детализация зданий
