[0.00s -> 1.72s]  Так, ребята, соберитесь.
[1.72s -> 2.72s]  Я готова.
[4.72s -> 6.28s]  Пылесос и всё возьму.
[6.28s -> 8.92s]  Пропылесосит все листья в этом городе.
[8.92s -> 10.64s]  Я не пойду туда, Жанна.
[10.64s -> 11.64s]  А-а-а!
[11.64s -> 12.64s]  Я испугалась.
[12.64s -> 14.44s]  Он опять убегает. Стой!
[20.84s -> 24.04s]  В каждом выпуске Таня Строкова вместе с гостем
[24.04s -> 26.24s]  посещают города Золотого кольца.
[26.24s -> 28.32s]  Сегодня наши герои в Иваново,
[28.32s -> 31.52s]  городе, который пронизан легендами о призраках,
[31.52s -> 34.80s]  один из которых подготовил для наших участников
[34.80s -> 36.08s]  специальный квест.
[36.08s -> 39.36s]  Им лучше поспешить, иначе призрак заберёт себе
[39.36s -> 42.40s]  их звание почётного гражданина навсегда.
[47.60s -> 51.28s]  Иваново – самый молодой город Золотого кольца России.
[51.28s -> 54.36s]  Его называют ситцевым краем, городом-невест,
[54.36s -> 58.00s]  текстильной столицей, а также русским манчестером.
[58.16s -> 60.60s]  Криштиану Роналду мы здесь не нашли,
[60.60s -> 64.60s]  но зато увидели архитектурные памятники, древние постройки,
[64.60s -> 68.44s]  которые делают Иваново непохожим на другие города России.
[69.44s -> 71.84s]  Всем привет! С вами Татьяна Строкова.
[71.84s -> 73.36s]  Это почётный гражданин.
[73.36s -> 76.80s]  Сегодня мы находимся в городе Иваново, город невесты.
[76.80s -> 80.76s]  С нами гостя Жанна Радовая, это очень крутой ютьюб-блогер.
[80.76s -> 81.76s]  Жанна!
[81.76s -> 82.76s]  Всем привет!
[82.76s -> 83.76s]  Ты готова?
[83.76s -> 86.00s]  Я готова, я первый раз в Иваново,
[86.00s -> 88.08s]  абсолютно не знаю, что меня ждёт.
[88.08s -> 89.68s]  Я тебе скажу больше, я тоже.
[89.68s -> 93.04s]  В этом конверте задание, и поэтому задание мы должны определить,
[93.04s -> 94.04s]  где эта точка.
[94.04s -> 96.40s]  Сложность в том, что телефонов у нас нет.
[96.40s -> 100.20s]  И нам нужно это дело сделать до того, как всё стемнеет в Иваново.
[100.20s -> 101.20s]  Открываем?
[101.20s -> 102.20s]  Давай, давай.
[102.96s -> 106.76s]  Так, первая загадка у нас такая.
[106.76s -> 109.84s]  Под взглядом четырёх поэтов вы разгадаете загадку эту.
[109.84s -> 113.20s]  Вас приведут к ним красные шары, задача будет верный ключ найти.
[114.20s -> 116.68s]  Так, под взглядом четырёх поэтов.
[116.68s -> 119.20s]  Я только красные шары здесь как бы поняла.
[119.20s -> 120.20s]  Надо искать шары.
[120.20s -> 121.20s]  Их можно найти.
[121.20s -> 123.20s]  Давай пойдём к красным шарам.
[123.20s -> 124.20s]  Ищем шары.
[124.20s -> 126.20s]  Вот он, вот он, вот он шар.
[126.20s -> 128.20s]  Всё, по-моему, всё очевидно.
[128.20s -> 129.20s]  Погнали.
[129.20s -> 134.94s]  Старики, вот первый.
[134.94s -> 136.94s]  Первый есть, вот второй.
[136.94s -> 139.94s]  Так понимаю, нам нужно просто бежать за ними.
[139.94s -> 141.94s]  Шары уже потерялись, я не вижу.
[141.94s -> 142.94s]  Ты видишь?
[142.94s -> 144.94s]  Нет, я серьёзно не вижу.
[144.94s -> 146.94s]  Я вижу только красные флажки.
[146.94s -> 148.94s]  А может быть это и есть конец, нет?
[148.94s -> 149.94s]  Да не, вряд ли.
[149.94s -> 151.94s]  Ура, третий шар.
[158.46s -> 162.46s]  Поняла, последний шар где-то будет, где памятник какой-то.
[162.46s -> 164.46s]  Да, где четыре поэта.
[164.46s -> 165.46s]  Пошли дальше.
[165.46s -> 174.46s]  Наши девочки, конечно, мастера искать шары в незнакомом городе.
[174.46s -> 177.46s]  Жаль, когда они закончатся уже.
[177.46s -> 180.46s]  Так, подождите-ка.
[180.46s -> 181.46s]  Я вижу память.
[181.46s -> 182.46s]  Я вижу тоже.
[182.46s -> 185.46s]  Какой красивый, серьёзный мужчина.
[185.46s -> 189.46s]  С Ивановской землёй связано множество имён выдающихся людей.
[189.46s -> 194.46s]  Алексей Лебедев, Николай Майоров, Владимир Жуков и Михаил Дудин.
[194.46s -> 197.46s]  А одной из самых значимых фигур в Иваново считается
[197.46s -> 199.46s]  Дмитрий Геннадьевич Бурылин.
[199.46s -> 201.46s]  Он не снимался в нашем шоу,
[201.46s -> 205.46s]  но уже стал потомственным почётным гражданином города Иваново.
[205.46s -> 208.46s]  Его добрые дела занимают особое место в истории
[208.46s -> 210.46s]  и в сегодняшней жизни города.
[210.46s -> 211.46s]  Жанна!
[211.46s -> 213.46s]  Кстати, стало жарко немного.
[213.46s -> 214.46s]  Чувствуешь?
[214.46s -> 216.46s]  Что это у нас за замки?
[216.46s -> 217.46s]  Тут столько ключей.
[217.46s -> 218.46s]  Смотри, куча ключей.
[218.46s -> 219.46s]  Давай подбирать.
[219.46s -> 223.46s]  Обычно девочки легко находят ключи к сердцу мужчин,
[223.46s -> 226.46s]  а от замков не уверен.
[226.46s -> 229.46s]  Так, подожди, давай вспомним, а что там было-то в записке у нас?
[229.46s -> 233.46s]  Было под взглядом четырёх поэтов найдёшь ты ключ.
[233.46s -> 234.46s]  Под взглядом.
[234.46s -> 236.46s]  Соответственно, ну подожди, куда они смотрят?
[236.46s -> 238.46s]  Они все в разные стороны смотрят.
[238.46s -> 241.46s]  Нет, они смотрят сюда куда-то все.
[241.46s -> 243.46s]  А, нет, и этим вообще смотрят.
[243.46s -> 247.46s]  Так, ребята, соберитесь, посмотрите все в одну сторону, пожалуйста.
[247.46s -> 249.46s]  Вот они!
[249.46s -> 251.46s]  Ах ты какой, Алексей!
[251.46s -> 252.46s]  Хорошо.
[252.46s -> 254.46s]  Подожди, а здесь везде есть ключи.
[254.46s -> 255.46s]  Везде?
[255.46s -> 256.46s]  Да.
[256.46s -> 258.46s]  Есть ключик.
[258.46s -> 263.46s]  Что-то мне подсказывает, что ключ Николая самый верный.
[263.46s -> 266.46s]  Жанн, он самый маленький.
[267.46s -> 269.46s]  Давай, кто нас спасёт?
[269.46s -> 270.46s]  Коля?
[270.46s -> 272.46s]  Нет, Коля нас не спас.
[272.46s -> 274.46s]  Слушай, они будут подходить мне.
[274.46s -> 275.46s]  Никакой.
[275.46s -> 276.46s]  Что за?
[276.46s -> 277.46s]  Есть ещё?
[277.46s -> 279.46s]  Подожди, тут ещё один ключ.
[279.46s -> 280.46s]  Ещё?
[280.46s -> 282.46s]  Да, вот этот точно подойдёт, смотри, какой он маленький.
[282.46s -> 285.46s]  Николай, издевайте над нами, посмотри, что происходит.
[285.46s -> 286.46s]  Давай, попробуем.
[286.46s -> 290.46s]  Да ладно, что происходит?
[290.46s -> 292.46s]  Подожди, ну не может быть.
[292.46s -> 293.46s]  Есть!
[293.46s -> 294.46s]  Всё, ура!
[294.46s -> 295.46s]  Открыли.
[295.46s -> 297.46s]  Так, что у нас здесь?
[297.46s -> 298.46s]  Обернитесь.
[302.46s -> 305.41s]  Пошли.
[305.41s -> 307.41s]  Подожди, я там кого-то видела.
[307.41s -> 309.41s]  Я пока вижу только серьёзного мужчину.
[309.41s -> 310.41s]  Побежали.
[311.41s -> 314.41s]  Так, 20 шагов вперёд к дороге.
[314.41s -> 315.41s]  20 шагов.
[315.41s -> 323.41s]  Раз, два, три, четыре, пять, шесть, семь, восемь, девять, десять.
[323.41s -> 325.41s]  Я так понимаю, на дорогу нам выходить не надо.
[325.41s -> 326.41s]  Налево.
[326.41s -> 327.41s]  Налево.
[327.41s -> 330.41s]  159 шагов вперёд.
[332.41s -> 334.72s]  А что это был за человек?
[334.72s -> 335.72s]  Ты видела его?
