[0.30s -> 3.94s]  ПОЛИЦЕЙСКАЯ СИГНАЛИЗАЦИЯ
[3.94s -> 6.34s]  Парковка! Вас не слышно!
[6.34s -> 8.06s]  Когда у вас был первый секс?
[8.06s -> 9.50s]  Узнакомимся.
[9.50s -> 11.38s]  В четыре у вас был?
[11.38s -> 13.18s]  Сереженька!
[13.18s -> 14.90s]  Спасибо, господи.
[14.90s -> 17.82s]  Не до конца продумал драматургию выступление,
[17.82s -> 19.54s]  потому что в меня сбил Урал.
[19.54s -> 20.86s]  Неудобный стендап.
[20.86s -> 24.14s]  Это шоу, где крутые комики рассказывают свои шутки
[24.14s -> 26.62s]  в самых неподходящих для этого местах.
[26.62s -> 29.66s]  Кто заберет бабло, определят случайные зрители.
[29.66s -> 30.90s]  Ну что, погнали!
[30.94s -> 32.38s]  Ты первый хочешь?
[32.38s -> 33.62s]  Рынок.
[33.62s -> 35.06s]  Рынок? Неплохо.
[35.06s -> 36.26s]  Ага.
[36.26s -> 38.18s]  Давай, Юль, удачи тебе, успехов.
[38.18s -> 51.18s]  Какую-нибудь хорошую работу, может, найдешь.
[51.18s -> 52.82s]  Всем привет!
[52.82s -> 55.42s]  Рынок, поплодируйте, кто меня слышит.
[55.42s -> 56.98s]  Давай, Юля, держись.
[56.98s -> 58.34s]  У-у-у!
[58.34s -> 61.34s]  У меня бабушка недавно начала интересоваться
[61.34s -> 63.30s]  моим влечением в стендапом.
[63.30s -> 65.58s]  Она мне говорит, о чем ты рассказываешь?
[65.58s -> 67.90s]  Я говорю, ну, всегда про лишний вес.
[67.94s -> 71.14s]  И она мне говорит, у тебя никогда так парня не будет.
[71.14s -> 72.46s]  Ну и действительно задумалась.
[72.46s -> 75.50s]  Думаю, зря я, конечно, в стендапе про лишний вес проболталась.
[75.50s -> 76.70s]  А кто меня слышит сейчас?
[76.70s -> 79.14s]  Поплодируйте, пожалуйста.
[79.14s -> 81.70s]  Втащил кого-нибудь, больше уверничаешь.
[81.70s -> 84.14s]  Мы не могли сухое место найти.
[84.14s -> 86.10s]  Недавно заходила в метро, спускалась,
[86.10s -> 88.38s]  забыла приложить карту к турникету
[88.38s -> 91.38s]  и просто пошла у те стеклянные дверцы.
[91.38s -> 92.78s]  Почти прошла.
[92.78s -> 94.02s]  Медь проходит.
[94.02s -> 95.46s]  Ты вот так заходишь?
[95.46s -> 97.02s]  Или вот так?
[97.06s -> 97.86s]  Идемте сюда.
[97.86s -> 99.18s]  Нет, ты прямо идешь?
[99.18s -> 100.02s]  Прямо иду.
[100.02s -> 101.74s]  Значит, ты не толстая.
[101.74s -> 102.74s]  Спасибо.
[102.74s -> 104.14s]  А что вы продаете?
[104.14s -> 105.26s]  Конфеты.
[105.26s -> 106.22s]  Конфеты?
[106.22s -> 107.22s]  Угостите?
[107.82s -> 108.82s]  Я зайду.
[109.98s -> 111.98s]  Больше нет бизнеса у человека.
[115.18s -> 117.30s]  О, спасибо вам большое.
[117.30s -> 119.22s]  Спасибо вам большое.
[119.22s -> 120.50s]  А, не ходи.
[120.50s -> 121.74s]  Хорошо.
[121.74s -> 122.54s]  Здрасте.
[122.54s -> 123.46s]  Здрасте.
[123.46s -> 124.46s]  Как вас зовут?
[124.46s -> 124.98s]  Меня?
[124.98s -> 125.78s]  Рома.
[125.78s -> 127.26s]  Рома, познакомься.
[128.42s -> 129.70s]  Куда вам пошли?
[129.70s -> 132.42s]  Блин, как Юля все-таки органично на рынке смотрится.
[132.42s -> 133.90s]  Есть такое, а?
[133.90s -> 136.98s]  Ну, я в все детство мечтала стать актрисой,
[136.98s -> 139.26s]  но мне мама отговаривала, но у нее бусву аргумента.
[139.26s -> 141.46s]  Она говорит, Юля, толстых кино не берут.
[141.46s -> 144.66s]  Но я сейчас выросла, поняла, что берут же.
[144.66s -> 146.54s]  Кто-то же должен играть толстых.
[146.54s -> 147.30s]  Ха-ха-ха.
[147.30s -> 149.18s]  Женщина в Рому в камеру пошла.
[149.18s -> 150.50s]  Ха-ха-ха.
[150.50s -> 153.18s]  Юля поняла, что не получается массово захватывать публику
[153.18s -> 156.18s]  и начала работать точечно, индивидуально со зрителями.
[156.18s -> 157.10s]  Молодец.
[157.10s -> 160.06s]  Я в детстве была толстым ребенком.
[160.06s -> 161.58s]  Ну, я так думала.
[161.58s -> 163.70s]  Недавно посмотрела свои фотографии.
[163.70s -> 165.78s]  Ну, нормальная была.
[165.78s -> 168.74s]  Может, я через пару лет посмотрю фотографии сегодняшнего дня
[168.74s -> 170.82s]  и скажу, ну, еще нормальная была.
[170.82s -> 172.54s]  Ха-ха-ха.
[172.54s -> 174.14s]  Спасибо большое.
[174.14s -> 175.50s]  Шутки вам рассказать.
[175.50s -> 176.30s]  Давайте.
[176.30s -> 179.18s]  Там у меня друг недавно наколол себе на руке татуировку.
[179.18s -> 180.82s]  Бога нет.
[180.82s -> 182.54s]  Я ему говорю, ты зачем это сделала?
[183.50s -> 186.86s]  Ну, у меня было полторы тысячи, я была очень зол.
[186.86s -> 189.26s]  Я думала, ужас, когда у меня есть полторы тысячи,
[189.26s -> 190.98s]  я говорю, спасибо, господи.
[190.98s -> 192.78s]  Ха-ха-ха.
[192.78s -> 193.78s]  О-о-о.
[193.78s -> 194.78s]  Спасибо большое.
[194.78s -> 195.78s]  Спасибо.
[195.78s -> 196.78s]  Смогла.
[196.78s -> 201.26s]  У меня друзья подарили сертификат на услуги гинеколога.
[201.26s -> 202.26s]  Ага.
[202.26s -> 203.50s]  Я думаю, крутой подарок.
[203.50s -> 205.06s]  Решила сходить, и все было хорошо,
