[4.59s -> 11.07s]  Всем здорова! Это самое ебанистическое шоу «Женские и труд».
[11.07s -> 17.03s]  Шоу, где девчонкам предстоит усердно поработать своими руками и удивить меня.
[17.03s -> 25.27s]  Нет-нет-нет, это не то, о чем вы подумали. Им нужно будет сделать скворечник. Заставка!
[25.27s -> 37.75s]  Самая нудная часть шоу – правила. Девчат, вам сегодня нужно будет смастерить однушку для птичек.
[37.75s -> 46.43s]  У вас будут инструменты, материал и вот такие вот занозы. На все я вам даю полчаса. При этом у
[46.43s -> 53.79s]  вас у каждой будет возможность получить по одной подсказке. Вы спросите, зачем все это нужно? Я
[53.79s -> 62.99s]  отвечу. Мне поржать, а вам забрать тридцатку метами. Стартуем! Все, нам пилить? Можно уже?
[62.99s -> 68.39s]  Можешь не пилить. Полчаса пройдет и просто уйдешь. Сколько у нас сторон скворечники? Раз, два, три,
[68.39s -> 75.59s]  четыре, пять. Пять. Пять сторон у нас скворечники. Давай. А есть была такая двухсторонняя, чтобы
[75.59s -> 80.35s]  еще сюда кого-нибудь поставить? Двухсторонняя, чтобы еще вот с этой стороны зубья были, да? Да.
[80.35s -> 86.75s]  И она у меня вообще-то не пилится дальше. Смотри, не проходит. Так, другой инструмент. Попробуй вот этим
[86.75s -> 97.51s]  вот. Этим не пойдет. Все, мне жарко. Все, еще два. А, три. Два. Два раза. Раньше приходилось пилить.
[97.51s -> 105.27s]  Только не мог. Бывшего есть тот. Бывшего пилила? Да. Поэтому он и бывший, да? Все именно. Ну как
[105.27s -> 111.83s]  пилил? Давай. Чего ты черкаешь? Я за собой не снимаю. Он говорит, да это не мои, а ты. А чем мы вдвоем живем?
[111.83s -> 131.87s]  Сто килограмм вешаю. Прям облакачусь полностью. Давай. Ломаем. Нет. Пилим дальше. Пилим дальше. Ко мне ломать. Тут. Держи. Давай. А, тут все очень просто. Вот так оставляй, язычок.
[132.67s -> 142.27s]  Подожди, надо красиво убрать, блин. Ну, это последний скворечник в моей жизни. Во, во, во, во, во. *****, это очень тяжело.
[142.27s -> 151.87s]  Доставляй его так вот. И будет арт-объект, скажешь. Арт-объект и ******** скворечник. Мне нужна крыша.
[151.87s -> 159.55s]  Что, кого-нибудь *********, что ли? Пожалуйста, помощь. Подсказка или помощь просто так не достанется.
[159.55s -> 171.55s]  Просто нужно будет выполнить задание. Тебе нужно будет налить пиво в бокал. Без пенки. Вот есть линия специальная. Пенка не должна быть ниже этой линии.
[171.55s -> 186.77s]  Это все задание? Да. А если у нее не получится? У нее все получится. А пенку я могу выпить, правильно?
[187.77s -> 205.74s]  Все получилось, посмотрите. Так, мне надо крышу сделать. Просто забить. Давай тогда пили. Давай. Все, помощь на этом закончилась, я отпилил.
[205.74s -> 217.74s]  Ладно, спасибо. Что у нас тут? Высотка. Понятно, свечка. Будут в свечке жить, да? Что мы делаем, скажи. Нужна помощь, да?
[217.74s -> 228.74s]  Короче, задание очень простое. Вот это три инструмента. Тебе нужно отгадать, что из этого стамеска.
[228.74s -> 238.74s]  Сколько у меня попыток? Одна. Три, давай. Ну, Заня, давай вот это будет первое. Вот это, да? Да. По-твоему, напильник это стамеска, да?
[238.74s -> 253.74s]  Это неправильно, а за неправильный ответ тебя ждет наказание. Наказание будет делать ГРОМИЛО! Так, подвинься, подвинься. ЗАНОВА!
[253.74s -> 264.74s]  Я серьезно? Шутка, давайте все заново. Серьезно, конечно. Все, на, вот. Я бы плакать стал сразу. Вы плачете, я за вас пока пивка выпью.
[264.74s -> 274.74s]  Эх, блин, а что же мы посерединке сделали? Надо было выше. Ну, типа вот они будут жить, там гнездо у них надо было выше.
[274.74s -> 286.74s]  Осталось полторы минуты, девчонок, полторы минуты. Я знаю, что у Леси уже там, даже стол есть у скворечника, а чем мы будем крепить к дереву, она даже не подумала пока.
[286.74s -> 293.74s]  ***, ты мне, что ли, надо тоже? Тебе нет. Выкинуть просто можно и все. А, очень жесть.
[295.74s -> 309.82s]  Так, ну что, девчонки уложились 30 минут, а теперь краткий обзор делают на свои изделия. Как ты оцениваешь, на сколько вообще, как? Птичка-то заселится?
[309.82s -> 321.82s]  Ну, я бы не заселилась, была бы птичкой. Хорошо. Показывай, что у тебя здесь за куб. Ну, вот это. Редняя терраса. Вот это, да? Да.
[321.82s -> 323.82s]  Как обычно, она обосранная здесь будет, да?
[326.82s -> 336.82s]  А оценить ваши птичьи домики в нашу столярку я приглашаю заведующего кафедра декоративно-прикладного искусства Валова Виталия Андреевича.
[336.82s -> 345.82s]  Он сегодня и решит, кто из девчонок сделает тебе охеренный шугарин на 30-ку. Виталий Андреевич, прошу!
[346.82s -> 355.82s]  Так, ваша задача определить победителя и, соответственно, обценить данные произведения искусства.
[358.82s -> 361.82s]  Ну, с точки зрения функционала побеждает вот этот скворечник.
[362.82s -> 365.82s]  Есть у нас победитель! Есть победитель!
[366.82s -> 375.82s]  Это был шоу «Женский труд». Шоу, где любая девушка может заработать 30-ку, не скрывая, где она была.
[375.82s -> 381.82s]  Сегодня вот эти вот 30 тысяч мятами лезешь, забираешь ты. Ну и в конце – вэлков!
