[2.93s -> 3.93s]  Начинаем!
[3.93s -> 4.93s]  Давай, давай!
[9.93s -> 11.93s]  Я Дивона прибил, по-моему.
[12.93s -> 13.93s]  Как?!
[13.93s -> 15.93s]  Вот такие вот остатки остались.
[16.93s -> 17.93s]  Привет, рыцаря и миледи!
[17.93s -> 21.93s]  Это 1000 долларов шоу, и я его ведущий, Дима Гордей.
[22.93s -> 26.93s]  Дима Гордей – один из самых популярных автоблогеров России.
[26.93s -> 29.93s]  Его аудитория в почти 7 миллионов подписчиков
[29.93s -> 35.93s]  не раз убеждалась в том, что он может превратить обычный автомобиль в машину мечты.
[35.93s -> 40.93s]  И что любое средство передвижения – это не только практично, но и весело.
[41.93s -> 46.93s]  Как всегда, я отобрал несколько подписчиков, которые сегодня сроздятся за 1000 долларов.
[46.93s -> 50.93s]  Ну, чтобы ее забрать, им придется стать настоящими рыцарями.
[50.93s -> 53.93s]  Причем не просто рыцарями, а рыцарями на автомобилях.
[53.93s -> 55.93s]  В общем, пойдемте знакомиться.
[59.93s -> 61.93s]  Так, всем привет, друзья. Давайте знакомиться.
[61.93s -> 66.52s]  Дима. Дима. Дима классный.
[66.52s -> 68.52s]  Андрей. Даня.
[68.52s -> 70.52s]  Короче, че, как настроение? Нормально?
[70.52s -> 72.52s]  Боевое. Заряженное на победу?
[72.52s -> 73.52s]  Супер настроение.
[73.52s -> 76.52s]  Сегодня будет реально крутой челлендж. Эпичный такой.
[76.52s -> 80.52s]  Мне он нравится как никогда. Называется он «Авторыцари».
[80.52s -> 85.52s]  И по этому названию, и потому что вы видите, я думаю, уже какое-то есть понимание, что будет происходить.
[85.52s -> 86.52s]  Есть?
[86.52s -> 87.52s]  Конечно, конечно.
[87.52s -> 92.52s]  По правилам челленджа, каждый участник получит копье, закрепленное на крыше машины.
[92.52s -> 97.52s]  С помощью копья на крыше авто, ему предстоит собрать три фигуры, подвешенные над трассой,
[97.52s -> 101.52s]  и первым ударить копьем по щиту противника, не растеряв свои кольца.
[101.52s -> 105.52s]  Тот, кто будет более точен, быстр и аккуратен, забирает кэш.
[105.52s -> 107.52s]  Куда бабки потратить, если выиграть?
[107.52s -> 109.52s]  В запчасти. На машины.
[109.52s -> 110.52s]  На боевое?
[110.52s -> 112.52s]  В технику, в мотоциклы и машины.
[112.52s -> 114.52s]  То есть все бабки только в ремонт, да?
[114.52s -> 115.52s]  Да.
