[4.40s -> 6.40s]  Где он?
[6.40s -> 8.40s]  Кто он? Что за цирк ты опять устраиваешь?
[8.40s -> 10.40s]  Я найду и убью его, шлюха!
[10.40s -> 12.40s]  Кого ты найдешь? Кого?
[12.40s -> 14.40s]  Я найду и убью его!
[14.40s -> 16.40s]  Куда ты его делал?
[16.40s -> 18.40s]  Я только вышел на 15 минут покурить!
[18.40s -> 20.40s]  Ты его спрятывай!
[20.40s -> 22.40s]  Привет, говно!
[22.40s -> 25.71s]  Если твой децестерон тоже задевает несколько соседних подъездов,
[25.71s -> 27.71s]  то ты понимаешь, почему я так сильно топлю за спорт.
[27.71s -> 29.71s]  Сегодня уже до завтрака, я сделал 5 тысяч ассоциирований.
[29.71s -> 31.71s]  Я не знаю, что делать!
[31.71s -> 33.71s]  Я не знаю, что делать!
[33.71s -> 35.71s]  Сегодня уже до завтрака, я сделал 5 тысяч отжиманий.
[35.71s -> 37.71s]  А это значит, что тебе пора меня догонять.
[37.71s -> 39.71s]  Улови очевидную порцию совета!
[39.71s -> 41.71s]  Ну все, сука!
[41.71s -> 43.71s]  Опа!
[43.71s -> 47.15s]  Причина остановки!
[55.15s -> 57.15s]  Давай-давай, еще немного!
[57.15s -> 59.15s]  Есть!
[61.15s -> 63.15s]  Ровно трое суток!
[63.15s -> 65.15s]  Новый мировой рекорд!
[65.15s -> 67.15s]  А теперь бегом на лбу!
[67.15s -> 69.15s]  Вот видите, еще вчера этого второклассника
[69.15s -> 71.15s]  чмырили у школы.
[71.15s -> 73.15s]  А уже сегодня он сможет забрать диплома
[73.15s -> 75.15s]  в высшем образовании и силу.
[75.15s -> 77.15s]  Ты смотришь уже десятый мой выпуск,
[77.15s -> 79.15s]  но я все еще не вижу на твоей груди золотых медалей.
[79.15s -> 81.15s]  В этом выпуске я расскажу тебе, как подготовиться к соревнованиям,
[81.15s -> 83.15s]  на которых о тебе узнает весь мир.
[83.15s -> 85.15s]  Итак, вперед к новым победам!
[85.15s -> 90.58s]  Как правило,
[90.58s -> 92.58s]  готовиться к соревнованиям по бодибьюзинге
[92.58s -> 94.58s]  я начинаю за полгода.
[94.58s -> 96.58s]  Первые три месяца я просто хожу в стрингах.
[96.58s -> 98.58s]  Сегодня я расскажу про основные и самые первые упражнения,
[98.58s -> 100.58s]  которые вам нужно выполнять,
[100.58s -> 102.58s]  если вы готовитесь к соревнованиям.
[102.58s -> 104.58s]  На соревнованиях вам нужно будет выглядеть
[104.58s -> 106.58s]  уверенно и брутально,
[106.58s -> 108.58s]  учитывая то, что вы голый и в масле.
[108.58s -> 110.58s]  Первую методику того, как побороть страх и стыд,
[110.58s -> 112.58s]  я позаимствую у Сергея Глушко.
[112.58s -> 114.58s]  Стыд! Срамота!
[114.58s -> 116.58s]  Да что ж вы за поколение такое кончное?
[116.58s -> 118.58s]  Ход!
[118.58s -> 120.58s]  Просто ходите вокруг подъезда
[120.58s -> 122.58s]  в одних трусах на протяжении шести месяцев
[122.58s -> 124.58s]  и вы выслужите столько оскорблений,
[124.58s -> 126.58s]  что вам позавидует даже Владимир Соловьёв.
[128.58s -> 130.58s]  С гормонами.
[130.58s -> 132.58s]  Ну что, перед соревнованиями
[132.58s -> 134.58s]  никогда не стоит забывать такой важной вещи,
[134.58s -> 136.58s]  как сушка.
[136.58s -> 138.58s]  Я сейчас не про ту херню в твоём дворе,
[138.58s -> 140.58s]  за которую все прячут закладки.
[140.58s -> 142.58s]  Я про уникальную методику, которая поможет выгнать
[142.58s -> 144.58s]  всю жидкость из вашего организма.
[144.58s -> 146.58s]  Лично я считаю так.
[146.58s -> 148.58s]  Чтобы выгнать всю жидкость из организма,
[148.58s -> 150.58s]  нужно сделать так, чтобы она больше туда не попадала.
[150.58s -> 152.58s]  В этом случае нам на помощь всегда приходит
[152.58s -> 154.58s]  общий войсковой защитный костюм.
[179.50s -> 181.50s]  Ладно, лёд это тоже калории.
[181.50s -> 183.50s]  Ну что ж, настало время поговорить о правильном питании.
[183.50s -> 185.50s]  Когда вы готовитесь к соревнованиям,
[185.50s -> 187.50s]  вам нужно получать максимум витаминов.
[187.50s -> 189.50s]  Поэтому сейчас у меня для вас очередной рецепт.
[191.50s -> 193.50s]  Итак, начнём.
[193.50s -> 195.50s]  Берём рис, заливаем его водой и оставляем
[195.50s -> 197.50s]  вымачиваться около двух часов.
[197.50s -> 199.50s]  Потом измельчаем грецкие орехи,
[199.50s -> 201.50s]  заливаем кипячёным берёзовым соком
[201.50s -> 203.50s]  и оставляем томиться на четыре с половиной часа.
[203.50s -> 205.50s]  Затем берём брокколи и тоже заливаем
[205.50s -> 207.50s]  кипятком, оставляем на восемь часов
[207.50s -> 209.50s]  немного потомиться.
[209.50s -> 211.50s]  А чтобы мы сами не утомились,
[211.50s -> 213.50s]  завариваем кипятком говяжий дошик.
[213.50s -> 215.50s]  Ах, хорошо, *****.
[215.50s -> 217.50s]  Ну что ж, мы слили воду и наши ингредиенты готовы.
[217.50s -> 219.50s]  Теперь мы берём мусорное ведро
[219.50s -> 221.50s]  и выбрасываем всё это туда.
[221.50s -> 223.50s]  Ну и смрад.
[223.50s -> 225.50s]  А вместо этого берём и едим говяжий дошик,
[225.50s -> 227.50s]  потому что там месячная доза клетчатки.
[227.50s -> 229.50s]  А вы что думали?
[229.50s -> 234.86s]  Вам же тоже не долбоёбы.
[234.86s -> 236.86s]  Так, здесь у нас 6, 6 и 6.
[236.86s -> 238.86s]  Итого 512.
[240.86s -> 242.86s]  Для того, чтобы почеркнуть рельеф,
[242.86s -> 244.86s]  многие спортсмены используют масло.
[244.86s -> 246.86s]  Правда, профессиональная масла стоит очень дорого,
[246.86s -> 248.86s]  поэтому я использую своё,
[248.86s -> 250.86s]  которое я слил из-под Экаруса.
[250.86s -> 252.86s]  Используя это масло на соревнованиях,
[252.86s -> 254.86s]  будьте уверены в том, что всё внимание публики
[254.86s -> 256.86s]  будет прикобано только к вам,
[256.86s -> 258.86s]  потому что воняет это поебеть хуже айкосы.
[258.86s -> 260.86s]  Многие при подготовке используют
[260.86s -> 262.86s]  запрещённый препарат вроде анаболиков
[262.86s -> 264.86s]  или стероидов.
[264.86s -> 266.86s]  И я не доверяюсь этой магазинной ереси,
[266.86s -> 268.86s]  а предпочитаю ей в своё фирмене формулу успеха.
[268.86s -> 270.86s]  Вот, здесь
[270.86s -> 272.86s]  бычий тестостерон, кровь буйвола,
[272.86s -> 274.86s]  мощи геркулеса и немного чебреца.
[274.86s -> 276.86s]  Сегодня мы протестируем этот препарат
[276.86s -> 278.86s]  на моём протеже Артёмка.
[278.86s -> 280.86s]  Потому что Артёмка – это не Печень 45,
[280.86s -> 282.86s]  он не откажет.
[284.86s -> 286.86s]  А это безопасно?
[286.86s -> 288.86s]  Ну уж точно безопаснее, чем первым уснуть на пистолет.
[288.86s -> 290.86s]  Ну что, чувствуешь, что ли в сил?
[290.86s -> 292.86s]  Нет. Значит, это работает.
[292.86s -> 294.86s]  Иди и сделай 800 отжиманий.
[294.86s -> 296.86s]  Вот видите, он не ослеп, а это уже не плохо.
[296.86s -> 298.86s]  Тем более, сегодня вечером ему
[298.86s -> 300.86s]  на почту придут сразу три QR-хода.
[300.86s -> 302.86s]  Пустяки,
[302.86s -> 304.86s]  обычная побочка.
[304.86s -> 306.86s]  Уверен, что через полгода с Артёмкой
[306.86s -> 308.86s]  всё будет в порядке.
[312.86s -> 318.74s]  Два миллиарда семь.
[318.74s -> 320.74s]  Ну что, надеюсь, за сегодня
[320.74s -> 322.74s]  я вновь сделал из тебя чемпион.
