[0.00s -> 22.68s]  Переводчик
[22.68s -> 29.62s]  В предыдущем выпуске Макс и Саша расстелили
[29.62s -> 34.22s]  первое место не получили 275 тысяч рублей на покупку машины.
[34.22s -> 38.38s]  У Авета, занявшего последнее место, всего 200 тысяч рублей.
[38.38s -> 42.30s]  На купленных машинах парни будут соревноваться на протяжении
[42.30s -> 46.46s]  нескольких месяцев, поэтому к покупке нужно отвестись серьезно.
[46.46s -> 50.34s]  Но не все так просто. Цвета машин должны отличаться.
[50.34s -> 53.62s]  Сегодня мы узнаем, как парни справятся с этим,
[53.62s -> 57.02s]  на первый взгляд, простым заданием. Поехали!
[57.98s -> 61.30s]  Всем привет! Это 4-й выпуск 3-х лошадей на силу.
[66.64s -> 70.64s]  Из последних новостей мне нужно выбрать машину за 275 тысяч.
[74.36s -> 76.64s]  И мы отправляемся прямо сейчас.
[83.64s -> 86.24s]  Человек подтвердил, значит, все четко.
[86.24s -> 90.56s]  Едем сейчас смотреть педилаг, если нас вдруг что-то не устраивает
[90.56s -> 94.24s]  и не приводится, мы поедем смотреть второй вариант.
[94.24s -> 98.48s]  И сейчас, пока мы едем, я думаю, что сейчас наткнемся на какой-нибудь
[98.48s -> 102.44s]  третий хороший, чтобы точно был запасной, и, как бы, пацаны,
[102.44s -> 105.24s]  я еще раз хочу сказать, у вас нет шансов.
[105.24s -> 108.20s]  Но вот то, что случилось в третьем выпуске,
[108.20s -> 111.96s]  где каким-то необычайным для меня образом я был пойман...
[111.96s -> 114.04s]  Как ты, братишка? Как твои дела?
[114.04s -> 116.44s]  Якобы ничья. Я умею проигрывать.
[116.44s -> 120.48s]  Ну что, Санечка, наши шансы уравнялись в денежном эквиваленте.
[120.48s -> 123.28s]  Я не смог заметить. Ты много ныл, ныл.
[123.28s -> 124.88s]  Сколько у тебя денег?
[124.88s -> 126.20s]  300 тысяч рублей.
[126.20s -> 130.00s]  Либо ничья, либо я не участвую.
[130.00s -> 134.40s]  Но, знаешь, меня радует одно, что Оветик от нас далеко,
[134.40s -> 138.40s]  и ему еще догонять и догонять, поэтому Оветик крепись.
[138.40s -> 141.32s]  Мы, короче, направляемся в район Царицын.
[141.32s -> 145.16s]  Это первый автомобиль, который мы будем смотреть, это БМВ.
[145.16s -> 147.84s]  Это БМВ-5, 39-й кузов голубого цвета.
[148.00s -> 149.72s]  Как я выбирал машины?
[149.72s -> 152.80s]  Я открыл сайт, не буду называть какой.
[152.80s -> 156.60s]  Вел больше 200 лошадиных сил и, соответственно, выбирал.
[156.60s -> 161.00s]  Очень сложно, потому что бюджет у меня маленький, 200 тысяч рублей.
[161.00s -> 163.92s]  Это просто какой-то ужас, просто хлам за хламом.
[163.92s -> 166.36s]  А если вы помните первый выпуск, я не знаю,
[166.36s -> 169.80s]  можно вот здесь ставить ссылочку, как я въехал?
[169.80s -> 177.72s]  У нас тормоза отказали, короче, мы ***** в тачку.
[177.72s -> 180.24s]  Больше такого я не хочу, чтобы случилось,
[180.28s -> 181.84s]  а тачки буду проверять.
[181.84s -> 185.08s]  Знаете, сколько у меня пробег? 480, по-моему.
[185.08s -> 187.08s]  480 ездит какая-то машина?
[187.08s -> 188.68s]  Вот за ним и едем.
[191.68s -> 193.60s]  Зубару Импреза.
[193.60s -> 195.20s]  Прикольно.
[195.20s -> 196.88s]  Газ Волга.
[196.88s -> 198.12s]  Нифига.
[198.12s -> 199.64s]  Что это такое?
[199.64s -> 201.24s]  Откуда это?
[201.24s -> 203.00s]  Это что за имбрион вылез?
[203.00s -> 206.12s]  Просто типа из российского автопроба непонятно.
