[0.05s -> 2.05s]  Погнали!
[4.05s -> 5.05s]  Почему ты меня бьешь?
[5.05s -> 7.05s]  Я не живу ничего!
[7.05s -> 9.05s]  Эээээ! Что это такое?
[9.05s -> 12.05s]  ААААА! *****!
[18.05s -> 20.05s]  Да *****! Вы что делаете?!
[22.05s -> 25.05s]  Ты как оно оторвало?
[25.05s -> 46.99s]  В прошлом выпуске парни купили себе собственные тачки, но только сейчас они увидят тачки друг друга.
[69.99s -> 81.99s]  Я обосновываю, почему я взял БМВ. И Морседес, и БМВ это немцы, а это качество, это скорость.
[81.99s -> 83.99s]  А у тебя из-за Швейцария, да, по-моему?
[83.99s -> 86.99s]  Короче, у Саши не работает багажник, не заводилась сегодня тачка.
[86.99s -> 94.99s]  У меня это Dodge SRT 4, единственное в России 2.4, 250, по-моему, лошадиный сил, наверное, если живые.
[94.99s -> 97.99s]  Пленка обклеена, чисто хачанская версия.
[99.99s -> 124.99s]  ПОЗИТИВНАЯ МУЗЫКА
[124.99s -> 131.99s]  ПОЗИТИВНАЯ МУЗЫКА
[131.99s -> 136.99s]  BMW E34, 2.5, ручка 89-й год, состояние идеальное.
[136.99s -> 139.99s]  Очень просто, как будто из-под дедушки только.
[139.99s -> 140.99s]  Да.
[140.99s -> 165.99s]  ПОЗИТИВНАЯ МУЗЫКА
[165.99s -> 170.99s]  2004 год, Saab 9.3, 2-литра куба на палочке.
[170.99s -> 196.13s]  ПОЗИТИВНАЯ МУЗЫКА
[196.13s -> 197.13s]  Из трубы две лужки.
[197.13s -> 199.13s]  Смотри на крыло, вот это вот.
[199.13s -> 201.13s]  Оно гнилое, конечно же.
[201.13s -> 202.13s]  Оно гнилое.
[202.13s -> 203.13s]  Смотри на эти стыки.
[203.13s -> 207.13s]  Этот бампер, я не знаю, со всем этим раз под 15 собирался.
[207.13s -> 210.13s]  Ну пойдем, пойдем, мы же покупаем тачку, мы же перекупы.
[210.13s -> 212.13s]  Тут засор, я смотрю, хороший какой.
[212.13s -> 214.13s]  А вот эти точки ржавчины.
[214.13s -> 216.13s]  Она же *** идеальная.
[216.13s -> 218.13s]  А ну-ка, у тебя же не закрывается люк.
[218.13s -> 223.13s]  Саша просто любит собирать дождевую воду и потом спиетируется.
[223.13s -> 225.13s]  А что, что, что ты там говоришь?
[226.13s -> 227.13s]  А-а-а-а!
[227.13s -> 228.13s]  Просто смотри.
[228.13s -> 229.13s]  Ага, ага.
[229.13s -> 230.13s]  Можно больше?
[230.13s -> 233.13s]  Не будем, увидите в следующем выпуске.
[233.13s -> 235.13s]  Ну да, она же идеальная.
[235.13s -> 237.13s]  Она же идеальная, да?
[239.13s -> 240.13s]  Не делай это.
[240.13s -> 241.13s]  Не ломай!
[241.13s -> 242.13s]  А не открывай!
[242.13s -> 243.13s]  Вот это ладно.
[243.13s -> 244.13s]  Это честно было.
[244.13s -> 245.13s]  Но только не ломай машину.
[245.13s -> 249.13s]  На самом деле я вам скажу так, что мы обстановили кучу дохренищей объявлений.
[249.13s -> 250.13s]  Мусор!
[250.13s -> 254.13s]  Хотелось, типа, машину взять не по-хановски, а за сарай.
[254.13s -> 255.13s]  Вот это штатное.
[255.13s -> 256.13s]  Хохановский сарай.
[256.13s -> 257.13s]  Хотелось взять что-то необычное.
[257.13s -> 260.13s]  Конечно, мы и скажем, о, Е-34, пипец, как необычно.
[260.13s -> 265.13s]  Но Е-34 в таком состоянии, в таком свете.
[267.13s -> 268.13s]  Да хера!
[268.13s -> 269.13s]  Не заметили?
[269.13s -> 270.13s]  Заменьшие деньги были.
[270.13s -> 271.13s]  Так, задание.
[271.13s -> 275.13s]  В этом выпуске парни пройдут в самую жесткую автошколу в стране.
[275.13s -> 278.13s]  На настоящем гоночном треке они должны будут встать в площадку
[278.13s -> 282.13s]  и после мастер-класса от профессионального гонщика проехать трек.
[282.13s -> 286.13s]  И все это с максимальными усложнениями.
[286.13s -> 289.13s]  За ошибки парни получают разряд электрошока.
[289.13s -> 293.13s]  Победит тот, кто пройдет все этапы быстрее всех.
[293.13s -> 296.13s]  Удачи она вам понадобится, если повезет.
[296.13s -> 297.13s]  Зеркало нет.
[297.13s -> 298.13s]  Реально.
[298.13s -> 300.13s]  Как я буду...
[300.13s -> 301.13s]  Ой.
[301.13s -> 305.13s]  Я буду вот так стоять.
[305.13s -> 308.13s]  Не трогай мою машину.
[309.13s -> 312.13s]  Короче, каждый раз придумают ребята нам задания.
[312.13s -> 313.13s]  Мы их не знаем.
[313.13s -> 315.13s]  Давайте придумаем задания для нас.
[315.13s -> 316.13s]  Вот так.
[316.13s -> 317.13s]  С кафказским акцентом.
[317.13s -> 318.13s]  У меня нет его тоже.
[318.13s -> 319.13s]  Давай.
[319.13s -> 320.13s]  Жесткий.
[320.13s -> 321.13s]  Жесткий.
[321.13s -> 322.13s]  Но у меня нет акцента.
[322.13s -> 323.13s]  А какой?
[323.13s -> 324.13s]  Давай один.
[324.13s -> 325.13s]  Су-е-фа.
[325.13s -> 326.13s]  Су-е-фа.
[328.13s -> 329.13s]  Скажи.
[329.13s -> 330.13s]  Пару слов сделай.
[330.13s -> 331.13s]  Пару слов сделай.
[331.13s -> 332.13s]  Вот сюда.
[332.13s -> 333.13s]  Пару слов.
[333.13s -> 334.13s]  Вот туда сделай.
[334.13s -> 335.13s]  Пару слов.
[335.13s -> 336.13s]  Да начнется конка.
[342.06s -> 346.06s]  На первом этапе парни сдают экзамен на площадке на время.
[346.06s -> 353.06s]  Они должны пройти смейку, выполнить параллельную парковку, парковку задом и разворот.
[353.06s -> 357.06s]  Все конусы специально расставлены максимально близко.
[357.06s -> 362.06s]  Но за каждый сбитый конус парни получают разряд электрошока.
[362.06s -> 383.31s]  Типа, знаете, на автомате я еще плюс-минус понимаю, как бы я это сделал.
