[1.07s -> 5.07s]  В этом выпуске
[5.07s -> 7.07s]  Парни в армии
[7.07s -> 9.07s]  Вышел на позицию и выстрелил, ну
[9.07s -> 12.07s]  Их что, почти что боевые задачи
[12.07s -> 15.07s]  Да я тебя уже сто раз убить могу, пока ты прицелишься
[45.37s -> 47.37s]  Руки, руки поймал
[47.37s -> 49.37s]  Вперед, пришел
[53.77s -> 57.81s]  Да
[59.81s -> 61.81s]  Птички в клетке
[62.81s -> 66.81s]  Товарищи салабоны, снять мешки
[75.75s -> 80.28s]  Равняйсь
[80.28s -> 106.18s]  Смирно
[106.18s -> 109.18s]  Меня зовут подполковник Лютый
[109.18s -> 111.18s]  Ясно?
[111.18s -> 113.18s]  Так точно
[113.18s -> 115.18s]  Что не призыв, то позор
[115.18s -> 116.18s]  Вы ж такая несчастная
[116.18s -> 118.18s]  Смирно
[118.18s -> 119.18s]  Ясно?
[119.18s -> 121.18s]  Так точно
[121.18s -> 122.18s]  Что не призыв, то позор
[122.18s -> 123.18s]  Вы ж такая ничтожество
[123.18s -> 127.18s]  Одной салфеткой вытру и она сухой останется
[127.18s -> 131.18s]  В форт пустишь, ни одна проститутка не даст
[131.18s -> 134.18s]  Бомжей предпочтут
[134.18s -> 136.18s]  Смирно, я сказал
[136.18s -> 139.18s]  Так, все ваши машины
[139.18s -> 141.18s]  Гаджеты, матчеты
[141.18s -> 144.18s]  Девочки, челленджи, менеджеры
[144.18s -> 146.18s]  Все забыть
[146.18s -> 149.18s]  Тут кайфа не будет
[150.18s -> 153.18s]  Это сбрить
[153.18s -> 156.18s]  Этого чтоб я больше не видел
[156.18s -> 158.18s]  Она съемная
[158.18s -> 160.18s]  До вечера походи
[160.18s -> 162.18s]  Кто из вас в армии служил?
[162.18s -> 164.18s]  Я, товарищ полковник
[164.18s -> 166.18s]  Шаг вперед
[166.18s -> 168.18s]  Я, товарищ полковник
[168.18s -> 169.18s]  Рот войск
[169.18s -> 171.18s]  Морская пехота Калининград
[171.18s -> 175.18s]  Сколько пушек на восьмом кармете около четвертой стойки?
[175.18s -> 177.18s]  Что ты смеешься?
[177.18s -> 179.18s]  Десять
[179.18s -> 182.18s]  Десять раз отжаться, один раз присесть
[182.18s -> 184.18s]  На бутылку
[184.18s -> 186.18s]  Упал, отжался
[186.18s -> 192.18s]  Раз, два, три, четыре, пять
[198.18s -> 200.18s]  Управление выполнено
[200.18s -> 202.18s]  Молодец
[202.18s -> 204.18s]  Ну-ка шаг вперед
[204.18s -> 206.18s]  В армии не служил?
[207.18s -> 209.18s]  Не знаешь, что это такое?
[209.18s -> 211.18s]  Знаю
[211.18s -> 213.18s]  Равняй, смирно
[215.18s -> 218.18s]  Где ж тебя поймали такого?
[218.18s -> 220.18s]  В области
[220.18s -> 222.18s]  В какой области?
[222.18s -> 224.18s]  Одинцовской
[224.18s -> 226.18s]  Удивил, кеограф
[226.18s -> 229.18s]  Кто знает Одинцовскую область?
[229.18s -> 231.18s]  Одинцовский это район
[231.18s -> 233.18s]  Один раз просел, десять раз отжался
[237.18s -> 239.18s]  Ладно, хватит
[240.18s -> 242.18s]  Ладно, я сказал, хватит
[242.18s -> 244.18s]  Чего орешь?
[244.18s -> 245.18s]  Разрешите не обращаться?
[245.18s -> 246.18s]  Слушаю
[246.18s -> 248.18s]  Разрешите не обращаться?
[248.18s -> 250.18s]  Будешь никогда
