[3.76s -> 5.08s]  Она лысая, *****!
[5.08s -> 7.72s]  Так что я с тобой, Омар, на ужин, мне пойду.
[7.72s -> 8.96s]  И я расскажу здесь всё.
[8.96s -> 11.64s]  Что дают все эти марафоны и обучение самое главное?
[11.64s -> 12.64s]  Мне деньги.
[12.64s -> 15.04s]  Сапчак заявляет, на хер никому не срались.
[15.04s -> 17.84s]  Я увидела мужчину, в которого любился, он иностранец.
[17.84s -> 18.84s]  И он женат.
[18.84s -> 21.16s]  У меня тоже, как бы, по сути, всё пошло...
[21.16s -> 22.16s]  ...*****.
[22.16s -> 23.16s]  Замошенничество.
[23.16s -> 24.92s]  Да, я ещё даже официально не развелась.
[34.25s -> 35.25s]  Всем привет!
[35.25s -> 40.89s]  Это «Злые языки», шоу, где мы приглашаем звёзд шоу-бизнеса, и не только.
[40.97s -> 45.25s]  И обсуждаем, что про них пишут в интернете и в ТВ-пространстве.
[45.25s -> 48.81s]  Но если звезда отказывается обсуждать новость о ней,
[48.81s -> 51.13s]  звезда должна понести наказание.
[51.13s -> 53.53s]  Либо слить какую-нибудь другую звезду.
[53.53s -> 55.09s]  Давайте представимся.
[55.09s -> 57.85s]  Я Давид, моя фамилия Виннер.
[57.85s -> 60.37s]  Вот рядом со мной сидит Наталья Краснова,
[60.37s -> 63.61s]  которая очень хочет сказать, но не сможет этого сделать,
[63.61s -> 65.85s]  потому что она сидит рядом с Душнилой.
[65.85s -> 68.21s]  Это адские люди нашего проекта,
[68.21s -> 71.85s]  черные демоны-дьяволы, а мы две душечки-ангелы.
[71.85s -> 73.85s]  Душечки-пушечки.
[73.85s -> 75.85s]  Мы самые лучшие.
[75.85s -> 77.85s]  Что-то хочешь сказать, Родик?
[77.85s -> 79.85s]  Надо же сказать что-то плохое.
[79.85s -> 81.85s]  А я не могу ничего сказать про тебя плохого.
[81.85s -> 83.85s]  Я не могу, потому что твоя мама, моя фанатка-мамочка...
[83.85s -> 84.85s]  Как зовут?
