[0.00s -> 5.88s]  Всем добра и здравия. Я Дмитрий Колесников, эксперт по выживанию. Почему я эксперт по выживанию?
[5.88s -> 12.48s]  Да потому что я должен был сдохнуть несколько раз уже подряд, блин, в течение долгого времени, но я все-таки взял и выжил.
[12.48s -> 19.36s]  Мне помогли какие-то навыки, которые я заранее приобрел. Я стал развивать эти навыки. Ко мне присоединились мои коллеги, товарищи.
[19.36s -> 24.96s]  В итоге у нас получилась Академия выживания. И сейчас мы помогаем учиться выживать другим людям.
[25.60s -> 36.56s]  Сегодня мы сделаем гейм-разбор игры Long Dark. И посмотрим, насколько она реально и адекватно похожа на то, что действительно происходит в жизни.
[36.56s -> 43.12s]  Для кого она рассчитана? Для настоящих правильных пацанов или для девчонок? Сейчас мы это увидим.
[43.12s -> 58.40s]  Так, у них еще искры какие-то прилетели. Ну, юкерный пердимонокль, а. Вот так всегда бывает, блин. Как будто они на шестерки едут на наши, блин.
[58.40s -> 67.12s]  Так, ну вот. Ну что же, мы видим, что снег и верхушки деревьев смягчили удар. И как минимум кто-то один живой есть, вот он.
[67.20s -> 77.68s]  Судя по тому, что самолет небольшой, летел на небольшой высоте, так как зима, верхушки деревьев его остановили, он приземлился в глубокий снег.
[77.68s -> 84.40s]  Судя по всему, там в лесу глубокий снег. Соответственно, вероятность остаться в живых достаточно велика.
[84.40s -> 92.16s]  Женщина нам точно первую очередь найти. Он что-то шарится, ищет какие-то предметы. Хостер нормальный. Я даже не понятно, чем он там развел.
[92.16s -> 101.44s]  Вот, нормальная огнива. Дает полторы тысячи градусов. Вот это да. Вот это огнива в натуре. А то что он тут непонятно, чем он вообще развел это.
[101.44s -> 108.16s]  Так, а у него травма, судя по всему, да? На коленке вот я вижу. Но в первую очередь надо остановить кровь, обработать рану.
[108.16s -> 118.64s]  У него там все тлеет, все горит. Если у тебя нет никаких медикаментов, возьми палку, нагрею в костре и прижги себе рану, чтобы она не гноилась. И замотай ее начисто потом.
[118.64s -> 126.72s]  Так, не вздумай это жрать, блин. Дрестать будешь дальше, чем видишь. Не вздумай. Ты еще не так проголодался. Да, даже не думай. Блин, сожрал.
[126.72s -> 134.88s]  Ну все тогда. Поносище, блин, у тебя будет, дружище. Лучше вообще первое время ничего не есть. Вот прям он только разбился.
[134.88s -> 141.68s]  Он не мог еще проголодаться так настолько, чтобы сожрать все ягоды, которые ему на пути встретились. Он даже не знает, что это такое.
[141.68s -> 154.96s]  Еще раз рассказываю. Если вы очень голодны, прежде чем съесть в таком количестве, надо съесть сначала небольшой объем. Ягодку две и подождать 40 минут час.
[154.96s -> 166.48s]  Если признаков отравления нет, днище не срывает, желудок не крутит, бошку не сносит, значит тогда можно это кушать. Но опять же, лучше не торопиться.
