[4.72s -> 6.72s]  Ненавижу, ненавижу!
[6.72s -> 8.72s]  Не надо, не надо!
[8.72s -> 10.72s]  Зазлись, *****!
[12.72s -> 14.72s]  Чё?
[14.72s -> 16.72s]  Умьяться, *****, не умеют, *****!
[16.72s -> 18.72s]  Съебаться, не умеют, *****!
[18.72s -> 20.72s]  Куда катиться, *****!
[20.72s -> 32.03s]  Здарова, зайба!
[36.03s -> 38.03s]  В шоу «Пробы» попадают начинающие актёры.
[38.03s -> 40.03s]  Они ещё не знают, но впереди их ждёт
[40.03s -> 42.03s]  необычный кастинг.
[42.03s -> 46.03s]  Кастинг, прошедший, снимутся в новом детище экстравагантного
[46.03s -> 48.23s]  режиссера Геры Теплова.
[48.23s -> 49.23s]  Приятного просмотра.
[49.23s -> 54.08s]  Кто, кто там?
[54.08s -> 58.54s]  Никита, да, рад вас видеть.
[58.54s -> 60.54s]  Как, как, как?
[60.54s -> 63.34s]  Никита, я Никита, я из Тула.
[63.34s -> 68.34s]  Сергей Игоревич Пахомов, он же Пахом, актер, сценарист,
[68.34s -> 70.94s]  музыкант, участник битвы экстрасенсов.
[70.94s -> 74.78s]  Сегодня Пахом поможет Гере Теплому провести очередной
[74.78s -> 77.78s]  кастинг и добавит в него чуточку безумия.
[77.78s -> 78.78s]  Совсем чуть-чуть.
[78.78s -> 82.78s]  Меня зовут Виноградов Сергей, мне 20 лет, я занимаюсь
[82.78s -> 83.78s]  моделингом.
[83.78s -> 84.78s]  Я на допросе.
[84.78s -> 86.78s]  Да, ты Бэтмен и рассказываешь.
[86.78s -> 88.78s]  Зачем ты совершил убийство?
[88.78s -> 91.78s]  Во-первых, я еще не говорю, что его совершала, во-вторых,
[91.78s -> 94.78s]  если бы я его совершила, то было бы весело, да, Пахом?
[94.78s -> 97.78s]  Да это было бы, это так, это было бы так, это было бы,
[97.78s -> 100.78s]  это было бы, это было бы, это было бы, это было бы,
[100.78s -> 101.78s]  депрошла.
[101.78s -> 103.78s]  Ба-ба-ба-ба-ба-ба.
[103.78s -> 105.78s]  Ба-ба-ба-ба-ба.
[105.78s -> 106.78s]  Ба-ба-ба-ба-ба.
[106.78s -> 107.78s]  Ба-ба-ба-ба-ба.
[107.78s -> 111.78s]  Очень мощный абсурд такой формат, мне кажется, удачнейший.
[111.78s -> 113.78s]  Добрый вечер, меня зовут Патуский Григорий,
[113.78s -> 116.78s]  а на сегодня снялся в более 80 проектах.
[116.78s -> 120.78s]  Попробовать на Джокера сейчас, а как вы в начале фильма
[120.78s -> 122.78s]  нормальный, но переход вот этот.
[122.78s -> 125.78s]  Вот вы стоите и начинаете Джокером быть, сходите с ума.
[125.78s -> 127.78s]  А.
[127.78s -> 128.78s]  А-а-а-а...
[128.78s -> 131.02s]  Хехе хе-хе-хе-хе...
[131.02s -> 133.82s]  Хехе хе-хе-хе-хе...
[133.82s -> 134.82s]  Хахаха.
[134.82s -> 137.62s]  Меня зовут Хаджи Назаров Олег Александрович, мне
[137.62s -> 138.62s]  35 лет.
[138.62s -> 139.62s]  А-а-а-а...
[139.62s -> 140.62s]  О-ой!
[140.62s -> 141.62s]  Скажи я Джокер!
[141.62s -> 142.62s]  А-а-а...
[142.62s -> 143.62s]  У-а-а-а!
[143.62s -> 146.62s]  Т-шразы, я Джокер.
[146.62s -> 147.62s]  Давай!
[147.62s -> 148.62s]  У!
[148.62s -> 149.62s]  А-а-а-а...
[149.62s -> 150.62s]  Я Джокер!
[150.62s -> 153.50s]  Меня зовут Дардо Сергей Нодаревич, мне 32 года.
[153.50s -> 154.50s]  Смех Джокера!
[154.50s -> 155.50s]  Хахахахахаха!
[155.50s -> 162.52s]  И трогай себя за сосцы при этом. Да, нет, за сосцы, не за груди, за сосцы.
[164.52s -> 167.52s]  Вот, еще, еще. Да, да, да.
[174.43s -> 179.43s]  Сарвар, 28 лет, родом из Узбекистана, актер театра и кино.
[179.43s -> 183.43s]  Будешь Бэтменом. Будешь Бэтменом. Внесите Джокера, пожалуйста.
[183.43s -> 185.43s]  Покажи голос Бэтмена.
[185.43s -> 194.43s]  Ну что? Ну что? Ну что ты? Ты хотел победить меня?
[196.43s -> 200.43s]  И тебе это не удастся. Соски в тиски. Возьми, выжимай соску.
[201.43s -> 205.43s]  Кажется, такой приемчик. Меня зовут Крылов Михаил Сергеевич.
[205.43s -> 208.43s]  Покажите Джокера. Давайте радость на смех Джокера.
[208.43s -> 217.43s]  Громкий смех сквозь слезы.
[231.73s -> 234.73s]  Я не уйду, я уже сюда пришел, чтобы шутить и доказать, что я Джокер.
[234.73s -> 235.73s]  Психопатя, да?
[235.73s -> 237.73s]  Смех Джокера, давай.
[241.73s -> 245.73s]  Я люблю бардак, я люблю беспредел. Там можно творить, можно чудить.
[245.73s -> 247.73s]  И причем нет рамок и границ.
[247.73s -> 251.73s]  Робин Пахон, фас. Как надо допрашивать? Покажи, покажи.
[251.73s -> 255.73s]  Делается элементарно. Робин тут.
[263.73s -> 264.73s]  Ну ты даешь.
[264.73s -> 268.73s]  Стоп! Робин, стоп! Робин, стоп! Тихо!
[268.73s -> 274.73s]  Мне очень нравится перевоплощение, то есть надевать, грубо говоря, на себя какие-то новые образы.
[274.73s -> 280.73s]  Пожалуйста, покажи мне смех Джокера, нормально? Разозлить! Разозлить, *****!
[280.73s -> 283.73s]  Смех Джокера, тебе что, непонятно что ли?
[283.73s -> 288.73s]  Мьяться, *****, не умеют, *****. ******* не умеют, *****. Куда катится, *****, все.
[290.73s -> 292.73s]  Возьми за член. Возьми за член.
[292.73s -> 294.73s]  Я Джокер!
[294.73s -> 297.73s]  Развивай. Вот он, Хаус, развивай.
[297.73s -> 299.73s]  Я Джокер!
[299.73s -> 303.73s]  Пока не очень, давай сильнее. Сильнее!
[303.73s -> 305.73s]  Я Джокер!
[309.73s -> 314.73s]  Ну, бедра широковато, заметил? Да, вот этот фасон штанов в клетчатах не очень подходит.
[315.73s -> 317.73s]  Одну старуху встретил недавно.
[317.73s -> 322.73s]  Только она вонючая, привонючая и еще обоссанная. Смех у нее был такой...
[330.86s -> 332.86s]  Как тебе сегодня пахом?
[332.86s -> 335.86s]  Огонь вообще. Просто огонь.
[335.86s -> 337.86s]  Тебе сколько килограмм?
[337.86s -> 339.86s]  Ситуация такая.
[339.86s -> 341.86s]  У меня где-то между 100 и 110.
[341.86s -> 343.86s]  Так, сынок, *****.
[343.86s -> 345.86s]  Сука, *****.
[345.86s -> 347.86s]  Тварь, *****.
[347.86s -> 349.86s]  А у него, *****.
[349.86s -> 351.86s]  Флорина, *****.
[351.86s -> 354.86s]  Ну вы ему, *****, *****, ********. От стерешка, *****.
[354.86s -> 356.86s]  Тварь, *****.
[358.86s -> 360.86s]  Все, сдаюсь.
[360.86s -> 366.86s]  В принципе, с детства мне нравилось все немножко сумасшедшее такое, сюрреалистическое.
[366.86s -> 369.86s]  И сегодня вот это все получилось, да.
[369.86s -> 373.86s]  А если мы хотим, например, как говорит Джокер, собственно, проклясть мир,
[373.86s -> 376.86s]  то у нас смех, конечно, это смех тишины.
[384.86s -> 386.86s]  Мастер спорта по кокошенкарате.
[386.86s -> 388.86s]  Чань!
[389.86s -> 391.86s]  Чань!
[392.86s -> 396.86s]  Сцена сияния, сцена такая, вы зажаты в туалете.
[396.86s -> 398.36s]  Выбивайте дверь.
[398.36s -> 400.86s]  А, я кричу. Я писатель, я писатель.
[404.86s -> 406.86s]  Давайте вы тогда за ним сапарон бегаете.
[406.86s -> 408.86s]  А вы убегайте и кричите. Убегайте.
[410.86s -> 414.86s]  Я писатель, я писатель. Убегайте, убегайте. Я писатель, я писатель.
[414.86s -> 416.86s]  Сижу за собой, за физической формой.
[416.86s -> 420.86s]  Ты понимаешь, да, *****? Я тебе трешмар без смеха показал, *****!
[420.86s -> 421.86s]  Спасибо, да.
[421.86s -> 424.86s]  Ты смотри, *****! Сейчас пидорасим, *****, *****, прям здесь, *****!
[424.86s -> 427.86s]  Не-не-не, я не *******, я гитара, я за Робин.
[427.86s -> 428.86s]  Сел, встал, *****.
[428.86s -> 431.86s]  Просто я сегодня включился. Он меня включил.
[431.86s -> 435.86s]  Робин, допрашивай, допрашивай Джокера, допрашивай Джокера.
[435.86s -> 438.86s]  Не трогай Бэтмена, Бэтмен нам еще нужен.
[438.86s -> 440.86s]  Только Джокера, вот он Джокер.
[443.86s -> 444.86s]  Беспомощный!
[444.86s -> 445.86s]  Беспомощный!
[445.86s -> 446.86s]  Не приходи, пожалуйста!
[446.86s -> 448.86s]  Вот и все, мне не хватало даже...
[448.86s -> 451.86s]  Почему ты молчишь? Почему ты молчишь?
[453.86s -> 456.86s]  Вот так! Давайте вы за одну команду. Давай.
[458.86s -> 459.86s]  Есть!
[461.86s -> 462.86s]  Я пополз, *****.
[463.86s -> 464.86s]  Пополз, *****.
[464.86s -> 467.86s]  В целом это вызывает эмоции, вот, потому что появляется...
[467.86s -> 471.86s]  появляется там двойной какой-то дно вроде человека, вроде актера.
[471.86s -> 474.86s]  И вот противоречие между этой и этой сущностью.
[474.86s -> 475.86s]  Посмотрели нечто?
[475.86s -> 476.86s]  Да.
[476.86s -> 479.86s]  Я ваш сын, который видит, как из отца вылезает нечто.
[479.86s -> 480.86s]  Сынок!
[481.86s -> 485.39s]  Сынок!
[486.39s -> 488.39s]  Сынок! Не бойся!
[488.39s -> 491.39s]  Все, что сейчас бы мне происходило, знать!
[491.39s -> 493.39s]  Ты мой сын!
[493.39s -> 495.39s]  Это безумие!
[496.39s -> 498.39s]  Я люблю тебя!
[498.39s -> 499.39s]  Давай!
[500.39s -> 502.39s]  Прямое актерское падение.
[502.39s -> 503.39s]  Хорошо.
[503.39s -> 504.39s]  Я наношу.
[507.39s -> 508.39s]  Упал на жопу.
[509.39s -> 510.39s]  Падать надо.
[511.39s -> 513.39s]  Любое падение это боковое падение.
[513.39s -> 515.39s]  Боковое. Не прямое, не жопное.
[515.39s -> 516.39s]  Так!
[516.39s -> 517.39s]  Так ты сломаешь крестец.
[517.39s -> 518.39s]  Ты говоришь, ты спортсмен.
[518.39s -> 519.39s]  Легкий крестец всегда.
[519.39s -> 523.39s]  Ну, лично моя задача, я хочу оставить действительно такой образ,
[523.39s -> 525.39s]  который запомнится.
[525.39s -> 526.39s]  Он будет в истории.
[527.39s -> 529.39s]  Монолог Джокера на казахском. Покажи.
[529.39s -> 532.39s]  Мы потому что хотим выйти на интернациональный...
[532.39s -> 533.39s]  Он нет.
[533.39s -> 534.39s]  Здорово, ******.
[535.39s -> 537.39s]  Бэтмен, Мэтмен, ты это ежи?
[538.39s -> 540.39s]  Ну, короче, он черт, да, по факту?
[540.39s -> 542.39s]  Черт, ежи.
[542.39s -> 544.39s]  Мы с ним, когда эти черки были,
[545.39s -> 547.39s]  я ему, эй, Джахсон, эй, дебиле!
[547.39s -> 551.39s]  Он что-то вообще не понимает и не вкуривает, ежи!
[551.39s -> 555.39s]  Либо вы зовете меня на съемку,
[555.39s -> 557.39s]  либо я сам к вам приду.
[559.39s -> 561.39s]  Ты герой со стопы смех, есть Бэтмен и Супермен.
[561.39s -> 564.39s]  Супермен, ты со стопы смех, приходишь к нам в Лигу зла.
[564.39s -> 566.39s]  У нас Лига зла.
[566.39s -> 568.39s]  Докажи, что ты нам нужен.
[568.39s -> 569.39s]  Какое вы зло?
[569.39s -> 571.39s]  Что самое злое ты делал?
[571.39s -> 573.39s]  Убивал людей.
[573.39s -> 576.39s]  А в анкете ты написал, что самое злое, что ты делал,
[576.39s -> 578.39s]  это дрочил на кухне своей бабушки.
[579.39s -> 581.39s]  У меня лучше все получается, это роли чиновников.
[582.39s -> 584.39s]  Вступайте в ряды супергероев.
[584.39s -> 586.39s]  Не, начало жестче.
[586.39s -> 589.39s]  Вступайте в ряды сверхгероев.
[589.39s -> 591.39s]  Та-та-ра, та-та-та-ра-та-та-та.
[591.39s -> 595.39s]  Патонский Григорий, вступайте в ряды Лиги справедливости.
[597.39s -> 599.39s]  Спокойствие и успех в ваших руках.
[602.39s -> 605.39s]  Я люблю только Marvel Comics 60-х, это Джек Крюби,
[605.39s -> 608.39s]  художник, который придумал с Халко вместе с Стэном,
[608.39s -> 609.39s]  со Стэном и так далее, и так далее.
[609.39s -> 611.39s]  Давай напугай меня!
[611.39s -> 613.39s]  Напугай меня!
[613.39s -> 614.39s]  Не, *****, да!
[614.39s -> 615.39s]  Напугай меня!
[615.39s -> 616.39s]  Дай ему к ебу, *****!
[616.39s -> 617.39s]  Пожалуйста!
[617.39s -> 618.39s]  Дай ему к ебу, *****!
[618.39s -> 619.39s]  Не надо, не надо!
[619.39s -> 620.39s]  Дай ему к ебу, *****!
[620.39s -> 621.39s]  Дай ему к ебу, *****!
[621.39s -> 624.39s]  Я еще не все фокусы вам показал.
[624.39s -> 626.39s]  Я покажу вам их только тогда,
[626.39s -> 629.39s]  когда вы возьмете меня на съемочную площадку.
[629.39s -> 631.39s]  Ребят, уберите его ***** отсюда.
[632.39s -> 635.39s]  Я считаю, что у каждого человека есть дом мечты,
[635.39s -> 639.39s]  в который очень трудно попасть, практически невозможно.
[639.39s -> 641.39s]  А попасть туда хотят все.
[641.39s -> 643.39s]  Кто-то из людей, видя большую очередь,
[643.39s -> 646.39s]  вообще туда не хочет.
[646.39s -> 649.39s]  Он пугается, поворачивается и уходит.
[649.39s -> 652.39s]  Но мало кто понимает, что в дом мечты
[652.39s -> 655.39s]  можно попасть через окно первого этажа,
[655.39s -> 658.39s]  через подвальное помещение, через черный ход.
[658.39s -> 660.39s]  А если ты не боишься замораться,
[660.39s -> 662.39s]  не боишься труда,
[662.39s -> 665.39s]  ты можешь попасть туда и через трубу.
[665.39s -> 668.39s]  Пока мне очень тяжело попасть в дом своей мечты.
[668.39s -> 671.39s]  Не знаю, как это сложится в дальнейшем.
[671.39s -> 673.39s]  Спасибо вам!
[678.33s -> 681.33s]  Этого уже дорогого стоит.
[681.33s -> 683.33s]  Спасибо всем вам!
[683.33s -> 685.33s]  Мы определили кастинг.
[693.33s -> 699.33s]  Напоследок хочу, чтобы Пахом вам отдал частичку себя.
[699.33s -> 701.33s]  Если ты по-настоящему открытый,
[701.33s -> 703.33s]  веселый человек, мощный,
[703.33s -> 706.33s]  если в тебе есть одновременно вместе с этим безумие,
[706.33s -> 708.33s]  которое очень важно для искусства
[708.33s -> 710.33s]  и для кино в особенности,
[710.33s -> 712.33s]  то я голосую за всех вас!
[712.33s -> 714.33s]  Замечательные утверждения!
[714.33s -> 716.33s]  Утверждены!
[716.33s -> 718.33s]  Утверждены!
[718.33s -> 720.33s]  Григорий!
[720.33s -> 722.33s]  Это вы.
[722.33s -> 724.33s]  Выходите, встаете.
[724.33s -> 726.33s]  Хорошо!
[726.33s -> 728.33s]  И держите.
[728.33s -> 730.33s]  Михаил!
[730.33s -> 732.33s]  Михаил!
[732.33s -> 734.33s]  Выходите!
