[4.46s -> 6.70s]  СПИСК
[18.60s -> 20.80s]  Да разве это качалка?
[23.96s -> 24.96s]  Привет, говно!
[24.96s -> 27.76s]  И если ты можешь простудиться даже под глад trois нером для волос,
[27.76s -> 30.00s]  то себе пора задуматься о своем физическом порте!
[30.00s -> 32.88s]  Слава богу, ты смотришь видео уроки лучшего тренера страны!
[32.88s -> 34.92s]  В молодости у меня было прозвище Яхта,
[34.92s -> 38.48s]  потому что на мне могло уместиться до 40 моделей Виктория Сигре.
[38.48s -> 43.48s]  Если ты понимаешь о чём я, питай же очередную порцию советов от Антона Протеинова.
[44.48s -> 45.48s]  По одному!
[62.48s -> 65.48s]  Основа здорового организма это, конечно же, физические нагрузки.
[65.48s -> 67.48s]  В этом прекрасно помогает классический кросс.
[68.48s -> 70.48s]  Лично я предпочитаю каждое утро бегать до Астрахани обратно.
[71.48s -> 73.48s]  Это не так сложно, если вы уже живёте в Астрахани.
[74.48s -> 77.48s]  Существует много видов бега, но лично я предпочитаю бег с высоким подниманием бабла.
[78.48s -> 81.48s]  Здесь не обязательно бегать быстрее всех или перебежать первым.
[82.48s -> 85.48s]  Достаточно догнать человека, который, на ваш взгляд, одет дороже тысячи рублей.
[90.07s -> 95.07s]  Вот видите, совсем не обязательно высоко поднимать колени, когда вы уже с утра подняли четыре пятьсот.
[99.37s -> 104.37s]  Десять, одиннадцать, двенадцать тысяч сто.
[105.37s -> 107.37s]  Ломать стереотипы и некоторые конечности.
[108.37s -> 109.37s]  Вот истинное призвание Артёмки.
[110.37s -> 113.37s]  Сегодня я при помощи своего подопечного покажу вам банальную стойку на гвоздях.
[114.37s -> 117.37s]  Так как у меня есть инстинкт самосохранения и высшее образование, делать это будет, разумеется, Артёмка.
[118.37s -> 121.37s]  Эй, вы чё, у меня кроссовки новые, меня только подарили.
[122.37s -> 123.37s]  Ах да, забыл сказать.
[128.37s -> 135.60s]  Главное в этом деле расслабиться, поймать свои с космосом и отпустить мысли о боли.
[136.60s -> 137.60s]  Ах, ***, ***, мразь.
[138.60s -> 140.60s]  Первая стадия – это смириться со своими ощущениями.
[141.60s -> 142.60s]  Как же это, ***, больно.
[143.60s -> 148.60s]  Не переживайте, сейчас Артёмка войдёт в нирвану и ***, ***, я домой, ***.
[149.60s -> 157.26s]  Да, сегодня Артёмка рано сдался, зато моя коллекция кроссовок пополнилась новой прекрасной моделькой.
[165.26s -> 167.26s]  Секрет моего успеха прост.
[168.26s -> 173.26s]  Всё дело в системном подходе к тренировкам, которые я использую ещё с времён первого вторжения Александра Цыгаловлалита.
[174.26s -> 178.26s]  Дамы и господа, я представляю вашему вниманию распорядок дня от Антона Протейнова.
[179.26s -> 180.26s]  Итак, начнём.
[181.26s -> 182.26s]  Понедельник, подъём в 3.30 утра.
[183.26s -> 190.26s]  В 3.45 – лёгкий завтрак, состоящий из утки с яблоками, четырёх порций хинкаль, лагмана, свиных ребер и, конечно же, лёгкой рисовой каши.
[191.26s -> 192.26s]  Четыре утра.
[192.26s -> 194.26s]  Антон всех родственников с просьбой занять немного денег.
[195.26s -> 198.26s]  В это время мозг человека обычно настолько затуманен, что он подписывается практически на любую *****.
[199.26s -> 200.26s]  Движемся дальше.
[201.26s -> 202.26s]  5.30 – отжимания.
[203.26s -> 204.26s]  6 утра – отжимания с хлопками.
[205.26s -> 206.26s]  6.30 утра – отжимания на правой руке.
[207.26s -> 208.26s]  7 утра – отжимания на левой руке.
[209.26s -> 211.26s]  7.30 – удаление видео уроков отжиманий с компьютера.
[213.26s -> 215.26s]  8 часов 24 минуты 17 секунд.
[216.26s -> 217.26s]  Фиксирование точного времени.
[218.26s -> 220.26s]  9.00 – второй завтра.
[220.26s -> 223.26s]  10.20 – баллотируемся на пост губернатора Чикаго.
[224.26s -> 227.26s]  10.30 – конец действия лёгких траквилизаторов после второго завтра.
[228.26s -> 232.26s]  Далее, начиная с 10.30 я просто топлю ***** до вечера, а там смотрю новый сезон ментовских войн.
[233.26s -> 237.26s]  Ссылку на график моих тренировок можно найти в компьютерном классе школа номер 29.
[238.26s -> 239.26s]  До скорого.
[242.59s -> 243.59s]  10.30 – кроссфит.
[244.59s -> 248.59s]  Если вы хоть раз двигали шкаф в 26 углов бабушкиной квартиры, вы имеете представление о кроссфите.
[249.59s -> 254.59s]  Самое сложное в занятии кроссфитом – это найти списаный белас, с которым можно снять это ****** колесо.
[255.59s -> 257.59s]  Продолжим испытывать на прочность моего визави.
[258.59s -> 262.59s]  Сегодня, благодаря Артёмке, я предлагаю установить ещё несколько новых спринтерских рекордов.
[264.59s -> 267.59s]  Усейн Болт пробежал 100 метровку за 9 секунд.
[268.59s -> 270.59s]  Здесь, до ближайшего озера, ***** с метров 500.
[271.59s -> 275.59s]  Поэтому Артёмке, хочешь не хочешь, придётся побить рекорд ямайского спортсмена.
[276.59s -> 280.59s]  Ну что, Артёмка, как говорится, когда жопа горит, надо действовать быстро.
[281.59s -> 282.59s]  Опа!
[283.59s -> 284.59s]  Не переживайте.
[285.59s -> 289.59s]  Вот так, с помощью Артёмки, мы не только побили новый мировой рекорд, но и избавились от старых джинс и сбежки.
[290.59s -> 296.62s]  700!
[297.62s -> 298.62s]  Ну что, на сегодня это всё.
[299.62s -> 302.62s]  А в следующей выводке я расскажу вам, что бег с трусой должен быть необязательно в трусах.
[303.62s -> 306.62s]  Подписывайтесь на мой канал, ведь в отличие от комсомольской правды, мы ****** обоснованно. На связи.
[310.62s -> 312.62s]  Спасибо за просмотр!
