[4.46s -> 19.76s]  1.0 к пользу ряженки.
[19.76s -> 21.24s]  Привет говно.
[21.24s -> 23.88s]  Каждый утром вставать с кровати мне помогает мотивация.
[23.88s -> 26.16s]  Или как ее называет мой лечащий врач, воспаление
[26.16s -> 27.16s]  проста.
[27.16s -> 29.20s]  Ты смотришь лучший блок о спорте на территорию
[29.20s -> 31.40s]  всего полсоветского пространства.
[31.40s -> 33.28s]  Для меня спорт это не просто буквы.
[33.28s -> 34.28s]  Для меня это С.
[34.28s -> 35.28s]  Сила.
[35.28s -> 36.28s]  П.
[36.28s -> 37.28s]  Преданность.
[37.28s -> 38.28s]  О.
[38.28s -> 39.28s]  Отвага.
[39.28s -> 40.28s]  Р.
[40.28s -> 41.28s]  От С.
[41.28s -> 42.28s]  Спорта.
[42.28s -> 43.28s]  Антона Протеинова.
[43.28s -> 73.11s]  Эх, ***, я думал косуля.
[74.11s -> 76.47s]  Кстати, метание ножей это тоже спорт.
[76.47s -> 79.03s]  Вообще, осень и лучшее время для тренировок на улице.
[79.03s -> 81.15s]  Но если ты как и я живешь в албанском общежитии
[81.15s -> 83.03s]  без затопления, у тебя нет выбора.
[83.03s -> 85.03s]  Сегодня расскажу как получить максимум от занятий на
[85.03s -> 92.54s]  свежем воздухе в холодное время года.
[92.54s -> 94.82s]  Перед началом любых упражнений на улице стоит прогреть
[94.82s -> 95.82s]  мышцы.
[95.82s -> 98.66s]  Для этого существует три основных способа.
[98.66s -> 101.14s]  Способ первый, любительский.
[101.14s -> 104.26s]  Можно сделать 300 отжиманий, но это слишком долго и муторно
[104.26s -> 107.98s]  и подходит только лохам или новичкам.
[107.98s -> 110.06s]  Способ второй, профессиональный.
[110.06s -> 112.66s]  Подходим на спортивную площадку и ищем человека, который
[112.66s -> 115.02s]  больше всех похож на профессионального боксера.
[115.02s -> 118.62s]  Ну вот, видно, что он после нокдауна.
[118.62s -> 122.46s]  Выбирайте достойного спарринг-партнера и боксируйте около минуты.
[122.46s -> 125.30s]  Ваши мышцы прогреются, да и сопернику ваши 15 рублей
[125.30s -> 126.46s]  не лишние.
[126.46s -> 128.94s]  Способ третий, автомобильный.
[128.94s -> 130.94s]  Если вы хотите прогреть мышцы вашего тела самым
[130.94s -> 133.54s]  быстрым способом, то советую просто прикурить со дежащей
[133.54s -> 134.54s]  машиной.
[134.54s -> 137.22s]  Это быстро, эффективно и не надо согласовывать в
[137.22s -> 138.22s]  ГАИ.
[138.22s -> 140.82s]  Повторяйте эти упражнения перед каждой тренировкой
[140.82s -> 142.38s]  и вы избежите любых травм.
[142.38s -> 143.38s]  Опа!
[143.38s -> 144.38s]  Косуля!
[144.38s -> 149.26s]  А, не, это опять свадьба.
[149.26s -> 152.10s]  Да ладно, вы все равно бы развелись.
[152.10s -> 161.46s]  Мой секс часто называют игрой в кальмар, потому что
[161.46s -> 164.66s]  там тоже много просмотров и в основном одни азиаты.
[164.66s -> 166.58s]  Но поговорим немного о теории.
[166.70s -> 169.42s]  Многие, прокачивая ноги, совсем забывают о такой важной
[169.42s -> 171.34s]  части, как пятка.
[171.34s -> 173.14s]  Вы спросите Антон, что ты несешь?
[173.14s -> 174.82s]  А я вам скажу так.
[174.82s -> 177.86s]  Как говорил один мой знакомый, хорошая пятка может убить
[177.86s -> 178.86s]  целую компанию.
[178.86s -> 180.66s]  Возьмем для примера Газману.
[180.66s -> 184.14s]  В свои 70 лет он выглядит шикарно, а все благодаря тому,
[184.14s -> 186.78s]  что каждый раз, делая сальто, он приземляется уверенно
[186.78s -> 187.78s]  на пятке.
[187.78s -> 189.86s]  Поверьте мне, если бы он приземлялся на пресс,
[189.86s -> 191.46s]  у него бы давно вылезли глаза.
[191.46s -> 194.94s]  Успех фильма Форрест Гамм объективно пятки.
[194.94s -> 196.30s]  К чему это все?
[196.30s -> 199.50s]  Если вас зовут Галина, прокачивайте Галина стоп.
[199.50s -> 202.62s]  Если вас зовут Наталья, прокачивайте Наталья стоп.
[202.62s -> 204.22s]  Ну, принцип вы поняли.
[204.22s -> 205.62s]  Перейдем от слов к делу.
[205.62s -> 207.94s]  Расскажу, как прокачать заветную пятку.
[207.94s -> 210.90s]  Для этого вам понадобятся хорошие беговые кроссовки
[210.90s -> 212.82s]  и противопехотная мина ПФМ-1.
[212.82s -> 215.62s]  Как только вы сделаете первый шаг, вам не захочется
[215.62s -> 217.06s]  отрывать пятку от земли.
[217.06s -> 219.34s]  Кровь будет приливать к мышцам пятки и она будет
[219.34s -> 220.94s]  накачиваться самостоятельно.
[220.94s -> 223.54s]  У этого способа есть один существенный минус.
[223.54s -> 226.10s]  Как только вы захотите снять кроссовки, вам понадобится
[226.10s -> 228.54s]  помощь двух квалифицированных сапер.
[228.54s -> 231.66s]  Кстати, этот совет любезно предоставлен Российским
[231.66s -> 233.50s]  профсоюзам, учителя и УБЖ.
[233.50s -> 236.10s]  Ну что же, совсем скоро данные повещения проветрятся
[236.10s -> 245.70s]  от нашетыря и я расскажу вам про другие мышцы.
[245.70s -> 248.86s]  Очень часто, занимаясь спортом в лесу, вы рискуете увлечься
[248.86s -> 249.86s]  и потеряться.
[249.86s -> 252.66s]  В этой ситуации не стоит кричать банальное ау.
[252.66s -> 254.34s]  Сейчас этим никого не удивишь.
[254.34s -> 257.46s]  В 21 веке, чтобы привлечь внимание общественности,
[257.46s -> 258.90s]  вам нужно кричать совсем другие буквы.
[258.90s -> 259.90s]  И так запоминайте.
[260.86s -> 262.86s]  ЛГБТ!
[264.70s -> 267.50s]  Даю вам пять минут и здесь окажутся все стилисты города.
[267.50s -> 270.10s]  А уж эти ребята вытащат вас из любой задницы.
[271.10s -> 272.10s]  Парни!
[272.90s -> 273.90s]  Олег!
[277.91s -> 278.91s]  Эх!
[279.11s -> 280.31s]  Прям как на улице.
[281.11s -> 283.51s]  Ну что, продолжаем знакомиться с Артемкой.
[283.51s -> 285.51s]  У Артемки очень плотный график.
[285.51s -> 287.71s]  За прошлую неделю он пытался умереть пять раз.
[287.71s -> 290.51s]  Сегодня Артемка вновь попытается доказать, что возможности
[290.51s -> 292.11s]  человеческого тела не ограничены.
[292.11s -> 294.91s]  Специально для этого я подготовил для него новый метод.
