[0.00s -> 3.88s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[3.88s -> 7.84s]  Здравствуйте! В эфире программа Хреновости 24 сантиметра.
[7.84s -> 11.96s]  Все самые интересные новости уходящего года сегодня в эфире.
[11.96s -> 13.80s]  С вами Александр Смирнова.
[13.80s -> 15.36s]  И да, это я.
[15.36s -> 18.56s]  Коротко о главном. Путин сказал, Путин заявил.
[18.56s -> 23.00s]  Путин назвал, Путин позвонил, Путин потребовал. Путин-Путин.
[23.00s -> 24.96s]  Новости, прям новости.
[24.96s -> 28.56s]  В Махачкале запустили первый в мире умный автомобиль.
[28.60s -> 32.84s]  Путин самостоятельно распознает красивых девушек и сигналит им.
[32.84s -> 35.72s]  Компания Яндекс запустила новое приложение,
[35.72s -> 38.96s]  которое занимается организацией ритуальных услуг.
[38.96s -> 41.68s]  Приложение будет называться Яндекс. Беда.
[41.68s -> 46.28s]  Парень, выпавший из окна многоэтажки, зацепился за трусы Дольчегабана.
[46.28s -> 50.52s]  Это был первый в мире случай, когда два гея спасли человеку жизнь.
[50.52s -> 53.00s]  Алексей Панин снова в центре скандала.
[53.00s -> 56.52s]  Он не явился на форум в поддержку уличных животных.
[57.24s -> 61.08s]  Новости шоу-бизнеса про Харшаляпина отправился на Мальдивы
[61.08s -> 63.00s]  со своей новой возлюбленной.
[63.00s -> 66.20s]  Папарацци заметили, что песка на пляже стала больше.
[66.20s -> 70.16s]  Недавно в Москве прошла акция против творчества рэпера Жигана.
[70.16s -> 73.08s]  Тысячи людей пытались утопить его альбомы.
[73.08s -> 76.40s]  Но шок. Они почему-то постоянно всплывали.
[76.40s -> 79.28s]  Очередная подлость со стороны Запада.
[79.28s -> 81.44s]  В Россию вернулся Амиран Сардаров.
[81.44s -> 84.32s]  Но ответ России не заставил себя долго ждать.
[84.32s -> 92.48s]  И в обратном направлении страну покинул Моргенштерн.
[92.48s -> 94.44s]  Хорошая новость для москвичей.
[94.44s -> 98.52s]  В московском зоопарке открылся вольер с непопулярными блогерами,
[98.52s -> 100.40s]  чтобы их тоже кто-то смотрел.
[100.40s -> 103.28s]  А если вы хотите стать мегапопулярным блогером
[103.28s -> 105.48s]  и разрывать интернет-пространство,
[105.48s -> 108.56s]  то вам точно в продюсерский центр Insight People.
[108.56s -> 112.40s]  Insight People предоставляет возможности рекламного продвижения
