[0.00s -> 2.00s]  Это во-первых.
[2.00s -> 3.00s]  Обсудим.
[3.00s -> 4.00s]  На диске покупал.
[4.00s -> 5.00s]  Вот он.
[5.00s -> 6.00s]  Я ж говорю 19 июня.
[6.00s -> 7.00s]  Это, может, нахер от КС?
[7.00s -> 8.00s]  Давай уже в ЧГК.
[8.00s -> 10.00s]  Сейчас будет жесткий киберспорт.
[10.00s -> 13.00s]  Ооо, Флейми к нам приходит.
[18.77s -> 19.77s]  Всем привет.
[19.77s -> 21.77s]  Я Маша Марпл, aka Grinch.
[21.77s -> 24.77s]  И это специальный новогодний выпуск ПВП-шоу.
[24.77s -> 25.77s]  Я напомню.
[25.77s -> 27.77s]  Один банк, два игрока и видеоигры.
[27.77s -> 30.77s]  Сегодня у нас в гостях Флейми и Дося.
[30.77s -> 33.77s]  Киберспортсмены, КСеры, матерейшие, опытнейшие.
[33.77s -> 34.77s]  Мужчины.
[34.77s -> 35.77s]  Просто прекрасный парень.
[35.77s -> 36.77s]  Привет.
[36.77s -> 55.40s]  Привет.
[55.40s -> 59.40s]  Ну что, товарищи, вы у нас, получается, очень давно
[59.40s -> 61.40s]  в киберспорте, в профессиональном.
[61.40s -> 63.40s]  Поэтому вопрос к вам, как к специалистам.
[63.40s -> 66.40s]  Как так получилось, что в этом году, в этом сезоне
[66.40s -> 69.40s]  наш регион херачит просто по всем дисциплинам и
[69.40s -> 75.30s]  всех оделывает?
[75.30s -> 76.30s]  Офигеть.
[76.30s -> 77.30s]  Это, во-первых.
[77.30s -> 80.30s]  На наш регион лучше всего повлияла пандемия.
[80.30s -> 81.30s]  Типа то, что дома сидели.
[81.30s -> 82.30s]  В спальне киберспорта.
[82.30s -> 87.30s]  Самые задроты это русские СНГ.
[90.30s -> 91.30s]  Может как-то так.
[91.30s -> 93.30s]  Легче перенести было пандемию.
[93.30s -> 96.30s]  Как-то все так сложилось, настакалось.
[96.30s -> 98.30s]  Может быть, победа Гамбит в 2017 году мотивировалась
[98.30s -> 99.30s]  их тогда.
[99.30s -> 100.30s]  Возможно, возможно.
[100.30s -> 103.30s]  Я думаю, что это как-то как-то возможно связано.
[103.30s -> 104.30s]  Да, скорее всего.
[104.30s -> 108.30s]  Не, но на самом деле, Na'Vi в первую очередь, в последние
[108.30s -> 111.30s]  несколько лет, да, у них есть победы на крупных турнирах.
[111.30s -> 114.30s]  На крупных турнирах были, но это огромная мотивация
[114.30s -> 115.30s]  для чуваков.
[115.30s -> 118.30s]  И все видели, как молодой игрок заиграл, да, ну,
[118.30s -> 122.30s]  Сарен Флайрен вместо тебя заиграл, но он заиграл,
[122.30s -> 123.30s]  по факту, вот.
[123.30s -> 126.30s]  И опять же какая-то мотивация, да, все начали верить в
[126.30s -> 127.30s]  себя.
[127.30s -> 128.30s]  Ну, не знаю.
[128.30s -> 129.30s]  Спирит.
[129.30s -> 131.30s]  Может, просто реально звезды сошлись какие-то.
[131.30s -> 132.30s]  Но Dota.
[132.30s -> 134.30s]  Ну, вообще молодые выиграли.
[134.30s -> 135.30s]  Да.
[135.30s -> 138.30s]  То есть мета меняется, молодняк весь на пористый прет,
[138.30s -> 140.30s]  его подписывают, его выставляют на трансферы.
[140.30s -> 142.30s]  Это следующая тема, к которой хочу перейти.
[142.30s -> 145.30s]  Как вам эта новость, что Монаси выставили на
[145.30s -> 146.30s]  трансфер?
[146.30s -> 147.30s]  В тир один команду.
[147.30s -> 149.30s]  Ну, это надорашивалось, на самом деле.
[149.30s -> 151.30s]  Все понимали то, что его продадут.
[151.30s -> 153.30s]  Его просто растили немножко.
[153.30s -> 156.30s]  Либо в основу возьмут, либо продадут, основа начала,
[156.30s -> 157.30s]  ну, заиграла.
[157.30s -> 159.30s]  Вариант только продать смыслом сидеть.
[159.30s -> 162.30s]  Смысл держать его, ну, как бы нету.
[162.30s -> 165.30s]  Развиваться игроку дальше в любом случае нужно.
[165.30s -> 168.30s]  Ну, и это для Монаси, это прям очень круто то, что
[168.30s -> 170.30s]  его на ави сейчас отпускают.
[170.30s -> 172.30s]  Какие у вас сейчас планы?
[172.30s -> 174.30s]  Какие у тебя там всякие интересы?
[174.30s -> 176.30s]  Бабки выиграть на этом шоу.
[176.30s -> 178.30s]  Это первый вообще-то план, да.
[178.30s -> 179.30s]  Первостепенный.
[179.30s -> 181.30s]  Ну, может быть, команду какую-то собираешь?
[181.30s -> 182.30s]  Собираю, да.
[182.30s -> 183.30s]  Гамбит, получается?
[183.30s -> 185.30s]  Получается, гамбит, да.
[185.30s -> 186.30s]  Семнадцатого года.
[186.30s -> 189.30s]  Еще бы Хоббита взяли, но он под контрактом, его не
[189.30s -> 190.30s]  отпустят.
[190.30s -> 191.30s]  Выкупить не получится.
[191.30s -> 193.30s]  Что-то зачем-то в гамбит играют, почему-то не
[193.30s -> 194.30s]  понятно, зачем.
[194.30s -> 197.30s]  Ну, зачем вы теперь молодежь там что-то?
[197.30s -> 198.30s]  Хоббит.
[199.30s -> 200.30s]  Хорошо.
[200.30s -> 201.30s]  У тебя какие планы?
[201.30s -> 202.30s]  Ну, всю команду.
[202.30s -> 205.30s]  Ты знаешь, им игрока не хватает, кстати, в команде,
[205.30s -> 206.30s]  если что.
[206.30s -> 207.30s]  Одного обсудим.
[207.30s -> 210.30s]  Да, в принципе, за кадром там мы же ему как-то
[210.30s -> 213.30s]  подписывать договорчик, там трансферный вопросик
[213.30s -> 214.30s]  обсудить, если что.
[214.30s -> 217.30s]  Как вам вообще сейчас расстановка сил в регионе?
[217.30s -> 221.30s]  Ну, если не смотреть на Na'Vi, понятно, что они молодцы.
[221.30s -> 223.30s]  Ну, вообще, в целом СНГ доминирует в КСе.
[223.30s -> 224.30s]  Я говорю про КС.
[224.30s -> 225.30s]  Ну, конечно, про КС, да.
[225.30s -> 228.30s]  Ну, я не знаю, но Dota тоже доминирует, получается,
[228.30s -> 229.30s]  если им Pint выиграли, да.
[229.30s -> 231.30s]  Ну, у себя оно же новое не получалось.
[231.30s -> 233.30s]  Либо это просто выстрел такой, да.
[233.30s -> 236.30s]  Но в КСе прям доминация идет сейчас в СНГ сцены.
[236.30s -> 239.30s]  И я считаю вообще, что валвы должны задуматься,
[239.30s -> 242.30s]  чтобы отобрать там у Америки слот, у Азии слот
[242.30s -> 246.30s]  и передать это в СНГ, потому что, ну, не знаю, если
[246.30s -> 250.30s]  да, команд очень много, а проходит всего пять.
[250.30s -> 251.30s]  Несправедливо.
[251.30s -> 254.30s]  Потому что любая русская команда, ну там, я не знаю,
[254.30s -> 258.30s]  Forza или что-то такое, оно выиграет, мне кажется, да,
[258.30s -> 260.30s]  и вышло бы тоже на мажор.
[260.30s -> 263.30s]  Ну что, ребята, если вы настроены побеждать,
[263.30s -> 266.30s]  то, собственно, не вижу причины задерживаться.
[266.30s -> 267.30s]  Переходим ко второму этапу.
[267.30s -> 274.73s]  Да.
[274.73s -> 277.73s]  Ну что, мужчины, проверим сейчас ваши скиллы не только
[277.73s -> 279.73s]  игровые, так сказать, но и интеллектуальные.
[279.73s -> 280.73s]  Окей, let's go.
[280.73s -> 281.73s]  Окей, let's go.
[281.73s -> 284.73s]  Друзья, в начале выпуска я сказала, что у нас есть банк.
[284.73s -> 286.73s]  Значит, этот банк составляет 50 тысяч рублей.
[286.73s -> 288.73s]  Но прежде чем мы решим, кому деньги достанутся,
[288.73s -> 290.73s]  мы поймем вообще, сколько денег останется.
[290.73s -> 292.73s]  Банк надо защитить.
[292.73s -> 293.73s]  Я задаю вам пять вопросов.
[293.73s -> 295.73s]  Если отвечаете неправильно на один вопрос,
[295.73s -> 297.73s]  я забираю пять тысяч из банка.
[297.73s -> 299.73s]  Соответственно, просто защита башня.
[306.19s -> 310.19s]  Так, в каком году вышла первая версия игры Counter-Strike?
[310.19s -> 311.19s]  А там подсказ КС?
[311.19s -> 313.19s]  Я тебе не дам ее.
[313.19s -> 315.19s]  Я знаю, что в 99-м.
[315.19s -> 316.19s]  Нет.
[316.19s -> 318.19s]  КС вышла, и сейчас официально сама игра.
[318.19s -> 320.19s]  Да, подожди.
[321.19s -> 323.19s]  Ну, первая, не знаю.
[323.19s -> 325.19s]  Я знаю точно, что в 99-м.
[325.19s -> 326.19s]  А такое имя КС?
[326.19s -> 328.19s]  Первая версия игры Counter-Strike.
[328.19s -> 329.19s]  Просто Counter-Strike.
[329.19s -> 330.19s]  Просто, любая, да?
[330.19s -> 331.19s]  Ну, у меня только в 99-м.
[331.19s -> 332.19s]  Подожди, 97-й год.
[332.19s -> 333.19s]  Думаешь?
[333.19s -> 335.19s]  По-моему, 97-й.
[335.19s -> 337.19s]  Сейчас, подожди.
[337.19s -> 338.19s]  Я почти уверен, что 99-й.
[338.19s -> 339.19s]  Но я не знаю.
[339.19s -> 341.19s]  Я тогда еще не два года был.
[341.19s -> 342.19s]  Половинка.
[342.19s -> 344.19s]  Осталось времени.
[344.19s -> 346.19s]  Ты постарше был.
[346.19s -> 348.19s]  КС было 20 лет.
[348.19s -> 350.19s]  Но есть просто разные версии.
[350.19s -> 352.19s]  КС было 20 лет в этом году.
[352.19s -> 354.19s]  Значит, 99-й.
[354.19s -> 355.19s]  Нет?
[355.19s -> 356.19s]  Или как?
[356.19s -> 357.19s]  2001?
[357.19s -> 358.19s]  Нет, нет.
[358.19s -> 362.19s]  И 5, 4, 3, 2, 1.
[362.19s -> 363.19s]  Пускай будет 99-й.
[363.19s -> 365.19s]  Но я думаю, 97-й.
[365.19s -> 366.19s]  99-й.
[366.19s -> 368.19s]  Может, 2000.
[368.19s -> 369.19s]  Так, финальный ответ.
[369.19s -> 370.19s]  Быстро.
[370.19s -> 372.19s]  Если 20 лет было, надо...
[372.19s -> 373.19s]  99-й.
[373.19s -> 376.19s]  Ребят, минус 5000 с банка.
[376.19s -> 378.19s]  Первое ноября 2000-го года.
[378.19s -> 380.19s]  Первая версия КС вышла.
[380.19s -> 381.19s]  На диске покупал.
[381.19s -> 382.19s]  Вот он.
[382.19s -> 383.19s]  Я жил 19 июня.
[383.19s -> 384.19s]  Бета, блин, бета.
[384.19s -> 385.19s]  Бета, все верно.
[385.19s -> 386.19s]  Ну бета.
[386.19s -> 387.19s]  Она надо было...
[387.19s -> 389.19s]  У нас в голове это было не бета.
[389.19s -> 390.19s]  Ну все.
[390.19s -> 391.19s]  Ну ладно.
[391.19s -> 392.19s]  Ну нормально, 45.
[392.19s -> 396.19s]  Я же понял, что в мой день рождения у КС день рождения.
[396.19s -> 399.19s]  Трешку отдаем ему.
[399.19s -> 401.19s]  Второй вопрос.
[402.19s -> 403.19s]  Второй вопрос.
[403.19s -> 409.19s]  Кто из киберспортсменов занимает топ-1 по заработанным призовым?
[409.19s -> 412.02s]  Юпри.
[412.02s -> 413.02s]  В КСГО?
[413.02s -> 420.02s]  В 8 минутах кто из киберспортсменов занимает топ-1 по заработанным призовым?
[420.02s -> 421.02s]  У нас же КСГО угранил.
[421.02s -> 422.02s]  Что?
[422.02s -> 424.02s]  Ну, смотри, сейчас выигрывает.
[424.02s -> 425.02s]  Кто Инт выиграл?
[425.02s -> 426.02s]  Кто Инт?
[426.02s -> 427.02s]  Нотейл, наверное.
[427.02s -> 429.84s]  Ну, скорее всего.
[429.84s -> 432.41s]  Ну...
[433.41s -> 435.41s]  Я знаю, что когда-то был Куройкин.
[435.41s -> 439.41s]  Пару лет назад я смотрел, но потом они выиграли уже Инт.
[439.41s -> 441.41s]  Я не слышу вообще, кто там на первом месте.
[441.41s -> 444.41s]  Я вообще не знаю, но это в любом случае дотер.
[444.41s -> 445.41s]  Да?
[445.41s -> 447.41s]  Хотя бы так можно, да.
[447.41s -> 448.41s]  Дотер.
[448.41s -> 450.41s]  Ну, что наш ответ дотер.
[450.41s -> 451.41s]  Ну дотер какой?
[451.41s -> 452.41s]  Ну и все.
[452.41s -> 453.41s]  Ну кто?
[453.41s -> 454.41s]  Ну Нотейл кто еще может?
[454.41s -> 456.41s]  У него кто в команде был?
[456.41s -> 457.41s]  Анна, Нотейл.
[457.41s -> 460.41s]  Анна нет, точно он там забивал тысячу раз.
[460.41s -> 461.41s]  Нотейл, Топсон.
[461.41s -> 462.41s]  Топсон, Сев.
[462.41s -> 463.41s]  Точно нет.
[463.41s -> 464.41s]  Пять.
[464.41s -> 465.41s]  Кто пятым играл?
[465.41s -> 466.41s]  Пускай Нотейл играется.
[466.41s -> 468.41s]  Три, два, один.
[468.41s -> 469.41s]  Нотейл.
[469.41s -> 470.41s]  Совершенно верно.
[470.41s -> 471.41s]  Молодцы.
[471.41s -> 474.41s]  Семь миллионов сто восемьдесят три тысячи девятьсот семьнадцать
[474.41s -> 477.41s]  долларов на счету у Нотейла по призовому.
[477.41s -> 478.41s]  Я потому что смотрел его дом.
[478.41s -> 480.41s]  Он там какое-то видео в Португалии.
