[2.74s -> 18.05s]  Знаете, что Львы самый лучший знак зодиака? Кто-нибудь встречался со Львом? Вы
[18.05s -> 27.45s]  встречались со Львом? И скажите, плюсы и минусы? А, вы замужем за Львом? И его плюсы? Спасибо
[27.45s -> 36.92s]  огромное. А его минусы, пожалуйста? Спасибо огромное. За плюсы теперь минусы. Самоуверенность? Минус?
[36.92s -> 46.00s]  Почему? Надо, чтобы Нюня была? И он такой, нет, это неправда. Меня можно переубедить. И ты такая,
[46.00s -> 51.36s]  нельзя переубедить. Он такой, можно переубедить. Я по гороскопу лев, и это с одной стороны круто,
[51.36s -> 55.92s]  а с другой стороны тоже круто, потому что кто со мной поспорит? Я же лев, ну что, с ума сошли.
[55.92s -> 60.56s]  Про Львов говорят, что это очень эгоистичный, высокомерный знак зодиака, который думает только
[60.56s -> 65.56s]  о себе, но я считаю, что это не так. И всю свою жизнь я буду доказывать обратное, потому что только я
[65.56s -> 71.08s]  могу это доказать, как никто другой. Я лучший человек, который может это доказать. Я считаю, что нет
[71.08s -> 77.36s]  человека в этом мире, который круче докажет, что он лев, чем я. Я не считаю, что Львы эгоистичны,
[77.36s -> 82.60s]  но моя любимая поза в сексе, это когда я мастурбирую, а девушка в углу сидит и восхищается
[82.60s -> 88.72s]  этим. Смотрит такая, блин, ты крутой. Я такой, да, мы самые лучшие Львы. Она такая, да, круто. Я такой,
[88.72s -> 97.92s]  мастурбация. Девять на двенадцать. Я сейчас придумал. Мастурбация. Блин, круто. Эти комедия на ваших
[97.92s -> 103.28s]  глазах рождается. Я не считаю, что мы эгоистичны, но я считаю, было бы справедливо всех львов из утробы
[103.28s -> 110.64s]  вот так вот доставать. Вот так вот. Нажимаю львов, ну, сами понимаете, мы же короли жизни, понимаете?
[110.64s -> 118.16s]  Короли Львы. Прикиньте, в честь львов даже город есть. Прикиньте, причем не просто город, а в родительном
[118.16s -> 123.80s]  падеже город. Прикиньте, насколько крутой знак, что у нас в родительном падеже город львов. То есть
[123.80s -> 131.08s]  нету города близнецов, например. Нету рыбов. Рыбов это мем вообще. Нету города рыбу. Рыбов это
[131.08s -> 139.60s]  мем. А у нас львов. В родительном падеже. Жду дательной. Лев Лещенко по гороскопу, Водолей. Но никто
[139.60s -> 147.76s]  не знает, что у него есть родной брат. Водолей Лещенко. И он по знаку зодиака Лев. Так,
[147.76s -> 154.20s]  вот есть такая. Львы никому не изменяют, потому что некому. А саму себе сложно изменить. Смотрите,
[154.20s -> 159.52s]  еще у львов есть совместимость идеальной с близнецами. Прикиньте, ну, типа Натали Портман
[159.52s -> 164.76s]  близнец. И где она? Почему она не со мной до сих пор? Я реально, я загоняюсь. Знаете, вот кажется,
[164.76s -> 168.84s]  что я не верю в гороскопы, не верю. А потом я реально гуглю совместимость с близнецами. И там
[168.84s -> 175.24s]  дружба выше, чем любовь. Я такой, Наташка, как же, блин, мы что дружить будем? Никакой любви. Я хожу,
[175.24s -> 180.80s]  переживаю. Знаете, я долго думаю, с чем сравнить вот это свое переживание. И понял, что меня может
[180.80s -> 186.16s]  сравнить с любым украинским реалити-шоу. Знаете, типа Беременов 16, Украина Май Талант, Тата на хату,
[186.16s -> 190.52s]  я хожу. Мне не хватает только камеры, которая будет приближаться на меня, и голосы за кадром.
[190.52s -> 199.42s]  Гарик Неразуми, в шоце вон Робет специально и навмысно. Я такой, мам, Портман, ты где? Так,
[199.42s -> 204.06s]  следует отметить, что у львов могут завязаться отношения с человеком значительно старше их по
[204.06s -> 208.58s]  возрасту. И после этого я гуглю имена, которые подходят для льва, и мне первое, что уходит,
[208.58s -> 221.06s]  это Алла. Мне кажется, сейчас Галкин где-то такой, не смей. Ты молодой комик, не смей. А мне повезло,
[221.06s -> 226.94s]  и получается, я в постели всегда лев, понимаете, даже если 20 секунд у меня секс идет. Ну, я приори
[226.94s -> 234.22s]  лев. Так, ладно, я понял. Лев Лещенко Водолей. Вы знали, что Лев Лещенко Водолей? Я вообще в шоке,
[234.22s -> 238.14s]  на самом деле, потому что я недавно узнал тему, что, ну, у него есть брат, представьте,
[238.14s -> 243.22s]  который, который везут в Водолей Лещенко, и он познакомится, кстати, как Лев. Прикиньте,
[243.22s -> 249.74s]  я офигел. Это просто жизнь лучше драматур. Я просто в шоке, вы не представляете. Спасибо вам большое, народ.
