[0.00s -> 5.74s]  Абьюзером нет!
[5.74s -> 7.74s]  Это сложно назвать луком, правильно?
[7.74s -> 9.74s]  Я думаю, ты понимаешь.
[9.74s -> 11.74s]  Самое страшное для меня, если они выпрянутся
[11.74s -> 13.74s]  или отвалятся.
[23.74s -> 25.74s]  Ну что, как твои впечатления?
[25.74s -> 27.74s]  Эмоций, конечно, масса.
[27.74s -> 29.74s]  Ночь была мега-трансформационной.
[29.74s -> 31.74s]  Я еще раз подумала о себе, о своей жизни,
[31.74s -> 33.74s]  о своих взглядах на жизнь.
[33.74s -> 35.74s]  И я думаю, все будет теперь по-другому.
[35.74s -> 37.74s]  И что надумала?
[37.74s -> 39.74s]  Какие цели может появились?
[39.74s -> 41.74s]  Да, цель утвердить себя
[41.74s -> 43.74s]  в этой жизни, найти в себя
[43.74s -> 45.74s]  настоящее и творить.
[45.74s -> 47.74s]  Цель вообще сегодня уже прям
[47.74s -> 49.74s]  такая легкая по сравнению с тем.
[49.74s -> 51.74s]  Да, у меня
[51.74s -> 53.74s]  появился новый настрой,
[53.74s -> 55.74s]  новый взгляд на жизнь. Я теперь снова люблю
[55.74s -> 57.74s]  этот мир и хочу
[57.74s -> 59.74s]  показать ему себя.
[59.74s -> 61.74s]  Ну это очень классно.
[61.74s -> 63.74s]  Как ты думаешь, куда мы идем?
[63.74s -> 65.74s]  Не знаю. Вообще не знаешь?
[65.74s -> 67.74s]  Я теряюсь в сомнениях
[67.74s -> 69.74s]  совсем.
[69.74s -> 71.74s]  Слушай, ну я думаю, что тебе безумно понравится.
[71.74s -> 73.74s]  И мы выбирали
[73.74s -> 75.74s]  специально под твой
[75.74s -> 77.74s]  типаж, назовем это так.
[77.74s -> 79.74s]  И с тем, что тебе нужно
[79.74s -> 81.74s]  выплеснуть. Поэтому мы пришли
[81.74s -> 83.74s]  в боксерский клуб Brothers.
[83.74s -> 85.74s]  Серьезно? Да. И сейчас
[85.74s -> 87.74s]  мы будем с тобой бить
[87.74s -> 89.74s]  все, что нужно и не нужно.
[91.74s -> 93.74s]  Ты вообще когда-нибудь
[93.74s -> 95.74s]  занималась
[95.74s -> 97.74s]  таким видом? Нет.
[97.74s -> 99.74s]  Хотела бы? Нет.
[99.74s -> 101.74s]  Я не знаю.
[101.74s -> 103.74s]  Наверное, да, хотела бы попробоваться, но
[103.74s -> 105.74s]  я боюсь боли.
[105.74s -> 107.74s]  Ты боишься боли?
[107.74s -> 109.74s]  Что-то мне
[109.74s -> 111.74s]  подсказывает, что ты не боишься
[111.74s -> 113.74s]  ее причинять. А вот и
[113.74s -> 115.74s]  твой тренер
[115.74s -> 117.74s]  Тимур. Знакомься. Привет.
[117.74s -> 119.74s]  Привет. Как дела? Отлично.
[119.74s -> 121.74s]  Очень приятно. Раньше занималась
