[0.88s -> 9.96s]  СПОКОЙНАЯ МУЗЫКА
[9.96s -> 12.36s]  А что, у тебя без помидоров, что ли?
[12.36s -> 13.60s]  Помидоров вредно?
[13.60s -> 15.48s]  Снегурочка! Снегурочка!
[15.48s -> 17.84s]  Девочка, ты что? Какая снегурочка?
[17.84s -> 21.56s]  Видишь, она немножко поднабрала, а шуба не застегнется.
[21.56s -> 24.44s]  Снегурочка! Снегурочка! А где дед Мороз?
[24.44s -> 25.44s]  КАШЛЯЕТ
[25.44s -> 27.48s]  Так, девочка, что за кипиш?
[27.52s -> 31.12s]  Пацаны, давайте быстрее, потому что такси приехало.
[31.12s -> 33.36s]  Приехало, да? На, подержи-ка.
[33.36s -> 37.36s]  Так, малая, что у меня тут? Ага. Вот.
[37.36s -> 40.60s]  На, держи. Дома разогреешь, немного остыли, да?
[40.60s -> 43.40s]  Все, давай, с наступающим, с наступающим.
[43.40s -> 46.96s]  Все, машина на месте, да? Погнали, это шоу Смех машины!
[46.96s -> 49.56s]  Сейчас будем травить анекдоты! Летс гоу!
[49.56s -> 51.36s]  Жалко, что отдали картошку.
[51.36s -> 53.56s]  Да девочка маленькая, что жалко?
[53.56s -> 57.14s]  СИГНАЛ АВТОМОБИЛЯ
[57.62s -> 60.66s]  Сразу скажу вам, почему мы с камерами,
[60.66s -> 63.74s]  чтобы вы не пугались вдруг в розыске.
[63.74s -> 65.58s]  Меня зовут Денис. Стас.
[65.58s -> 68.82s]  Стас, а можно на ты, да? А можно меня познакомить?
[68.82s -> 71.42s]  Да, вот Максим. И вот в костюме собаки.
[71.42s -> 74.10s]  Андрей. Андрей в костюме собаки с рогами.
[74.10s -> 78.26s]  Дело в том, что мы снимаем шоу, которое называется Смех машины.
[78.26s -> 81.06s]  Мы садимся в такси и рассказываем анекдоты,
[81.06s -> 85.54s]  спорим на 15 тысяч рублей, по пятаку скидываем и рассказываем анекдоты.
[85.58s -> 87.02s]  Водители в такси.
[87.02s -> 91.74s]  Ну и после каждого анекдота ты будешь ставить баллы от 10 до 1.
[91.74s -> 95.58s]  Где 10 это охуительно, один Андрюха.
[95.58s -> 99.86s]  Как долго уже бабиш на такси.
[99.86s -> 103.70s]  Начинал я вообще с 10-го года, когда рация была.
[103.70s -> 105.42s]  Когда карты смотрели, да?
[105.42s -> 109.98s]  Такая карта была. Раскладываешь ее в книжку, ее собираешь,
[109.98s -> 112.18s]  потом раскладываешь по городу и катаешь.
[112.18s -> 113.54s]  СИГНАЛ АВТОМОБИЛЯ
[113.58s -> 117.38s]  Ну что, нам нужно переходить к основной идее нашего шоу.
[117.38s -> 120.42s]  Это мы будем сейчас рассказывать вам анекдоты.
[120.42s -> 123.22s]  Тебе уже, что это, вам может подружить.
[123.22s -> 128.26s]  Попадает мужик в ад.
[128.26s -> 131.30s]  То есть проходит тысячи лет уже, как он находится в аду.
[131.30s -> 134.66s]  К нему подходит черта, говорит, что каждую тысячу лет
[134.66s -> 138.18s]  ты можешь изменить меру своего домучения.
[138.18s -> 140.26s]  И он говорит, пойдем покажу, какая есть.
[140.26s -> 143.74s]  Подходит в одну комнату, заходит, там мужика плетком бьют.
[143.78s -> 146.26s]  Он говорит, нет, это не вариант, давай дальше.
[146.26s -> 149.98s]  Смотрит следующей комнате, там огонь горит, там жарищи все мучаются тоже.
[149.98s -> 153.02s]  Он говорит, нет, еще есть вариант. Вот еще одна есть комната.
[153.02s -> 156.74s]  Открывает комнату, там сидит дед на стуле, ему сосет *********** блондинка.
[156.74s -> 158.54s]  Он говорит, давай меня вот сюда.
[158.54s -> 161.74s]  И черта говорит, блондинка, все, говорит, Наташа, ты свободна,
[161.74s -> 168.09s]  мучения закончились. Извините.
[168.09s -> 170.25s]  Ну сколько баллов ставишь? Тройка.
[170.25s -> 172.57s]  Предсказуемо. Ну то он примитивно.
[172.57s -> 174.65s]  Ну видишь, как сосет что-то такое.
[174.65s -> 177.17s]  Сразу в жизни три балла достать, даже в школе.
[179.97s -> 183.93s]  Стоит мужик, в руках шарик какой-то крутит, нюхает его.
[183.93s -> 186.81s]  Крутит, крутит, крутит.
[186.81s -> 190.17s]  Подходит, короче, другой мужик говорит, мужик, дурак, что ли?
[190.17s -> 194.53s]  Ты что тут делаешь? Да вот, не пойму, что это, говно или пластилин?
[194.53s -> 196.61s]  Он такой, что-то понять не можешь.
[196.61s -> 198.89s]  Дай-ка сюда, крутит, нюхает его.
[198.89s -> 201.21s]  Правда, непонятно. Дай-ка на вкус попробую.
[201.21s -> 204.45s]  Блин, говно напоминает.
[204.49s -> 207.13s]  Вот и я думаю, откуда у меня в жопе пластилин?
[210.17s -> 213.17s]  Андрей, мне кажется, мы просто вылетаем из этой машины.
[213.17s -> 215.65s]  Сколько баллов? Честно?
[215.65s -> 217.85s]  Давай, ну не меньше 3.
[217.85s -> 220.37s]  Я этот анекдот слышал, когда мне было, наверное, лет 7.
[222.77s -> 225.77s]  Ладно, так что быть, анекдот, что им хотя бы существует.
[225.77s -> 227.77s]  Анекдот или Андрюха.
[227.77s -> 231.57s]  Я не знаю, что из-за того, что существует, Андрюха получается двоечка, ладно.
[232.33s -> 235.13s]  Девочки, мне сейчас что-то рассказывать.
[235.13s -> 237.13s]  Думай, думай, думай.
[239.13s -> 243.13s]  Первый класс, пиздюшня, сидит вот этот, глазами лып, лып, лып.
[243.13s -> 245.13s]  Сидят все четырнадцать, говорит такая.
[245.13s -> 249.81s]  Так, значит, кто скажет слово придумать на букву «е».
[249.81s -> 252.33s]  Вовочка руку тянет, говорит, давайте я, давайте я.
[252.33s -> 254.61s]  Она говорит, так, сейчас на «е» что-нибудь матом ********.
[254.61s -> 256.61s]  Давайте, не буду Вовочку спрашивать.
[256.61s -> 260.61s]  Он говорит, ежевика, так, все нормально.
[260.65s -> 264.65s]  Дальше, так, кто придумает слово на букву «х», опять Вовочка тянет руку.
[264.65s -> 267.65s]  Нет, нет, сейчас опять на букву «х», говорит, матное что-нибудь скажет.
[267.65s -> 269.65s]  Давайте лучше вам, Людочка какое-нибудь слово придумает.
[269.65s -> 271.65s]  На «х», говорит, хрусталь.
[271.65s -> 273.65s]  Молодец, говорит, все, садись.
[273.65s -> 275.65s]  На букву «р» учительница, говорит, Вовочка тянет руку.
[275.65s -> 279.65s]  Так, ну на букву «р», наверное, матное, нет ничего, он не придумает.
[279.65s -> 281.65s]  Пускай Вовочка ответит, Вовочка встает.
[281.65s -> 285.65s]  *****, вы заебальцы, ежевика, хрусталь, у меня чуть не обосрался.
[289.09s -> 291.09s]  А я думал, чем же он все-таки закончится.
[291.13s -> 294.13s]  Ну по сравнению вот с этими их анекдотами, я ж чуть-чуть побольше должен заработать.
[294.13s -> 295.13s]  Неожиданная концовка.
[295.13s -> 296.13s]  Согласен.
[296.13s -> 297.13s]  Все.
[297.13s -> 298.13s]  Сколько?
[298.13s -> 300.13s]  Ладно, за день поставлю пятерку.
[300.13s -> 301.13s]  Пять!
[301.13s -> 302.13s]  Нормально!
[302.13s -> 303.13s]  Есть!
[303.13s -> 304.13s]  Пять!
[304.13s -> 306.13s]  Промежуточные результаты.
[306.13s -> 315.13s]  Значит, Андрей в костюме Оленя 2 балла, Максим в костюме Снегурочки 3 балла,
[315.13s -> 319.13s]  и Денис в костюме Деда Мороза 5 баллов.
[319.17s -> 320.17s]  Добро!
[320.17s -> 321.17s]  Добро!
[321.17s -> 322.17s]  Нормально.
[322.17s -> 325.50s]  Первый класс.
[325.50s -> 326.50s]  Учительница спрашивает, короче.
[326.50s -> 329.50s]  Так, я вам вчера сдавал домашнее задание.
[329.50s -> 330.50s]  Кто его сделал?
[330.50s -> 333.50s]  Стоит такой Петр Иванович, его все называли,
[333.50s -> 335.50s]  потому что он такой странненький мальчишка.
[335.50s -> 337.50s]  Он говорит, задание выполнено.
[337.50s -> 339.50s]  Он такая, учительница.
[339.50s -> 343.50s]  Я вам сдавала, какой рост у африканских пигмеев.
[343.50s -> 348.50s]  Он такой, да, я узнал, метр двенадцать сантиметров.
[348.50s -> 349.50s]  Учительница спрашивает.
[349.54s -> 350.54s]  Откуда такое?
[350.54s -> 352.54s]  Точно это результат.
[352.54s -> 355.54s]  Я у мамы спросил, подхожу к ней и спрашиваю.
[355.54s -> 358.54s]  Мама, какой рост у африканских пигмеев?
[358.54s -> 361.54s]  Она такая, сынок, мне до *****.
[361.54s -> 365.37s]  Костюм подходящий у тебя, кстати.
[365.37s -> 366.37s]  Кого?
[366.37s -> 367.37s]  У Андрея.
[367.37s -> 369.37s]  Костюм к анекдотам подходит.
[369.37s -> 371.37s]  Андрей, надо баллы выставить.
[371.37s -> 372.37s]  А что там, ноль?
[372.37s -> 373.37s]  Честно, ноль вообще.
[373.37s -> 374.37s]  Ноль!
[374.37s -> 375.37s]  Какой?
[375.37s -> 376.37s]  С первой?
[376.37s -> 378.37s]  Нет, он одного из десяти.
[378.37s -> 379.37s]  Ноль!
[379.37s -> 380.37s]  Один хотя бы.
[380.41s -> 382.41s]  Если у него ебанцкий анекдот, то можно ноль.
[385.41s -> 387.41s]  Приходит девушка к парню.
[387.41s -> 389.41s]  Она говорит, ну давай заниматься любовью.
[389.41s -> 391.41s]  Все дела, я хочу, не могу.
[391.41s -> 392.41s]  Он говорит, давай.
[392.41s -> 394.41s]  Она ему говорит, давай еще раз.
[394.41s -> 396.41s]  Он говорит, нет, посплю 20 минут.
[396.41s -> 397.41s]  И потом еще раз.
[397.41s -> 399.41s]  Пока я сплю, рукой за штурвалом за мной держись.
[399.41s -> 401.41s]  Он говорит, через 20 он просыпается.
[401.41s -> 402.41s]  У них опять секс.
[402.41s -> 404.41s]  Она просто в восторге от этого.
[404.41s -> 405.41s]  Она говорит, давай еще раз.
[405.41s -> 407.41s]  Он говорит, так же, по той же схеме.
[407.41s -> 408.41s]  Я сейчас сплю 20 минут.
