[0.00s -> 1.00s]  Пещеры раскроют.
[1.00s -> 2.00s]  Аааа! Это я!
[2.00s -> 3.00s]  Спыла по три часа в сутки.
[3.00s -> 4.00s]  А я что, миллионерша?
[4.00s -> 6.00s]  Осуждаем.
[6.00s -> 7.00s]  Чего?
[7.00s -> 8.00s]  Кого?
[8.00s -> 9.00s]  Приготовьтесь доить.
[9.00s -> 13.00s]  Почему у тебя более толстая струя?
[19.00s -> 20.00s]  Всем привет! Я Маша Марпл.
[20.00s -> 21.00s]  Это ПВП-шоу.
[21.00s -> 24.00s]  Один банк, два игрока и видеоигры.
[24.00s -> 27.00s]  У нас в гостях сегодня прекрасные девушки.
[27.00s -> 29.00s]  Вик Картер и Ксюша Зануда.
[29.00s -> 31.00s]  Люди, которые знают про игры очень много.
[49.89s -> 51.89s]  Так, я могла бы коротко обозвать наш сегодняшний выпуск.
[51.89s -> 55.89s]  Круглый стол по проблемам женщин-стримеров на Твиче.
[55.89s -> 56.89s]  Или рыбная вечеринка.
[56.89s -> 57.89s]  Или так.
[57.89s -> 61.89s]  Короче, девочки, хочу начать с важной темы.
[61.89s -> 63.89s]  С вами, как ни с кем другим, хочу ее обсудить.
[63.89s -> 65.89s]  Прочитала новость на днях.
[65.89s -> 67.89s]  Всем нам известная стримерша Амарант
[67.89s -> 70.89s]  купила заправку за полтора миллиона долларов.
[70.89s -> 75.89s]  А спустя несколько недель снова вложила 10 миллионов в сеть магазинов 7-11.
[75.89s -> 76.89s]  Что думаете?
[76.89s -> 81.84s]  Может быть, это ее маленький план.
[81.84s -> 82.84s]  У нее есть тактика.
[82.84s -> 84.84s]  Она сначала выкупит все заправки,
[84.84s -> 86.84s]  потом выкупит все супермаркеты.
[86.84s -> 89.84s]  В супермаркеты 7-11, которые очень популярны в Америке,
[89.84s -> 91.84s]  можно будет входить только с сапкой на ее канал.
[93.84s -> 95.84s]  Будут дополнительные льготы.
[95.84s -> 96.84s]  Как с QR-кодом, блин.
[96.84s -> 97.84s]  Да-да-да.
[97.84s -> 99.84s]  Если ты подписан на ее анлифанство,
[99.84s -> 101.84s]  там льготы какие-нибудь, молоко по акции.
[101.84s -> 103.84s]  Ладно, это все понятно.
[103.84s -> 105.84s]  Очень весело, но немножко грустно.
[105.84s -> 106.84s]  Немножко грустно.
[106.84s -> 108.84s]  В целом давайте о том,
[108.84s -> 111.84s]  что репрезентативность женщин-стримеров,
[111.84s -> 113.84s]  девушек-стримеров на Твиче
[113.84s -> 116.84s]  сильно сейчас поддомажена тем, что делает Twitch.
[116.84s -> 119.84s]  И вот как раз-таки Амарант – это продукт абсолютно
[119.84s -> 121.84s]  вседозволенности, которую сейчас Twitch творит.
[121.84s -> 123.84s]  Ты там потеешь, сидишь, играешь,
[123.84s -> 125.84s]  проводишь какие-то охренительные стримы.
[125.84s -> 128.84s]  Ты сидишь там, устраиваешь какие-то невероятные сессии
[128.84s -> 130.84s]  с классным контентом.
[130.84s -> 133.84s]  Девчонки разрисовывают сиськи
[133.84s -> 135.84s]  и сидят в бассейне за сапки.
[135.84s -> 137.84s]  Да пусть разрисовывают.
[137.84s -> 139.84s]  Главное, что мы этого не делаем.
[139.84s -> 141.84s]  Да ладно, но горело же у всех.
[141.84s -> 143.84s]  Горело не с этого.
[143.84s -> 145.84s]  Горит, потому что когда ты говоришь там,
[145.84s -> 147.84s]  я тебя спрашиваю, чем ты занимаешься,
[147.84s -> 149.84s]  ты говоришь, ну, на Твиче стримлю.
[149.84s -> 151.84s]  Ну, зайдет человек на Твиче и увидит рекомендуемый.
[151.84s -> 153.84s]  Ну да, горит с другого.
[153.84s -> 155.84s]  Есть огромное количество клевых стримеров,
[155.84s -> 157.84s]  контент-мейкеров, которые реально
[157.84s -> 159.84s]  заморачиваются над этим всем.
[159.84s -> 161.84s]  И они делают какие-нибудь клевые шоу,
[161.84s -> 163.84s]  но это пукнет,
[163.84s -> 165.84s]  и уже напишут об этом статью.
[165.84s -> 167.84s]  И за счет этого, что все любят
[167.84s -> 169.84s]  эти скандалы, интриги расследования,
[169.84s -> 171.84s]  все это форсится, о нормальных ребятах
[171.84s -> 173.84s]  никто ничего не знает. Почему никто не пишет
[173.84s -> 175.84s]  хорошие? То, что вот такой-то
[175.84s -> 177.84s]  стример провел клевый ивент,
[177.84s -> 179.84s]  вот этот стример, там еще что-то сделал.
[179.84s -> 181.84s]  Нет, мы будем говорить
[181.84s -> 183.84s]  про тиси-писи.
[183.84s -> 185.84s]  Ну, это было всегда еще до появления интернета.
[185.84s -> 187.84s]  Это правда.
[187.84s -> 189.84s]  Наскальные росписи.
[189.84s -> 191.84s]  Наскальные роспись. Чел, который коня
[191.84s -> 193.84s]  нарисовал, не хайпанул, а чел, который нарисовал
[193.84s -> 195.84s]  чела с третьей ногой хайпанул.
[195.84s -> 197.84s]  Все такие.
[197.84s -> 199.84s]  Да, потом еще скоро дойдем до того, что
[199.84s -> 201.84s]  какие-нибудь пещеры раскроют, а там как бы...
[201.84s -> 203.84s]  Пещеры раскроют!
[203.84s -> 205.84s]  Уж не знаю я, чьи пещеры раскроют,
[205.84s -> 207.84s]  но надеюсь, что не наши,
[207.84s -> 209.84s]  потому что мы приличные стримерки.
[209.84s -> 211.84s]  Вы-то как раз-таки вообще деятельные дамы.
[211.84s -> 213.84s]  Вы тоже не юсмейкерки.
[213.84s -> 215.84s]  Давайте обойдемся.
[215.84s -> 217.84s]  Без этого, пожалуйста. Короче, да, вы тоже не юсмейкеры.
[217.84s -> 219.84s]  Не матерись, потому что моя бабушка будет смотреть это.
[219.84s -> 221.84s]  Мы закрякаем.
[221.84s -> 223.84s]  Мы закрякиваем это все. Ты тоже можешь.
[223.84s -> 225.84s]  Как, вот так? Ба! Именно.
[225.84s -> 227.84s]  Можно, кстати, вот этот звук и вырезать.
[227.84s -> 229.84s]  Давайте вот прямо сейчас. Креп!
[229.84s -> 231.84s]  Я все-таки хочу перейти к вашим личным достижениям.
[231.84s -> 233.84s]  Вот Ксюха вот лям выиграла, получается, на вазде.
[233.84s -> 235.84s]  А потом выиграла
[235.84s -> 237.84s]  Badlight на алкоголе Кэмп.
[237.84s -> 239.84s]  Исполнила мечту.
[239.84s -> 241.84s]  Это я. Я все время забываю, но это я!
[241.84s -> 243.84s]  Ааа! Это я!
[243.84s -> 245.84s]  Даю пояснение, Ксюха выиграла
[245.84s -> 247.84s]  поясную штуку и смогла
[247.84s -> 249.84s]  исполнить мечту подписчика своего за призовой фонд.
[249.84s -> 251.84s]  Исправила человеку зрение.
[251.84s -> 253.84s]  Молодец. А у тебя личный рекорд.
[253.84s -> 255.84s]  Ты месяц стримила. Тебе стича,
[255.84s -> 257.84s]  а потом сказать, не надо так делать, пожалуйста,
[257.84s -> 259.84s]  не травмируйте себя. Нет.
[259.84s -> 261.84s]  Какое у тебя, еще раз, давай повторим официально,
[261.84s -> 263.84s]  как это звучит. Самое большое количество
[263.84s -> 265.84s]  часов стрима за месяц.
[265.84s -> 267.84s]  Не с точки зрения, что это был
[267.84s -> 269.84s]  просто включенный компьютер.
[269.84s -> 271.84s]  Я не спала, я
[271.84s -> 273.84s]  не включала записи. Да, я спала
[273.84s -> 275.84s]  3 часа в сутки.
[275.84s -> 277.84s]  Месяц. Месяц.
[277.84s -> 279.84s]  Это, конечно, было прикольно.
[279.84s -> 281.84s]  Больше я так делать не буду.
[281.84s -> 283.84s]  Пац, пац, пац, пац, пац.
[283.84s -> 285.84s]  Рекорд, который мы побьем через 5,
[285.84s -> 287.84s]  4,
[287.84s -> 292.62s]  3!
[292.62s -> 294.62s]  Я не знаю, побили его или не побили.
[294.62s -> 296.62s]  Я за этим не слежу. Там многие пишут,
[296.62s -> 298.62s]  а что будешь повторять? А вот я собираюсь побить рекорд.
[298.62s -> 300.62s]  Мне так насрать.
[300.62s -> 302.62s]  Ты видела на финале, к ней санитары пришли?
[302.62s -> 304.62s]  Нет. Там реально пришли же санитары.
[304.62s -> 306.62s]  Все, Вика закончила. Рекорд установлен.
[306.62s -> 308.62s]  Пришли санитары. Вот ты, например,
[308.62s -> 310.62s]  выиграла
[310.62s -> 312.62s]  фестиваль стримерский на ВАЗде.
[312.62s -> 314.62s]  Заработала миллион рублей.
[314.62s -> 316.62s]  Где он только? Ну, потратила,
[316.62s -> 318.62s]  видимо. Не ощущаю.
[318.62s -> 320.62s]  После развода отжали? Да, когда
[320.62s -> 322.62s]  слили данные стримеров, выяснилось,
[322.62s -> 324.62s]  что я миллионерша. Мне все начинается, а Ксюша,
[324.62s -> 326.62s]  ты что, миллионерша? Я такая смотрю
[326.62s -> 328.62s]  на свой счет на карточке и такая думаю,
[328.62s -> 330.62s]  а я что, миллионерша?
[330.62s -> 332.62s]  Непон. Ну ладно. Где мои деньги?
[332.62s -> 334.62s]  С этим сливом тоже. Там же как бы еще
[334.62s -> 336.62s]  было без вычета налогов,
[336.62s -> 338.62s]  процентов. То есть там,
[338.62s -> 340.62s]  во-первых, если вы любите считать чужие деньги,
[340.62s -> 342.62s]  вы там на этот слив смотрели, делите, во-первых,
[342.62s -> 344.62s]  на два. Тяжело нам миллионерам приходить.
[344.62s -> 346.62s]  Хотелось бы, конечно,
[346.62s -> 348.62s]  верить всем этим цифрам, что там
[348.62s -> 350.62s]  написано. Ну так а что ты плачешь?
[350.62s -> 352.62s]  Бери бассейн надувной.
[352.62s -> 354.62s]  Раздел есть, вон Маша сказала,
[354.62s -> 356.62s]  все. Давайте чисто философски
[356.62s -> 358.62s]  посмотрим на ситуацию условно.
[358.62s -> 360.62s]  Если я буду стримить и просто играть,
[360.62s -> 362.62s]  например, на фортепиано, да, меня будут
[362.62s -> 364.62s]  смотреть, ну там, 500 человек.
[364.62s -> 366.62s]  А если я сяду в бассейн, в бикини
[366.62s -> 368.62s]  и буду играть на фортепиано,
[368.62s -> 370.62s]  меня будет смотреть на, допустим,
[370.62s -> 372.62s]  5000. Ну я надеюсь. Ну так Амарант Майнкрафт
[372.62s -> 376.00s]  в бассейне играет?
[376.00s -> 378.00s]  Вот. Смысла-то в том,
[378.00s -> 380.00s]  что я не меняюсь и мой скилл не
[380.00s -> 382.00s]  меняется. Я просто тут в одежде,
[382.00s -> 384.00s]  а тут, допустим, в бикини, в бассейне.
[384.00s -> 386.00s]  Меняются зрители
[386.00s -> 388.00s]  и проблема получается-то не во мне,
[388.00s -> 390.00s]  если так. Логически подумать.
[390.00s -> 392.00s]  Это же я бухгалтер по образованию,
[392.00s -> 394.00s]  да, спрос, предложение, как бы
[394.00s -> 396.00s]  все тут понятно. Самое смешное
[396.00s -> 398.00s]  сейчас факт для наших зрителей,
[398.00s -> 400.00s]  которые не совсем понимают, о чем мы говорим,
[400.00s -> 402.00s]  самый благородный стримерший на данный
[402.00s -> 404.00s]  момент является Саша Грей.
[408.00s -> 410.00s]  Саша Грей прекрасная женщина.
[410.00s -> 412.00s]  Борщ варит, что-то в сим сыграет,
[412.00s -> 414.00s]  сидит все в водолазочке, в толстовочке.
