[0.00s -> 2.00s]  Стрелять так стрелять глазками!
[2.00s -> 4.00s]  А вы будете мужчин поздравлять?
[4.00s -> 5.00s]  Это дорого, во-первых.
[5.00s -> 6.00s]  Как это вы не будете слушаться?
[6.00s -> 7.00s]  Поздравляю за женщин!
[7.00s -> 10.00s]  Что, держите супостат, а что белку в глаз?
[10.00s -> 12.00s]  Какие, ребята, а главное метки!
[13.00s -> 27.55s]  23 февраля защитный день календаря!
[27.55s -> 32.55s]  Так что поздравляю всех защитников и полузащитников, ну, в смысле, тех, кто откосил.
[32.55s -> 35.55s]  И желаю вам в этот день не сидеть дома!
[35.55s -> 40.55s]  Тем более, что в Москве есть множество классных мест, которые можно посетить за деньги и бесплатно!
[40.55s -> 44.55s]  Меня зовут Таше, и сегодня я расскажу вам, как отметить этот праздник.
[45.55s -> 47.55s]  Сочастую этот праздник отмечают дома.
[47.55s -> 51.55s]  Готовят праздничный ужин, достают дембельский альбом и дарят подарки.
[51.55s -> 54.55s]  Но можно перед этим бесплатно провести свой выходной.
[54.55s -> 58.55s]  Мужчинам можно просто гулять по городу и получать подарки.
[58.55s -> 61.55s]  Парки на Красной Пресне днем проходят разные мероприятия.
[61.55s -> 64.55s]  Также они проходят в парке Сокольники и в парке Сказка.
[64.55s -> 68.55s]  В нем вообще можно посмотреть рыцарские турниры и поесть полевой кухни.
[68.55s -> 70.55s]  Все уточняйте в интернете.
[70.55s -> 73.55s]  Ну куда, куда беспоклонной горы?
[73.55s -> 80.55s]  Со всех концов страны сюда приезжают граждане России, чтобы отдать дань уважения защитникам отечества.
[80.55s -> 82.55s]  Каждый мужчина просто обязан тут побывать.
[82.55s -> 85.55s]  Тем более, что локация абсолютно бесплатная.
[85.55s -> 88.55s]  А вечером 23-го еще и салют дают.
[88.55s -> 92.55s]  Редкий день защитника отечества в Москве проходит без праздничного салюта.
[92.55s -> 97.55s]  Обычно для пиротехнических шоу в этот день обустраивают три площадки в разных частях города.
[98.55s -> 100.55s]  Фейерверки прогремят в небе в 21.00.
[100.55s -> 102.55s]  Представление продлится 10 минут.
[102.55s -> 107.55s]  Обычно проходит салют на Лужнецкой набережной, ВДНХ и Поклонной горе.
[107.55s -> 110.55s]  Поклонная гора встречает нас триумфальной аркой.
[110.55s -> 115.55s]  В 1814 году арку воздвигли в честь победы русских над Наполеоном.
[115.55s -> 120.55s]  Изначально она находилась на площади Тверской заставы и была деревянной.
[120.55s -> 125.55s]  В 30-х годах XIX века триумфальные ворота полностью реконструировали.
[125.55s -> 130.55s]  А вот в Поклонной горе арку перенесли в 60-х годах, но уже прошлого века.
[130.55s -> 135.55s]  Так что бегом фотографироваться, пока ее не реконструировали или куда-то не перенесли.
[135.55s -> 137.55s]  А вы будете мужчин поздравлять с 23 февраля?
[137.55s -> 139.55s]  Да, конечно, будем.
[139.55s -> 141.55s]  А как вы будете это делать?
[141.55s -> 142.55s]  Надо придумать.
[142.55s -> 144.55s]  Я себе уже вчера подарок сделал.
[144.55s -> 146.55s]  Женщины сделают сам?
[146.55s -> 148.55s]  Да, я сам сделал, у нее деньги.
[148.55s -> 150.55s]  А вы даже свои руки все, так сказать.
[150.55s -> 151.55s]  Конечно.
[151.55s -> 153.55s]  Ну что-то рассчитываете, девушка должна что-нибудь подарить.
[154.55s -> 156.55s]  А, ну вы служили же?
[156.55s -> 157.55s]  Да.
[157.55s -> 160.55s]  Ну вот, значит, мужчина, защитник, какая разница, гражданин или не гражданин.
[160.55s -> 164.55s]  Впервые Поклонная гора в Москве упоминается еще в летописях XIV века.
[164.55s -> 169.55s]  В 1812 году Наполеон Бонапарт ждал на Поклонной горе ключи от Кремля.
[169.55s -> 171.55s]  Как видим, не дождался.
[171.55s -> 173.55s]  Тут находится монумент и музей Победы.
[173.55s -> 177.55s]  Музей военной техники и единственный в столице цветочные часы.
[177.55s -> 178.55s]  Но это летом.
[178.55s -> 182.55s]  В самом деле несколько веков назад отсюда открывался чудесный вид на город.
[182.55s -> 186.55s]  Зайдя на гору, путники кланились и только потом продолжали свой путь.
[186.55s -> 192.55s]  Монумент Победы, возведенный в 1995 году, считается самым высоким памятником в России.
[192.55s -> 199.55s]  Высота обелиска 141,8 метров, что символизирует количество дней Великой Отечественной войны.
[199.55s -> 205.55s]  Кстати, фонтанов здесь тоже 1418 штук, но работают они только летом.
[205.55s -> 212.55s]  В 122 метрах от земли на обелиске установлена 25-тонная бронзовая статуя Ники, богини Победы.
[212.55s -> 217.55s]  У основания стеллы расположена скульптура Георгия Победоносца, поражающего копьем змея,
[217.55s -> 219.55s]  которое олицетворяет зло и агрессию.
[219.55s -> 223.55s]  Обелиск декорирован выразительными барельефами на военную тематику
[223.55s -> 226.55s]  и названиями городов-героев, выбитых золотом.
[226.55s -> 229.55s]  Здесь все памятные места.
[229.55s -> 233.55s]  Я буду праздновать, как и все, потому что я служил тоже.
[234.55s -> 237.55s]  То есть ты защитник, а не полузащитник.
