[3.82s -> 54.97s]  Друзья, всем добрый вечер!
[54.97s -> 56.97s]  Как вы знаете, мы те, кто рискнул объединить в одном шоу
[56.97s -> 60.97s]  Распаковку современного искусства и концерт молодых музыкантов
[60.97s -> 65.97s]  У меня уже 157 раз, оля, спросили зачем
[65.97s -> 68.97s]  И я 157 раз отвечаю, ну потому что это здорово
[68.97s -> 73.97s]  давать площадку для высказывания молодым творцам, артистам, музыкантам, кураторам
[73.97s -> 76.97s]  И не проводить никакой черты между ними
[76.97s -> 79.97s]  У нас здесь творчество во всех его проявлениях
[79.97s -> 83.97s]  Это арт-механика, друзья, у-ра!
[83.97s -> 88.82s]  Вот так
[88.82s -> 91.82s]  Влад, ты так неожиданно начал выпуск заявления
[91.82s -> 93.82s]  Я даже стихотворение не успела подготовить
[93.82s -> 95.82s]  Почему неожиданно-то? Это такой мой стиль
[95.82s -> 97.82s]  Немножко пафос такой есть, чуть-чуть
[97.82s -> 100.82s]  Но поскольку ты единственный в мире бармен
[100.82s -> 103.82s]  или барменша, как правильно сказать в этом контексте
[103.82s -> 106.82s]  Кандидат наук, я знаю, оля, что ты все равно
[106.82s -> 109.82s]  что-то уже придумала и выкрутишься из этой ситуации
[109.82s -> 111.82s]  Ах так, ну хорошо, вызов принят
[111.82s -> 113.82s]  Давай
[113.82s -> 117.82s]  Я жизнь не принцип познаю, а правила такое
[117.82s -> 121.82s]  Вы мне подложите свинью, я сделаю жаркой
[122.82s -> 126.82s]  Ну, во-первых, я обещаю, никаких свиней тебе не подкладывать
[126.82s -> 128.82s]  Если, конечно, эти свиньи не имеют отношения
[128.82s -> 130.82s]  к современному искусству, оля
[130.82s -> 132.82s]  О чем же сегодня пойдут разговоры?
[132.82s -> 136.82s]  Мы поговорим о самом объемном
[136.82s -> 138.82s]  в прямом смысле этого слова
[138.82s -> 141.82s]  виде искусства о скульптуре
[141.82s -> 142.82s]  Прекрасно
[142.82s -> 145.82s]  Я как раз хотела узнать, где же потереть глину номер 4
[145.82s -> 147.82s]  И чтобы она удачу приносила
[147.82s -> 150.82s]  Сейчас, оля, мы узнаем нечто большее
