[0.00s -> 2.00s]  Привет! Тема сегодняшнего видео
[2.64s -> 4.64s]  Я недовольна своим ростом
[4.72s -> 11.20s]  Неважно, высокая ты или низкая, если тебя обеспокоит эта тема, смотри и слушай внимательно
[15.68s -> 25.69s]  Ты никогда не замечала, что очень часто брюнетки хотят быть блондинками, а блондинки брюнетками
[25.85s -> 30.29s]  Худенькие девушки восхищаются пышными формами, а пышные стремятся похудеть
[30.45s -> 37.57s]  Так же и многие высокие девушки хотели бы быть чуть ниже, а низкие мечтали бы добавить себе пару сантиметров
[38.73s -> 43.89s]  Я тебе так завидую, ты такая высокая, у тебя прям модельная внешность
[44.33s -> 48.93s]  Да нет, ты чего, ты такая миниатюрная, это тебе повезло
[48.93s -> 50.93s]  Да нет, тебе повезло больше
[50.93s -> 52.93s]  Тебе
[52.93s -> 54.93s]  Тебе
[54.93s -> 56.93s]  Тебе
[56.93s -> 58.93s]  Тебе
[59.01s -> 64.49s]  Многие люди могут быть идеальными ростами, все люди совершенно разные, это то, что дано нам природой
[64.85s -> 67.69s]  Не зря же говорят, внешность не выбирают
[68.97s -> 76.21s]  Можно сказать, что рост прописан в геноме человека и определен еще на этапе формирования зародыша
[76.69s -> 82.13s]  То есть, наш рост зависит от совокупности той наследственности, которую нельзя изменить
[82.85s -> 88.45s]  Конечно эти параметры могут меняться в зависимости от внешних факторов
[88.45s -> 93.45s]  вредные привычки, экология, питание, физические упражнения.
[93.45s -> 96.45s]  Но основа она именно в генетике.
[96.45s -> 101.45s]  Наиболее активный период роста происходит в пубертатном периоде.
[101.45s -> 105.45s]  Девочки интенсивнее всего растут с 10 до 14 лет,
[105.45s -> 108.45s]  а мальчики с 13 до 18.
[108.45s -> 112.45s]  Средний рост людей сильно различается в зависимости от страны.
[112.45s -> 116.45s]  Например, государство с самыми высокими людьми Нидерланды.
[116.45s -> 122.45s]  Там средний рост мужчин 184 сантиметра, а женщин 170 сантиметров.
[122.45s -> 126.45s]  Самые невысокие люди проживают в Гватемале,
[126.45s -> 132.45s]  где средний рост у мужчин 159 сантиметров и 149 сантиметров у женщин.
[132.45s -> 139.45s]  В России рост мужчин в среднем составляет 178 сантиметров, а женщин 166.
[139.45s -> 143.45s]  Поэтому хорошенько подумай, ты слишком низкая, слишком высокая
[143.45s -> 145.45s]  или просто живешь не в той стране?
[145.45s -> 149.45s]  Я, например, ростом всего 158 сантиметров.
[149.45s -> 153.45s]  И, честно скажу, я раньше очень сильно из-за этого переживала.
[153.45s -> 157.45s]  Я всегда стояла на уроках физкультуры в самом конце.
[157.45s -> 160.45s]  Я не могла дотянуться до верхней полки на кухне.
[160.45s -> 165.45s]  И в какой-то момент я даже хотела поставить себе аппарат Элизарова на ноги.
[165.45s -> 167.45s]  Но, слава богу, время прошло.
[167.45s -> 170.45s]  Я привыкла, научилась носить красивые каблуки,
[170.45s -> 173.45s]  подбирать себе правильную длину юбки.
[173.45s -> 175.45s]  И я полюбила себя полностью.
[175.45s -> 177.45s]  Мне не нравилось, когда мне говорили,
[177.45s -> 180.45s]  ой, какая малышка, Димовочка.
[180.45s -> 184.45s]  Я всегда думала, что эти слова можно сказать только по отношению к ребенку,
[184.45s -> 186.45s]  но никак не к взрослому.
[186.45s -> 190.45s]  Девушки, если вы на собеседовании, то вам в 32 кабинет.
[190.45s -> 194.45s]  Малышка, ты чего? Взрослые сами разберутся.
[197.45s -> 204.42s]  Здравствуйте. Я начальник этого департамента.
[204.42s -> 207.42s]  Ну что, начнем с собеседования?
[207.42s -> 210.42s]  Лично я в определенный момент поняла,
[210.42s -> 213.42s]  что мой невысокий рост вовсе не недостаток.
[213.42s -> 217.42s]  И уж точно он не может помешать мне добиться моих целей.
[217.42s -> 220.42s]  Многие известные люди, получившие признание и славу,
[220.42s -> 222.42s]  не отличались высоким ростом.
[222.42s -> 227.42s]  Ариана Гранде – одна из самых талантливых и популярных певиц мира.
[227.42s -> 230.42s]  Рост Арианы – 157 сантиметров.
[230.42s -> 235.42s]  Независимо от возраста, ее всегда воспринимали как маленькую милую девочку.
[235.42s -> 238.42s]  Но это не помешало ей добиться успеха.
[238.42s -> 241.42s]  На музыкальных клипах певица миллиарды просмотров,
[241.42s -> 248.42s]  а журнал Time в 2016 году признал ее одной из ста самых влиятельных людей мира.
[248.42s -> 254.42s]  Наталья Япрекян – звезда КОН, продюсер и актриса шоу Comedy Woman
[254.42s -> 259.42s]  тоже является обладательницей маленького роста – всего 152 сантиметра.
[259.42s -> 264.42s]  При этом она совершенно его не стесняется и ни в коем случае не воспринимает как недостаток.
[264.42s -> 267.42s]  Наоборот, рост – одна из ее фишек.
[267.42s -> 273.42s]  Девушка не упускает возможностей подчеркнуть и высмеять его в юмористических миниатюрах.
[273.42s -> 276.42s]  Вся Россия знает ее как серьезную Наталью Андреевну.
[276.42s -> 279.42s]  На сцене маленькая девушка – большой начальник.
[279.42s -> 283.42s]  Мировая история знает множество сильных маленьких женщин.
[283.42s -> 288.42s]  Например, британская королева Виктория, которая занимала трон более 60 лет.
[288.42s -> 295.42s]  Ее рост был 152 сантиметра, но это не помешало ей стать символом целого исторического периода
[295.42s -> 299.42s]  и художественного стиля в английском искусстве девятнадцатого века.
[299.42s -> 308.42s]  Если тебя все же не устраивает твой небольшой рост, то есть пару секретов, как его можно изменить.
[315.97s -> 317.97s]  Ты что, тот сам был или липутик?
[321.97s -> 344.97s]  Рост можно увеличить с помощью физических упражнений.
[344.97s -> 349.97s]  Рекомендуется висеть на турнике, растягивать мышцы,
[349.97s -> 353.97s]  если есть возможность, подбери соответствующий спорт.
[353.97s -> 358.97s]  Например, попробуй себя в баскетболе или волейболе.
[358.97s -> 365.97s]  Может, на профессиональный уровень ты не выйдешь, но однозначно укрепишь свое здоровье
[365.97s -> 368.97s]  и сможешь немного прибавить в росте.
[368.97s -> 374.41s]  И самое главное – не сутулься.
[374.41s -> 376.41s]  Он такой симпотный.
[376.41s -> 379.41s]  Если бы он был повыше, я бы с ним познакомилась.
[384.51s -> 393.51s]  Питание.
[393.51s -> 398.51s]  Также на рост влияет правильно подобранное питание.
[398.51s -> 403.51s]  Ученые выяснили, что одними из самых полезных продуктов, которые положительно влияют на рост,
[403.51s -> 409.51s]  являются овсяная каша, бананы, бобовые, говядина, морепродукты, грецкие орехи.
[410.51s -> 416.34s]  Говядина, морепродукты, грецкие орехи.
[416.34s -> 418.34s]  Дочка, что это?
[418.34s -> 421.34s]  А это то, что я буду есть на завтра каждый день.
[421.34s -> 425.34s]  Мне нужно за месяц вырасти на 15 сантиметров.
[425.34s -> 433.79s]  Одежда и причёска.
[433.79s -> 441.74s]  Визуально рост можно увеличить с помощью одежды и причёски.
[442.74s -> 444.74s]  Правило первое.
[444.74s -> 447.74s]  Соблюдай принцип две третьих, одна третья.
[447.74s -> 452.74s]  Где одна третья – это верх твоего образа, а две третьих – низ.
[452.74s -> 457.74s]  Оптимальный вариант – это брюки или юбка с завышенной талией.
[457.74s -> 460.74s]  Ну, примерно как у меня.
[460.74s -> 463.74s]  Второе правило – длина рукава.
[463.74s -> 465.74s]  Не больше, чем до запястья.
[465.74s -> 471.74s]  Длинный рукав визуально нарушает пропорции и сокращает рост.
[471.74s -> 475.74s]  Третье правило – вертикальный принт на одежде.
[475.74s -> 481.74s]  Он визуально вытягивает фигуру и делает тебя не только выше, но и стройнее.
[481.74s -> 485.74s]  И четвёртое правило – объёмная причёска.
[485.74s -> 488.74s]  Она также внешне делает тебя выше.
[488.74s -> 492.74s]  А если я не хочу быть высокой, а наоборот хочу быть пониже?
[492.74s -> 495.74s]  Теперь давай поговорим о высоких девушках.
[495.74s -> 497.74s]  Ты относишься к таким?
[497.74s -> 498.74s]  Тогда слушай.
[498.74s -> 501.74s]  Начнём с того, что вы обладательницы статного роста.
[501.74s -> 503.74s]  Это очень красиво.
[503.74s -> 508.74s]  Высоких девушек обычно дразнят из-за роста исключительно потому, что завидуют им.
[508.74s -> 511.74s]  Советую просто не обращать внимания.
[511.74s -> 515.74s]  Если ты высокого роста, тебе во многом повезло.
[515.74s -> 520.74s]  Ты можешь заняться деятельностью, в которой твой рост будет преимуществом.
[520.74s -> 526.74s]  Например, высокие девушки могут стать прекрасными игроками в баскетбол и волейбол,
[526.74s -> 529.74s]  добиться успеха в модельном бизнесе.
[529.74s -> 534.74s]  Все эти занятия помогут тебе почувствовать себя уверенно, принять свой рост.
[534.74s -> 538.74s]  А мальчики мне сказали, что высокий рост – это не женственно.
[538.74s -> 541.74s]  Не слушай мальчиков, ты выше этого.
[541.74s -> 544.74s]  Неважно, спортсменка ты или модель.
[544.74s -> 547.74s]  Рост не может помешать тебе быть женственным.
[547.74s -> 553.74s]  Мария Шарапова – обладательница роскошного роста, который считается большим даже для парней.
[553.74s -> 556.74s]  Представь себе, целых 190 сантиметров.
[556.74s -> 559.74s]  Но только посмотри, разве ее можно назвать не женственной?
[559.74s -> 565.74s]  Единственная проблема, с которой я сталкиваюсь из-за роста – мне сложно купить джинсы под каблук.
[565.74s -> 568.74s]  Все они слишком короткие, говорит теннисистка.
[568.74s -> 576.74s]  Муза режиссера Квентина Тарантино Ума Турман в детстве ужасно комплексовала из-за высокого роста – 180 сантиметров.
[576.74s -> 581.74s]  Также природа наградила девушку 45 размером ступней, из-за чего в школе ее дразнили.
[581.74s -> 587.74s]  Но это не помешало ей стать для многих эталоном женской красоты и добиться успеха.
[587.74s -> 591.74s]  Она прославилась почти сразу после того, как начала играть в кино.
[591.74s -> 598.74s]  Турман сыграла главные женские роли в легендарных кинокартинах – криминальная чтива, убенвила, опасные связи.
[598.74s -> 602.74s]  Последняя, кстати, была удостоена трех премий Оскар.
[602.74s -> 610.74s]  Если ты будешь развивать свои таланты, то рост не станет преградой, а наоборот – только поможет тебе в достижении успеха.
[610.74s -> 614.74s]  Он позволит тебе эффектно выделиться из толпы.
[614.74s -> 616.74s]  Какие у вас жалобы?
[616.74s -> 618.74s]  У меня высокий рост.
[618.74s -> 621.74s]  Что беспокоит вас в вашем росте?
[621.74s -> 625.74s]  Я слишком круто выгляжу.
[631.74s -> 638.74s]  Как мы сегодня поняли, рост зависит от генов и дается нам природой. Но на него можно немного повлиять.
[638.74s -> 643.74s]  Одна из самых главных фас роста происходит во время переходного возраста.
[643.74s -> 652.74s]  Неправильное питание, недостаток витаминов и физической активности могут замедлить формирование скелета, поэтому следи за этим.
[652.74s -> 658.74s]  Но помни – наслаждаться жизнью и достичь в ней успеха можно независимо от роста.
