[0.00s -> 3.20s]  Ииииииииии, раз!
[3.20s -> 4.50s]  Выше-выше!
[4.50s -> 9.40s]  Ииииииии два, у меня внутри снег, трень.
[9.40s -> 11.08s]  Вот сырое мы и будем кушать с вами.
[11.08s -> 13.38s]  Хант Хин Мансийска!
[13.38s -> 13.88s]  Хахахахаха
[13.92s -> 17.56s]  В каждом выпуске Женни и Скандарова вместе с гостем посещают города России.
[17.56s -> 21.80s]  Вернуть свои деньги и телефоны они смогут только если пройдут квест до конца.
[21.80s -> 22.80s]  Х Luna undergraduate
[22.80s -> 27.28s]  Не только столица Югры, самого богатого региона, но и новогодняя столица России.
[27.28s -> 31.28s]  Край мамонтов, самобытных народов и безграничного количества нефти.
[31.28s -> 35.28s]  Сегодня нашим участникам предстоит посетить самые интересные места Ханты-Мансийска,
[35.28s -> 39.28s]  пройти необычные испытания и узнать, что же такое сокровища игры.
[39.28s -> 42.28s]  А именно, собрать цифровой код от замка на Лорце,
[42.28s -> 46.28s]  в котором и находится их звание почетного гражданина города Ханты-Мансийск.
[48.28s -> 62.45s]  Привет! Это шоу «Почетный гражданин».
[62.45s -> 66.45s]  Я его ведущая Женя Искандарова и Настя Петрова.
[66.45s -> 71.45s]  Анастасия Петрова, 21 год, победительница пятого сезона шоу «Пацанки».
[71.45s -> 75.45s]  Дева по знаку зодиака, Петруха по мнению остальных участниц шоу «Пацанки».
[75.45s -> 79.45s]  Пожелаем Насте получить звание «Почетный гражданин», пусть даже в маске.
[79.45s -> 81.45s]  Сегодня приехали куда?
[81.45s -> 83.45s]  В Ханты-Мансийск.
[83.45s -> 87.45s]  Это очень смешно, Настя не выговаривает Ханты-Мансийск.
[87.45s -> 89.45s]  Поэтому просто Ханты.
[89.45s -> 91.45s]  Скажи, пожалуйста, ты была в Ханты-Мансийске?
[91.45s -> 95.45s]  Я вообще ни разу тут не была и даже подумать не могла, что когда-нибудь я тут окажусь.
[95.45s -> 97.45s]  Это в такую холодрыгу.
[97.45s -> 100.45s]  Нам сказали, что нам еще очень сильно повезло с погодой.
[100.45s -> 102.45s]  И сейчас намного теплее, чем обычно.
[102.45s -> 104.45s]  Ничего не знаю.
[104.45s -> 106.45s]  Настя, знаешь, что у меня есть?
[106.45s -> 110.45s]  У меня есть конверт с первым заданием.
[110.45s -> 112.45s]  Найти вам нужно место непростое.
[112.45s -> 114.45s]  Вокруг там лишь одна тайга.
[114.45s -> 117.45s]  Жемчужина Югры и сердце городское.
[117.45s -> 120.45s]  Все местные зовут его Священная Земля.
[120.45s -> 123.45s]  До следующей точки вам нужно добраться автостопом,
[123.45s -> 125.45s]  чтобы учители довести вас бесплатно.
[125.45s -> 127.45s]  Ого, ловим его.
[127.45s -> 129.45s]  Здравствуйте, извините, пожалуйста,
[129.45s -> 131.45s]  вы скажите, что такое Священная Земля?
[131.45s -> 133.45s]  Священная Земля?
[133.45s -> 135.45s]  Иерусалим, что ли?
[135.45s -> 137.45s]  Да нет, у вас здесь, в Ханты-Мансийске.
[137.45s -> 139.45s]  Понятия не имею.
[139.45s -> 141.45s]  Я же говорила, что нас туда прямой дорогой отправят.
[141.45s -> 144.45s]  Ты когда-нибудь видела вот такие ледяные скульптуры?
[144.45s -> 146.45s]  Я ни разу не видела.
[146.45s -> 149.45s]  И знаешь, у меня почему-то дикое желание ее лизнуть.
[149.45s -> 151.45s]  Ну а что, пойдем лизнем?
[155.08s -> 158.08s]  Только осторожно, потому что нам еще идти.
[162.08s -> 164.08s]  А снег чистейший.
[164.08s -> 166.08s]  Да, нормально.
[166.08s -> 168.08s]  Все, пошли дальше.
[168.08s -> 171.08s]  Извините, помогите.
[173.08s -> 177.08s]  Скажите, пожалуйста, что такое Священная Земля?
[177.08s -> 179.08s]  Где это находится?
[179.08s -> 181.08s]  Просто адрес нужен.
[181.08s -> 183.08s]  Я не местный.
[183.08s -> 185.08s]  Просто полюбоваться?
[185.08s -> 187.08s]  Тогда можешь с нами искать.
[187.08s -> 189.08s]  Это вы сами делаете?
[189.08s -> 191.08s]  Это вы сами делаете?
[191.08s -> 193.08s]  Мы их лизали только что.
[193.08s -> 195.08s]  Мы их лизнули.
[195.08s -> 197.08s]  Да, мы они расстали сразу от нашей любви.
[197.08s -> 200.78s]  А вы местный?
[200.78s -> 202.78s]  А кто?
[202.78s -> 204.78s]  Есть тут местные.
[204.78s -> 206.78s]  Мне кажется, что он наврал.
[206.78s -> 208.78s]  Да?
[208.78s -> 210.78s]  Нет, я не верю, что в Ханты-Мансийске есть обманщики.
[210.78s -> 212.78s]  Извините, мы местно полицейские.
[212.78s -> 214.78s]  А вы где Священная Земля?
[214.78s -> 216.78s]  Не знаю.
[216.78s -> 218.78s]  А вы не местный?
[218.78s -> 220.78s]  Местный?
[220.78s -> 222.78s]  Женчужина Югры, сердце городское.
[222.78s -> 224.78s]  Все местные зовут его Священная Земля.
[224.78s -> 226.78s]  Музей Турма.
[226.78s -> 228.78s]  Турма?
[228.78s -> 230.78s]  Турма.
[230.78s -> 232.78s]  Турма.
[232.78s -> 234.78s]  Нет, Турма.
[234.78s -> 236.78s]  Турма.
[236.78s -> 238.78s]  Турма.
[238.78s -> 240.78s]  Турма.
[240.78s -> 242.78s]  Так, с этим разобрались, пошли искать машину.
[242.78s -> 244.78s]  Бесплатную.
[250.47s -> 252.47s]  Насть, я вообще не считаю, что это нормально.
[252.47s -> 254.47s]  Нет.
[254.47s -> 256.47s]  Нет, это ужасно.
[256.47s -> 258.47s]  Я предлагаю пойти...
[258.47s -> 260.47s]  Вон, парковка.
[260.47s -> 262.47s]  Вот такого центра.
[262.47s -> 264.47s]  Люди по-любому будут туда выходить, чтобы сесть за машину.
[264.47s -> 266.47s]  Пошли вылавливать их.
[266.47s -> 268.47s]  Там кто-то стоит на аварийке.
[268.47s -> 270.47s]  И я бы к этому человеку
[270.47s -> 272.47s]  подошла.
[272.47s -> 274.47s]  А можно открыть?
[274.47s -> 276.47s]  Здравствуйте, мы ищем
[276.47s -> 278.47s]  попутку. Нам нужно
[278.47s -> 280.47s]  до Турмы. Турма.
[280.47s -> 282.47s]  Какая-то есть музей.
[282.47s -> 284.47s]  А вы случайно туда не едете
[284.47s -> 286.47s]  мимоходом?
[286.47s -> 288.47s]  Нам вот вдвоем нужно с моей подругой.
[288.47s -> 290.47s]  Она там меня ждет.
[290.47s -> 292.47s]  Да.
[292.47s -> 294.47s]  Круто, все, мы ждем.
[294.47s -> 296.47s]  Настя!
[296.47s -> 298.47s]  Сейчас девушка придет.
[298.47s -> 300.47s]  Ой! Ой! Ой!
[300.47s -> 302.47s]  Ой, привет! Ой, здравствуйте!
[302.47s -> 304.47s]  Ой, здравствуйте! А мы с вами...
[304.47s -> 306.47s]  Прикиньте, давайте я вам помогу.
[306.47s -> 308.47s]  Хотите... Не, реально.
[308.47s -> 310.47s]  Подожди, давай объясню ее сначала. Вам просто неудобно.
[310.47s -> 312.47s]  Нам нужно
[312.47s -> 314.47s]  до Турмы. Музей Турма.
[314.47s -> 316.47s]  Ага.
[316.47s -> 318.47s]  И милосогласился ваш парень
[318.47s -> 320.47s]  нас подвезти.
[320.47s -> 322.47s]  Но только при условии, что мы вас подождем.
[322.47s -> 324.47s]  Ну, поехали.
[324.47s -> 326.47s]  Наши герои
[326.47s -> 328.47s]  отправляются в уникальный природный музей
[328.47s -> 330.47s]  Турума. Название Турума
[330.47s -> 332.47s]  с мансийского языка переводится
[332.47s -> 334.47s]  как «священная земля». Ежегодно
[334.47s -> 336.47s]  музей предлагает вниманию посетителей
[336.47s -> 338.47s]  традиционные праздники и обряды
[338.47s -> 340.47s]  опских угров. Ну что ж,
[340.47s -> 342.47s]  посмотрим, как наши герои справятся
[342.47s -> 344.47s]  с их первым испытанием. Выглядит
[344.47s -> 346.47s]  как сказочный лес.
[355.13s -> 357.13s]  Все, пойдем уже. Давай.
[357.13s -> 359.13s]  Кантам и манси
[359.13s -> 361.13s]  для проведения завершающего этапа
[361.13s -> 363.13s]  проведения навыкам охоты и рыбалки
[363.13s -> 365.13s]  требовалось пройти полосу препятствий.
[365.13s -> 367.13s]  Мы тоже решили подготовить для наших участниц
[367.13s -> 369.13s]  пару необычных испытаний.
[369.13s -> 371.13s]  Ну что, готовы стать настоящими коренными
[371.13s -> 373.13s]  жителями угры? Я знаю.
[373.13s -> 375.13s]  Вам нужна подсказка? Да, совершенно
[375.13s -> 377.13s]  верно. Ну просто так я вам ее
[377.13s -> 379.13s]  не отдам. Поучаствуйте в народных
[379.13s -> 381.13s]  играх хантов. Прыжки через санки,
[381.13s -> 383.13s]  перетягивание палки, интеллектуальный
[383.13s -> 385.13s]  конкурс, головоломки. В конце
[385.13s -> 387.13s]  препятствий вас ждет свиток с цифрой,
[387.13s -> 389.13s]  который передаст смотритель.
[389.13s -> 391.13s]  Давай, почему я? Давай ты.
[391.13s -> 393.13s]  Я тебе проверю, сломаешь ли логильник?
[393.13s -> 395.13s]  Нет, я уступаю тебе. На холоде наоборот
[395.13s -> 397.13s]  обычно уменьшается.
[397.13s -> 399.13s]  Ого! Молодец!
[399.13s -> 401.13s]  Настюха, реально!
[401.13s -> 403.13s]  Молодец! Красота!
[403.13s -> 405.13s]  Сейчас просто Женя 25
[405.13s -> 407.13s]  лет спустя.
[407.13s -> 409.13s]  Друзья, на самом деле
[409.13s -> 411.13s]  мне кажется, что у меня не получится,
[411.13s -> 413.13s]  потому что я в каком-то гигантском розовом
[413.13s -> 415.13s]  пуховике, и это будет сделать
[415.13s -> 417.13s]  очень сложно. Но тем не менее
[417.13s -> 419.13s]  мы постараемся.
[419.13s -> 421.13s]  Итак,
