[9.58s -> 13.58s]  Всем здарова! Это самое...
[13.58s -> 15.58s]  Ииииии!
[15.58s -> 17.58s]  Какое заводное шоу
[17.58s -> 19.58s]  Женский труп!
[19.58s -> 21.58s]  Шоу, где красивых девчонок снимают на камеру
[21.58s -> 23.58s]  и его можно смотреть вместе
[23.58s -> 25.58s]  с родителями.
[25.58s -> 27.58s]  И надо, типа, вот так вот отворачиваться, как будто
[27.58s -> 29.58s]  я не смотрю, как будто
[29.58s -> 31.58s]  слева дела какие-то срочные появились.
[31.58s -> 33.58s]  Сегодня девчонкам нужно будет сделать
[33.58s -> 35.58s]  своими руками
[35.58s -> 37.58s]  веревочные полки! Заставка!
[39.58s -> 41.58s]  Девчонки, если вы не поняли,
[41.58s -> 43.58s]  какие полки вам нужно будет сделать,
[43.58s -> 45.58s]  вот такие вот запоминайте!
[45.58s -> 47.58s]  Запомнили?
[47.58s -> 49.58s]  Если нет, даже будет
[49.58s -> 51.58s]  веселее! Будем смотреть, как вы будете
[51.58s -> 53.58s]  тупить!
[53.58s -> 55.58s]  Девчонки, у вас есть
[55.58s -> 57.58s]  всё для того, чтобы сделать эти
[57.58s -> 59.58s]  полки за 30 минут!
[59.58s -> 61.58s]  Кто из вас уложится
[61.58s -> 63.58s]  за это время и сделает
[63.58s -> 65.58s]  полку, которую будет жалко выкинуть
[65.58s -> 67.58s]  на помойку, да и уложит
[67.58s -> 69.58s]  в своём кошельке 30-ку
[69.58s -> 71.58s]  мятами!
[71.58s -> 73.58s]  По полочкам!
[73.58s -> 75.58s]  Чё, девчонки, давайте,
[75.58s -> 77.58s]  погнали, погнали, погнали! Всё такое
[77.58s -> 79.58s]  грустное, когда говоришь слово! Пилить!
[79.58s -> 81.58s]  Пилить же это ваше всё!
[81.58s -> 83.58s]  Ну я же не мужика сейчас буду пилить!
[83.58s -> 85.58s]  Какая-то пила игрушечная!
[85.58s -> 87.58s]  Это ножовка!
[87.58s -> 89.58s]  Я скоро растерюсь, папа!
[89.58s -> 91.58s]  Давай, давай, давай!
[91.58s -> 93.58s]  Во!
[93.58s -> 95.58s]  Во!
[95.58s -> 97.58s]  Во!
[97.58s -> 99.58s]  У тебя даже красивее получилось!
[99.58s -> 101.58s]  Сложно?
[101.58s -> 103.58s]  Я, наверное, разденусь жарко!
[107.58s -> 109.58s]  Мне кажется, он её пилит лучше,
[109.58s -> 111.58s]  чем у меня!
[111.58s -> 113.58s]  Он быстрее дел!
[113.58s -> 115.58s]  Я думаю,
[115.58s -> 117.58s]  просто буду красоваться!
[117.58s -> 119.58s]  Просто красоваться вам можно
[119.58s -> 121.58s]  везде, кроме как в нашем
[121.58s -> 123.58s]  шоу!
[123.58s -> 125.58s]  Завтра правая рука
[125.58s -> 127.58s]  короче болеть будет!
[127.58s -> 129.58s]  Потом объясни своему парню почему!
[129.58s -> 131.58s]  Давай! Давай!
[131.58s -> 133.58s]  Кирач!
[137.58s -> 139.58s]  Ну, ну чё?
[139.58s -> 141.58s]  Это называется...
[141.58s -> 143.58s]  Вот она!
[143.58s -> 145.58s]  Вот она, смотрите!
[145.58s -> 147.58s]  Влада, сокрушительница!
[147.58s -> 149.58s]  Деревята!
[149.58s -> 151.58s]  Ты мужиков не только пилишь,
[151.58s -> 153.58s]  ты ещё и сверлишь, да?
[153.58s -> 155.58s]  Да!
[155.58s -> 157.58s]  Сломался!
[157.58s -> 159.58s]  Мне после этого мужика
[159.58s -> 161.58s]  не нужен больше тачки!
[161.58s -> 163.58s]  Сверложа есть!
[163.58s -> 165.58s]  Выше руки!
[165.58s -> 167.58s]  Я чё сейчас была?
[167.58s -> 169.58s]  Я диджеил!
[169.58s -> 171.58s]  Я думала, всё, закончили, я не успела!
[171.58s -> 173.58s]  Девчонки, если вы чувствуете,
[173.58s -> 175.58s]  что время идёт, а на вашу полку
[175.58s -> 177.58s]  просто хочется положить,
[177.58s -> 179.58s]  я советую вам
[179.58s -> 181.58s]  воспользоваться подсказкой!
[181.58s -> 183.58s]  Но её нужно ещё заработать!
[183.58s -> 185.58s]  Пилим дальше или подсказку берём?
[185.58s -> 187.58s]  Подсказку! А ты?
[187.58s -> 189.58s]  Я тоже хочу взять!
[189.58s -> 191.58s]  Первый раз так одновременно!
[191.58s -> 193.58s]  Задание для Алены!
[193.58s -> 195.58s]  У нас есть три ключа!
[195.58s -> 197.58s]  Нужно отгадать,
[197.58s -> 199.58s]  какой из этих ключей
[199.58s -> 201.58s]  на 17!
[201.58s -> 203.58s]  Вот этот!
[203.58s -> 205.58s]  Сколько здесь написано?
[205.58s -> 207.58s]  Тебя ждёт наказание
[207.58s -> 209.58s]  ГРОМИЛА!
[209.58s -> 211.58s]  Вот он!
[213.58s -> 215.58s]  Всё!
[215.58s -> 217.58s]  Отойди!
[217.58s -> 219.58s]  Отойди!
[221.58s -> 223.58s]  Ну что, ничего не сломалось?
[223.58s -> 225.58s]  Да, ну в принципе да!
[225.58s -> 227.58s]  Вот только дырочка небольшая!
[227.58s -> 229.58s]  Сегодня у нас, если честно, Громила добрая!
[229.58s -> 231.58s]  У тебя даже дырочки до конца
[231.58s -> 233.58s]  ещё не просверлили!
[233.58s -> 235.58s]  Сказка! Берёшь?
[235.58s -> 237.58s]  Тебе очень простое задание
[237.58s -> 239.58s]  на самом деле! Это детский прикол!
[239.58s -> 241.58s]  Скажи, очередность цифр
[241.58s -> 243.58s]  на калькуляторе, чтобы получилась
[243.58s -> 245.58s]  надпись «Соси осёл»?
[245.58s -> 247.58s]  6
[247.58s -> 249.58s]  6, 4
[249.58s -> 251.58s]  Чего?
[251.58s -> 253.58s]  ГРОМИЛА!
[253.58s -> 255.58s]  Отходи!
[255.58s -> 257.58s]  Отходи! Отходи!
[257.58s -> 259.58s]  ***, не!
[259.58s -> 261.58s]  ***!
[261.58s -> 263.58s]  Да вы чё, обараете, что ли?
[263.58s -> 265.58s]  Я до конца
[265.58s -> 267.58s]  хотела доделать!
[267.58s -> 269.58s]  Доделай, что тебе мешает!
[269.58s -> 271.58s]  Ваше шоу!
[271.58s -> 273.58s]  Доделай! Нормально!
[273.58s -> 275.58s]  Да тут нормально!
[275.58s -> 277.58s]  Расстроилась?
[277.58s -> 279.58s]  Да!
[279.58s -> 281.58s]  Ой, ******! Как обидно, конечно!
[281.58s -> 283.58s]  Давай, на!
[283.58s -> 285.58s]  Что тут?
[285.58s -> 287.58s]  Просунем эти кротышки!
[287.58s -> 289.58s]  Я люблю большие верёвки!
[289.58s -> 291.58s]  А чё, лучше верёвка большая или богатая?
[291.58s -> 293.58s]  Верёвка! И богатая!
[293.58s -> 295.58s]  Это полка для попугаев!
[295.58s -> 297.58s]  Тут попугаички должны сидеть!
[297.58s -> 299.58s]  Это надо как ниточку помочить!
[299.58s -> 301.58s]  Я не буду это в рот брать!
[301.58s -> 303.58s]  Кто тут у нас получился?
[303.58s -> 305.58s]  Вот! А ты беспокоилась!
[305.58s -> 307.58s]  Что?
[307.58s -> 309.58s]  ***! Мужчина!
[309.58s -> 311.58s]  Ты считаешь, что у тебя полочка
[311.58s -> 313.58s]  уже готова опять?
[313.58s -> 315.58s]  Нужно её немного покрасить, раскрасить!
[315.58s -> 317.58s]  Поэтому давай постелью вздал!
[317.58s -> 319.58s]  Лёвночку у нас осталось!
[319.58s -> 321.58s]  Пять минут! Давай быстрее!
[321.58s -> 323.58s]  Следующий тоже нужно красить!
[323.58s -> 325.58s]  Ого-го-го!
[325.58s -> 327.58s]  Нормально! Уёбищно нормально!
[327.58s -> 329.58s]  Чё у тебя здесь? Чё там колбасу нарезать?
[329.58s -> 331.58s]  Ты тоже приступаешь к покраске, да?
[331.58s -> 333.58s]  Вот такая вот полка
[333.58s -> 335.58s]  годится, да?
[335.58s -> 337.58s]  Можно выбрать цвет?
[337.58s -> 339.58s]  Выбирайте, пожалуйста!
[339.58s -> 341.58s]  Напиши, ***!
[341.58s -> 343.58s]  Чё у тебя будет?
[343.58s -> 345.58s]  Типа Влада, да?
[345.58s -> 347.58s]  У меня нет!
[347.58s -> 349.58s]  Ну, отсюда можно брать!
[349.58s -> 351.58s]  Нахулиганила, да?
[351.58s -> 353.58s]  В принципе, оттуда и будешь брать!
[353.58s -> 355.58s]  Это мы убираем!
[355.58s -> 357.58s]  Время вышло! Полочка у вас готова!
[357.58s -> 359.58s]  Поэтому оценить
[359.58s -> 361.58s]  ваши пылесборники
[361.58s -> 363.58s]  на верёвках! Я приглашаю
[363.58s -> 365.58s]  сюда дизайнера одной из
