[0.00s -> 2.00s]  Хо-хо! Роналд Уизме!
[13.32s -> 14.92s]  Так-то мы любим потяжелее, естественно.
[14.92s -> 15.68s]  И-и-и!
[15.68s -> 16.44s]  И-и-и!
[16.44s -> 20.96s]  Тот день, когда ты мне пристилла!
[20.96s -> 22.72s]  Если Лизкет, это было...
[22.72s -> 23.96s]  Это было крещение просто.
[23.96s -> 25.56s]  Нет, испугался просто.
[25.56s -> 27.56s]  И тут наш звукорежиссер.
[28.36s -> 29.16s]  Странно.
[29.16s -> 33.60s]  Жара, жара, жареное солнце!
[33.60s -> 34.88s]  Взрываемся!
[34.88s -> 36.52s]  Понимаешь, на нас смотрят люди.
[36.52s -> 37.44s]  Я слышу как просто...
[37.44s -> 38.24s]  А-а-а!
[39.00s -> 40.00s]  Семь мультов?
[41.56s -> 42.40s]  Да.
[42.40s -> 55.96s]  Это авторская песня, да?
[55.96s -> 58.72s]  Да, и я впервые сейчас слышу, что ее можно играть так.
[58.72s -> 59.32s]  Ха-ха!
[59.32s -> 65.18s]  Трубач на улицу еще солнце всходит и играет.
[65.18s -> 66.62s]  У-у-у-у!
[117.42s -> 139.49s]  Редактор субтитров Н.Закомолдина
[139.49s -> 159.67s]  Корректор А.Егорова
[183.67s -> 287.83s]  Играют с живым брендом, это гипнотизирует меня, я уже забыл о том, что надо что-то по-другому отстаться с ним, так, сейчас, сейчас, сейчас, поехали.
[287.83s -> 289.83s]  Найс!
[289.83s -> 290.83s]  Класс!
[290.83s -> 291.83s]  Офигенно, вау!
[291.83s -> 298.83s]  А у тебя, ну понятно, что у тебя с ребятами, с твоим коллективом совсем, наверное, все по-другому играется, но мы здесь, это наша версия.
[298.83s -> 299.83s]  Музловковская версия.
[299.83s -> 304.83s]  Я на самом деле очень-очень ценю и люблю, когда можно в разных версиях попробовать вообще поиграть.
[304.83s -> 309.83s]  Песню, которую вроде думаешь, что знаешь, она может быть вообще с другой стороны для тебя открывается.
[309.83s -> 311.83s]  Так-то мы любим потяжелее, естественно.
[311.83s -> 313.83s]  Не, ну понятно.
[314.83s -> 319.83s]  А так, а когда потяжелее, чтобы это, вызывать кого-то, чтобы приходил дождь?
[319.83s -> 324.83s]  Можно все что угодно, таким методом все приходит.
