[0.00s -> 3.00s]  Здорова! Здорова! Здорова!
[3.00s -> 7.00s]  Подписчики наши любимые, дорогие, наши родненькие!
[7.00s -> 13.00s]  Так, осень. Листочки уже пожутели, опали.
[13.00s -> 18.00s]  Значит, самое время ловить нашу зубастую хищницу.
[18.00s -> 24.00s]  Царицу наших водоемов. Это, так еще говорят, хозяйка наших водоемов.
[24.00s -> 28.00s]  Щучку. Заряжены спиннинги уже, заряжены катушки.
[28.00s -> 32.00s]  Как заряжены? Надо собрать. И спускаем на воду лодки.
[32.00s -> 35.00s]  И плывем бомбить эту бомбическую щутку.
[35.00s -> 41.76s]  Спускаем. Щутку. Подожди. Спускаем. Спускаем лодки на воду.
[41.76s -> 45.76s]  И идем бомбить бомбическую щутку.
[45.76s -> 49.76s]  Так, значит, что? Мы находимся на речке Крутец.
[49.76s -> 53.76s]  Здесь запружена речка. Получилось как бы пруд.
[53.76s -> 56.76s]  И хвост идет такой, более-менее, широкий, речной.
[56.76s -> 60.76s]  Мы туда сейчас лодки спустим. Все кустики в облерочки мы пробьем.
[60.76s -> 63.76s]  И уже сами посмотрите, поймаем или нет.
[63.76s -> 68.76s]  Но я думаю, что уж на три спиннинга, на три брата мы уж возьмем несколько щучек.
[68.76s -> 70.76s]  Мы распределяли, кто сколько килограмм поймает.
[70.76s -> 72.76s]  Поэтому смотрите видео обязательно.
[72.76s -> 83.70s]  Ой ты щучка, щучка ты родная.
[83.70s -> 85.70s]  Что там, что там, что там, теплый, что там?
[85.70s -> 88.70s]  За горизонтом туда? Отходить, пацаны, гранат кидают.
[98.22s -> 100.22s]  Пацаны, давай.
[108.78s -> 117.99s]  Так, ну все. Как вы поняли, мы заряжены во все оружие.
[119.99s -> 121.99s]  О, самогончики сколько взяли.
[122.99s -> 140.14s]  Могу конечно же, у меня есть в 30 лет выбор отказаться от друга.
[140.14s -> 142.14s]  Еще одна такая выходка и все.
[142.14s -> 148.95s]  Будем на пенопласте плавать от холодильника вот этот.
[148.95s -> 150.95s]  Возьмем пенопласт, вот рыбачный.
[153.95s -> 155.95s]  Различные вот эти вот фото зоны.
[155.95s -> 160.95s]  Там например в детских лагерях, там там вот подальше, там все, там все,
[160.95s -> 163.95s]  там все, там все, там все, там все, там все, там все, там все.
[163.95s -> 169.31s]  различные вот эти вот фото зоны там например в детских лагерях там или еще
[169.31s -> 174.03s]  где-то на площадках просто делать там типа зайчик еще что-то распечатанное лицо
[174.03s -> 181.87s]  засовываешь а у нас вот рыбацкая фото зона вот так вот встаешь и фоткаешься
[181.87s -> 189.39s]  красава качал-качал-качал а клапан не завернул и убирает на сосу не все спустила
[189.39s -> 225.96s]  ну лячая катка новая посмотрите скажу что сегодня у меня по арсеналу
[225.96s -> 232.08s]  помимо вот на этой стороне у меня идут различные китайские воблеры вертушки
[232.08s -> 239.22s]  мэпсы колебалки прикольные это все да есть воблеры на которых ставлю большие
[239.22s -> 244.92s]  надежды значит пока зарядил копию на орбе это китайская копия потому что
[244.92s -> 249.08s]  надо проверить изначально места и если там не будет зацепов не будет коряжек
[249.08s -> 254.80s]  уже буду оставить что-то посерьезнее пока это будет у нас пробная версия по дешевку
[254.80s -> 260.16s]  но говорят копия на орбит вот это работает хорошо дальше есть кислотный орбит
[260.16s -> 268.28s]  оригинальный кислота обычно по осени хорошо работает вот проверим это 110 орбит
[268.28s -> 284.59s]  сп и это будет работать хорошо потом ререндж 110 джакал ререндж 110
[284.59s -> 291.89s]  посоветовали рыбаки в магазине у меня заводной кольцо какой прикольный короче тоже
[291.89s -> 296.07s]  яркая спинка более менее такой посередке прозрачной думаю работает дальше из
[296.07s -> 300.95s]  прикольных никогда не покупал такие вот гнущиеся бублеровочки вот эти вот купил
[300.95s -> 306.83s]  косодака посмотрим цвет прикольный у него что-то форелевое такое у него есть вот у
[306.83s -> 312.03s]  Вадима был косодака боксер такой расцветки очень хорошо ловил вот такую же расцветку
[312.03s -> 326.27s]  вот дальше вот он мегабас хорошо проявил намокше вы видели рыбалку кто смотрит нас вот даже
[326.27s -> 332.47s]  следы от зубов смотрите он уже весь искусанный на него две щучки я поймал прям 4 заброса 2 щуки
[332.47s -> 341.38s]  красава сегодня решили попробовать гонять на лодочках впервые с сахалотом
[341.50s -> 349.74s]  а диппер я думал такое тихого динамик диппер черт модель плюс диппер скриппер
[349.74s -> 358.66s]  сегодня посмотрим что там под вадой на легкие едем в лодочку вот с собой ножнички зевник и
[358.66s -> 393.81s]  погнали смотри по твичку забагрил но я вроде тут особо вы наблюдал коряк так особо нет
[394.69s -> 406.54s]  поэтому считаю что можно что-то поставить другое посерьезнее не китайское хотя играет
[406.54s -> 440.95s]  вот этот китайский облак достаточно хорошо так его закинуть джакалри рендж значит так нас
[440.95s -> 446.63s]  позвали пацаны к себе пацаны грит сундука не знаю что там потому что пацаны с сахалотом
[446.63s -> 458.86s]  потому что обнаружили рыбу на дне рыб столпилась здесь очень много очень много рыбы
[458.86s -> 485.18s]  опа ударила наконец-то но нет ну там понятно что кажется что маленькая щучка какая-то возможно
[485.62s -> 497.61s]  спанула но сразу понимаешь что это трава потому что на опыте понимаю когда трава когда
[497.61s -> 507.41s]  рыба погода такая щуче вроде облачно солнце светит и облака есть и ветерок вот чуть-чуть
[507.41s -> 513.65s]  прохладно щук любит такую погоду не знаю просто приехали слишком поздно может быть из-за
[513.65s -> 524.05s]  этого утренний клев мы проспали хотя щука как по моему опыту тоже ближе к обеду
[524.05s -> 544.20s]  бой идет орбит все щуки под нокоть щуки молитесь очень острые крючки
[544.20s -> 573.99s]  вам всем хана мы тоже с дорогими приманками приехали делаем на них ставку а щук а здесь
[573.99s -> 604.86s]  даже щуки нет не быть давняя микрожена ну что уадимы руки рыбой пахнут я потом с ним в
[604.86s -> 609.82s]  конце поздоровались и у меня будут пахнуть потому что это щучку надпустит вот такая малышка
[609.82s -> 617.50s]  на кайф жабры повредила но мы тоже забирать не будем может выжить куда я честнее делать
[617.50s -> 632.82s]  выжить выжить руки рыбой руки рыбой пахнуть ну что нормально пацаны погнали рыба чуть дальше
[632.82s -> 647.69s]  показываем если был бы с нами на зар макс как бы он ел мармеладки берешь так несколько штук
[648.45s -> 666.66s]  у меня не получше надо чтобы все потекло так вот до сюда у нас никаких пропорций нет
[666.66s -> 675.71s]  все журналисты то соскучился по назару сейчас вот 20 секунд он с вами побыл
[675.71s -> 691.68s]  ротерный так подписчики пишите сколько лошадиных сил слышали у меня слезы
[691.68s -> 708.23s]  засохли против ветра дал 120 130 вот так из-за того что у нас не клюет нифига я меняю
[708.23s -> 721.23s]  вот этот китайский выблевочек сейчас японский так и мы переходим значит вот на я его макал уже
[721.23s -> 734.63s]  сегодня нет вот мегабас мегабасина мегабас мегабасина ой мегабасина какой приятный
[734.63s -> 769.14s]  сейчас мы его попробуем честно резиночку щас что получится орбит реалист джеркбейт 85 сп суспензер
[769.14s -> 789.86s]  что на этой прекрасной но очень грустной без рыбной ноте мы покидаем это место и
[789.86s -> 796.86s]  плывем в лагерь чтобы приготовить что-то покушать потому что я очень хочу есть блин так хвалили это
[796.86s -> 801.70s]  место нам но сегодня почему-то и у других рыбаков не особо много рыбы но есть и у нас
[801.70s -> 812.64s]  водим одну поймал поэтому плывем в лагерь давай пашка погребли опять пойду стол растопить
[812.64s -> 826.94s]  цаны не умею рубрика едино стало вместе с денисом сундуковым берем черный русский хлеб вот так
[826.94s -> 834.62s]  сюда чик берем горчицу русскую вот русская горчичка вот так аккуратненько
[834.62s -> 849.89s]  лук лук вот так вот по потом давай еще вот такого лучка вот сюда опа и у нас это есть такие
[849.89s -> 858.29s]  рулетики они с перцем с салом сало мясо перец вот так у вас смотрите какой рулетик я вот сейчас
[858.29s -> 869.93s]  вот так вот сюда вот посмотрите что получилось здесь значит хлеб горчица лук и сало с мясом с
[869.93s -> 887.79s]  прослочкой очень вкусно погнали короче берем хлеб берем сюда вот гортички берем
[887.79s -> 901.39s]  лука берем сало смотрите что получилось так ну что пока майка реша вадим и никита собрали
[901.39s -> 908.03s]  микро джиги ультралайты я в это время буду готовить еду потому что я очень проголодался
[908.03s -> 915.63s]  половили половили мы на спиннинге новоблерки и на вертушке джиг ставили в этом на яме оставались
[915.79s -> 924.99s]  да вот половили немного как немного пол дня вообще ничего не поймали но отводим маленькую щучку даже
[924.99s -> 932.99s]  тычков поклёвок нет не знаю почему щука вроде хороший день хорошая погода солнце вот этот в первой
[932.99s -> 938.79s]  половине облака были такие кучевые как раз когда щука любит солнце периодически вылазит из-за облаков
[938.79s -> 945.83s]  такой ветерочек небольшие волны все прям располагала к тому что щука сегодня будет у нас
[945.83s -> 956.75s]  на кукане но не тут-то было пацаны сейчас по микрушке быстренько попробует половить если у них
