[2.93s -> 4.93s]  Это же-же-же-же-жесть!
[8.93s -> 9.93s]  Что происходит?
[9.93s -> 11.93s]  Да, они это сделали, да, 1-0!
[13.93s -> 16.93s]  Уйдите от тачек, уйдите! Уйдите!
[17.93s -> 19.93s]  Это вообще жестко!
[19.93s -> 23.93s]  В этом выпуске парням предстоит сыграть футбол.
[23.93s -> 26.93s]  И, конечно, они будут делать это на машинах.
[26.93s -> 32.93s]  Выт распоряжений и поле, пара футбольных ворот, большой мяч, а также четыре оки.
[32.93s -> 37.93s]  Но как же парням поделиться на команды? В этом им поможет наша гостья.
[38.93s -> 71.42s]  Ну что, друзья, это новый выпуск под любимой цифрой Авета.
[71.42s -> 73.42s]  Это выпуск номер шесть.
[73.42s -> 74.42s]  Шестерка!
[75.42s -> 78.42s]  Это шестой выпуск трех лошадиных сил Саши Стоун.
[79.42s -> 88.62s]  Макс Блэк Лайон!
[96.18s -> 97.18s]  Чёрная лошадка!
[98.18s -> 110.44s]  Итак, друзья, сегодня наша прекрасная любимая команда, которая всегда заходит за камерами,
[110.44s -> 113.44s]  подготовила опять что-то нереальное, что-то сумасшедшее.
[113.44s -> 117.44s]  Вы можете видеть на фоне футбольное поле четыре ламборгини.
[117.44s -> 120.44s]  Футбольное поле из асфальта, конечно же, да, напоминаю.
[120.44s -> 122.44s]  Сегодня, мне кажется, какая-то машина сгорит.
[124.44s -> 125.44s]  Вы знаете, да, у кого сгорит тачка?
[140.46s -> 142.46s]  Итак, друзья, что мы видим?
[142.46s -> 143.46s]  Что мы видим?
[143.46s -> 144.46s]  У нас есть четыре ламборгини.
[144.46s -> 147.46s]  У нас есть футбольное асфальтированное поле.
[147.46s -> 149.46s]  У нас есть футбольный мяч.
[149.46s -> 150.46s]  Но!
[150.46s -> 151.46s]  Но!
[151.46s -> 153.46s]  Чувствуете, что чего-то не хватает?
[153.46s -> 154.46s]  Четвёртого.
[154.46s -> 155.46s]  Как минимум четыре машины.
[155.46s -> 157.46s]  Спасибо центру за этого гостя.
[157.46s -> 158.46s]  Итак, поаплодируем.
[158.46s -> 159.46s]  Поаплодируем, пожалуйста.
[159.46s -> 160.46s]  Давайте.
[160.46s -> 168.46s]  Этому городу, и его центру, и этому ветру, и этого гадалмата!
[168.46s -> 171.46s]  Известный инстаграм блогер и родная сестра знаменитого Гуфа.
[172.46s -> 173.46s]  Оля Далматова.
[173.46s -> 175.46s]  И, собственно, мы приступаем.
[175.46s -> 176.46s]  Стоп, стоп.
[176.46s -> 177.46s]  Нам нужно усложнение.
[177.46s -> 180.46s]  Кто проиграет на ЦУЕФА, будет заикаться.
[180.46s -> 181.46s]  Давай.
[181.46s -> 182.46s]  Камень.
[182.46s -> 183.46s]  ЦУЕФА.
[183.46s -> 184.46s]  Ага.
[184.46s -> 188.46s]  Я сейчас, я уверен, на миллион процентов.
