[0.00s -> 2.00s]  Он может быть разным.
[2.00s -> 4.00s]  Черным и прозрачным.
[4.00s -> 6.00s]  Прочным и гибким.
[6.00s -> 8.00s]  Очень хрупким, тяжелым
[8.00s -> 10.00s]  и самым легким.
[10.00s -> 12.00s]  Он образует соединение невероятных
[12.00s -> 14.00s]  форм и размеров.
[14.00s -> 16.00s]  А еще, на нем основана вся
[16.00s -> 18.00s]  жизнь на Земле. Всем привет, друзья!
[18.00s -> 20.00s]  Я Варя. И сегодня
[20.00s -> 22.00s]  мы поговорим об углероде.
[22.00s -> 24.00s]  Пожалуй, о самом удивительном
[24.00s -> 29.81s]  химическом элементе Земли.
[29.81s -> 31.81s]  Но сначала, как всегда, мы спросим
[31.81s -> 33.81s]  наших прохожих, а что такое углерод?
[33.81s -> 35.81s]  И откуда он взялся?
[35.81s -> 37.81s]  Углерод?
[37.81s -> 39.81s]  Не знаю.
[39.81s -> 41.81s]  Где вы чаще всего встречаетесь?
[41.81s -> 43.81s]  В воздухе. Ну, тоже, наверное, в воздухе.
[43.81s -> 45.81s]  Даже предположения нет.
[45.81s -> 47.81s]  Углеродное волокно, я помню, есть из которого
[47.81s -> 49.81s]  материал. Тонкое, но достаточно
[49.81s -> 51.81s]  противопрочное и легкое.
[51.81s -> 53.81s]  Уголь. Практически где угодно. Очень распространенный
[53.81s -> 55.81s]  элемент того Вселенной.
[55.81s -> 57.81s]  Химическое вещество? Честно, без понятия.
[57.81s -> 59.81s]  Химический элемент? Агументарий.
[59.81s -> 61.81s]  А откуда он вообще взялся?
[61.81s -> 63.81s]  Он просто был
[63.81s -> 65.81s]  с момента Большого Взрыва.
[65.81s -> 67.81s]  Агументарий. Химический элемент.
[67.81s -> 69.81s]  А откуда он вообще взялся?
[69.81s -> 71.81s]  Химический элемент. Витя Менделеева.
[71.81s -> 73.81s]  Это химический элемент. Он
[73.81s -> 75.81s]  приходит, он как прикрепляется, я так
[75.81s -> 77.81s]  понимаю, к металлам
[77.81s -> 79.81s]  участвует в химической реакции.
[79.81s -> 81.81s]  Был всегда на работе.
[81.81s -> 83.81s]  Углерод на сталь. Частенько попадается
[83.81s -> 85.81s]  в углероде сталь.
[85.81s -> 87.81s]  Углерод имеет множество обличий.
[87.81s -> 89.81s]  Порой даже сложно представить,
[89.81s -> 91.81s]  как одно и то же может создавать
[91.81s -> 93.81s]  абсолютно разные по свойствам
[93.81s -> 95.81s]  материалы. Сегодня
[95.81s -> 97.81s]  мы разберем самый интересный из них.
[97.81s -> 99.81s]  Такая многоликость углерода
[99.81s -> 101.81s]  связана с его строением,
[101.81s -> 103.81s]  которое меняется в зависимости
[103.81s -> 105.81s]  от условий, в которые он попал.
[105.81s -> 107.81s]  Обычно все атомы
[107.81s -> 109.81s]  состоят из ядра и электронов.
[109.81s -> 111.81s]  У углерода их целых шесть.
[111.81s -> 113.81s]  Они не вращаются вокруг ядра,
[113.81s -> 115.81s]  как планеты, а образуют
[115.81s -> 117.81s]  атомные орбитали. Это как облачка,
[117.81s -> 119.81s]  в которых они как бы размазываются
[119.81s -> 121.81s]  повсюду. Орбитали
[121.81s -> 123.81s]  могут быть в виде колец, а могут
[123.81s -> 125.81s]  в виде гантелей. Когда внешние
[125.81s -> 127.81s]  орбитали углерода пересекаются с
[127.81s -> 129.81s]  орбиталями других атомов,
[129.81s -> 131.81s]  образуется прочная кавалентная связь.
[131.81s -> 133.81s]  Так вот, углерод отличается
[133.81s -> 135.81s]  тем, что при его возбуждении,
[135.81s -> 137.81s]  то есть при воздействии на него
[137.81s -> 139.81s]  высокой температуры или давления,
[139.81s -> 141.81s]  его электронные орбитали
[141.81s -> 143.81s]  могут перестраиваться
[143.81s -> 145.81s]  и по-разному образовывать
[145.81s -> 147.81s]  химические связи. Самая красивая
[147.81s -> 149.81s]  форма углерода, на мой взгляд,
[149.81s -> 151.81s]  это алмаз. В алмазе
[151.81s -> 153.81s]  каждый атом углерода соединен
[153.81s -> 155.81s]  с четырьмя соседними.
[155.81s -> 157.81s]  Это один из самых прозрачных
[157.81s -> 159.81s]  и прочных материалов
[159.81s -> 161.81s]  на Земле. Прозрачный, ну,
[161.81s -> 163.81s]  потому что все электроны атомов
[163.81s -> 165.81s]  углерода просто связаны друг с другом.
[165.81s -> 167.81s]  Им просто некогда отвлекаться
[167.81s -> 169.81s]  и поглощать какие-то там волны света.
[169.81s -> 171.81s]  А мы видим предметы темными
[171.81s -> 173.81s]  часто именно из-за поглощения света.
[173.81s -> 175.81s]  Углеродная решетка
[175.81s -> 177.81s]  алмаза образовалась под большим
[177.81s -> 179.81s]  давлением в глубинах нашей
[179.81s -> 181.81s]  планеты, а точнее в мантии.
[181.81s -> 183.81s]  Этот слой находится между
