[0.00s -> 2.26s]  Я Володи ordnie
[9.86s -> 10.98s]  Нохи уп
[27.46s -> 28.52s]  шоу- пробы
[28.52s -> 30.68s]  попадают начинающие актёры
[30.68s -> 32.98s]  они ещё не знают, но впереди их ждёт
[32.98s -> 34.52s]  необычный кастинг
[34.52s -> 37.20s]  прошедшие снимутся в новом Детище
[37.20s -> 38.70s]  экстравагантового режиссёра
[38.90s -> 40.22s]  Герой Тёплова
[41.00s -> 42.42s]  приятного просмотра
[45.07s -> 45.93s]  Здравствуйте
[45.93s -> 54.93s]  Меня зовут Леонтьев Александр Анатольевич. Полных 42 года. О себе. Рост 182 сантиметра.
[63.70s -> 68.70s]  Как любителя я занимаюсь паванием, фехтованием, легкой атлетикой и йогой.
[68.70s -> 73.70s]  Всегда приходилось использовать для обыкновенной работы.
[73.70s -> 77.70s]  Добрый день. Меня зовут Калистрат Силогадзе. Мне 23 года.
[77.70s -> 81.70s]  Я выпускник в мастерской Алексея Игоревича Шиинина. Институт современного искусства.
[81.70s -> 85.70s]  Я, кстати, считал у меня одно рукопожатие на Путина, что прикольно.
[85.70s -> 90.70s]  Здравствуйте. Я Третьяченко Леондреевич. Есть опыт в съемках небольшой.
[90.70s -> 95.70s]  Я участвовал в таких проектах, как реклама для Инстаграма, слайсник пицца,
[95.70s -> 98.70s]  ну там роль без слов, рэпером, такой вот играл.
[98.70s -> 104.70s]  Посылка из Даркнета в прошлом году снималась. Роль наемника сатанистой.
[104.70s -> 110.70s]  А я похищал людей. Ну там с Даркнетом связано такое, там пытки были.
[110.70s -> 115.70s]  Ну людоеды еще там тоже. Ну в конце меня убили, съели, поживем.
[118.70s -> 120.70s]  Здравствуйте. Здравствуйте.
[120.70s -> 124.70s]  Представьтесь. Я Третьяченко Леондреевич. Мне 27 лет.
[124.70s -> 126.70s]  Мой возраст 27 лет.
[126.70s -> 128.70s]  Вот это поворот.
[128.70s -> 132.70s]  Она говорит, у тебя точно работает? А вы говорите, давай еще заткнись.
[132.70s -> 134.70s]  Давай, давай. Заткнись, скажи.
[134.70s -> 137.70s]  Заткнись. Сейчас все будет.
[137.70s -> 139.70s]  Будь моей сукой, скажи.
[139.70s -> 141.70s]  Будь моей сукой, скажи.
[141.70s -> 143.70s]  Будь моей сукой.
[143.70s -> 145.70s]  Нет, будь моей сукой.
[145.70s -> 146.70s]  Будь моей сукой.
[146.70s -> 150.70s]  Ага. И к себе прижал. К себе. Она такая, что ты делаешь,
[150.70s -> 153.70s]  у тебя же не встает, начинает от тебя отталкиваться.
[154.70s -> 156.70s]  Нет, нет.
[156.70s -> 159.70s]  И отпускаешь, и вот тут маньяк как раз, маньяк.
[159.70s -> 161.70s]  Маньяк, маньяк.
[161.70s -> 163.70s]  Души ее. Души, души.
[163.70s -> 165.70s]  Души за шею души.
[165.70s -> 167.70s]  За шею души. Души.
[167.70s -> 169.70s]  И она начинает терять сознание.
[171.70s -> 173.70s]  Упала.
[177.07s -> 179.07s]  Здравствуйте.
[179.07s -> 181.07s]  Здравствуйте. Как зовут?
[181.07s -> 183.07s]  Артем Артемий.
[183.07s -> 185.07s]  А пробы, кастинги?
[185.07s -> 186.07s]  Нету.
[186.07s -> 187.07s]  Первый раз?
[187.07s -> 188.07s]  Да, вообще первый раз.
[188.07s -> 191.07s]  Вообще не парься, все нормально. Будь собой, мэн.
[191.07s -> 194.07s]  Как себя видишь в кино вообще? Кем себя видишь?
[194.07s -> 197.07s]  В кино я вижу себя психопатом, маньяком, джокером.
[197.07s -> 200.07s]  Вот давай, готовился на джокера, будь как джокер.
[200.07s -> 203.07s]  Повернись и такой, джокером вот это.
[203.07s -> 205.07s]  Давай.
[210.66s -> 212.66s]  Прям больше развернись волосами.
[212.66s -> 214.66s]  Прям, вот ярость всю, ярость на весь мир.
[214.66s -> 216.66s]  Прям, ярость.
[216.66s -> 220.66s]  Вот, вот есть.
[220.66s -> 224.42s]  Здравствуйте.
[224.42s -> 225.42s]  Здравствуйте.
