[1.11s -> 2.11s]  Нирничаю.
[4.11s -> 5.11s]  Первый черный.
[6.11s -> 7.11s]  Почитай мое интервью.
[9.42s -> 10.42s]  Так, я делаю музыку, я делаю рэп.
[11.42s -> 13.42s]  У нас сегодня кассадилия по-азербайджангловски.
[14.42s -> 15.42s]  Мне не нравятся черные.
[16.42s -> 18.42s]  Посмотри, что я терплю ради тебя.
[19.42s -> 20.42s]  Ну, подходишь, так идиот.
[21.42s -> 23.42s]  Они как пакманы такие. Пак-пак-пак-пак-пак. Хавали все.
[29.10s -> 30.10s]  Я прям просто расслабься.
[31.10s -> 32.10s]  Я прям, главное, такой нормальный был.
[32.10s -> 33.10s]  Как камера на аторе, я сразу.
[34.10s -> 35.10s]  Все, мы идем?
[36.10s -> 37.10s]  Он знает, что он делает.
[40.10s -> 41.10s]  Оливье.
[42.10s -> 43.10s]  Селедка под шубой.
[44.10s -> 45.10s]  Мимоза.
[46.10s -> 47.10s]  Просто классные бутики с икрой.
[48.10s -> 50.10s]  Несмотря на то, что мы готовили для вас новогодний выпуск, друзья,
[51.10s -> 52.10s]  ничего из этого на нашем столе сегодня не будет.
[53.10s -> 54.10s]  Это KitchenStories. Меня зовут Ярослав Грин.
[55.10s -> 56.10s]  А в гостях у меня сегодня рэпер Кассета.
[57.10s -> 58.10s]  Здорово.
[59.10s -> 60.10s]  Традиционное руководство.
[60.10s -> 61.10s]  Уважание.
[62.10s -> 63.10s]  Смотри, на KitchenStories я встречаю людей.
[64.10s -> 65.10s]  И в коем случае не с пустыми руками.
[66.10s -> 67.10s]  Тоже коронная фраза нашей программы.
[68.10s -> 69.10s]  Я жду от тебя классное настроение, интересные истории.
[70.10s -> 71.10s]  Учитывая то, что сегодня новогодний выпуск,
[72.10s -> 73.10s]  какое-то подведение итогов,
[74.10s -> 75.10s]  радости, горести этого года.
[76.10s -> 77.10s]  И, конечно же, самый главный, твой фирменный рецепт.
[78.10s -> 80.10s]  Который мы закинем в нашу книгу рецепту кулинарную
[81.10s -> 82.10s]  и подарим потом нашим зрителям.
[83.10s -> 84.10s]  Все понятно?
[85.10s -> 86.10s]  Да.
[87.10s -> 88.10s]  Ко всему готов?
[88.10s -> 89.10s]  Мы готовим кассадилью.
[90.10s -> 91.10s]  Как я раньше готовил кассадилью,
[92.10s -> 93.10s]  то, что было в холодильнике,
[94.10s -> 95.10s]  я просто заворачивал в хлеб и все.
[96.10s -> 97.10s]  Но...
[98.10s -> 99.10s]  Времена другие.
[100.10s -> 101.10s]  Жизнь попроще стала, да?
[102.10s -> 103.10s]  Да.
[104.10s -> 105.10s]  Что нам для этого блюда потребуется?
[106.10s -> 107.10s]  Нам понадобится авокадо, перец, лук, сыр,
[108.10s -> 109.10s]  курица, помидоры, соль, перец
[110.10s -> 111.10s]  и, самое главное, лепешка точно.
[112.10s -> 113.10s]  Прекрасно.
[114.10s -> 115.10s]  Но мой главный вопрос.
[116.10s -> 117.10s]  Почему ты пришел именно с этим блюдом?
[118.10s -> 119.10s]  Потому что мне нужно готовить, кроме этого.
[120.10s -> 121.10s]  Это честно.
[122.10s -> 123.10s]  И то я даже последний раз готовил,
[124.10s -> 125.10s]  я не знаю, лет пять, может, назад.
[126.10s -> 127.10s]  Поэтому мы сегодня просто повеселимся
[128.10s -> 129.10s]  вместе с нашими зрителями.
[130.10s -> 131.10s]  Короче, делим с тобой тогда, кто что делает.
[132.10s -> 133.10s]  Хочешь резать грудку или хочешь резать овощи?
[134.10s -> 135.10s]  Ну, блин.
[136.10s -> 137.10s]  Ладно, давай скинемся.
[138.10s -> 139.10s]  А подожди, на что?
[140.10s -> 141.10s]  На курицу или грудку.
[142.10s -> 143.10s]  Скинемся на то, кто режет курицу.
[144.10s -> 145.10s]  Раз, два, три.
[146.10s -> 147.10s]  Раз, два, три.
[148.10s -> 149.10s]  Налетай на овощи.
[150.10s -> 151.10s]  Понеслась.
[152.10s -> 153.10s]  Значит, ты, говоришь, готовил последний раз
[154.10s -> 155.10s]  это блюдо лет пять назад?
[156.10s -> 157.10s]  Да.
[158.10s -> 159.10s]  А обычно вообще дома хоть что-то готовишь
[160.10s -> 161.10s]  или больше заказываешь?
[162.10s -> 163.10s]  Вообще ничего.
[164.10s -> 165.10s]  Теперь только заказываю.
[166.10s -> 167.10s]  Только заказываешь?
[168.10s -> 169.10s]  Да.
[170.10s -> 171.10s]  Хорошо.
[172.10s -> 173.10s]  Однако зарабатываешь, значит?
[174.10s -> 175.10s]  Ну, иногда я Макдональдсом приходил,
[176.10s -> 177.10s]  а что обычно вообще предпочитаешь есть?
[178.10s -> 179.10s]  Вообще в нашем городе такой ритм жизни.
[180.10s -> 181.10s]  Это вообще просто.
[182.10s -> 183.10s]  Я ем какой-то один фастфуд весь день,
[184.10s -> 185.10s]  потому что бегаю туда-сюда.
[186.10s -> 187.10s]  Слушай, но ты не выглядишь как человек,
[188.10s -> 189.10s]  который ест все подряд.
[190.10s -> 191.10s]  Либо у тебя прекрасный обмен веществ.
[192.10s -> 193.10s]  Не, я просто занимаюсь не прям спортом.
[194.10s -> 195.10s]  Я это не называю спортом.
[196.10s -> 197.10s]  Это скейтборд с детства самого,
[198.10s -> 199.10s]  с лет 13 до сих пор катаюсь.
[200.10s -> 201.10s]  Я как бы не считаю это спортом,
[202.10s -> 203.10s]  потому что от полезного там ничего,
[204.10s -> 205.10s]  кроме того, что ты просто двигаешься и потеешь.
[206.10s -> 207.10s]  От полезного ты имеешь для физического развития?
[208.10s -> 209.10s]  Да.
[210.10s -> 211.10s]  Но ты же зажигаешь калорий.
[212.10s -> 213.10s]  Да, но я имею в виду, там просто больше травмируешься.
[214.10s -> 216.10s]  У меня только все болит от этого.
[217.10s -> 218.10s]  Иногда иду покататься,
[219.10s -> 221.10s]  а потом у меня дела какие-нибудь, встречи, все такое.
[222.10s -> 223.10s]  Я упаду на скейте, не могу ничего делать.
[224.10s -> 225.10s]  И я такой, блин, но я же взрослый человек.
[226.10s -> 227.10s]  Зачем я пошел кататься на этой доске?
[228.10s -> 230.10s]  Сколько лет можно падать, травмироваться?
[231.10s -> 232.10s]  Уже можно понять, что уже хорош.
[233.10s -> 235.10s]  Слушай, ну давай вспомним, сколько лет ты нюхалку?
[236.10s -> 237.10s]  По-моему, полтос где-то.
[238.10s -> 239.10s]  Почему?
[240.10s -> 241.10s]  У него какие-то стальные ноги, что ли.
[242.10s -> 244.10s]  У меня уже в 30-е колени уже сдают позиции.
[245.10s -> 246.10s]  А ты прямо именно скейтом в детстве?
[247.10s -> 248.10s]  Да, я катался вообще каждый день.
[249.10s -> 250.10s]  Школу прогуливал, бежал туда.
[251.10s -> 252.10s]  У меня даже дома был один скейт.
[253.10s -> 256.10s]  Это пугач, чтобы родители думали, что я не катаюсь на скейте.
[257.10s -> 258.10s]  Потому что им не нравилось.
[259.10s -> 260.10s]  А отец сразу сказал, ты не вырастешь, ты будешь карликом.
[261.10s -> 262.10s]  Посмотри, все скейты.
[263.10s -> 265.10s]  Он реально показал мне скейтеры маленького роста.
[266.10s -> 267.10s]  Потому что акробатика.
[268.10s -> 269.10s]  Он показывает рост.
[270.10s -> 271.10s]  Во-первых, ты все время прыгаешь, у тебя кости все время.
[272.10s -> 273.10s]  Так, амортизация.
[274.10s -> 275.10s]  Такие движения, что, я думаю, удобнее.
[276.10s -> 278.10s]  Высокому человеку не очень будет удобно кататься на скейте.
[279.10s -> 280.10s]  Опять же, вернемся к нюхалку.
[281.10s -> 282.10s]  Он высокий.
[283.10s -> 284.10s]  Он нифига не низкий.
[285.10s -> 286.10s]  Да, он, кстати, высокий.
[287.10s -> 288.10s]  Но, мне кажется, если бы он не катался на скейте, он в 10 раз выше был бы.
[289.10s -> 290.10s]  Куда уж, в баскетбол пошел бы, да?
[291.10s -> 292.10s]  Да, да, да.
[293.10s -> 294.10s]  Так, ну хорошо.
[295.10s -> 296.10s]  А на новогоднем столе твои любимые блюда есть?
[297.10s -> 299.10s]  Новогоднем, икра черная.
[300.10s -> 301.10s]  Ой, черная.
[302.10s -> 304.10s]  Кстати, вот без шуток, мне не нравятся черные.
[305.10s -> 306.10s]  Да?
[307.10s -> 308.10s]  Да, мне на вкус, я и не люблю.
[309.10s -> 310.10s]  Контрабанда, да?
[311.10s -> 313.10s]  Короче, все, что нелегально, все вкусно.
[314.10s -> 315.10s]  Да.
[316.10s -> 317.10s]  Все, что нелегально, все вкусно.
[318.10s -> 319.10s]  Да.
[320.10s -> 321.10s]  Я понял, я понял.
[322.10s -> 323.10s]  Ладно, не буду мучать тебя больше разговорами о еде пока.
[324.10s -> 325.10s]  Поговорим про 21 год.
[326.10s -> 328.10s]  Какие были ли ты отметить для себя какие-то важные события?
[329.10s -> 330.10s]  Может быть, музыкальные новости?
[331.10s -> 332.10s]  Может быть, просто мировые?
[333.10s -> 334.10s]  Может быть, собственные достижения?
[335.10s -> 336.10s]  Давай по порядку обо всем.
[337.10s -> 340.10s]  Ну, вот, снял сейчас клип, ну, уже вышел вот буквально о днях.
[341.10s -> 345.10s]  Илья Шпотов, это парень, который, у него был продакшн в Америке, потом в Барселоне.
[346.10s -> 348.10s]  Он приехал в Москву и сказал такое, я хочу тебя снять клип, скинь мне треки.
[349.10s -> 350.10s]  Я ему скинул треки.
[351.10s -> 354.10s]  Он такой, написал сценарий и отослал во все продакшн и ответил продакшн.
[354.10s -> 355.10s]  Версус-пикчер.
[356.10s -> 358.10s]  Лично Найт Шулер сказал, что он обожает пленку «Перемотай».
[359.10s -> 360.10s]  Это офигенный клип.
[361.10s -> 362.10s]  Ну, слушай, это правда офигенный клип, очень.
[363.10s -> 366.10s]  И, короче, он говорит, давай я вам сниму все свои ресурсы, которые нужно.
[367.10s -> 368.10s]  Помогу вам снять все такое.
[369.10s -> 370.10s]  И мы сняли сейчас.
[371.10s -> 372.10s]  Мне очень нравится работа, очень, блин, я прямо счастлив.
[373.10s -> 375.10s]  Было смешно там, когда Бонус и Недра.
[376.10s -> 378.10s]  Недра играл охранника, а Бонус типа графитоз.
[379.10s -> 380.10s]  Я нарисовал граффити, и он как будто это граффити рисовал.
[381.10s -> 383.10s]  И каждый раз, когда Недра подходил к Бонусу,
[384.10s -> 386.10s]  и Бонус уже такой, знаешь, там уже дубля 20,
[387.10s -> 388.10s]  он такой поворачиваемый,
[389.10s -> 391.10s]  посмотри, что я терплю ради тебя, с какой унижением.
[392.10s -> 393.10s]  Бонус, это Денис Бонус, правильно я понимаю?
[394.10s -> 395.10s]  Да, Денис Бонус, но бордист, да, да.
[396.10s -> 398.10s]  Вот, и просто там, одно было слово, Педрилкин или что-то такое.
[399.10s -> 401.10s]  Вот, и мы все, просто после этого, этих съемок,
[402.10s -> 403.10s]  каждую секунду, Педрилкин, Педрилкин.
[404.10s -> 405.10s]  Это, знаешь, так бывает, особенно в каком-нибудь творческом процессе,
[406.10s -> 408.10s]  кто-нибудь случайно хрень ляпнет,
[409.10s -> 411.10s]  и потом, типа, кодовое слово процесса,
[412.10s -> 413.10s]  ну, съемки там, не знаю, записи или чего-то.
[414.10s -> 415.10s]  Будет это слово.
[416.10s -> 417.10s]  Да, рабочее название.
[418.10s -> 420.10s]  Вот, у вас также, это же все-таки новый какой-то профессиональный уровень,
[421.10s -> 423.10s]  правильно, ты с таким еще не работал в своей карьере?
[424.10s -> 425.10s]  Ну, да, да, можно сказать, да.
[426.10s -> 427.10s]  Вот, мне вот это интересно.
[428.10s -> 429.10s]  Подготовка.
[430.10s -> 431.10s]  Какие наблюдения ты для себя отразил, чем запомнился.
[432.10s -> 433.10s]  Подготовка была вообще нереальная такая,
[434.10s -> 436.10s]  вначале они сняли его на телефон,
[437.10s -> 438.10s]  потом они сняли его на Гоупро,
[439.10s -> 441.10s]  потом они поняли, что в своей какие-то косяки, нюансы.
[442.10s -> 443.10s]  И снимали одни и те же сцены, получается.
[444.10s -> 445.10s]  Рабочие.
[446.10s -> 447.10s]  Я иду не с автоматом, а с бутылкой, типа.
[448.10s -> 449.10s]  Ну, вот такие как бы рабочие накидки.
[450.10s -> 451.10s]  Вот такая подготовка в первый раз.
[452.10s -> 454.10s]  Какие, может быть, самые громкие релизы, вышедшие в 2021 году,
[455.10s -> 456.10s]  ты для себя отметил?
[457.10s -> 458.10s]  Майк Дженкинс.
[459.10s -> 460.10s]  Альбом мне очень понравился.
[461.10s -> 463.10s]  Просто Исай Рашад.
[464.10s -> 467.10s]  Как там правильно его первое все по-разному называют.
[468.10s -> 469.10s]  Ну, не будем об этом спорить.
[470.10s -> 471.10s]  Нас научат в любом случае в комментариях.
[472.10s -> 473.10s]  Да, стопудово.
[474.10s -> 475.10s]  Из наших.
[476.10s -> 477.10s]  Можешь кого-нибудь выделить?
[478.10s -> 479.10s]  Вышло очень много альбомов.
[480.10s -> 481.10s]  Я все, конечно, не перечислю, но так по мелочи кого-нибудь отмечу.
[482.10s -> 483.10s]  Отмечу Oxy, отмечу Макс Коржа.
[484.10s -> 485.10s]  У Содолов вышел альбом.
[486.10s -> 488.10s]  Бандана была очень популярной.
[489.10s -> 490.10s]  Господи.
[491.10s -> 492.10s]  Ну, много было альбомов.
[493.10s -> 494.10s]  Кто-то из них тебе запал в плейлист?
[495.10s -> 497.10s]  Я, с удожелением, вообще ничего из этого не слушал.
[498.10s -> 499.10s]  Ничего?
[500.10s -> 501.10s]  Хотя Корж прикольный, но я его тоже не послушал.
[502.10s -> 503.10s]  Не успел еще, наверное.
[504.10s -> 506.10s]  Вышел и на несколько минут положил сайт Genius.
[507.10s -> 508.10s]  Ничего себе.
[509.10s -> 513.10s]  То есть, это говорит о том, сколько людей сразу полезли его слушать, чекать тексты и так далее.
[514.10s -> 515.10s]  Офигеть.
[516.10s -> 517.10s]  А вообще ты какую музыку слушаешь?
[518.10s -> 519.10s]  Я вообще все слушаю.
[520.10s -> 523.10s]  Ну, конечно, рэпчик, больше процентов рэпчик, но как бы я все слушаю, потому что я вообще люблю старую музыку.
[524.10s -> 525.10s]  И всякое там, то, что мои родители слушали.
[526.10s -> 527.10s]  Не понимаю.
[528.10s -> 531.10s]  Ну, у меня папа слушал Супермакса, Барри Уайта и там всяких там.
[532.10s -> 533.10s]  Барри Уайта грех не слушать сейчас.
[534.10s -> 535.10s]  Там спектрум.
[536.10s -> 537.10s]  Спектрум альбом такой.
[538.10s -> 540.10s]  Мне очень нравится экстрементальный, это космический джаз.
[541.10s -> 542.10s]  Там такой Маховишин, Билли Капон.
[543.10s -> 546.10s]  Ну, собрали лучших музыкантов и вот назвали спектрум.
[547.10s -> 549.10s]  Это альбом там лучший барабанщик, лучший пианист, лучший гитарист.
[550.10s -> 551.10s]  Назвали альбом спектрум.
[552.10s -> 553.10s]  Это сто лет назад вышло такой экспериментальный джаз.
[554.10s -> 558.10s]  Ну, вот я слушаю и вдохновляюсь, не прям вдохновляюсь, что я там что-то беру.
[559.10s -> 560.10s]  Ну, какой-то меня наводит.
[561.10s -> 562.10s]  Просто ищешь свое настроение во всем.
[562.10s -> 563.10s]  Да.
[564.10s -> 567.10s]  Мы просто сразу в сковородку кинем или мы как-то сковородку сперва подготовим?
[568.10s -> 569.10s]  Чесночок может быть туда забросим.
[570.10s -> 571.10s]  Ну, можно, можно, в принципе все.
[572.10s -> 573.10s]  Тогда я почищу пока чесночок.
[574.10s -> 575.10s]  Пару зубочков.
[576.10s -> 577.10s]  А теперь следующий вопрос.
[578.10s -> 581.10s]  Если бы я попросил тебя собрать плейлист для нашего сегодняшнего блюда.
[582.10s -> 586.10s]  Вот наши зрители сейчас посмотрят выпуск и захочут повторить его за нами.
[587.10s -> 588.10s]  Какую бы музыку ты поставил?
[588.10s -> 592.10s]  Ну, потому что у нас сегодня кассадилия по-азербайджанглски.
[593.10s -> 594.10s]  По-азербайджанглски.
[595.10s -> 596.10s]  Интересно.
[597.10s -> 598.10s]  Значит, просто джангл, да?
[599.10s -> 600.10s]  Ну, я на самом деле так сказал на бум.
[601.10s -> 611.10s]  Просто последнее время, что я из музла когда делал, почему-то мне вот эти джангл-мотивы стали последние дни.
[612.10s -> 613.10s]  Они мне как-то вдохновляют.
[614.10s -> 615.10s]  То есть, просто ты сейчас это слушаешь?
[616.10s -> 617.10s]  Да, это сейчас реально.
[618.10s -> 623.10s]  Последние даже два трека, которые я сделал, они такие джангловые по ритмике, по всему.
[624.10s -> 625.10s]  А ты танцевать никогда не пробовал?
[626.10s -> 627.10s]  По джанглу?
[628.10s -> 629.10s]  По брейку, я имею в виду.
[630.10s -> 631.10s]  А, брейк-данс?
[632.10s -> 633.10s]  Да нет, только лесгинку.
[636.10s -> 637.10s]  Становится интересно.
[638.10s -> 642.10s]  Недавно журнал Time назвал Илону Маска Человеком Года, 21 года.
[643.10s -> 648.10s]  А сам Илон Маск не так давно продал последний дом, находящийся у него в имуществе.
[649.10s -> 653.10s]  То есть, он вообще распродал всю свою жилплощадь и официально объявил себя бездонным.
[654.10s -> 656.10s]  Может, они так от этих, от налогов убегают?
[657.10s -> 663.10s]  Ну, вообще, может быть, но как он объявил, что он хочет распродать все свое имущество здесь.
[664.10s -> 665.10s]  В России?
[666.10s -> 667.10s]  Да, в России.
[667.10s -> 668.10s]  В Москве Илону Маску.
[669.10s -> 670.10s]  Значит, на дверской есть хата.
[671.10s -> 674.10s]  Обязательно на Марины и Рощи должна быть хата, иначе как КВН смотреть.
[675.10s -> 676.10s]  На Рублевке пару домов у него загрузят.
[677.10s -> 679.10s]  Нет, на самом деле у него цель простая.
[680.10s -> 683.10s]  Он давно очень хочет экспедицию на Марс отправить.
[684.10s -> 688.10s]  И для того, чтобы все это сделали, чтобы человечество могло туда мигрировать и бла-бла-бла.
[689.10s -> 691.10s]  Вот он решил, видимо, все продать и в это дело лошадь.
[692.10s -> 693.10s]  И там уже купить квартиру.
[694.10s -> 695.10s]  Да, там на Марсе себе купить хату.
[695.10s -> 703.10s]  Параллельно с этим, только уже со своей священной целью, этим же решил отметиться и Каней.
[704.10s -> 710.10s]  Он заявил, что в начале 2022 года он распродаст все свои особняки.
[711.10s -> 712.10s]  Сейчас я без пальцев останусь.
[713.10s -> 716.10s]  Распродаст свои особняки и тоже официально станет бездомным.
[717.10s -> 720.10s]  Он хочет из них сделать приюты для, в принципе, нуждающихся.
[720.10s -> 725.10s]  Они просто строят на Марсе отель Хилтон, 5 звезд.
[726.10s -> 729.10s]  Вот и у них из-за этого они вот так сделали.
[730.10s -> 731.10s]  Думаешь?
[732.10s -> 735.10s]  То есть Илон Маск всех перевезет туда, а Каней пока хаты построит?
[736.10s -> 737.10s]  Да.
[738.10s -> 739.10s]  Они сговорились там.
[740.10s -> 748.10s]  Слушай, ну а если серьезно, если кроме шуток, на твой взгляд попытка сейчас задать подобный тренд для миллионеров и миллиардеров, это как?
[749.10s -> 752.10s]  Вообще все идет к этому.
[753.10s -> 756.10s]  Было всегда модно быть Аля таким рок-н-ролльщиком, все такое.
[757.10s -> 758.10s]  А сейчас наоборот.
[761.44s -> 763.44s]  Представь, что ты главный редактор журнала Time.
[764.44s -> 766.44s]  Кого бы ты назвал человеком 2021 года?
[767.44s -> 768.44s]  Года прямо во всем мире, да?
[769.44s -> 770.44s]  Ну конечно.
[771.44s -> 772.44s]  Ну Каня, наверное, все-таки.
[773.44s -> 778.44s]  Хоть его альбом до конца не дослушал, но как перфоменс, это просто такой уровень космический.
[778.44s -> 782.44s]  Но ты не будешь отрицать того, что Каня главный трансетор в принципе сейчас?
[783.44s -> 784.44s]  Да, не отрицаю вообще.
[785.44s -> 786.44s]  Это точно, да.
[787.44s -> 788.44s]  Хотя я его никогда особо...
[789.44s -> 791.44s]  Вот нету у него ни одного трека, от которой я прям...
[792.44s -> 794.44s]  Я как музыкант, я по-другому слушаю музыку.
[795.44s -> 801.44s]  Я чувствую, что он придумывает что-то, что он пытается что-то новое сделать.
[802.44s -> 803.44s]  Изобрести, да?
[803.44s -> 804.44s]  Изобрести, я за это и ценю.
[805.44s -> 808.44s]  Я сам пытаюсь все время в своей музыке что-то придумать новое.
[809.44s -> 812.44s]  И как бы людям это в основном не то что не заходит, а...
[813.44s -> 814.44s]  Тяжело понять, наверное, пока.
[815.44s -> 816.44s]  А если поржать?
[817.44s -> 818.44s]  Какой-нибудь покап 2021 года?
[819.44s -> 821.44s]  Вот самое провальное, что случилось в этом году?
[822.44s -> 823.44s]  Мне кажется, Егор Крит.
[824.44s -> 825.44s]  В принципе...
[826.44s -> 827.44s]  В принципе, каждый год он подтверждает.
[828.44s -> 829.44s]  А почему в этом?
[829.44s -> 831.44s]  Я не знаю, как он это делает, но мне не нравится все, что он...
[832.44s -> 834.44s]  Как он дышит, как он двигается, как он разговаривает.
[835.44s -> 836.44s]  Как он мимика делает.
[837.44s -> 838.44s]  Я просто, мне не нравится все в нем.
[839.44s -> 842.44s]  Я не знаю, почему такая ненависть к нему, но у меня больше к никому такой ненависти нету.
[844.44s -> 846.44s]  Не знаю просто, я считаю это ужасно.
[847.44s -> 848.44s]  Егор, мы нашли твоего главного хейтера.
[849.44s -> 853.44s]  Наводи пока порядок у себя, я закину, наверное, все специи, которые у нас здесь есть.
[854.44s -> 855.44s]  Вот так, вот так, не забывай.
[856.44s -> 857.44s]  Вот так.
[857.44s -> 858.44s]  Я не люблю...
[859.44s -> 861.44s]  Я не прыгаю на тренда, я чисто...
[862.44s -> 863.44s]  Главное, чтоб плиту не засрать.
[864.44s -> 865.44s]  Потому что кто потом ее убирать будет?
[866.44s -> 873.44s]  Ты как в этом, да, в этих видосах смешных, где мама готовит, она такая прям так и руками там моется, а я там...
[874.44s -> 875.44s]  Ты подходишь, так и делаешься.
[876.44s -> 877.44s]  Это так реально.
[878.44s -> 882.44s]  Мы с тобой еще не начали, но я, наверное, хотел уже поговорить немножко об искусстве.
[883.44s -> 886.44s]  Ты же все-таки из граффити в музыку пришел.
[887.44s -> 888.44s]  Что в твоей жизни было первым? Музыка?
[889.44s -> 890.44s]  Знаешь, как было?
[891.44s -> 892.44s]  Можно сказать одновременно.
[893.44s -> 894.44s]  Мы снимали скейт-видос.
[895.44s -> 898.44s]  Первые свои были мелкие, там, не знаю, лет 13 мне было.
[899.44s -> 902.44s]  Вот, и нужна была музыка какая-то для скейт-видео.
[903.44s -> 904.44s]  Я пошел на горбушку.
[905.44s -> 906.44s]  Hip hop точка, до сих пор она есть.
