[0.00s -> 17.50s]  Музыка
[17.50s -> 21.50s]  Так, Макс, не шевелись
[21.50s -> 24.50s]  Не, Лиза, совсем не похож
[24.50s -> 26.50s]  Это потому что ты вертелся
[26.50s -> 30.46s]  Дай-ка я
[30.46s -> 32.46s]  Артур, а ты рисовать умеешь?
[32.46s -> 34.46s]  О, может, нас научишь?
[34.46s -> 36.46s]  Не уверен, я не рисовальщик
[36.46s -> 39.46s]  А давайте-ка вы поучитесь рисованию
[39.46s -> 41.46s]  у старых мастеров
[43.46s -> 45.46s]  Ой, Артур, мы в пещере
[45.46s -> 48.46s]  Нам что, прямо на стене рисовать?
[48.46s -> 52.46s]  Уважаемый пещерный человек, дайте нам бумагу, пожалуйста
[53.46s -> 56.46s]  Лиза, бумагу в доисторический период
[56.46s -> 58.46s]  еще не изобрели
[58.46s -> 61.46s]  Смотри-ка, у нас получается
[63.46s -> 65.46s]  Ай, Артур, тут хищники
[65.46s -> 67.46s]  Давай куда-нибудь нас поближе
[67.46s -> 69.46s]  Пока нас не съели
[70.46s -> 73.46s]  Вы в Германии пятнадцатого века
[73.46s -> 75.46s]  В гостях у знаменитого рисовальщика
[75.46s -> 77.46s]  Альбрахта Дюрера
[78.46s -> 80.46s]  That is fantastic, lieber Kinder
[80.46s -> 82.46s]  Артур, чего это он?
[82.46s -> 83.46s]  Ругается?
[83.46s -> 87.46s]  Нет, Макс, он говорит, что у вас здорово получилось
[87.46s -> 89.46s]  Артур, тогда поехали дальше
[90.46s -> 92.46s]  Вы на занятии, отроки?
[92.46s -> 94.46s]  Да, Ваше Величество
[94.46s -> 97.46s]  Итак, лицо – это овал
[97.46s -> 100.46s]  Через него проходит срединная линия
[100.46s -> 106.46s]  По обе стороны положены очи, далее нос и уста
[106.46s -> 109.46s]  Рисуйте их ровно, симметрию блюдите
[109.46s -> 112.46s]  Лиза, а что такое очи?
[112.46s -> 114.46s]  Очи – это глаза
[114.46s -> 115.46s]  А уста?
[115.46s -> 116.46s]  Это рот
[116.46s -> 118.46s]  Не мешай рисовать
[119.46s -> 125.46s]  У лица, как у любого предмета, есть часть освещенная, названная светом
[125.46s -> 129.46s]  А есть не освещенная, названная тенью
[130.46s -> 132.46s]  Да вы молодцы!
[132.46s -> 136.46s]  Талантливые ученики – учителю награда
[136.46s -> 139.46s]  Спасибо, Ваше Величество, за науку
[139.46s -> 141.46s]  Но нам пора
[141.46s -> 144.46s]  Ого, какие портреты!
[144.46s -> 147.46s]  Мы теперь настоящие рисовальщики
[147.46s -> 152.46s]  Да, только в наше время профессия рисовальщик называется художник-дизайнер
[152.46s -> 156.46s]  Ага, мы теперь можем дизайнить всего, что хочешь сделать
[156.46s -> 160.46s]  И посуды, и ткани, и даже мультиков
[160.46s -> 163.46s]  Ну, если немного, подучимся, конечно
[163.46s -> 165.46s]  А мой портрет нарисуете?
[165.46s -> 167.46s]  Легко!
[167.46s -> 170.46s]  Артур, только не шевелись
[175.18s -> 178.18s]  Ого, как похож! Спасибо!
[181.18s -> 184.18s]  Редактор субтитров А.Синецкая
[184.18s -> 187.18s]  Корректор А.Кулакова
